GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDKAI,G18USSRSTE,G18USSLWAT,G18USSOWRI
51041000402,51,041,000402,674.22,503.13,23.31,3.76
51041000403,51,041,000403,1310,1139,54,1
51041000404,51,041,000404,1192,787,44,3
51041000405,51,041,000405,1231,1025,39,2
51041000406,51,041,000406,962,957,53,5
51041000407,51,041,000407,634.73,695.9,26.32,3.04
51041000408,51,041,000408,1963,932,58,3
51041000409,51,041,000409,730,463,17,1
51041000410,51,041,000410,755,560,22,1
51041000411,51,041,000411,1178.13,1047.1,47,3
51041000412,51,041,000412,1118.65,834.77,38.68,6.24
51041000413,51,041,000413,1158,799,36,5
51041000414,51,041,000414,1567,1451,43,5
51041000415,51,041,000415,1254.61,1111.17,50.89,6.14
51041000416,51,041,000416,666.95,461.37,19.14,2.84
51041000417,51,041,000417,664.87,534.88,27.3,1.01
51041000501,51,041,000501,994.89,650.19,37.97,11
51041000502,51,041,000502,689.45,507.17,26.01,3
51041000503,51,041,000503,1071.65,1084.25,36.92,1.94
51041000504,51,041,000504,1698.4,1616.35,65.25,18.78
51041000505,51,041,000505,1405.18,923.91,60.41,8.91
51041000506,51,041,000506,1304,875,56,1
51041000507,51,041,000507,1405,1572,90,5
51041000508,51,041,000508,1127,859,43,2
51041000509,51,041,000509,923.11,504.81,38.03,0
51041000510,51,041,000510,1190,1146,75,3
51041000511,51,041,000511,781.85,832.13,42.57,8.16
51041000513,51,041,000513,792.49,225.27,25.12,1.01
51041000514,51,041,000514,1321,1286,84,6
51041000515,51,041,000515,1523.14,306.09,14.02,2
51041000516,51,041,000516,943,232,22,0
51041000517,51,041,000517,494,629,20,0
51041000518,51,041,000518,1220.07,1452.32,55.73,5.04
51043000101,51,043,000101,532.27,867.1,23.66,0.03
51043000201,51,043,000201,652.99,572.13,31.04,2
51043000301,51,043,000301,534.45,611.47,20.16,2
51043000302,51,043,000302,188.41,219.44,6.99,0
51043000401,51,043,000401,675.85,814,22.37,1.1
51043000501,51,043,000501,449.88,552.62,7.98,0
51043000502,51,043,000502,180.15,208.85,13.86,0
51045000101,51,045,000101,88.72,318.82,9.51,1
51045000201,51,045,000201,110.62,416.35,5.44,0
51045000301,51,045,000301,91.66,182.33,4.98,1.99
51045000303,51,045,000303,77,154,3,1
51045000401,51,045,000401,45.22,118.91,1.67,0
51045000402,51,045,000402,14.16,25.58,0,0
51045000403,51,045,000403,41.83,150.41,1,0
51045000501,51,045,000501,75.57,250.09,4.44,0
51047000101,51,047,000101,1315.97,1036.94,61.26,5
51047000201,51,047,000201,1240.28,802.37,46.89,6.01
51047000302,51,047,000302,399.16,845.43,22.1,1
51047000303,51,047,000303,345.51,577.52,19.4,1.07
51047000304,51,047,000304,232.51,204.5,10.6,0.93
51047000401,51,047,000401,469.28,786.16,16.37,0.22
51047000402,51,047,000402,741.38,1176.79,29.35,2.79
51047000501,51,047,000501,671.89,1149.22,35.54,1.38
51047000502,51,047,000502,513.29,1054.45,26.08,1
51047000601,51,047,000601,129.13,192.99,4.51,0.09
51047000602,51,047,000602,802.37,1016.09,35.08,4.01
51047000603,51,047,000603,293.92,257.93,11,1
51047000702,51,047,000702,584.78,1032.03,19.39,8.59
51047000703,51,047,000703,285.53,549.74,19.23,3.25
51047000704,51,047,000704,126.98,292.78,7.09,0.98
51049000101,51,049,000101,386.64,516.84,12.92,0
51049000201,51,049,000201,294,569,21,0
51049000301,51,049,000301,481.67,311.85,9.91,0.99
51049000401,51,049,000401,371.09,541.71,19.17,0
51049000501,51,049,000501,351.97,371.72,11.96,0.06
51051000101,51,051,000101,326.18,613.34,4,2
51051000201,51,051,000201,95.46,182.07,0,0
51051000202,51,051,000202,36.4,90.29,1.02,0.02
51051000203,51,051,000203,167.35,270.57,4,0
51051000301,51,051,000301,19.01,157.03,1,0
51051000302,51,051,000302,54.89,228.47,0.04,0
