GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,G20USSDWAR,G20USSRGAD,G20USSOWRI
51015000103,51,015,000103,403,996,25,1,479,951,0
51015000201,51,015,000201,550,1819,16,0,655,1717,0
51015000202,51,015,000202,348,1056,7,1,372,1027,1
51015000203,51,015,000203,821,1773,30,4,832,1750,0
51015000301,51,015,000301,599,1676,33,3,678,1639,0
51015000302,51,015,000302,250,805,9,5,305,776,0
51015000303,51,015,000303,256,1386,21,1,371,1335,0
51015000304,51,015,000304,226,965,10,0,285,934,0
51015000401,51,015,000401,249,1002,18,0,304,973,0
51015000402,51,015,000402,258,1045,15,0,346,1003,0
51015000403,51,015,000403,305,1062,5,0,415,1000,0
51015000404,51,015,000404,173,479,0,0,171,469,0
51015000405,51,015,000405,362,908,22,4,433,865,0
51015000501,51,015,000501,408,1586,30,2,452,1565,0
51015000502,51,015,000502,272,964,11,0,330,930,0
51015000503,51,015,000503,364,1114,18,2,399,1086,0
51015000504,51,015,000504,482,1586,38,0,633,1514,0
51015000601,51,015,000601,430,1412,18,0,504,1365,0
51015000602,51,015,000602,685,1970,35,8,746,1928,0
51015000603,51,015,000603,594,1412,20,1,585,1418,0
51015000801,51,015,000801,443,1248,20,0,490,1211,0
51015000802,51,015,000802,646,1516,41,7,702,1487,0
51015000803,51,015,000803,776,1168,38,0,815,1125,0
51017000101,51,017,000101,100,283,0,1,106,265,0
51017000102,51,017,000102,22,87,0,0,33,78,0
51017000201,51,017,000201,144,221,2,0,162,191,0
51017000301,51,017,000301,53,338,1,1,75,318,1
51017000302,51,017,000302,10,112,0,0,16,105,0
51017000401,51,017,000401,149,429,1,0,171,393,0
51017000501,51,017,000501,152,354,3,0,167,335,0
51019000101,51,019,000101,514,1814,34,5,709,1669,0
51019000102,51,019,000102,411,915,14,0,470,864,0
51019000103,51,019,000103,331,1321,27,1,436,1242,1
51019000104,51,019,000104,431,1209,21,1,534,1129,2
51019000201,51,019,000201,211,575,16,0,232,563,0
51019000202,51,019,000202,304,933,14,0,342,894,0
51019000203,51,019,000203,498,1537,21,4,568,1471,0
51019000204,51,019,000204,222,595,1,2,228,568,1
51019000205,51,019,000205,462,1393,6,1,497,1354,0
51019000301,51,019,000301,351,1261,32,5,365,1274,0
51019000302,51,019,000302,214,776,6,2,276,726,0
51019000303,51,019,000303,209,851,6,0,253,812,0
51019000304,51,019,000304,205,699,28,10,247,699,0
51019000305,51,019,000305,215,739,4,0,275,688,0
51019000306,51,019,000306,181,842,12,0,217,833,0
51019000401,51,019,000401,556,1567,37,7,598,1545,2
51019000402,51,019,000402,415,842,37,13,454,842,1
51019000403,51,019,000403,769,1849,44,18,784,1846,1
51019000404,51,019,000404,405,1445,14,11,428,1426,1
51019000502,51,019,000502,199,639,7,0,242,612,0
51019000503,51,019,000503,169,711,9,0,252,674,0
51019000504,51,019,000504,200,934,12,4,275,901,0
51019000505,51,019,000505,903,1454,41,10,880,1462,0
51019000506,51,019,000506,843,2231,55,16,879,2235,1
51019000601,51,019,000601,463,1320,3,3,597,1221,0
51019000602,51,019,000602,358,1541,19,0,469,1466,1
51019000603,51,019,000603,58,365,4,0,98,341,0
51019000604,51,019,000604,518,1164,28,0,583,1115,0
51019000701,51,019,000701,403,1599,19,3,407,1589,0
51019000702,51,019,000702,195,695,2,4,240,658,0
51019000703,51,019,000703,183,674,5,0,218,645,0
51019000704,51,019,000704,760,1019,37,3,775,971,4
51021000101,51,021,000101,68,343,2,0,82,324,0
51021000102,51,021,000102,83,409,5,0,116,365,0
51021000201,51,021,000201,35,148,0,0,55,122,0
51021000202,51,021,000202,98,583,10,0,160,530,0
51021000301,51,021,000301,60,460,3,2,108,421,0
51021000302,51,021,000302,44,214,0,0,49,200,0
51021000401,51,021,000401,131,759,1,0,152,710,0
51023000101,51,023,000101,620,1158,25,2,693,1068,0
51023000102,51,023,000102,486,1631,26,16,599,1535,1
51023000201,51,023,000201,676,1767,42,0,753,1659,0
51023000202,51,023,000202,721,1652,24,0,777,1546,0
51023000301,51,023,000301,667,1738,16,0,805,1602,0
51023000302,51,023,000302,611,1518,25,0,654,1450,0
51023000403,51,023,000403,382,1344,9,0,507,1223,0
51023000406,51,023,000406,401,1629,20,2,455,1574,0
51023000501,51,023,000501,450,1204,12,8,522,1128,1
51023000502,51,023,000502,658,1473,23,4,713,1388,0
51025000101,51,025,000101,283,244,0,0,303,217,0
51025000102,51,025,000102,274,410,0,0,293,397,0
51025000103,51,025,000103,347,515,0,0,356,505,0
51025000201,51,025,000201,173,127,2,0,176,132,0
51025000202,51,025,000202,525,157,0,0,542,139,0
51025000203,51,025,000203,496,208,2,0,490,206,0
51025000301,51,025,000301,135,98,1,0,149,94,0
51025000302,51,025,000302,328,452,0,0,354,419,0
51025000303,51,025,000303,197,202,0,0,217,186,0
51025000304,51,025,000304,240,232,1,0,266,220,0
51025000401,51,025,000401,632,395,1,0,653,383,0
51025000402,51,025,000402,302,115,0,0,298,112,0
51025000501,51,025,000501,629,167,0,0,625,153,0
51027000102,51,027,000102,59,467,1,0,97,415,0
51027000103,51,027,000103,109,1037,0,0,218,912,1
51027000201,51,027,000201,53,135,0,1,55,124,0
51027000202,51,027,000202,77,547,0,0,158,458,0
51027000203,51,027,000203,88,604,1,0,142,534,0
51027000301,51,027,000301,99,665,0,0,174,567,1
51027000302,51,027,000302,63,471,2,0,127,407,0
51027000403,51,027,000403,105,633,7,0,202,550,0
51027000404,51,027,000404,19,62,0,0,26,57,0
51027000501,51,027,000501,115,542,0,0,188,461,0
51027000502,51,027,000502,93,159,0,0,114,128,0
51027000503,51,027,000503,110,462,0,0,144,404,0
51027000601,51,027,000601,82,421,0,0,159,338,0
51027000602,51,027,000602,114,545,0,0,182,477,0
51027000603,51,027,000603,150,352,0,0,199,281,0
51027000701,51,027,000701,140,704,1,0,193,634,0
51027000702,51,027,000702,93,539,0,0,131,482,0
51029000101,51,029,000101,600,625,7,0,635,585,0
51029000102,51,029,000102,165,280,2,2,176,271,0
51029000201,51,029,000201,304,300,2,0,298,299,0
51029000301,51,029,000301,361,545,5,0,381,536,0
51029000302,51,029,000302,211,449,5,0,237,433,0
51029000401,51,029,000401,398,591,8,0,441,567,0
51029000501,51,029,000501,208,378,4,0,220,368,0
51029000502,51,029,000502,297,469,12,0,325,454,0
51029000601,51,029,000601,595,526,3,2,608,495,0
51029000701,51,029,000701,312,358,6,0,309,363,0
51031000101,51,031,000101,657,1829,48,11,747,1782,2
51031000102,51,031,000102,736,2042,50,5,842,1971,1
51031000201,51,031,000201,647,1380,49,0,699,1356,1
51031000202,51,031,000202,498,1832,47,4,596,1787,0
51031000301,51,031,000301,343,828,11,1,394,774,1
51031000302,51,031,000302,287,759,8,0,366,687,0
51031000303,51,031,000303,840,1156,19,0,914,1063,0
51031000401,51,031,000401,259,1343,30,1,377,1269,0
51031000402,51,031,000402,476,1784,45,5,575,1743,1
51031000501,51,031,000501,600,1581,43,13,654,1545,1
51031000502,51,031,000502,436,1063,23,0,477,1031,0
51031000601,51,031,000601,544,1300,11,2,625,1226,1
51031000602,51,031,000602,459,1602,28,5,543,1560,0
51031000701,51,031,000701,639,1045,6,0,691,964,0
51031000702,51,031,000702,489,1197,9,0,573,1108,0
51031000703,51,031,000703,273,731,10,0,325,686,0
51033000101,51,033,000101,552,915,17,0,623,872,0
51033000102,51,033,000102,505,806,7,0,554,766,0
51033000201,51,033,000201,687,593,25,6,712,580,0
51033000202,51,033,000202,680,796,43,2,739,786,0
51033000301,51,033,000301,367,425,2,0,457,378,0
51033000302,51,033,000302,734,1085,12,0,789,1030,0
51033000401,51,033,000401,1218,801,24,2,1199,801,0
51033000402,51,033,000402,348,269,1,0,363,259,0
51033000501,51,033,000501,742,490,8,1,742,461,1
51033000502,51,033,000502,507,681,1,0,515,648,0
51033000601,51,033,000601,783,881,42,4,847,864,0
51033000602,51,033,000602,534,676,33,0,580,661,1
51035000101,51,035,000101,171,610,0,0,180,570,0
51035000102,51,035,000102,138,809,1,0,163,767,0
51035000103,51,035,000103,153,521,0,0,145,497,0
51035000105,51,035,000105,111,577,3,0,123,547,0
51035000201,51,035,000201,246,1101,3,0,384,976,0
51035000202,51,035,000202,136,595,4,0,180,546,0
51035000203,51,035,000203,206,696,1,0,260,632,0
51035000301,51,035,000301,309,1451,13,0,395,1320,0
51035000302,51,035,000302,117,663,3,0,168,597,1
51035000303,51,035,000303,57,360,3,1,92,314,0
51035000401,51,035,000401,302,1275,12,0,363,1168,0
51035000402,51,035,000402,199,987,3,0,275,923,0
51035000406,51,035,000406,67,193,3,0,93,170,0
51035000501,51,035,000501,96,478,1,0,125,437,0
51035000502,51,035,000502,205,1090,3,0,288,997,0
51035000503,51,035,000503,142,498,1,0,163,463,0
51035000504,51,035,000504,136,754,1,0,179,692,0
51036000101,51,036,000101,783,734,21,0,815,719,0
51036000201,51,036,000201,830,455,10,0,875,425,0
51036000301,51,036,000301,876,465,6,0,869,453,0
51037000101,51,037,000101,290,460,2,0,306,448,0
51037000201,51,037,000201,470,622,0,0,513,586,0
51037000302,51,037,000302,306,518,0,0,323,505,0
51037000401,51,037,000401,396,651,5,0,436,625,0
51037000501,51,037,000501,350,484,7,0,394,441,0
51037000602,51,037,000602,247,702,0,0,287,672,0
51037000702,51,037,000702,253,362,0,0,256,348,0
51041000101,51,041,000101,1372,1061,17,2,1413,1024,0
51041000102,51,041,000102,2033,1567,38,3,2053,1519,0
51041000103,51,041,000103,2003,2488,61,4,2017,2480,0
51041000104,51,041,000104,1361,1997,46,10,1424,1955,1
51041000105,51,041,000105,2129,947,17,1,2140,894,0
51041000106,51,041,000106,2059,1673,41,7,2076,1613,3
51041000107,51,041,000107,1965,1364,33,6,1907,1346,3
51041000108,51,041,000108,1248,1530,51,11,1338,1491,0
51041000109,51,041,000109,2229,2169,60,5,2288,2049,0
51041000110,51,041,000110,1030,1269,27,6,1021,1246,3
51041000111,51,041,000111,622,831,34,0,600,844,0
51041000112,51,041,000112,1255,984,30,5,1229,981,2
51041000113,51,041,000113,1023,759,23,18,1043,741,2
51041000201,51,041,000201,1078,1134,31,3,1130,1098,0
51041000202,51,041,000202,2081,927,38,2,2148,862,0
51041000203,51,041,000203,513,534,15,1,535,510,0
51041000204,51,041,000204,973,883,23,8,991,877,5
51041000205,51,041,000205,1872,551,21,9,1922,500,0
51041000206,51,041,000206,2030,269,26,0,2025,250,1
51041000207,51,041,000207,1122,286,8,0,1097,276,0
51041000208,51,041,000208,1675,545,16,5,1717,494,0
51041000209,51,041,000209,1831,1643,48,5,1924,1576,1
51041000210,51,041,000210,2179,1102,54,1,2328,1017,4
51041000211,51,041,000211,737,1481,47,4,743,1515,0
51041000212,51,041,000212,867,750,13,10,879,745,0
51041000213,51,041,000213,1230,313,10,4,1238,291,4
51041000214,51,041,000214,567,60,2,0,557,41,0
51041000215,51,041,000215,992,376,6,0,942,363,0
51041000216,51,041,000216,1821,382,28,7,1807,384,0
51041000301,51,041,000301,2097,443,11,0,2013,417,0
51041000302,51,041,000302,635,857,28,8,720,832,0
51041000303,51,041,000303,1188,1444,33,3,1217,1408,1
51041000304,51,041,000304,537,1772,26,0,522,1784,0
51041000305,51,041,000305,321,896,7,0,349,869,0
51041000306,51,041,000306,880,2427,17,8,888,2405,0
51041000307,51,041,000307,2433,2548,60,4,2357,2582,1
51041000308,51,041,000308,540,393,15,0,567,381,0
51041000309,51,041,000309,801,1376,58,6,779,1411,3
51041000310,51,041,000310,1576,1642,89,11,1481,1761,0
51041000313,51,041,000313,1723,2162,35,28,1707,2185,2
51041000314,51,041,000314,263,980,16,8,299,963,3
51041000315,51,041,000315,972,1984,39,2,993,1966,0
51041000316,51,041,000316,1867,2094,56,7,1887,2097,0
51041000317,51,041,000317,1357,1727,50,18,1394,1731,0
51041000318,51,041,000318,452,764,11,8,466,747,2
51041000319,51,041,000319,1515,2256,59,8,1509,2274,3
51041000401,51,041,000401,915,1040,24,2,881,1043,0
51041000402,51,041,000402,593,497,23,5,658,479,1
51041000403,51,041,000403,1437,1433,42,10,1524,1394,5
51041000404,51,041,000404,1549,990,51,6,1585,967,0
51041000405,51,041,000405,847,805,21,3,852,807,0
51041000406,51,041,000406,1013,1103,35,6,998,1116,0
51041000407,51,041,000407,602,798,23,7,674,784,0
51041000408,51,041,000408,1772,1027,59,2,1834,992,0
51041000409,51,041,000409,1554,808,28,5,1510,798,2
51041000410,51,041,000410,1045,833,45,7,1089,822,2
51041000411,51,041,000411,1479,1456,49,16,1472,1462,0
51041000412,51,041,000412,1278,1356,42,1,1356,1293,4
51041000413,51,041,000413,1754,1159,44,4,1746,1161,0
51041000414,51,041,000414,2328,2163,78,7,2422,2120,4
51041000415,51,041,000415,1387,1196,32,17,1337,1215,5
51041000416,51,041,000416,1076,745,31,1,1028,779,1
51041000417,51,041,000417,820,774,21,5,792,788,2
51041000501,51,041,000501,1817,1116,55,18,1866,1104,5
51041000502,51,041,000502,1010,686,20,0,960,708,1
51041000503,51,041,000503,1078,1149,28,2,1122,1125,0
51041000504,51,041,000504,1422,1814,34,18,1282,1895,1
51041000505,51,041,000505,1332,1087,40,12,1274,1146,1
51041000506,51,041,000506,2194,1247,82,8,2152,1278,8
51041000507,51,041,000507,1501,2203,62,31,1414,2300,0
51041000508,51,041,000508,1348,1068,42,11,1398,1058,2
51041000509,51,041,000509,1576,850,24,2,1606,816,0
51041000510,51,041,000510,1106,1090,58,9,1124,1124,0
51041000511,51,041,000511,1110,1270,49,5,1080,1325,0
51041000513,51,041,000513,1429,439,9,5,1433,421,0
51041000514,51,041,000514,1403,1453,48,8,1394,1509,1
51041000515,51,041,000515,2425,548,33,2,2471,500,0
51041000516,51,041,000516,1160,410,13,6,1124,390,0
51041000517,51,041,000517,1160,1238,37,15,1099,1307,0
51041000518,51,041,000518,1180,1560,38,12,1161,1595,4
51043000101,51,043,000101,487,1033,26,0,543,1028,0
51043000201,51,043,000201,773,695,23,13,808,689,2
51043000301,51,043,000301,547,781,22,2,539,802,0
51043000302,51,043,000302,346,327,13,10,336,345,0
51043000401,51,043,000401,949,1203,45,1,1036,1188,0
51043000501,51,043,000501,489,732,6,4,469,739,0
51043000502,51,043,000502,347,427,16,2,343,434,0
51045000101,51,045,000101,89,484,4,0,134,449,0
51045000201,51,045,000201,118,592,8,1,146,560,0
51045000301,51,045,000301,100,358,5,0,129,329,1
51045000303,51,045,000303,83,234,0,0,94,213,0
51045000401,51,045,000401,49,195,7,0,73,182,0
51045000402,51,045,000402,19,49,0,0,22,43,0
51045000403,51,045,000403,49,241,0,0,68,224,0
51045000501,51,045,000501,70,390,0,0,86,373,0
51047000101,51,047,000101,1610,1333,36,7,1585,1292,0
51047000201,51,047,000201,1618,1023,24,5,1655,963,0
51047000302,51,047,000302,471,1284,33,6,549,1253,0
51047000303,51,047,000303,530,1012,17,0,591,970,0
51047000304,51,047,000304,390,351,15,2,403,343,0
51047000401,51,047,000401,565,1258,30,1,645,1213,0
51047000402,51,047,000402,734,1636,37,1,770,1611,0
51047000501,51,047,000501,890,1703,36,11,909,1696,0
51047000502,51,047,000502,708,1492,37,3,757,1453,1
51047000601,51,047,000601,276,313,2,1,258,313,0
51047000602,51,047,000602,700,1189,40,5,781,1157,0
51047000603,51,047,000603,474,382,5,0,478,356,0
51047000702,51,047,000702,833,1588,23,0,874,1553,0
51047000703,51,047,000703,534,923,18,0,561,917,0
51047000704,51,047,000704,306,609,7,1,344,576,2
51049000101,51,049,000101,525,824,10,0,541,825,0
51049000201,51,049,000201,339,662,10,0,354,650,0
51049000301,51,049,000301,449,353,2,0,467,339,0
51049000401,51,049,000401,434,708,6,0,451,687,0
51049000501,51,049,000501,513,517,1,0,536,488,0
51051000101,51,051,000101,180,805,0,0,259,734,0
51051000201,51,051,000201,103,474,2,0,170,407,0
51051000202,51,051,000202,44,216,0,0,84,186,0
51051000203,51,051,000203,173,541,1,0,223,491,0
51051000301,51,051,000301,39,320,0,0,58,307,0
51051000302,51,051,000302,70,570,0,7,90,548,1
51051000303,51,051,000303,134,579,3,0,179,529,0
51051000401,51,051,000401,479,1279,7,0,652,1069,0
51051000501,51,051,000501,85,174,1,0,97,152,0
51051000502,51,051,000502,171,752,8,0,219,696,0
51053000101,51,053,000101,155,680,4,0,159,668,0
51053000102,51,053,000102,209,720,2,0,246,696,0
51053000103,51,053,000103,191,1206,11,11,243,1178,0
51053000201,51,053,000201,587,385,8,2,580,372,0
51053000202,51,053,000202,748,1202,8,0,739,1194,0
51053000301,51,053,000301,284,606,5,0,295,599,0
51053000302,51,053,000302,355,739,1,1,428,684,1
51053000303,51,053,000303,701,633,1,0,711,591,0
51053000401,51,053,000401,403,803,9,0,450,759,0
51053000402,51,053,000402,467,593,3,0,502,570,0
51053000403,51,053,000403,375,346,8,0,362,349,0
51053000501,51,053,000501,206,88,2,0,214,78,0
51053000502,51,053,000502,1528,693,28,0,1513,672,0
51057000101,51,057,000101,715,520,18,2,777,490,0
51057000201,51,057,000201,1013,466,7,0,984,466,0
51057000301,51,057,000301,681,1215,11,0,743,1158,0
51057000401,51,057,000401,640,890,4,0,699,825,0
51059000104,51,059,000104,1500,736,32,18,1449,811,0
51059000105,51,059,000105,3115,1304,55,26,3035,1397,6
51059000106,51,059,000106,3183,996,34,16,3359,907,4
51059000108,51,059,000108,1835,799,48,17,1842,850,5
51059000109,51,059,000109,1045,379,11,12,1018,400,0
51059000110,51,059,000110,2772,1326,29,30,2816,1333,7
51059000113,51,059,000113,2314,1102,42,48,2301,1185,0
51059000114,51,059,000114,1519,628,26,15,1466,675,0
51059000115,51,059,000115,1750,857,29,21,1687,924,2
51059000116,51,059,000116,1595,642,25,20,1547,713,1
51059000117,51,059,000117,1398,783,29,37,1437,821,1
51059000118,51,059,000118,2938,1008,56,15,2937,1031,0
51059000119,51,059,000119,2649,1197,54,23,2611,1288,5
51059000120,51,059,000120,1630,978,42,28,1510,1104,2
51059000121,51,059,000121,1675,766,30,16,1719,779,5
51059000123,51,059,000123,2079,1060,47,16,2042,1141,0
51059000125,51,059,000125,1901,817,40,23,1819,900,3
51059000126,51,059,000126,1957,654,26,11,1959,663,0
51059000127,51,059,000127,3313,1072,52,35,3182,1177,8
51059000128,51,059,000128,1945,709,32,25,1986,722,2
51059000129,51,059,000129,1406,576,23,22,1409,615,0
51059000130,51,059,000130,1865,734,40,22,1834,799,1
51059000131,51,059,000131,1809,889,61,8,1820,934,5
51059000132,51,059,000132,1412,585,34,6,1490,571,1
51059000133,51,059,000133,870,226,26,14,857,264,2
51059000134,51,059,000134,1210,105,26,18,1170,134,0
51059000201,51,059,000201,2205,752,53,15,2055,861,9
51059000202,51,059,000202,1536,896,43,18,1473,985,2
51059000203,51,059,000203,2452,1082,40,7,2393,1155,1
51059000204,51,059,000204,674,216,10,0,653,221,2
51059000208,51,059,000208,2475,711,47,13,2428,765,0
51059000209,51,059,000209,2881,608,47,25,2830,650,3
51059000213,51,059,000213,1997,952,61,30,1970,1041,1
51059000214,51,059,000214,1388,727,33,38,1384,800,0
51059000216,51,059,000216,913,389,11,11,910,403,0
51059000218,51,059,000218,1035,453,25,7,994,499,4
51059000219,51,059,000219,1848,817,44,22,1850,862,0
51059000220,51,059,000220,3417,948,55,34,3378,1000,5
51059000221,51,059,000221,1334,522,20,11,1293,573,0
51059000222,51,059,000222,1589,331,40,10,1587,353,0
51059000223,51,059,000223,2041,644,62,35,2063,696,0
51059000224,51,059,000224,2515,900,65,21,2546,949,1
51059000225,51,059,000225,2616,661,82,8,2576,731,2
51059000226,51,059,000226,1691,847,32,37,1606,962,0
51059000227,51,059,000227,1094,450,22,7,1059,492,1
51059000229,51,059,000229,2966,1445,73,28,2844,1583,5
51059000233,51,059,000233,1659,914,35,12,1553,1007,4
51059000234,51,059,000234,1478,539,28,15,1384,623,1
51059000235,51,059,000235,1816,599,26,13,1768,624,6
51059000236,51,059,000236,1172,348,37,6,1125,411,0
