GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0900303-062,09,003,03-062,768,149,9,7,0,693,174,2,74,1,0,729,162,76,167,153,7,12,704,173,11,0,733,17,7,9
0900303-063,09,003,03-063,1105,109,7,11,0,1075,134,5,55,0,0,1041,141,1,1070,124,8,25,1056,142,11,0,1055,125,12,15
0900303-064,09,003,03-064,7.2,0.79,0.06,0.03,0,7.15,1.09,0.02,0.16,0.01,0,6.18,0.85,0.14,6.52,0.8,0.05,0.07,6.4,0.76,0.07,0,6.19,0.77,0.04,0.08
0900303-065,09,003,03-065,766,17,2,1,0,781,34,2,14,0,0,710,35,2,745,26,2,3,756,24,0,0,707,30,1,3
0900303-066,09,003,03-066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0900303-067,09,003,03-067,1411,32,3,5,0,1428,56,4,16,0,0,868,29,4,1401,33,7,5,1411,20,5,0,866,24,3,6
0900303-068,09,003,03-068,1241,44,3,3,0,1264,69,2,21,1,0,1162,72,9,1214,49,5,11,1220,47,5,0,1163,53,6,3
0900303-069,09,003,03-069,454,24,2,5,0,451,33,1,11,1,0,422,42,10,445,32,4,7,437,36,4,0,414,34,7,7
0900303-070,09,003,03-070,464.37,17.86,1.98,1.98,0,483.22,26.79,0.99,14.88,0,0,442.54,30.76,5.95,464.37,19.84,1.98,2.98,453.45,23.81,4.96,0,442.54,26.79,4.96,2.98
0900303-071,09,003,03-071,245.72,22.41,4.48,2.24,0,238.99,33.61,2.24,10.46,0.75,0,216.59,31.37,9.71,225.55,28.38,2.24,4.48,218.83,32.86,2.24,0,223.31,24.65,2.24,3.73
0900303-072,09,003,03-072,83.28,7.59,1.52,0.76,0,81.01,11.39,0.76,3.54,0.25,0,73.41,10.63,3.29,76.45,9.62,0.76,1.52,74.17,11.14,0.76,0,75.69,8.35,0.76,1.27
0900303-073,09,003,03-073,948.26,63.89,7.98,1,0,912.35,84.86,3.99,27.94,0,0,760.68,76.88,7.99,800.61,63.9,3.99,9.98,793.62,62.9,8.98,0,771.65,67.89,8.98,4
0900303-074,09,003,03-074,661.08,85.37,4.96,3.97,0,666.05,119.11,1.99,12.9,0.99,0,584.65,89.34,16.87,617.41,86.36,4.96,5.96,603.51,81.39,5.96,0,582.67,81.39,2.98,8.93
0900303-075,09,003,03-075,1139.46,95.95,2,7,0,1143.46,133.94,0,23.99,1,0,1083.49,127.94,10,1137.46,115.95,7,11.99,1110.48,100.95,10,0,1071.49,111.95,6,12.99
0900303-076,09,003,03-076,941,158,6,6,0,928,193,4,41,2,0,835,190,13,901,158,2,12,854,170,11,0,873,155,5,6
0900303-077,09,003,03-077,1090,149,4,5,0,1084,176,3,31,1,0,1025,163,15,1078,142,0,0,1047,153,149,0,1040,146,8,5
0900303-078,09,003,03-078,830,72,2,3,0,818,101,3,13,1,0,794,149,9,825,82,3,7,791,88,1,0,805,73,4,6
0900303-079,09,003,03-079,871,142,3,4,0,866,181,4,26,3,0,837,157,7,886,141,2,7,859,132,10,0,849,134,7,2
0900303-080,09,003,03-080,815.96,82.29,4.02,7.03,0,814,124.34,0.02,7.14,2,0,700.78,98.34,0.06,745.94,89.28,2.01,9.04,717.81,91.31,0.04,0,724.81,88.29,5.01,6.05
0900303-081,09,003,03-081,681,66,8,2,0,703,80,4,6,2,0,620,79,6,656,78,4,2,636,72,4,0,622,70,6,4
0900303-082,09,003,03-082,863.04,84.71,6.98,7.97,0,875,100.66,4.98,39.86,1,0,810.22,98.66,16.94,857.06,81.72,1.99,12.96,820.19,90.69,11.96,0,821.19,84.71,2.99,13.95
0900303-083,09,003,03-083,673.63,115.14,7.02,5.02,0,630.78,134.21,2.01,54.12,0,0,629.46,142.24,12.05,652.63,131.16,8.02,6.02,614.55,154.19,15.04,0,640.46,126.21,7.04,13.02
0900303-084,09,003,03-084,301,8,0,1,0,313,16,0,3,0,0,287,11,2,306,7,0,2,296,8,1,0,285,8,1,1
0900303-085,09,003,03-085,1345,38,4,4,0,1360,59,4,20,1,0,1273,67,5,1302,50,1,5,1335,34,0,0,1282,48,1,6
0900303-086,09,003,03-086,362,679,7,8,0,290,730,6,59,0,0,304,733,16,348,680,16,11,355,674,15,0,340,678,12,11
0900303-087,09,003,03-087,1077.92,515.96,14,13,0,959.93,575.96,11,81.99,3,0,995.93,574.96,34,1043.93,511.96,22,24,1047.93,503.96,31,0,1023.93,521.96,23,16
0900303-088,09,003,03-088,2269.7,995.55,28.42,21.41,0.02,1956.18,1145.36,13.33,223.99,3.04,0,2034.65,1203.11,41.78,2159.29,1039.29,24.54,56.42,2158.1,1053.05,41.84,0,2131.56,1057.2,35.65,27.58
0900303-089,09,003,03-089,1615.39,1117.94,20.82,19.75,0.98,1392.25,1208.89,15.81,193.34,1.99,0,1463.22,1246.42,37.49,1589.23,1109.3,25.76,22.86,1580.54,1099.55,40.52,0,1554.99,1106.21,31.68,27.66
0900303-090,09,003,03-090,2127.08,910.04,26,19,0,1912.07,1020.04,16,171.01,7,0,1970.07,1030.04,41,2061.07,912.04,27,45,2062.07,920.04,41,0,2048.07,907.04,27,35
0900303-091,09,003,03-091,904.32,448.46,16.74,10.9,0,789.87,501.02,10.12,92.26,2.34,0,820.63,520.09,18.69,865.4,455.08,20.63,19.46,872.79,455.86,25.3,0,866.95,442.62,22.97,16.35
0900303-092,09,003,03-092,1246,909,9,8,0,1011,975,8,196,1,0,1115,1010,22,1200,916,14,22,1171,943,28,0,1182,927,17,14
0900303-093,09,003,03-093,1458.24,950.51,28.83,5.98,0.99,1243.47,1044,18.9,166.04,1,0,1303.11,1071.83,40.77,1392.6,962.44,28.84,28.85,1377.71,983.3,36.81,0,1377.68,959.46,36.8,21.88
0900303-094,09,003,03-094,1476.76,569.49,18.17,15.02,0.01,1339.53,651,17.1,98.96,5,0,1357.89,662.17,33.23,1415.4,574.56,23.16,32.15,1430.29,564.7,45.19,0,1401.32,572.54,32.2,19.12
0900303-095,09,003,03-095,1405.58,697.04,26.02,16.94,0,1227.69,778.73,15.73,143.4,3.63,0,1275.49,808.38,29.04,1345.08,707.33,32.07,30.25,1356.57,708.54,39.33,0,1347.5,687.97,35.7,25.41
0900303-096,09,003,03-096,1652,1488,21,9,0,1291,1715,18,171,3,0,1367,1724,35,1525,1526,30,27,1460,1600,44,0,1483,1572,35,13
0900303-097,09,003,03-097,1050,359,4,10,0,945,424,10,75,2,0,950,399,21,1001,370,7,21,997,369,22,0,1002,362,8,18
0900303-098,09,003,03-098,821,262,8,7,0,745,346,5,41,0,1,680,284,20,791,265,6,17,793,265,23,0,770,272,15,18
0900303-099,09,003,03-099,798,232,5,4,0,742,281,6,35,1,2,617,230,9,756,237,7,13,774,238,9,0,745,244,6,11
0900303-100,09,003,03-100,269,86,0,1,0,234,115,2,13,0,0,227,97,2,250,95,2,0,254,91,2,0,258,90,2,0
0900303-101,09,003,03-101,341,74,5,4,0,328,94,0,21,1,0,291,82,7,329,77,4,6,337,75,5,0,329,78,1,4
0900303-102,09,003,03-102,74,23,0,1,0,73,28,0,7,0,1,54,27,1,69,22,1,1,69,19,1,0,61,21,0,1
0900303-103,09,003,03-103,131,10,1,0,0,131,17,0,1,1,0,90,9,0,129,11,0,0,124,10,2,0,123,12,0,1
0900303-104,09,003,03-104,456,135,5,1,0,420,171,3,15,0,0,407,141,12,437,138,3,9,445,133,7,0,436,138,5,4
0900303-105,09,003,03-105,735,152,7,3,0,709,203,1,21,2,0,640,151,12,703,161,7,11,698,164,9,0,696,159,4,9
0900303-106,09,003,03-106,678,134,6,8,0,636,183,3,18,1,0,606,168,10,646,148,7,10,650,155,10,0,640,152,7,10
0900303-107,09,003,03-107,749,245,4,4,0,697,305,7,30,6,0,651,267,9,708,250,10,13,721,238,12,0,705,246,10,10
0900303-108,09,003,03-108,546,193,8,3,0,493,230,3,39,1,1,475,223,9,512,203,8,12,501,215,10,1,513,195,10,10
0900303-109,09,003,03-109,956.82,464.31,11.04,10.04,0,805.83,593.78,9.04,82.65,4,2,770.21,490.78,23.07,896.41,474.61,12.11,20.03,885.25,474.54,26.11,2,886.4,468.35,15.14,19.03
0900303-110,09,003,03-110,1322.57,585.44,20.48,0.86,0,1158.73,744.14,7.68,82.78,0.85,0.85,1076.85,613.62,25.6,1259.42,608.43,17.92,17.06,1252.58,612.75,26.45,0.85,1238.94,612.74,19.63,13.65
0900303-111,09,003,03-111,227.76,100.8,3.53,0.15,0,199.55,128.13,1.32,14.25,0.15,0.15,185.44,105.65,4.41,216.89,104.77,3.09,2.94,215.71,105.5,4.56,0.15,213.36,105.5,3.38,2.35
0900303-112,09,003,03-112,666,267,8,3,0,608,346,6,29,0,0,589,271,13,645,261,7,11,622,273,22,0,623,261,10,11
0900303-113,09,003,03-113,1165,352,6,3,0,1058,476,5,47,1,0,985,399,8,1115,357,8,9,1084,372,21,0,1083,373,9,11
0900303-114,09,003,03-114,879,679,16,7,0,749,759,7,93,5,0,721,644,30,841,689,11,14,831,695,24,2,832,679,15,18
0900303-115,09,003,03-115,1214,798,12,12,0,1007,897,11,153,2,0,1033,928,34,1127,829,18,25,1152,812,29,0,1136,804,26,22
0900303-116,09,003,03-116,1734,1080,17,9,1,1466,1227,9,176,2,0,1511,1235,28,1670,1091,18,24,1651,1103,31,0,1665,1083,24,19
0900303-117,09,003,03-117,752,515,11,8,0,612,613,8,69,0,0,649,580,13,719,525,11,12,716,526,10,0,706,528,14,5
0900303-118,09,003,03-118,930,598,5,8,0,753,696,4,107,0,0,789,682,17,861,622,13,13,858,633,12,0,867,622,9,10
0900303-119,09,003,03-119,928,641,5,11,0,741,758,6,101,1,0,801,727,7,878,657,9,8,866,660,13,0,864,657,4,7
0900303-120,09,003,03-120,976,688,13,9,0,754,823,14,120,2,0,791,795,24,899,717,14,16,892,721,17,0,897,706,13,17
0900303-121,09,003,03-121,930,544,15,4,0,790,635,7,86,1,0,813,627,12,884,556,15,13,852,581,18,0,889,536,19,11
0900303-122,09,003,03-122,554,465,4,1,0,414,525,2,85,1,0,463,508,12,510,479,7,9,496,477,13,0,499,474,13,10
0900303-123,09,003,03-123,1061,1026,12,9,0,800,1223,12,124,2,0,869,1195,28,967,1077,23,20,987,1042,29,0,945,1072,33,21
0900303-124,09,003,03-124,1056.97,917.22,16.07,14.07,0,828.5,1084.08,12.07,138.86,1.01,0,886.87,1082.17,33.15,977.41,978.55,19.09,23.15,775.46,962.51,33.13,0,962.44,975.47,20.11,16.09
0900303-125,09,003,03-125,658,710,11,9,0,509,810,2,100,3,0,532,823,18,620,722,12,12,613,727,18,0,588,751,16,7
0900303-126,09,003,03-126,892.03,778.78,10.93,10.93,0,672.5,907.92,10.93,129.14,1.99,0,727.13,920.83,21.85,807.59,828.45,12.91,22.85,814.54,822.49,19.87,0,812.56,816.53,16.89,13.91
0900303-127,09,003,03-127,2005,1682,15,9,0,1578,1934,14,220,6,0,1677,1962,33,1898,1720,19,31,1849,1757,39,0,1819,1772,27,25
0900303-128,09,003,03-128,1609.36,992.45,18.34,16.41,0,1299.46,1166.23,16.41,175.71,2.9,0,1397.93,1159.47,39.58,1519.57,1013.69,27.03,24.14,1482.89,1045.55,37.65,0,1477.09,1036.86,31.86,23.17
0900303-129,09,003,03-129,1116.06,885,15.39,11.35,0,872.5,1018.68,7.35,142.72,3.06,0,944.58,1035.54,23.84,1059.16,900.45,12.57,26.51,1036.38,915.13,24.8,0,1027.26,914.94,21.67,18.49
0900303-130,09,003,03-130,2239.71,1569.16,18.95,14,0,1744.09,1764.83,7.05,350.84,1.04,0,1912.14,1816.58,33.07,2083.4,1657.67,28.85,29.83,1993.16,1735.92,39.89,0,2014.26,1698,34.85,27.86
0900303-131,09,003,03-131,2122.19,1373.2,16.31,14.34,0,1627.67,1554.77,10.54,357.59,3.79,0,1807.63,1591.65,39.73,1936.89,1500.1,19.96,19.24,1895.92,1529.78,34.13,0,1924.55,1496.16,25.81,19.13
0900303-132,09,003,03-132,1921.2,1423.78,24.08,18.11,0,1477.48,1612.24,15,298.96,4.01,0,1640.11,1640.12,31.62,1725.32,1584.26,19.39,29.18,1678.27,1624.06,30.61,0,1716.36,1570.98,33.3,24.26
0900303-133,09,003,03-133,1367.63,775.49,13.04,14.77,0,1102.43,903.6,7.57,172.71,0.17,0,1180.78,934.31,31.98,1278.02,830.46,20.21,22.06,1266.94,841.86,26.91,0,1267.15,830.27,18.47,19.03
0900303-134,09,003,03-134,415,335,7,4,0,340,366,6,52,0,0,376,360,8,398,323,7,11,391,333,16,0,392,336,8,6
0900303-135,09,003,03-135,1351,913,14,15,0,1055,1079,10,171,7,0,1156,1082,32,1243,980,15,23,1212,1003,34,0,1231,976,24,17
0900303-136,09,003,03-136,2315.82,1404.28,36.93,11.45,0,1868.9,1627.06,17.49,284.71,3.12,0,1997.73,1679.52,43.98,2213.49,1448.65,38.18,33.34,2131.82,1501.83,57.71,0,2138.62,1485.34,43.18,30.42
0900303-137,09,003,03-137,1197.73,788.58,12.12,9.05,0,911.97,935.59,5.07,171.08,1.02,0,997.51,962.75,24.09,1103.97,850.95,9.17,27.14,1072.79,870.09,24.21,0,1065.77,876.99,17.14,13.2
0900303-138,09,003,03-138,2039.45,1275.14,21.95,10.51,0,1665.14,1481.36,11.45,228.21,2.86,0,1778.76,1515.73,22.94,1890.55,1354.4,27.65,31.52,1851.39,1382.08,40.08,0,1846.61,1370.67,27.68,33.38
0900303-139,09,003,03-139,1264.34,1393.48,21.16,8.08,0,972.26,1613.9,12.05,120.04,4.03,0,1031.65,1551.21,29.38,1159.82,1452.53,24.18,17.21,1139.46,1465.9,37.21,0,1175.74,1428.52,30.23,17.16
0900303-140,09,003,03-140,967.9,1046.07,12.16,8.08,0,758.16,1207.39,10.08,92.75,6.03,0,799.48,1169.85,16.2,942.34,1042.3,16.16,16.17,897.19,1071.41,31.24,0,911.41,1061.17,26.21,8.14
0900303-141,09,003,03-141,1242.62,1168.71,27.02,14.47,0,991.79,1358.59,11.63,112.6,4.75,0,1038.63,1253.65,33.48,1168.98,1191.46,23.32,35.66,1159.51,1193.4,38.74,0,1179.12,1165.28,34.27,24.47
0900303-142,09,003,03-142,634.29,610.81,8,3.2,0,500.47,700.49,2.22,65.94,1.91,0,526.27,667.76,23.49,598.88,617.7,11.21,8.4,571.41,647.35,11.07,0,591.8,620.69,12.54,7.87
0900303-143,09,003,03-143,1127.69,1295.63,17.44,8.5,0,851.78,1494.9,7.72,122.54,1.03,0,914.33,1441.67,19,1046.95,1341.01,14.97,20.36,1020.77,1359.78,26.71,0,1057.4,1324.08,18.67,13.76
0900303-144,09,003,03-144,884.9,772.44,10.51,5.92,0,676.05,924.97,5.77,84.43,0.28,0,700.86,889.04,22.14,817.41,810.05,10.99,13.68,805.58,821.43,17.97,0,796.89,812.84,22.08,15.95
0900303-145,09,003,03-145,788.66,1015.93,8.39,6.18,0,568.3,1194.37,3.24,73.72,0.03,0,621.84,1115.8,13.42,718.71,1062.1,7.42,11.21,702.53,1082.11,10.53,0,710.7,1061.58,9.62,10.21
0900303-146,09,003,03-146,636.54,753.36,9.31,4.24,0,442.96,885.94,8.3,80.62,0.84,0,489.11,840.04,10.92,562.43,786.01,15.79,11.8,540.69,804.33,19.27,0,576.65,770.11,16.63,5.93
0900303-147,09,003,03-147,649.58,576.51,3.51,6.69,0,516.89,656.19,5.37,72.17,1.14,0,536.43,633.64,11.78,595.37,606.86,6.61,10.92,590.8,594.88,16.16,0,600.7,583.26,15.74,6.96
0900303-148,09,003,03-148,610.34,717.07,12.61,5.82,0,467.7,829.63,7.76,56.28,0.97,0,485.16,778.2,13.58,579.29,722.9,13.58,6.79,540.47,755.89,17.47,0,546.3,738.42,20.38,6.79
0900303-149,09,003,03-149,931.63,1007.52,18.97,11.98,0,695.98,1187.26,11.98,99.85,2,0,727.93,1138.33,21.97,856.74,1030.49,24.96,14.98,801.82,1083.41,25.96,0,855.74,1033.48,28.96,17.97
0900303-150,09,003,03-150,3223.61,3165.79,43.7,32.45,2.02,2486.43,3664.16,25.44,381.43,7.05,0,2588.91,3733.94,72.98,2951.13,3323.93,45.83,55.69,2839.73,3409.24,80.14,0,2833.68,3351.74,63.08,52.64
0900303-151,09,003,03-151,2164,708,16,22,0,1805,898,9,221,2,0,1963,861,39,2018,800,13,33,1954,852,31,0,1991,799,24,30
0900303-152,09,003,03-152,2914,871,15,15,0,2394,1055,12,374,5,0,2614,1110,39,2681,1013,24,35,2585,1097,43,0,2676,997,25,31
0900303-153,09,003,03-153,3178,781,27,16,0,2746,940,16,308,4,0,2890,999,58,3006,860,36,48,2889,959,55,0,2929,893,45,47
0900303-154,09,003,03-154,2630,669,20,23,0,2367,819,19,172,2,0,2428,797,54,2488,728,23,45,2464,748,37,0,2479,701,33,37
0900303-155,09,003,03-155,2056,811,16,14,0,1780,926,12,204,4,0,1866,942,46,1936,837,25,40,1931,855,36,0,1910,840,37,30
0900303-156,09,003,03-156,2101,1024,17,18,0,1720,1119,13,319,4,0,1898,1178,33,1983,1075,24,32,1919,1113,39,0,1982,1053,27,21
0900303-157,09,003,03-157,2183.73,904.35,20.87,11.95,0,1713.22,1054.59,12.92,356.08,1,0,1940.99,1113.23,26.87,2006.66,1013.79,27.83,28.85,1915.16,1097.33,37.78,0,1968.84,1036.65,29.83,12.95
0900303-158,09,003,03-158,2882.27,1209.65,12.13,24.05,0,2317.78,1421.41,9.08,396.92,5,0,2574.01,1452.77,44.13,2662.34,1359.21,16.17,36.15,2565.84,1442.67,24.22,0,2602.16,1370.35,21.17,29.05
0900303-159,09,003,03-159,1924,674,6,11,0,1574,847,3,199,7,0,1725,827,31,1791,757,12,23,1750,786,21,0,1778,749,12,22
0900303-160,09,003,03-160,1265,1246,8,6,0,946,1423,5,191,1,1,1075,1386,24,1173,1275,16,24,1160,1292,18,1,1179,1259,16,16
0900303-161,09,003,03-161,747.87,396.55,7.12,7.08,0,610.33,477.3,4.09,83.96,1.02,0,650.15,487.89,1.24,678.94,439.04,12.15,8.16,683.69,432.15,14.25,0,678.2,439.6,5.22,6.14
0900303-162,09,003,03-162,1092,730,8,11,0,915,819,9,131,2,0,955,838,24,1045,742,13,19,1029,756,15,0,1036,740,13,13
0900303-163,09,003,03-163,1444,1024,9,16,0,1150,1185,6,186,2,1,1247,1184,27,1357,1069,11,32,1340,1056,20,0,1361,1034,21,22
0900303-164,09,003,03-164,1259,835,9,6,0,1027,980,6,154,1,0,1097,964,1,1167,854,18,21,1172,861,23,1,1151,858,21,16
0900303-165,09,003,03-165,1680.62,860.67,20.43,20.5,0.02,1404.12,1030.52,11.35,186.77,1.11,0,1463.74,1261.83,68.87,1576.66,906.79,24.71,50.97,1576.41,913.04,46.91,0.02,1578.62,1084.31,34.69,28.78
0900303-166,09,003,03-166,1122.97,145.62,4.89,6.84,0,1061.39,194.49,3.91,36.16,0,0,1052.6,189.6,12.71,1082.89,162.24,7.82,8.8,1096.58,156.37,8.8,0,1070.19,159.31,7.82,7.82
0900303-167,09,003,03-167,2063.74,624.46,22.12,13.16,0,1874.28,725.61,14.09,134.86,2,0,1885.07,769.5,32.3,1971.79,671.85,26.19,26.21,2000.11,655.71,32.21,0,1930.48,680.78,29.19,21.19
0900303-168,09,003,03-168,1829.3,215.92,9,11,0,1753.33,259.9,8,65.97,1,0,1743.33,265.9,23.99,1776.32,229.91,10,17.99,1795.31,219.92,16.99,0,1741.33,226.91,14.99,17.99
0900303-169,09,003,03-169,905,353,8,1,0,769,428,7,78,1,0,807,429,17,847,381,9,8,867,365,10,0,839,381,11,5
0900303-170,09,003,03-170,1878.05,867.74,17.1,9.07,0,1595.32,1017.7,11.07,155.91,3.01,0,1670.78,1023.82,36.16,1761.38,894.9,28.13,40.18,1754.23,915.14,33.22,0,1729.04,909.18,32.11,31.1
0900303-171,09,003,03-171,1748.35,772.21,14.2,10.08,0,1515.15,902.5,10.05,123.49,2.01,0,1576.8,917.56,22.19,1657.52,794.82,18.09,24.2,1637.97,826.76,29.06,0,1612.58,831.92,15.11,13.15
0900303-172,09,003,03-172,812.36,519.54,11.87,6.02,0,655.55,609.65,5.07,95.54,1.02,0,699.38,616.33,14.06,752.95,549.91,9.03,14.94,764.22,557.04,11.11,0,742.12,564.39,9.04,10.04
0900303-173,09,003,03-173,1334,1120,15,19,1,1036,1332,14,153,0,0,1105,1343,28,1266,1146,19,32,1229,1170,42,0,1248,1129,27,22
0900303-174,09,003,03-174,1364.24,1179.51,13.83,13.83,0,1059.98,1371.15,15.81,158.06,3.95,0,1136.04,1359.3,33.59,1290.15,1191.36,20.75,25.68,1254.58,1216.06,31.61,0,1281.26,1179.51,21.73,23.71
0900303-175,09,003,03-175,2130.21,1594.44,27.22,18.15,2.02,1659.23,1785.81,18.2,339.15,1.05,0.02,1835.37,1855.28,41.51,1900.04,1764.59,31.22,33.46,1874.79,1787.81,43.34,0.02,1985.96,1654.37,41.27,23.34
0900505-001,09,005,05-001,901,1046,19,9,0,726,1138,12,124,2,0,785,1148,23,854,1051,20,26,817,1085,26,0,865,1034,22,15
0900505-002,09,005,05-002,867,1202,18,9,0,707,1310,9,73,3,0,721,1291,17,808,1193,16,11,773,1222,18,0,802,1193,14,15
0900505-003,09,005,05-003,507.23,470.74,4.67,4.66,0,437.15,527.8,0.97,25.13,0.01,0,449.26,517.56,9.3,468.83,493.33,5.59,5.59,468.79,492.42,3.76,0,467.81,486.89,4.68,8.36
0900505-004,09,005,05-004,377.81,179.33,1.02,5.03,0,331.23,219.81,3.02,15.2,1.01,0,339.25,206.82,9.06,371.55,179.5,2.03,6.04,343.04,209.07,5.03,0,346.35,195.58,5.04,8.06
0900505-005,09,005,05-005,324,474,3,5,0,275,520,1,28,1,0,286,505,5,329,450,8,5,303,484,6,1,331,444,8,5
0900505-006,09,005,05-006,638.47,215.81,3.98,4.97,0,561.89,263.54,2.98,32.82,0.99,0,559.9,273.49,10.94,589.74,235.7,6.96,10.94,569.85,269.51,4.97,0,591.73,232.71,5.97,6.96
0900505-007,09,005,05-007,384,501,2,6,0,328,542,4,23,0,0,332,541,9,379,495,2,6,348,526,3,0,363,503,3,6
0900505-008,09,005,05-008,289,484,7,3,0,247,505,3,41,0,0,257,510,5,297,462,8,9,277,489,7,0,293,468,5,5
0900505-009,09,005,05-009,343,463,4,6,0,254,515,4,55,0,0,278,515,12,324,463,10,7,304,485,11,0,319,470,8,6
0900505-010,09,005,05-010,831.35,1352.02,8.17,8.17,0,661.19,1460.54,5.11,92.17,2.01,0,694.61,1467.7,15.24,793.07,1353.31,11.17,15.23,759.98,1386.21,13.18,0,780.67,1364.22,11.27,8.26
0900505-011,09,005,05-011,1057,484,13,6,0,950,569,13,38,1,0,961,558,20,1015,511,7,16,972,547,21,0,998,506,18,14
0900505-012,09,005,05-012,1492.47,1263.18,13.05,10.23,0,1214.42,1450.87,12.08,125.62,1.99,0,1275.02,1448.61,20.24,1455.72,1299.8,22.12,15.12,1291.19,1425.52,24.17,0,1392.62,1288.79,32.13,16.17
0900505-013,09,005,05-013,264.45,529.79,8.59,6.82,0,198.17,579.68,2.92,40.45,0,0,210.6,589.37,9.63,251.24,543,5.73,10.6,223.46,570.72,6.64,0,240.76,544.71,7.74,11.58
0900505-014,09,005,05-014,360.26,384.53,3.89,9.73,0,278.48,439.04,4.87,41.86,0,0,309.62,429.31,11.68,363.17,376.75,7.79,6.81,318.38,422.5,9.73,0,349.53,374.8,9.73,8.76
0900505-015,09,005,05-015,6.46,10.49,0.3,0.04,0,4.74,11.86,0.02,0.91,0,0,5.15,12,0.22,5.81,11.14,0.2,0.23,4.98,12.05,0.29,0,5.42,11.48,0.13,0.24
0900505-016,09,005,05-016,497,760,7,6,0,415,810,9,49,0,0,437,815,9,488,758,9,5,460,779,8,0,486,748,8,5
0900505-017,09,005,05-017,851.97,922.42,12.02,22.95,0,691.79,993.05,10,129.59,4.98,0,749.13,1005.24,31.01,830.2,916.06,15.06,28,805.21,938.11,30.04,0,819.12,909.13,22.05,26
0900505-018,09,005,05-018,811.42,1082.99,14.1,11.17,0,635.77,1183.74,10.08,126.22,1.03,0,686.34,1210.89,18.25,783.99,1088.15,14.14,17.23,742.81,1135.33,19.26,0,774.88,1089.12,15.2,17.21
0900505-019,09,005,05-019,1147.35,1114.15,15.57,15.63,0,939,1320.28,12.61,48.93,3.88,0.96,961.47,1274.48,20.57,1026.69,1211.36,15.56,12.74,1007.19,1212.32,21.52,0.96,995.26,1215.43,19.5,11.81
0900505-020,09,005,05-020,1083.56,759.91,16.1,14.72,0,911.29,907.83,12.93,62,4.12,0,923.7,887.94,41.31,987.57,832.59,15,18.41,984.22,825.03,18.81,0,961.97,817.36,26.68,19.17
0900505-021,09,005,05-021,654.72,564.2,11.45,7.27,0,530.47,677.27,8.9,39.32,1.01,0,548.38,663.03,12.24,577.85,617.33,10.67,13.55,597.15,601.7,17.34,0,559.46,616.08,18.17,11.84
0900505-022,09,005,05-022,404,298,9,8,0,348,348,7,30,1,0,351,358,7,365,340,8,5,367,338,10,0,357,339,11,4
0900505-023,09,005,05-023,882.27,872.23,15.2,9.65,0,712.28,1020,6.81,71.5,1.03,0.03,749.83,991.99,13.48,793.14,943.19,17.04,6.81,801.85,922.89,19.05,0.03,771.98,928.51,29.15,8.63
0900505-024,09,005,05-024,886.14,909.26,12.02,8.32,0,740.91,1028.58,11.1,56.42,1.85,0,750.16,1032.28,17.57,783.46,989.73,11.1,15.72,790.86,970.31,23.12,0,772.36,979.56,17.57,12.02
0900505-025,09,005,05-025,1125.23,867.56,12.04,16.78,0,957.61,1010.96,6.73,60.88,2.11,0.01,981.03,973.38,26.59,1032.44,934.92,11.08,17.23,1015.88,932.8,25.46,0.01,987.04,949.66,18.31,20.21
0900505-026,09,005,05-026,555,326,3,5,0,483,375,2,33,1,0,503,362,9,543,319,4,11,509,359,4,0,528,332,5,7
0900505-027,09,005,05-027,804,694,13,5,0,629,838,5,67,0,0,632,840,18,731,735,9,12,637,835,15,0,670,762,10,21
0900505-028,09,005,05-028,1633,2696,36,14,0,1273,2940,33,176,2,0,1321,2965,48,1629,2618,40,41,1557,2678,65,0,1576,2651,53,31
0900505-029,09,005,05-029,747,579,8,6,0,635,674,2,37,2,0,670,645,12,698,610,7,8,684,618,13,0,679,613,13,7
0900505-030,09,005,05-030,1647.19,454.67,7.98,10.97,0,1448.77,619.19,6.98,67.8,1.99,0,1456.75,625.18,20.94,1559.45,515.5,8.97,12.96,1385.96,709.93,9.97,0,1490.65,541.42,13.96,19.94
0900505-031,09,005,05-031,871.53,464.19,7.02,6.03,0,766.11,549.46,6.02,34.18,0.01,0,779.1,552.51,13.06,828.26,496.3,6.04,8.06,736.15,600.49,5.03,0,813.27,499.29,3.03,11.04
0900505-032,09,005,05-032,1201.57,2163.3,32.46,17.13,0,874.25,2425.77,19.2,149.91,4.03,0,966.4,2399.58,24.25,1175.07,2157.33,26.4,26.26,1071.79,2241.45,40.43,0,1136.09,2165.22,34.4,19.15
0900505-033,09,005,05-033,1483.99,2020.62,32.98,20.99,0,1099.25,2288.44,16.99,198.86,3,0,1202.18,2280.44,47.97,1382.06,2058.6,30.98,43.97,1332.09,2100.57,51.96,0,1400.05,2027.62,35.98,33.98
