GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMUR,G18USSRCOR,G18USSLLIO,G18USSGRUS,G18USSOWRI,G18GOVDLAM,G18GOVRSTE,G18GOVLHAN,G18GOVOGRI,G18GOVOGRE,G18GOVOWRI,G18ATGDTON,G18ATGRHAT,G18ATGGGOS,G18SOSDMER,G18SOSRCHA,G18SOSLGWY,G18SOSGDER,G18TREDWOO,G18TRERGRA,G18TRELBRO,G18TREOWRI,G18COMDLEM,G18COMRMIL,G18COMLPAS,G18COMGHEF
0900101-065,09,001,01-065,2056.18,940.65,15.01,10.01,0,1787.04,1177.77,12.01,56.03,1,0,1864.06,1087.74,24.02,1885.09,1049.7,18.01,26.01,1841.07,1095.72,24.01,0,1864.07,1047.71,23.01,20.02
0900101-066,09,001,01-066,1588.82,867.35,13.99,10.99,0,1400.96,1035.23,11.99,45.97,1,0,1420.94,1000.26,24.98,1468.91,947.3,15.99,18.99,1436.93,969.28,14.99,0,1437.93,953.29,16.99,26.98
0900101-067,09,001,01-067,1353.92,711.92,14.77,12.8,0,1188.5,885.22,14.77,30.52,0.98,0,1213.12,826.14,27.57,1241.67,785.77,17.72,21.66,1233.79,798.57,28.56,0,1235.76,784.78,15.75,22.65
0900101-068,09,001,01-068,1221,677,15,7,0,1053,846,5,27,1,0,1066,813,20,1110,769,11,16,1076,789,23,0,1079,773,24,14
0900101-069,09,001,01-069,1790.86,1183.14,5.26,14.93,0,1477.46,1484.4,7.12,37.53,1.01,0,1531.28,1392.64,20.31,1560.06,1345.84,10.31,29,1486.47,1423.47,19.24,0,1507.07,1368.67,21.46,21.99
0900101-070,09,001,01-070,1889.06,1060.59,13.01,11.16,0,1542.35,1405.13,6.07,33.37,1.01,0,1613.74,1282.46,27.15,1616.15,1263.87,15.07,23.3,1549.43,1336.61,22.16,0,1589.51,1277.13,23.19,15.24
0900101-071,09,001,01-071,1797.09,1221.27,13.73,4.9,0,1431.19,1571.47,9.81,46.1,0.98,0,1544.98,1445.91,23.54,1554.79,1426.29,19.62,15.7,1487.11,1496.92,20.6,0,1522.42,1431.19,33.35,11.77
0900101-072,09,001,01-072,1152.18,615.03,6,7.96,0,1001.3,764.86,7.97,7.06,0.99,0,1022.51,705.6,12.94,1026.32,701.75,11.05,8,982.19,723.11,15.01,0,990.28,698.88,16.01,15.93
0900101-073,09,001,01-073,247,142,0,1,0,208,185,1,2,0,0,216,171,2,213,171,0,2,205,180,1,0,202,180,1,2
0900101-074,09,001,01-074,903.4,789.73,3.95,1.98,0,719.55,968.63,2.97,9.88,0,0,753.16,904.38,3.95,738.33,915.26,11.86,5.93,696.82,962.7,10.87,0,710.66,925.14,11.86,4.94
0900101-075,09,001,01-075,781.43,397.24,6.05,3.06,0,716.15,476.51,2.06,3.06,0.01,0,691.33,463.01,6.1,699.35,451.99,6.09,10.07,692.99,458.19,13.12,0,689.06,450.98,9.13,7.13
0900101-076,09,001,01-076,911,487,7,4,0,809,598,5,18,3,0,823,559,8,818,556,11,10,806,555,22,0,807,551,14,8
0900101-077,09,001,01-077,275,208,4,3,0,210,242,2,6,0,0,210,240,2,212,232,3,4,197,240,7,0,213,228,3,2
0900101-078,09,001,01-078,656,548,5,0,0,496,697,3,8,0,0,511,658,2,495,662,4,3,441,718,6,0,458,691,3,3
0900101-079,09,001,01-079,648,415,2,8,0,509,564,2,7,1,0,549,497,4,534,503,7,5,498,532,12,0,508,514,9,7
0900101-080,09,001,01-080,1377,744,5,3,0,1118,958,3,21,0,0,1184,867,9,1159,878,9,8,1120,929,10,0,1130,892,11,5
0900101-081,09,001,01-081,228,126,0,2,0,191,163,0,3,0,0,205,140,3,196,150,1,3,185,158,1,0,192,149,3,3
0900101-082,09,001,01-082,415,398,5,2,0,321,489,1,2,0,0,339,455,3,319,473,1,6,295,497,1,0,310,471,5,4
0900101-083,09,001,01-083,848,661,2,2,0,685,812,3,3,1,0,719,754,9,700,763,6,4,670,806,8,0,676,777,9,11
0900101-084,09,001,01-084,1719,1357,18,14,0,1435,1638,14,24,2,0,1479,1529,27,1445,1541,21,27,1379,1618,28,0,1396,1546,33,26
0900101-085,09,001,01-085,1330,1004,6,5,0,1187,1150,6,17,2,0,1170,1111,12,1179,1098,10,13,1138,1137,16,0,1141,1101,19,15
0900101-086,09,001,01-086,1129,1176,4,7,0,931,1382,2,9,0,0,967,1298,9,945,1306,8,10,907,1353,11,0,914,1321,17,7
0900101-087,09,001,01-087,900,950,10,5,0,684,1174,4,6,0,0,752,1078,2,726,1076,14,9,663,1136,14,0,690,1094,20,3
0900101-088,09,001,01-088,421.87,507.03,5.87,0.98,0,328.88,599.04,5.87,6.85,0,0,346.5,574.57,1.96,340.63,581.42,7.83,0,311.27,600.02,8.81,0,315.18,584.36,9.79,1.96
0900101-089,09,001,01-089,1496,1147,11,5,0,1265,1384,8,12,1,0,1315,1280,9,1279,1312,8,9,1227,1350,15,0,1248,1309,19,7
0900101-090,09,001,01-090,1532.93,1500.4,23.04,12.01,0,1254.53,1772.82,16.02,62.07,2,0,1314.57,1715.71,16.04,1383.66,1612.58,25.04,15.03,1356.61,1649.59,40.06,0,1333.63,1637.57,30.05,22.04
0900101-091,09,001,01-091,695.12,658.26,6.21,5.1,0,563.28,789.28,6.07,21.56,1.02,0,579.17,765.92,5.26,618.53,703.22,6.23,14.28,592.19,720.67,12.37,0,596.03,723.59,12.21,5.28
0900101-092,09,001,01-092,737.88,857.74,11.79,5.9,0,577.72,1027.72,3.93,31.44,0.98,0,627.83,951.08,14.74,648.47,911.78,12.77,15.72,628.81,937.33,20.63,0,619.97,932.41,11.79,15.72
0900101-093,09,001,01-093,1369.55,1638.61,25.02,8.01,0,1093.31,1927.69,11.99,50.19,0,0,1128.42,1853.67,26.02,1191.45,1761.68,27,20.02,1154.36,1774.75,42.02,0,1162.33,1760.75,32.04,24.01
0900101-094,09,001,01-094,2505,2738,17,9,0,1868,3365,13,36,0,1,2143,3058,13,2049,3109,27,19,1909,3251,24,0,1953,3173,24,13
0900101-095,09,001,01-095,1558,1321,19,6,0,1204,1659,14,28,1,0,1350,1506,12,1285,1541,24,15,1228,1610,26,0,1243,1563,30,12
0900101-096,09,001,01-096,802,790,10,2,0,590,1007,3,7,0,0,695,893,4,643,929,9,2,605,969,8,0,624,939,13,2
0900101-097,09,001,01-097,2542.95,2706.09,27.99,17.97,0,2188.7,3029.37,22.94,84.88,5.96,0,2245.27,2960.74,41.99,2437.6,2642.13,79.7,60.84,2279.36,2887.82,44.95,0,2269.39,2876.75,42.95,32.98
0900101-098,09,001,01-098,492,512,6,7,0,445,559,3,11,1,0,443,553,10,499,483,12,9,457,528,13,0,457,527,11,7
0900101-099,09,001,01-099,2442.88,1811.75,21.17,20.14,0,2008.92,2132.28,16.14,159.81,0.03,0.01,2065.39,2111,47.24,2191.99,1975.25,29.19,28.16,2124.8,2022.34,44.26,0,2106.6,2018.36,40.24,27.19
0900101-100,09,001,01-100,107,81,1,0,0,93,91,0,4,0,0,99,88,1,102,84,1,2,95,90,1,0,103,81,1,2
0900101-101,09,001,01-101,2576.43,1983.24,25.97,14.04,1.97,2080.43,2348.36,14.96,203.97,1.99,0.02,2224.49,2281.71,42.76,2296.22,2185.67,40.79,22.95,2253.08,2223.69,47.83,0,2229.37,2202.94,43.75,39.77
0900101-102,09,001,01-102,1379.98,1052.99,19,13,0,1190.99,1219.99,9,78,0,0,1193.99,1198.99,27,1263.98,1118.99,23,19,1238.98,1137.99,32,0,1229.98,1117.99,25,24
0900101-103,09,001,01-103,828.54,718,12.95,3.98,0,677.18,837.51,1,62.74,1,0,715.02,806.64,14.94,741.91,778.75,8.96,12.95,708.05,796.68,19.92,0,706.05,791.7,19.92,10.95
0900101-104,09,001,01-104,186,151,1,2,0,138,182,1,20,0,0,158,174,4,165,162,3,7,157,171,4,0,153,165,2,9
0900101-105,09,001,01-105,2893.83,1259.02,27.23,17.07,0,2598.23,1536.54,23.17,57.4,5.03,0,2624.66,1466.01,36.2,2675.79,1394.76,33.21,34.17,2620.48,1437,45.31,0,2623.39,1388.76,51.26,34.18
0900101-106,09,001,01-106,1422.06,359.6,13.79,3.97,0,1326.26,450.51,9.86,23.67,1.97,0,1351.92,418.83,11.87,1359.78,404.05,12.82,9.9,1341.09,417.84,18.73,0,1336.13,404.02,15.8,10.88
0900101-107,09,001,01-107,2292.72,869.52,10.99,11.99,0,2067.85,1070.4,12.99,43.98,3,0,2082.84,1019.43,33.98,2106.83,993.45,19.99,27.98,2097.83,998.44,20.99,0,2066.85,983.45,39.98,18.99
0900101-108,09,001,01-108,1529.38,479.87,7.98,11.97,0,1409.67,613.55,5.99,16.96,1,0,1446.58,536.73,19.95,1436.6,532.74,8.98,22.95,1435.61,539.72,14.96,0,1426.63,522.76,16.96,21.95
0900101-109,09,001,01-109,2097.02,320.22,9.01,7.01,0,2016.96,433.29,7.01,18.01,2,0,1997.97,388.25,16.01,2028.97,367.26,13.01,15.01,1991.95,384.25,21.01,0,1995.95,357.25,21.01,16.01
0900101-110,09,001,01-110,812.98,175.78,5.99,6.99,0,765.04,226.71,5.99,10.99,2,0,772.03,201.75,6.99,772.03,204.74,7.99,4.99,756.05,201.75,8.99,0,751.05,201.75,6.99,5.99
0900101-111,09,001,01-111,2013.76,980.48,13.08,9.02,0,1705.14,1281.11,15.06,25.09,2,0,1773.75,1185.15,14.05,1767.53,1161.38,17.13,18.05,1704.08,1226.64,24.11,0,1715.26,1189.35,26.08,16.05
0900101-112,09,001,01-112,2117,1213,27,12,0,1874,1458,19,36,4,0,1908,1379,26,1937,1341,22,26,1892,1371,33,0,1888,1336,40,26
0900101-113,09,001,01-113,2036.23,1191.95,16.99,7,0,1796.45,1414.76,11.99,52.95,2,0,1852.39,1351.81,19.98,1867.38,1317.84,14.99,19.98,1840.4,1340.82,22.98,0,1860.38,1287.87,29.98,20.98
0900101-114,09,001,01-114,1784.77,972.05,21.01,18,0,1615.55,1171.24,14.01,28.05,1,0,1617.61,1099.19,23.02,1636.62,1070.16,24.01,17.02,1597.6,1086.18,35.02,0,1615.62,1058.13,40.02,13.02
0900101-115,09,001,01-115,1367,771,17,9,0,1205,952,13,23,3,0,1224,901,16,1245,857,16,21,1227,887,19,0,1225,859,28,14
0900101-116,09,001,01-116,1631.03,1150.1,24.16,7.09,0,1445.01,1341.94,14.12,39.34,0.04,0,1507.28,1261.52,19.21,1485.15,1265.38,20.27,13.2,1433.18,1301.18,31.37,0,1466.45,1252.71,41.33,7.2
0900101-117,09,001,01-117,1971,1187,5,12,0,1717,1423,16,39,2,0,1779,1349,21,1787,1317,16,22,1760,1342,25,0,1753,1328,19,21
0900101-118,09,001,01-118,1043.38,685.06,13.7,6.29,0,905.48,831.83,4.71,19.49,0.03,0.02,950.82,766.89,11.6,953.9,745.45,14.76,11.58,919.62,780.43,18.06,0,932.35,754.52,18.22,12.59
0900101-119,09,001,01-119,2740.48,1783.9,23.07,13.02,0,2237.59,2250.83,12.09,77.1,0.01,0,2426.85,2046.51,27.06,2423.98,2034.33,21.09,18.07,2320.76,2130.52,35.11,0,2326.73,2089.44,32.13,16.07
0900101-120,09,001,01-120,2413.64,1611.73,12.16,10.06,0,2067.18,1950.15,15.15,52.32,2.01,0,2153.99,1841.22,21.14,2184.17,1802.94,20.17,15.14,2137.62,1848.44,22.23,0,2141.59,1816.23,26.26,17.14
0900101-121,09,001,01-121,2108.29,1312.67,21.08,8.63,0,1776.44,1638.72,20.11,43.18,0.96,0,1886.78,1513.05,19.18,1910.69,1474.77,22.99,19.16,1835.89,1542.85,31.63,0,1832.08,1514.08,35.45,18.2
0900101-122,09,001,01-122,302.96,245.98,3.16,1.12,0,257.89,282.13,4.08,9.23,1.02,0,266,273.73,2.18,267.19,270.7,6.05,1.09,260.95,269.7,8.21,0,259.08,273.52,6.12,2.11
0900101-123,09,001,01-123,1925.31,2746.39,34.99,14.03,0,1416.68,3270.81,25.02,87.39,1.99,0,1505.07,3109.75,34.13,1642.31,2942.24,37.02,37.05,1564.51,2998.98,50.15,0,1528.94,3020.02,49.05,26.05
0900101-124,09,001,01-124,2167.2,2083.24,25.58,24.96,0,1749.14,2485.51,20.82,99.72,1.14,0,1864.36,2339.36,35.74,1940.2,2215.58,33.03,40.93,1930.42,2217.02,55.4,0,1877.4,2274.1,53.06,27.07
0900101-125,09,001,01-125,432.19,446.73,3.1,2.1,0,347.62,527.22,2.08,17.38,1,0,357.07,510.66,8.13,382.34,481.21,2.13,5.16,382.31,475.21,11.21,0,378.08,478.46,5.21,9.1
