GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900303-091,09,003,03-091,1017.61,522.82,69.29,42.43,8.56,1127,420.43,30.75,19.08,0
0900303-092,09,003,03-092,1231,966,76,25,7,1360,871,21,17,0
0900303-093,09,003,03-093,1563,1092.79,89.51,46.76,0.01,1739.01,928.61,34.82,30.85,0
0900303-094,09,003,03-094,1873,746.21,74.49,55.24,4.99,2005.99,529.39,38.18,45.15,0
0900303-095,09,003,03-095,1581.66,812.61,107.7,65.95,13.31,1751.69,653.48,47.8,29.65,0
0900303-096,09,003,03-096,1687,1766,128,46,12,2004,1523,31,30,2
0900303-097,09,003,03-097,1255,495,50,33,8,1328,363,28,31,0
0900303-098,09,003,03-098,1096,388,16,27,0,1148,231,12,22,0
0900303-099,09,003,03-099,1032,298,26,25,0,1062,193,15,15,0
0900303-100,09,003,03-100,294,127,4,7,0,304,92,7,4,0
0900303-101,09,003,03-101,579,106,14,16,1,561,75,14,14,0
0900303-102,09,003,03-102,108,40,1,0,0,109,23,2,1,0
0900303-103,09,003,03-103,163,15,0,0,0,154,8,0,0,0
0900303-104,09,003,03-104,707,181,6,12,2,659,128,20,11,0
0900303-105,09,003,03-105,1179,221,14,16,0,1134,151,9,10,0
0900303-106,09,003,03-106,1004,203,26,12,2,971,157,12,16,0
0900303-107,09,003,03-107,1000,343,20,27,0,1019,232,24,13,0
0900303-108,09,003,03-108,632,278,25,22,0,665,207,13,14,0
0900303-109,09,003,03-109,1121.01,647.69,39.51,48.1,4,1231.6,450.33,16.17,35.06,0
0900303-110,09,003,03-110,1597.26,856.74,54.62,46.92,0,1723.55,599.94,31.57,33.27,0
0900303-111,09,003,03-111,275.08,147.53,9.4,8.08,0,296.82,103.3,5.44,5.73,0
0900303-112,09,003,03-112,955,423,20,28,0,951,270,11,24,0
0900303-113,09,003,03-113,1516,517,34,31,0,1588,347,22,22,0
0900303-114,09,003,03-114,961,773,47,22,1,1106,606,21,15,0
0900303-115,09,003,03-115,1322,930,73,45,0,1545,720,22,31,0
0900303-116,09,003,03-116,1818,1330,95,34,5,2140,1054,23,31,0
0900303-117,09,003,03-117,803,617,38,21,3,918,482,16,13,0
0900303-118,09,003,03-118,989,715,61,32,2,1197,534,20,21,0
0900303-119,09,003,03-119,948,814,57,15,4,1152,596,21,14,0
0900303-120,09,003,03-120,995,870,59,27,1,1242,618,24,21,0
0900303-121,09,003,03-121,987,711,59,16,1,1163,563,13,10,0
0900303-122,09,003,03-122,563,570,37,23,1,700,444,12,14,0
0900303-123,09,003,03-123,1145,1457,74,43,0,1602,985,28,29,0
0900303-124,09,003,03-124,1087.15,1216.46,82.33,53.22,4,1409.12,915.49,14.13,26.1,0
0900303-125,09,003,03-125,651,854,49,22,0,895,621,18,14,0
0900303-126,09,003,03-126,918.85,964.54,48.67,32.78,0,1212.88,670.51,18.87,14.9,0
0900303-127,09,003,03-127,2151,1993,104,31,2,2584,1577,39,22,0
0900303-128,09,003,03-128,1777.34,1212.57,122.61,49.24,0,2044.76,971.21,40.55,31.86,0
0900303-129,09,003,03-129,1135.61,1107.66,75.59,24.04,6,1447.27,809.55,22.86,14.67,0
0900303-130,09,003,03-130,2166.46,1527.55,156.74,37.37,9.04,2261.05,1514.52,42.12,28.48,0
0900303-131,09,003,03-131,2201.65,1490.34,179.16,44.13,16.31,2308.82,1520.18,49.12,43.04,0
0900303-132,09,003,03-132,1923.66,1356.75,136.65,41.66,10.05,1943.12,1451.46,37.19,30.72,0
0900303-133,09,003,03-133,1548.85,1000.89,127.29,38.24,7.65,1628.6,957.47,44.96,33.13,0
0900303-134,09,003,03-134,452,388,33,11,2,518,392,12,9,0
0900303-135,09,003,03-135,1466,1073,104,30,0,2400,179,29,30,0
0900303-136,09,003,03-136,2379.24,1678.92,141.16,47.15,10,2772.91,1362.83,59.5,32.26,0
0900303-137,09,003,03-137,1233.69,892.03,98.55,27.27,0,1383.66,824.4,24.18,20.15,0
0900303-138,09,003,03-138,2190.07,1525.04,121.29,50.57,0,2534.43,1264.77,35.32,29.59,0
0900303-139,09,003,03-139,1242.51,1630.07,103.71,33.4,1.01,1607.51,1315.01,28.32,17.2,0
0900303-140,09,003,03-140,975.86,1238.77,84.67,18.26,5.02,1309.32,917.38,31.24,14.14,0
0900303-141,09,003,03-141,1250.59,1480.61,107.13,49.03,3.77,1645.06,1057.12,44.27,24.74,0
0900303-142,09,003,03-142,642.08,756,40.38,21.66,0.18,816.31,593.85,16.41,11.25,0
0900303-143,09,003,03-143,1125.55,1559.13,82.63,31.66,5.99,1466.82,1284.64,16.36,15.95,0
0900303-144,09,003,03-144,964.69,957.23,58.08,31.98,0.02,1227.71,731.05,14.08,20.34,0
0900303-145,09,003,03-145,785.88,1161.2,50.39,17.42,3,1028.11,936.68,14.33,13.3,0
0900303-146,09,003,03-146,641.82,878.17,51.31,17.68,0.94,815.28,716.58,11.72,10.86,0
0900303-147,09,003,03-147,695.54,718.68,44.37,16.88,0.14,881.67,559.34,4.92,14.78,0
0900303-148,09,003,03-148,650.12,856.8,45.61,13.58,0,853.89,676.32,10.67,9.7,0
0900303-149,09,003,03-149,929.64,1165.29,75.89,23.96,6.99,1245.17,886.7,27.96,21.97,0
0900303-150,09,003,03-150,3379.56,3831.77,311.18,112.67,17.33,3963.05,3313.9,85.25,98.26,0
0900303-151,09,003,03-151,2413,771,86,31,0,2454,763,31,30,0
0900303-152,09,003,03-152,3025,862,140,45,13,2998,982,41,45,0
0900303-153,09,003,03-153,3465,869,129,84,18,3403,930,61,78,0
0900303-154,09,003,03-154,3020,792,87,73,4,3056,692,38,54,0
0900303-155,09,003,03-155,2214,979,81,50,3,2343,809,31,43,0
0900303-156,09,003,03-156,2238,1059,116,46,15,2290,1071,33,44,0
0900303-157,09,003,03-157,2334.87,849.67,117.39,47.73,2.99,2229.44,1074.43,37.79,32.83,0
0900303-158,09,003,03-158,3014.13,1171.33,148.61,46.27,6.01,2899.56,1396.57,40.21,42.17,0
0900303-159,09,003,03-159,2057,702,88,22,10,2042,771,19,30,0
0900303-160,09,003,03-160,1262,1464,79,26,34,1502,1217,29,18,0
0900303-161,09,003,03-161,806.38,82.44,45.69,15.38,3.05,884.63,403.65,16.23,16.21,0
0900303-162,09,003,03-162,1146,900,74,32,8,1343,730,22,23,0
0900303-163,09,003,03-163,1499,1274,75,36,1,1741,1037,19,25,0
0900303-164,09,003,03-164,1330,1038,75,34,2,1555,804,23,32,0
0900303-165,09,003,03-165,1763.79,1078.47,102.38,52.17,5.35,1980.46,861.56,25.28,51.93,0
0900303-166,09,003,03-166,1323.32,183.74,24.43,19.55,0,1361.44,132.92,11.73,13.68,0
0900303-167,09,003,03-167,2307.51,745.35,83.58,37.47,0,2432.39,660.16,27.28,27.33,0
0900303-168,09,003,03-168,2158.17,239.91,33.99,30.99,2,2151.18,202.92,18.99,23.99,0
0900303-169,09,003,03-169,1005,413,19,28,0,1071,341,11,12,0
0900303-170,09,003,03-170,1943.56,998.35,117.51,51.33,7.04,2133.25,865.83,37.19,29.24,0
0900303-171,09,003,03-171,1815.39,855.45,68.47,44.17,5.04,1909.25,784.05,25.26,32.01,0
0900303-172,09,003,03-172,833.76,596.05,39.43,20.02,2.93,938.74,515.61,17.95,10.26,0
0900303-173,09,003,03-173,1412,1469,116,54,6,1828,1065,56,36,0
0900303-174,09,003,03-174,1360.29,1534.15,114.59,42.48,0,1809.76,1097.51,32.6,41.49,0
0900303-175,09,003,03-175,2269.97,1634.76,164.2,49.73,16.1,2391.12,1639.98,40.56,33.39,1
0900505-001,09,005,05-001,905,1157,94,37,7,1103,1007,43,20,0
0900505-002,09,005,05-002,801,1405,59,47,5,998,1196,32,39,0
0900505-003,09,005,05-003,483.21,532.78,30.8,15.81,1.86,588.13,436.22,14.89,0.07,0
0900505-004,09,005,05-004,361.86,204.59,23.21,9.11,0.01,388.06,173.47,12.05,11.08,0
0900505-005,09,005,05-005,324,528,28,18,1,392,467,7,13,0
0900505-006,09,005,05-006,618.58,246.64,26.85,25.86,0,635.48,235.7,13.92,19.89,0
0900505-007,09,005,05-007,416,530,27,12,0,463,493,13,11,0
0900505-008,09,005,05-008,257,534,34,13,0,330,480,13,7,0
0900505-009,09,005,05-009,315,538,35,15,2,422,433,17,16,0
0900505-010,09,005,05-010,826.2,1584.77,83.18,26.38,9.06,1083.7,1351.83,23.42,13.2,0
0900505-011,09,005,05-011,1081,559,45,27,4,1144,508,16,20,0
0900505-012,09,005,05-012,1546.4,1365.12,109.33,36.3,5.97,1705.4,1248.21,38.13,29.17,0
0900505-013,09,005,05-013,242.22,607.16,39.79,12.61,1.95,343.17,526.62,15.48,4.81,0
0900505-014,09,005,05-014,366.11,434.16,29.21,16.55,0,462.45,347.56,10.71,10.71,0
0900505-015,09,005,05-015,6.08,11.79,0.49,0.16,0.01,7.28,10.8,0.26,0.11,0
0900505-016,09,005,05-016,510,838,41,24,5,629,747,16,13,0
0900505-017,09,005,05-017,871.06,1031.59,83.12,44.07,2.03,1018.14,930.48,27.05,27.05,0
0900505-018,09,005,05-018,796.62,1222.89,63.71,33.38,0.03,944.81,1091.08,14.24,18.24,0
0900505-019,09,005,05-019,1135.48,1415.45,64.5,37.05,1,1407.98,1110.68,34.11,26.05,0
0900505-020,09,005,05-020,1060.94,1013.54,75.1,31.18,6.11,1271.41,783.19,39.84,29.55,1
0900505-021,09,005,05-021,656.01,746.45,61.36,24.27,0.4,807.31,616.14,19.03,16.24,0
0900505-022,09,005,05-022,405,416,22,18,0,498,342,7,14,0
0900505-023,09,005,05-023,887.47,1125.1,69.14,47.17,4.64,1102.6,926.58,28.62,28.41,0
0900505-024,09,005,05-024,856.54,1194.16,70.3,23.12,4.62,1101.66,974.01,21.27,18.5,0
0900505-025,09,005,05-025,1173.84,997.61,73.1,34.49,3.38,1389.91,972.83,30.34,2.25,0
0900505-026,09,005,05-026,547,373,20,26,1,594,350,10,12,0
0900505-027,09,005,05-027,732,703,52,22,0,931,554,14,24,8
0900505-028,09,005,05-028,1884,3767,113,42,4,2865,2795,44,36,0
0900505-029,09,005,05-029,765,638,55,16,0,802,618,19,11,0
0900505-030,09,005,05-030,1666.14,543.41,72.79,37.89,3.99,1734.94,505.53,17.95,28.92,0
0900505-031,09,005,05-031,823.42,522.36,50.15,25.14,0,890.52,470.3,19.08,15.11,0
0900505-032,09,005,05-032,1170.36,2653.12,153.53,50.53,1,1824.34,2037.5,46.61,34.51,0
0900505-033,09,005,05-033,1486.99,2489.3,118.92,43.97,0,2013.63,1988.64,40.97,33.98,0
0900505-034,09,005,05-034,501.31,992.31,55.79,15.3,0,665.24,813.88,26.19,15.07,0
0900505-035,09,005,05-035,120,123,10,12,1,151,82,11,8,0
0900505-036,09,005,05-036,136,174,15,6,2,182,135,4,4,0
0900505-037,09,005,05-037,753.55,968.98,68.17,24.54,4.54,989.89,740.83,22.72,23.63,0
0900505-038,09,005,05-038,180.23,328.11,19.41,7.39,0,252.32,268.03,4.62,1.85,0
0900505-039,09,005,05-039,7.46,13.58,0.8,0.31,0,10.44,11.09,0.19,0.08,0
0900505-042,09,005,05-042,3.21,4.68,0.31,0.14,0.01,4.48,3.34,0.1,0.12,0
0900505-043,09,005,05-043,228,245,7,6,0,269,182,8,6,0
0900505-044,09,005,05-044,352,451,35,16,4,420,397,10,6,0
0900505-045,09,005,05-045,1242,738,57,41,4,1315,697,20,29,0
0900505-046,09,005,05-046,1095.64,2215.88,91.47,31.47,0,1512.66,1760.5,36.39,30.49,0
0900505-047,09,005,05-047,967,1975,73,33,0,1263,1629,27,17,0
0900505-048,09,005,05-048,811,1704,61,29,0,1194,1289,22,21,0
0900505-049,09,005,05-049,842.86,1799.83,73.07,28.05,0,1273.15,1330.27,36.05,20.05,0
0900505-050,09,005,05-050,1816,2903,146,122,7,2485,2196,61,91,0
0900505-051,09,005,05-051,2231,2822,134,75,65,2541,2595,41,45,2
0900505-052,09,005,05-052,235,349,15,4,0,283,296,3,5,0
0900505-053,09,005,05-053,0,0,0,0,0,0,0,0,0,0
0900505-054,09,005,05-054,2296.25,3334.03,219.6,98.35,8.44,3192.01,2382.19,74.2,83.27,0
0900707-001,09,007,07-001,1365,781,82,41,4,1536,662,19,26,0
0900707-002,09,007,07-002,3487.63,3407.39,175.73,97.76,9,4311.83,2598.49,73.79,71.82,0
0900707-003,09,007,07-003,3965.51,3570.17,295.31,114.61,20.9,4861.45,2763.03,96.01,66.4,0
0900707-004,09,007,07-004,1401.42,1068.93,73.45,40.69,1.99,1666.42,834.7,22.83,25.81,0
0900707-005,09,007,07-005,1253,1328,118,44,0,1512,1155,36,26,0
0900707-006,09,007,07-006,129,149,9,4,3,166,117,2,1,0
0900707-007,09,007,07-007,0,0,0,0,0,0,0,0,0,0
0900707-008,09,007,07-008,516,679,31,15,3,653,537,17,19,0
0900707-009,09,007,07-009,2330.63,2486.61,163.97,94.99,10,2855.55,2016.68,59.99,67.99,0
0900707-010,09,007,07-010,3225.9,3660.06,277.86,88.8,22.06,4161.22,2780.61,97.3,76.38,0
0900707-011,09,007,07-011,2291,1620,114,67,0,2547,1495,19,36,0
0900707-012,09,007,07-012,1080.32,1186.02,88.02,36.17,8.76,1304.45,1003.04,20.55,25.41,0
0900707-013,09,007,07-013,941.84,1257.75,75.44,54,0.24,1215.02,1052.7,17.57,26.7,0
0900707-014,09,007,07-014,119.2,112.63,7.57,2.84,0,140.98,95.58,1.9,1.9,0
0900707-015,09,007,07-015,1905.44,1951.2,119.66,55.23,3.05,2259.38,1641.96,40.16,30.13,0
0900707-016,09,007,07-016,1154,1361,78,38,5,1513,1035,25,18,0
0900707-017,09,007,07-017,902.91,308.16,37.95,52.13,0.26,953.36,220.38,18.49,42.09,0
0900707-018,09,007,07-018,322,80,15,4,0,324,60,3,9,0
0900707-019,09,007,07-019,340.23,177.78,13.68,8.52,1.83,379.79,141.02,6.52,5.85,0
0900707-020,09,007,07-020,882.01,726.19,64.44,25.97,2.89,1035.9,591.53,16.35,22.12,0
0900707-021,09,007,07-021,1854,981,110,60,8,2028,826,52,37,0
0900707-022,09,007,07-022,816,641,49,17,12,970,501,12,12,0
0900707-023,09,007,07-023,803,403,34,32,0,921,277,19,11,0
0900707-024,09,007,07-024,241.74,69.46,7.61,6.96,0,250.3,47.82,5.91,7.8,0
0900707-025,09,007,07-025,1156,745,60,37,3,1334,606,22,23,0
0900707-026,09,007,07-026,738.1,559.94,40.14,37.2,2.94,845.78,446.39,13.7,17.62,0
0900707-027,09,007,07-027,1269,920,65,52,2,1537,682,23,34,0
0900707-028,09,007,07-028,1613.35,891.88,79.06,81.74,1,1818.4,646.58,34.98,46.65,0
0900707-029,09,007,07-029,654,366,29,20,0,740,270,16,12,0
0900707-030,09,007,07-030,1158.26,131.54,24.39,45.04,0,1096.7,105.18,18.09,47.2,0
0900707-031,09,007,07-031,1251,1158,46,29,5,1439,1012,19,23,0
0900707-032,09,007,07-032,1956,1626,87,56,11,2312,1327,21,34,0
0900707-033,09,007,07-033,2494,2491,186,82,0,3087,1929,61,71,0
0900707-034,09,007,07-034,1006.85,1139.39,67.78,40.36,1.02,1270.03,893.59,23.31,20.36,0
0900707-035,09,007,07-035,692.15,796.61,32.22,14.64,0.98,863.97,599.41,12.69,14.64,0
0900909-001,09,009,09-001,563.99,410.62,33,16.5,0.97,2709.29,283.45,11.65,9.71,0
0900909-002,09,009,09-002,499,452,30,18,1,644,297,9,10,0
0900909-003,09,009,09-003,511.11,442.12,33.12,13.12,0,628.47,309.45,14.07,9.09,0
0900909-004,09,009,09-004,338.89,230.88,12.88,12.88,0,378.53,157.55,7.93,9.91,0
0900909-005,09,009,09-005,533.01,489.38,30,22.5,0.03,748.71,318.55,15.35,12.29,0
0900909-006,09,009,09-006,536,764,35,19,2,783,512,9,13,1
0900909-007,09,009,09-007,550,832,35,10,0,845,536,7,12,0
0900909-008,09,009,09-008,1146.49,2002.59,134.03,46.02,4,1683.61,1483.46,58,21.01,0
0900909-009,09,009,09-009,1580,1646,112,39,3,1857,1433,33,30,0
0900909-010,09,009,09-010,1566.35,1334.74,69.05,41.43,7.85,1882.08,994.38,32.56,20.7,0
0900909-011,09,009,09-011,890,601,20,16,1,1056,436,7,12,0
0900909-012,09,009,09-012,970.34,556.83,40.9,25.93,2,1129.96,416.18,14.98,11.98,0
0900909-013,09,009,09-013,1564.31,1090.67,70.36,40.36,5.62,1853.23,846.75,33.75,27.19,0
0900909-014,09,009,09-014,1451.48,1109.43,52.9,25.54,4.1,1731.59,833,24.43,17.27,0
0900909-015,09,009,09-015,1172.13,1117.09,52.45,31.54,1.42,1530.4,747.9,26.12,13.78,0
0900909-016,09,009,09-016,831,768,38,20,0,1003,605,18,10,0
0900909-017,09,009,09-017,1803,1689,132,38,7,2057,1544,36,24,0
0900909-018,09,009,09-018,842,797,56,18,6,928,755,12,12,0
0900909-019,09,009,09-019,1102,1186,79,24,0,1312,988,28,20,0
0900909-020,09,009,09-020,1700,1383,102,40,2,1972,1169,27,15,0
0900909-021,09,009,09-021,715,581,47,34,2,828,515,16,18,0
0900909-022,09,009,09-022,902.95,961.41,81.63,19.91,0,1064.09,856.61,18.78,11.48,0
0900909-023,09,009,09-023,535,533,42,16,0,657,442,12,15,0
0900909-024,09,009,09-024,835.83,702.46,28.66,22.68,0,1000.95,470.7,17.47,18.1,0
0900909-025,09,009,09-025,263.35,285.37,13.76,7.34,0,362.45,185.36,4.59,1.84,0
0900909-026,09,009,09-026,1220.53,1653.04,66.16,27.65,0,1735.99,1092.15,24.69,16.79,0
0900909-027,09,009,09-027,1210.78,1338.89,28.67,33.54,0.12,1657.75,788.64,15.83,24.36,0
0900909-028,09,009,09-028,1204.34,1453,54.92,30.96,0,1662.71,912.74,24.97,23.97,0
0900909-029,09,009,09-029,892.14,1263.46,38.02,24,0,1249.32,835.28,14,18,0
0900909-030,09,009,09-030,45.27,83.53,3.19,0.64,0,72.69,53.56,0.64,0.64,0
0900909-031,09,009,09-031,25.12,46.35,1.77,0.35,0,40.34,29.72,0.35,0.35,0
0900909-032,09,009,09-032,1037.66,1264,41.08,25.04,0,1417.29,749.26,25.03,26.03,0
0900909-033,09,009,09-033,1025.46,1406.65,51.02,34.01,0,1475.65,857.43,30.01,28.01,0
0900909-034,09,009,09-034,1651.91,738.97,68.03,27.52,7.09,1780.83,658.29,15.89,16.37,0.02
0900909-035,09,009,09-035,1579.29,1076.63,62.52,35.39,2.06,1821.46,845.63,21.66,18.27,0.02
0900909-036,09,009,09-036,1688.8,1112.39,90.45,23.09,3.85,1818.71,993.07,39.45,16.36,0.96
0900909-037,09,009,09-037,1311,1171,63,44,13,1531,964,28,29,0
0900909-038,09,009,09-038,1633,830,54,29,7,1768,707,18,24,0
0900909-039,09,009,09-039,1116.93,707.28,47.81,21.56,3.02,1253.52,520.9,18.41,18.58,0
0900909-040,09,009,09-040,1733,504,44,38,2,1843,354,29,26,0
0900909-041,09,009,09-041,1931,228,30,22,9,1958,154,20,10,0
0900909-042,09,009,09-042,2322,806,73,52,11,2494,676,33,30,0
0900909-043,09,009,09-043,2146.09,371.75,38.16,38.91,4,2208.71,303.51,19.19,29.81,0
0900909-044,09,009,09-044,181.11,31.32,1.55,5.56,0.06,188.01,18.35,1.27,2.43,0
0900909-045,09,009,09-045,1718.8,618.92,48.29,32.52,3.94,1822.28,468.14,31.54,16.75,0
0900909-046,09,009,09-046,1989,957,69,43,2,2192,700,41,30,0
0900909-047,09,009,09-047,2395,1368,76,32,0,2676,1061,29,26,0
0900909-048,09,009,09-048,167,153,12,3,0,204,118,2,3,0
0900909-049,09,009,09-049,1419.07,1182.72,41.19,28.44,0.98,1601.48,960.1,20.59,29.42,0
0900909-050,09,009,09-050,1380,669,56,20,9,1536,511,30,21,0
0900909-051,09,009,09-051,463,193,12,11,1,510,142,5,4,0
0900909-052,09,009,09-052,3162.37,2324.61,158.27,60.24,12,3413.17,2191.51,34.21,41.18,0
0900909-053,09,009,09-053,2767.56,2174.8,175.34,59.77,11.95,3015.62,2109.04,42.84,34.87,0
0900909-054,09,009,09-054,987.12,627.04,40.07,34.04,0,1117.4,446.74,23.03,30.02,0
0900909-055,09,009,09-055,624,200,20,17,0,597,136,20,10,0
0900909-056,09,009,09-056,1220.56,505.09,46.53,35.87,1.94,1284.55,344.16,29.08,25.21,0
0900909-057,09,009,09-057,719,157,16,15,0,660,121,10,15,0
0900909-058,09,009,09-058,616,178,23,8,0,609,122,19,8,0
0900909-059,09,009,09-059,862,692,48,26,3,1037,489,25,22,0
0900909-060,09,009,09-060,899.44,536.91,36.47,22.13,0.06,1015.45,378.84,16.92,7.79,0
0900909-061,09,009,09-061,1066.89,895.91,64.99,35,0,1298.87,670.93,19,20,0
0900909-062,09,009,09-062,842,553,60,29,0,1005,410,21,21,0
0900909-063,09,009,09-063,982.65,868.33,70.1,26.72,0.17,1206.22,652.21,16.65,12.41,0
0900909-064,09,009,09-064,1708,1313,92,34,3,1954,1003,37,32,0
0900909-065,09,009,09-065,1395.18,1287.78,85.26,44.09,0,1742.13,918.3,38.19,23.52,0
0900909-066,09,009,09-066,867.61,857.79,33.24,21.06,4,1043.07,676.5,5.05,13.03,0
0900909-067,09,009,09-067,1097,1643,95,25,7,1337,1386,26,17,0
0900909-068,09,009,09-068,567,987,53,20,1,665,884,19,17,0
0900909-069,09,009,09-069,2599.5,2463.86,146.64,47.88,1,3245.89,1809.51,54.86,27.93,0
0900909-070,09,009,09-070,942.06,1028.42,71.64,36.31,0,1244.31,735.99,20.61,17.66,0
0900909-071,09,009,09-071,1579,1330,97,46,9,1985,928,41,36,0
0900909-072,09,009,09-072,1604,1444,82,43,4,2033,1020,28,29,0
0900909-073,09,009,09-073,1055.07,1036.16,53.08,36.04,3,1341.41,704.83,25.02,30.02,0
0900909-074,09,009,09-074,717.87,518.99,46.05,17.93,0.28,824.85,410.43,15.86,14.45,0
0900909-075,09,009,09-075,1632.87,2061.21,89.59,39.66,0.06,2168.74,1533.73,34.55,29.44,0
0900909-076,09,009,09-076,895.4,954.58,50.13,23.1,3.94,1141.47,708.62,18.97,13.02,0
0900909-077,09,009,09-077,2559.62,2532.33,154.17,58.75,8.65,3230.27,1904.91,56.85,44.28,0
0900909-078,09,009,09-078,159.51,193.41,10.97,6.98,1,199.39,151.54,1,3.99,0
0900909-079,09,009,09-079,848,1260,76,34,0,1116,955,30,25,0
0900909-080,09,009,09-080,467,627,39,13,0,579,495,12,18,0
0900909-081,09,009,09-081,830,1202,61,31,2,1131,867,23,26,0
0900909-082,09,009,09-082,112,277,18,8,0,195,193,6,5,0
0900909-083,09,009,09-083,776,1069,70,25,2,1070,786,24,24,0
0900909-084,09,009,09-084,676,882,59,29,7,889,661,20,28,0
0900909-085,09,009,09-085,1103,1495,89,39,2,1496,1046,50,40,0
0900909-086,09,009,09-086,167.29,205.9,11.51,8.8,0,216.73,143.59,6.1,9.48,0
0900909-087,09,009,09-087,79.71,98.1,5.49,4.2,0,103.27,68.41,2.9,4.52,0
0900909-088,09,009,09-088,518.12,24.31,8.52,6.49,1.16,448.54,55.91,7.17,5.42,0
0900909-089,09,009,09-089,1161.92,69.27,12.01,21.24,0.92,1113.89,74.81,6.47,15.7,0
0900909-090,09,009,09-090,653.66,46.01,8.63,3.83,0,639.28,32.59,5.75,2.88,0
0900909-091,09,009,09-091,277,31,1,2,0,251,21,2,5,0
0900909-092,09,009,09-092,737.38,68.01,9.06,6.06,0.01,700.17,42.86,5.05,6.04,0
0900909-093,09,009,09-093,226.79,14.98,0.14,0.06,0,211.43,6.76,1.87,0.05,0
0900909-094,09,009,09-094,939.51,93.56,4.87,8.77,1.95,921.97,65.3,1.95,7.8,0
0900909-095,09,009,09-095,656.62,103.99,5.94,5.94,0.99,635.83,88.14,4.95,3.96,0
0900909-096,09,009,09-096,238,28,1,3,0,228,13,1,3,0
0900909-097,09,009,09-097,2433.62,184.71,51.25,44.18,11.03,130.47,275.69,23.22,48.15,0
0900909-098,09,009,09-098,385.54,39.96,8.06,3.01,0.2,355.45,29.67,4.55,4.4,0
0900909-099,09,009,09-099,1044.46,122.04,21.94,19.99,3.8,1036.55,95.33,11.45,27.6,0
0900909-100,09,009,09-100,936.28,79.72,17.98,18.76,5.47,933.94,66.43,15.63,19.54,0
0900909-101,09,009,09-101,173.44,14.7,3.29,3.49,1,172.91,12.39,2.84,3.61,0
0900909-102,09,009,09-102,2020.28,153.58,28.73,43.76,8.53,1990.15,166.18,18.53,40.85,0
0900909-103,09,009,09-103,330,69,3,5,0,324,40,1,8,0
0900909-104,09,009,09-104,776,197,8,13,1,776,124,8,3,0
0900909-105,09,009,09-105,318,72,3,1,2,314,49,1,2,0
0900909-106,09,009,09-106,864.83,138.85,4.96,13.88,1.98,850.95,91.24,7.93,6.94,0
0900909-107,09,009,09-107,1047.78,249.5,22.7,22.78,1.91,1092.05,150.9,11.4,21.78,0
0900909-108,09,009,09-108,772,105,12,11,0,743,66,14,7,0
0900909-109,09,009,09-109,765,88,9,16,2,721,75,6,10,0
0900909-110,09,009,09-110,810,93,6,6,2,788,69,4,1,0
0900909-111,09,009,09-111,1059.32,406.38,14.05,32.59,3.72,1139.28,234.43,13.97,24.18,0
0900909-112,09,009,09-112,51.48,19.68,0.68,1.58,0.18,55.33,11.36,0.68,1.18,0
0900909-113,09,009,09-113,1089.19,838.94,38.28,36.82,2.1,1411.39,468.21,17.35,17.65,0
0900909-114,09,009,09-114,466,25,6,10,3,442,32,0,14,0
0900909-115,09,009,09-115,625,40,11,22,11,612,68,6,16,0
0900909-116,09,009,09-116,1581,40,11,17,3,1518,38,3,9,0
0900909-117,09,009,09-117,665.02,9.16,0.83,5.83,0.83,626.74,10.82,3.33,7.49,0
0900909-118,09,009,09-118,133.98,1.84,0.17,1.17,0.17,126.26,2.18,0.67,1.51,0
0900909-119,09,009,09-119,787.08,24.73,7.99,15.76,5.08,745.11,34.19,3.53,13.3,0
0900909-120,09,009,09-120,533.26,18.98,7.23,6.33,1.81,516.99,24.4,3.62,5.42,0
0900909-121,09,009,09-121,1243,46,12,16,0,1192,40,12,20,0
0900909-122,09,009,09-122,1299,90,9,25,5,1282,65,9,22,0
0900909-123,09,009,09-123,1867,236,39,44,5,1864,225,25,39,0
0900909-124,09,009,09-124,1729,247,30,34,7,1776,199,10,20,0
0900909-125,09,009,09-125,1077,127,18,19,3,1043,109,12,18,0
0900909-126,09,009,09-126,1225,103,17,17,4,1202,94,6,13,0
0900909-127,09,009,09-127,1138,88,8,24,2,1101,65,9,18,0
0900909-128,09,009,09-128,453,25,4,3,0,419,19,5,3,0
0900909-129,09,009,09-129,694,47,6,6,1,665,29,3,9,0
0900909-130,09,009,09-130,1687.35,2284.23,73.49,30.79,3.97,2334.88,1545.33,41.71,34.76,0
0900909-131,09,009,09-131,1245.65,2188.77,101.51,37.21,1.03,1847.12,1528.67,34.29,18.24,0
0900909-132,09,009,09-132,1069.48,1437.37,62.61,21.87,3.97,1512.84,953.26,19.88,20.87,0
0900909-133,09,009,09-133,1126.33,1743.96,57.97,28.98,2,1699.99,1129.33,22.99,9.99,0
0900909-134,09,009,09-134,870.19,499.67,38.42,28.15,2.03,1023.18,385.41,7.13,16.14,0
0900909-135,09,009,09-135,853,855,45,20,0,1065,647,16,18,0
0900909-136,09,009,09-136,627.74,799.93,35.42,15.74,3.94,828.46,607.08,11.81,8.86,0
0900909-137,09,009,09-137,1290.26,1932.07,83.58,31.26,3.06,1874.54,1326.92,34.19,25.14,0
0900909-138,09,009,09-138,2161,2367,131,47,9,2751,1822,41,32,0
