GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
0900101-075,09,001,01-075,905.95,514.98,31.52,11.15,1.05,908.51,441.43,20.23,18.23,0
0900101-076,09,001,01-076,1012,587,31,12,0,1063,508,23,9,0
0900101-077,09,001,01-077,339,322,11,6,0,392,260,10,5,0
0900101-078,09,001,01-078,798,441,50,8,6,672,642,4,4,0
0900101-079,09,001,01-079,699,394,53,14,4,658,509,9,10,0
0900101-080,09,001,01-080,1462,645,74,16,0,1329,920,18,14,0
0900101-081,09,001,01-081,243,133,12,9,0,243,155,1,3,0
0900101-082,09,001,01-082,561,410,34,6,2,476,528,7,7,0
0900101-083,09,001,01-083,990,618,75,12,8,905,802,19,12,0
0900101-084,09,001,01-084,1915,1478,108,37,0,1927,1516,30,25,0
0900101-085,09,001,01-085,1457,1261,66,20,3,1518,1146,17,20,0
0900101-086,09,001,01-086,1370,1208,97,29,0,1253,1435,15,28,0
0900101-087,09,001,01-087,1141,795,109,11,2,951,1129,21,9,0
0900101-088,09,001,01-088,537.37,488.43,48.94,4.89,4.89,495.28,574.57,9.79,5.87,0
0900101-089,09,001,01-089,1564,1236,91,33,1,1594,1217,24,30,0
0900101-090,09,001,01-090,1621.93,1884.04,120.18,31.04,7,1915.46,1625.46,36.08,32.04,0
0900101-091,09,001,01-091,750.58,857.77,52.01,17.35,6.02,922.86,703.87,17.37,13.19,0
0900101-092,09,001,01-092,763.42,1111.23,56.99,19.65,0.98,1004.14,836.13,20.63,10.81,0
0900101-093,09,001,01-093,1387.57,2072.78,124.09,27.07,4,1742.55,1696.92,49.97,29.06,0
0900101-094,09,001,01-094,3040,2523,276,35,36,2568,3290,51,30,0
0900101-095,09,001,01-095,1778,1299,158,34,16,1518,1677,42,29,0
0900101-096,09,001,01-096,949,719,77,12,14,802,937,21,13,0
0900101-097,09,001,01-097,2566.78,3589.91,168.89,82.88,5.98,2973.04,3107.32,70.81,71.83,0
0900101-098,09,001,01-098,502,705,35,11,0,581,608,13,10,0
0900101-099,09,001,01-099,2419.9,2259.57,158.14,69.39,16.08,2612.87,2090.81,47.39,48.28,0
0900101-100,09,001,01-100,108,96,7,2,0,112,97,1,1,0
0900101-101,09,001,01-101,2567.94,2485.67,172.79,67.61,24.76,2936.21,2166.74,62.61,41.9,0
0900101-102,09,001,01-102,1321.98,1223.98,97,36,6,1477.98,1113.99,28,19,0
0900101-103,09,001,01-103,835.51,912.19,63.73,25.89,0,956.01,806.64,9.96,23.9,0
0900101-104,09,001,01-104,201,187,6,3,1,215,177,1,3,0
0900101-105,09,001,01-105,3073.71,1539.53,129.88,58.46,10,3112.33,1361.13,40.55,62.45,0
0900101-106,09,001,01-106,1594.02,509.75,52.29,27.65,0,1571.63,425.61,32.54,26.66,0
0900101-107,09,001,01-107,2519.6,1156.36,89.95,54.97,0,2639.53,931.48,31.98,44.97,0
0900101-108,09,001,01-108,1829.67,695.36,49.88,33.92,0,1899.51,514.78,26.94,33.92,0
0900101-109,09,001,01-109,2675.31,457.36,54.03,43.03,0,2532.29,391.26,36.02,37.03,0
0900101-110,09,001,01-110,1041.69,285.64,23.97,19.97,1,1026.71,204.74,15.98,19.97,0
0900101-111,09,001,01-111,2221.51,1011.9,135.88,24.13,4,2117.91,1187.06,24.12,20.05,0
0900101-112,09,001,01-112,2242,1481,93,56,7,2403,1292,32,29,0
0900101-113,09,001,01-113,2118.19,1485.71,91.92,61.94,2,2300.03,1262.9,29.98,38.97,0
0900101-114,09,001,01-114,1981.81,1316.29,87.08,35.06,5,2136.97,1068.1,47.02,34.03,0
0900101-115,09,001,01-115,1448,1026,64,42,1,1604,791,28,22,0
0900101-116,09,001,01-116,1700.82,1380.45,98.61,33.42,6.16,1853.66,1193.26,43.35,32.27,0
0900101-117,09,001,01-117,2117,1356,115,47,8,2102,1482,32,38,0
0900101-118,09,001,01-118,1079.56,782.71,74.18,27.16,6.26,1047.02,877.72,22.69,17.93,0
0900101-119,09,001,01-119,2862.16,1986.6,199.34,61.09,15.02,2700.33,2268.66,58.11,30.09,0
0900101-120,09,001,01-120,2574.49,1864.2,151.95,42.27,19.07,2507.32,2023.97,38.3,24.19,0
0900101-121,09,001,01-121,2088.42,1510.08,128.53,36.46,9.59,2066.14,1613.88,40.28,25.88,0
0900101-122,09,001,01-122,326.16,278.84,32.76,5.2,2.99,315.68,320.06,5.24,7.12,0
0900101-123,09,001,01-123,1869.83,3440.26,147.04,65.15,6.98,2670.67,2659.13,27.23,35.2,0
0900101-124,09,001,01-124,2282.66,2713.52,142.59,88.78,4.01,2967.93,1978.94,64.19,43.71,0
0900101-125,09,001,01-125,463.64,567.15,33.54,18.34,0.02,628.19,395.4,12.25,14.16,0
0900101-126,09,001,01-126,1698.69,2270.68,91.48,40.15,0,2210.16,1723.74,32.68,24.27,0
0900101-127,09,001,01-127,1702,3077,106,52,10,2364,2381,34,26,0
0900101-128,09,001,01-128,978.22,1072.09,67.11,28.12,1.02,1103.96,961.68,17.19,19.17,0
0900101-129,09,001,01-129,475.75,210.7,16.97,6.17,1.89,452.95,213.96,7.89,6.69,0
0900101-130,09,001,01-130,1458,439,35,27,4,1407,388,20,21,0
0900101-131,09,001,01-131,1356.32,748.6,37.93,35.22,3.61,1448.43,570.7,28.9,27.09,0
0900101-132,09,001,01-132,145.68,80.4,4.07,3.78,0.39,155.57,61.3,3.1,2.91,0
0900101-133,09,001,01-133,1192,406,28,22,2,1244,300,18,14,0
0900101-134,09,001,01-134,791.23,323.97,20.66,17.14,1.32,805.74,271.66,10.99,12.75,0
0900101-135,09,001,01-135,1008.77,413.03,26.34,21.86,1.68,1027.26,346.34,14.01,16.25,0
0900101-136,09,001,01-136,1099.63,362.83,35.43,17.24,3.04,1075.8,366.44,16.08,18.03,0
0900101-137,09,001,01-137,357.6,118.3,11.5,5.61,0.98,350.14,119.29,5.19,5.86,0
0900101-138,09,001,01-138,2495.76,757.87,84.07,38.15,7.98,2381.05,806.27,45.73,41.1,0
0900101-140,09,001,01-140,256,78,10,13,0,250,75,3,4,0
0900101-141,09,001,01-141,0,0,0,0,0,0,0,0,0,0
0900101-142,09,001,01-142,1467,385,27,22,1,1420,360,20,19,0
0900101-143,09,001,01-143,3294,519,46,58,1,1420,459,29,37,0
0900101-144,09,001,01-144,897,306,26,9,2,881,305,9,5,0
0900101-145,09,001,01-145,70.6,35.42,3.41,1.51,0.16,73.77,28.6,1.27,1.51,0
0900101-146,09,001,01-146,820.4,411.58,39.59,17.49,1.84,857.23,332.4,14.73,17.49,0
0900101-147,09,001,01-147,1496,993,73,34,6,1617,854,20,27,0
0900101-148,09,001,01-148,2006,1262,81,40,2,2207,942,34,44,0
0900101-149,09,001,01-149,1893.67,1000.43,86.49,40.19,6.05,1631.26,795.18,41.27,41.12,0
0900101-150,09,001,01-150,1052,840,40,19,4,1213,648,16,17,0
0900101-151,09,001,01-151,1831.1,1187.41,82.46,40.11,2.15,1825.8,1212.2,36.89,18.59,0
0900101-152,09,001,01-152,1219,885,53,27,6,1382,693,19,9,0
0900101-153,09,001,01-153,1420,1237,68,22,3,1537,1093,20,25,0
0900101-154,09,001,01-154,597.13,378.18,16.44,8.65,1.73,610.11,351.36,11.25,8.65,0
0900101-155,09,001,01-155,92.87,58.82,2.56,1.35,0.27,94.89,54.64,1.75,1.35,0
0900101-156,09,001,01-156,1602.01,959.75,74.83,31.24,1.45,1652.14,926.33,21.07,14.53,0
0900101-157,09,001,01-157,551.51,330.41,25.76,10.76,0.5,568.77,318.9,7.25,5,0
0900101-158,09,001,01-158,930,499,49,8,2,925,535,22,13,0
0900101-159,09,001,01-159,1186.62,1146.77,68.59,34.2,25.03,1520.56,829.29,17.56,27.05,0
0900101-160,09,001,01-160,884.49,626.64,40.7,27.44,0,1099.49,427.64,7.63,13.99,0
0900101-161,09,001,01-161,1588.31,295.5,21.38,31.11,0.97,1611.63,186.63,8.75,24.3,0
0900101-162,09,001,01-162,549.91,346.45,18.05,14.85,0.12,641.96,242.86,6.6,10.24,0.01
0900101-163,09,001,01-163,986.21,561.89,19.38,29.06,0,1147.03,343.92,10.66,18.41,0
0900101-164,09,001,01-164,961.64,882.97,56.46,22.21,10.18,1225.42,606.23,17.59,15.73,0
0900101-165,09,001,01-165,1308,1268,70,40,2,1654,912,25,21,0
0900101-166,09,001,01-166,1384.61,1457.44,79.7,35.32,5.06,1736.07,731.98,398.27,22.18,14
0900101-167,09,001,01-167,823.18,964.19,37.01,23.01,4,1130.24,680.14,11,12.01,0
0900101-168,09,001,01-168,1153.82,1215.81,59.99,50.99,1,1505.76,850.86,19,39.99,0
0900101-171,09,001,01-171,2221.46,2470.66,130.13,52.04,29.01,2638.89,2152.27,38.03,29.03,0
0900101-172,09,001,01-172,488.73,551.43,22.89,11.94,2.99,564.37,475.79,3.98,9.95,0
0900101-173,09,001,01-173,1604.99,1361.47,85.04,58.01,11.01,1882.12,1121.32,30.99,30.02,0
0900101-174,09,001,01-174,2295.81,2481.08,121.19,36.11,5.06,2692.6,2111.34,24.1,29.05,0
0900101-175,09,001,01-175,2686.73,2887.26,135.68,65.85,26.94,3207.51,2401.39,52.88,34.92,0
0900101-176,09,001,01-176,1534,685,77,17,3,1399,887,19,16,0
0900101-177,09,001,01-177,2273,948,131,41,3,2103,1249,32,25,0
0900101-178,09,001,01-178,1273.01,502.42,56,14.2,5.52,1189.41,630.2,14.99,6.31,0
0900101-179,09,001,01-179,340.24,134.28,14.97,3.79,1.48,317.89,168.43,4.01,1.69,0
0900101-180,09,001,01-180,1201.59,459.87,45.53,14.83,2.56,1137.14,545.29,11.25,9.21,0
0900101-181,09,001,01-181,1513.94,561.49,84.35,16.01,1.23,1403.12,733.27,23.4,15.39,0
0900101-182,09,001,01-182,927,369,46,16,1,860,460,8,10,0
0900101-183,09,001,01-183,204.76,81.84,6.64,2.72,1.21,185.43,104.34,2.57,2.27,0
0900101-184,09,001,01-184,1213,440,53,6,0,1131,544,19,12,0
0900101-185,09,001,01-185,290.89,146.04,12.63,4.34,0.39,271.95,168.14,1.58,3.95,0
0900101-186,09,001,01-186,2000,1269,150,37,7,1859,1523,41,27,0
0900101-187,09,001,01-187,2204.62,1365.63,141.17,43.04,9.02,2114.49,1608.92,35.04,18.03,0
0900101-188,09,001,01-188,1825.56,1135.93,118.22,30.54,11.82,1739.85,1342.82,25.61,19.7,0
0900101-189,09,001,01-189,712.77,213.33,16,12,0,733.86,139.2,14,10,0
0900101-190,09,001,01-190,599.19,269.93,16.81,9.89,0,651.6,176.99,4.94,8.9,0.99
0900101-191,09,001,01-191,1147.41,439.13,43.47,14.17,2.44,1085.86,520.71,10.75,8.79,0
0900101-192,09,001,01-192,446.11,223.96,19.37,6.66,0.61,417.05,257.86,2.42,6.05,0
0900101-193,09,001,01-193,2299.25,1018.3,82.03,29.83,9.11,2189.05,1034.04,38.11,32.31,0
0900101-194,09,001,01-194,280.74,171.67,18.02,5.69,0,322.47,128.04,5.69,6.64,0
0900101-195,09,001,01-195,151,71,5,3,0,171,44,5,3,0
0900101-196,09,001,01-196,242.79,202.11,3.62,12.94,1,318.97,124.08,0.34,6.59,0
0900101-197,09,001,01-197,374.34,290.74,21.99,8.62,0.7,443.01,206.12,10.25,3.14,0
0900101-198,09,001,01-198,554,563,18,8,0,663,460,6,4,0
0900101-199,09,001,01-199,1151.99,460.45,37.39,15.29,6.8,1043.27,587.03,14.44,12.74,0
0900101-200,09,001,01-200,945.06,350.51,52.65,9.99,0.77,875.88,457.73,14.6,9.61,0
0900303-001,09,003,03-001,2242,1850,156,59,10,2300,1911,27,42,0
0900303-002,09,003,03-002,1660.84,1127.53,76.07,49.02,10,1712.89,1156.5,18.03,20.02,0
0900303-003,09,003,03-003,1773,1413,129,33,15,1828,1493,30,18,0
0900303-004,09,003,03-004,635,702,31,14,0,778,544,17,8,0
0900303-005,09,003,03-005,1281.4,1406.5,78.09,35.1,3.97,1638.38,991.65,22.13,27.97,0
0900303-006,09,003,03-006,1000.07,1278.74,53.43,27.92,0.15,1346.05,909.41,22.51,14.89,0
0900303-007,09,003,03-007,702.04,1082.93,57.77,18.6,0,901.79,852.83,24.48,11.75,0
0900303-008,09,003,03-008,1315.2,1749.68,107.1,46.9,5.94,1735.03,1352.91,26.25,23.01,0
0900303-009,09,003,03-009,1438.08,582.63,58.96,31.98,4,1460.06,593.62,22.99,26.98,0
0900303-010,09,003,03-010,2029.92,363.3,45.3,33.15,0.1,2072.9,334.87,17.12,37.91,0
