GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
0900303-058,09,003,03-058,230.17,228.33,13.81,1.84,1.84
0900303-059,09,003,03-059,93,12,2,2,0
0900303-060,09,003,03-060,1695,88,4,3,0
0900303-061,09,003,03-061,1650,180,6,12,0
0900303-062,09,003,03-062,899,153,10,3,0
0900303-063,09,003,03-063,1434,215,17,19,0
0900303-064,09,003,03-064,10.04,2.37,0.02,0.02,0
0900303-065,09,003,03-065,1087,65,4,3,0
0900303-066,09,003,03-066,0,0,0,0,0
0900303-067,09,003,03-067,1880,81,4,5,0
0900303-068,09,003,03-068,1713,72,2,8,0
0900303-069,09,003,03-069,690,81,6,11,0
0900303-070,09,003,03-070,735.25,91.29,4.96,3.97,0
0900303-071,09,003,03-071,345.05,40.33,1.49,5.23,0
0900303-072,09,003,03-072,116.95,13.67,0.51,1.77,0
0900303-073,09,003,03-073,1306.59,273.49,3.99,2,0
0900303-074,09,003,03-074,927.11,230.29,1.99,1.99,0
0900303-075,09,003,03-075,1561.26,309.85,2,3,0
0900303-076,09,003,03-076,1534,314,6,6,0
0900303-077,09,003,03-077,1500,319,9,5,0
0900303-078,09,003,03-078,1227,211,6,4,0
0900303-079,09,003,03-079,1251,358,10,3,1
0900303-080,09,003,03-080,1115.37,239.7,0.03,4.02,0
0900303-081,09,003,03-081,943,189,3,8,0
0900303-082,09,003,03-082,1275.63,203.3,7.97,4.98,0
0900303-083,09,003,03-083,936.75,164.71,14.04,8.03,0
0900303-084,09,003,03-084,426,59,0,1,0
0900303-085,09,003,03-085,1949,150,9,6,0
0900303-086,09,003,03-086,457,818,11,5,1
0900303-087,09,003,03-087,1698.88,656.95,34,10,2
0900303-088,09,003,03-088,3463.22,1273.71,48.94,15.13,0.02
0900303-089,09,003,03-089,2218.58,1193.95,45.69,7.06,0.99
0900303-090,09,003,03-090,3100.12,1157.05,53,18,2
0900303-091,09,003,03-091,1760.17,858.73,42.99,13.08,1.04
0900303-092,09,003,03-092,1551,934,33,11,6
0900303-093,09,003,03-093,1945.84,1138.56,35.8,8.96,0.99
0900303-094,09,003,03-094,2149.16,808.44,27.2,12.04,1.01
0900303-095,09,003,03-095,1568.02,508.61,33.38,14.73,2.95
0900303-096,09,003,03-096,2119,1861,68,11,3
0900303-097,09,003,03-097,1424,561,17,13,0
0900303-098,09,003,03-098,1131,513,6,7,0
0900303-099,09,003,03-099,1088,435,15,3,0
0900303-100,09,003,03-100,316,169,3,0,0
0900303-101,09,003,03-101,546,153,7,5,0
0900303-102,09,003,03-102,111,38,0,1,0
0900303-103,09,003,03-103,118,40,0,0,0
0900303-104,09,003,03-104,654,265,5,3,0
0900303-105,09,003,03-105,994,361,7,6,0
0900303-106,09,003,03-106,887,338,12,4,0
0900303-107,09,003,03-107,1053,461,14,5,0
0900303-108,09,003,03-108,594,259,18,3,0
0900303-109,09,003,03-109,1244.95,784.94,23.18,12.07,0
0900303-110,09,003,03-110,1922.39,1100.72,35.84,11.95,0
0900303-111,09,003,03-111,331.06,189.56,6.17,2.06,0
0900303-112,09,003,03-112,975,563,8,13,0
0900303-113,09,003,03-113,1512,683,16,9,0
0900303-114,09,003,03-114,1138,815,18,7,0
0900303-115,09,003,03-115,1523,1002,25,7,0
0900303-116,09,003,03-116,2168,1458,33,14,0
0900303-117,09,003,03-117,946,669,17,8,0
0900303-118,09,003,03-118,1172,774,22,12,0
0900303-119,09,003,03-119,1169,880,17,12,2
0900303-120,09,003,03-120,1173,948,36,6,0
0900303-121,09,003,03-121,1157,738,17,5,1
0900303-122,09,003,03-122,723,605,12,4,0
0900303-123,09,003,03-123,1368,1454,42,12,0
0900303-124,09,003,03-124,1394.14,1281.11,43.14,10.1,0
0900303-125,09,003,03-125,842,1015,16,7,0
0900303-126,09,003,03-126,1065.86,1060.89,20.86,14.9,0
0900303-127,09,003,03-127,2578,2142,42,11,1
0900303-128,09,003,03-128,2106.55,1368,44.41,18.34,1.93
0900303-129,09,003,03-129,1399.58,1139.95,24.94,10.39,0.04
0900303-130,09,003,03-130,2924.21,1643.64,53.92,20.02,3.97
0900303-131,09,003,03-131,3021.13,1557.79,49.9,22.67,1.88
0900303-132,09,003,03-132,2556.15,1494.29,72.24,17.38,1.07
0900303-133,09,003,03-133,1815.95,899.01,49.62,11.13,0.08
0900303-134,09,003,03-134,532,406,6,9,0
0900303-135,09,003,03-135,1849,1117,42,12,0
0900303-136,09,003,03-136,2890.86,1644.35,67.15,27.77,5
0900303-137,09,003,03-137,1509.26,904.23,45.22,14.08,0
0900303-138,09,003,03-138,2814.88,1558.42,50.63,18.14,0
0900303-139,09,003,03-139,1666.52,1789.02,41.43,13.15,0
0900303-140,09,003,03-140,1290.47,1338.72,25.26,7.12,2
0900303-141,09,003,03-141,1675.03,1608.95,42.92,25.02,0
0900303-142,09,003,03-142,817.81,816.05,26.47,6.22,0
0900303-143,09,003,03-143,1467.9,1624.1,20.26,8.29,0
0900303-144,09,003,03-144,1187.42,983.16,21.79,8.69,0
0900303-145,09,003,03-145,1035.37,1343.04,30.62,4.3,0
0900303-146,09,003,03-146,844.93,975.85,18.31,9.12,0
0900303-147,09,003,03-147,865.6,794.87,13.02,2.51,2
0900303-148,09,003,03-148,829.63,916.96,20.38,9.7,0
0900303-149,09,003,03-149,1192.25,1302.09,24.96,6.99,0
0900303-150,09,003,03-150,4422.01,4200.56,141.92,26.52,2.05
0900303-151,09,003,03-151,2538,867,32,15,1
0900303-152,09,003,03-152,3542,891,43,11,2
0900303-153,09,003,03-153,3869,827,42,17,1
0900303-154,09,003,03-154,3304,958,47,21,10
0900303-155,09,003,03-155,2620,1127,49,16,1
0900303-156,09,003,03-156,2684,1036,45,11,1
0900303-157,09,003,03-157,2735.85,884.42,47.73,18.89,1.99
0900303-158,09,003,03-158,3584.15,1152.58,45.27,14.11,2.01
0900303-159,09,003,03-159,2421,708,28,19,0
0900303-160,09,003,03-160,1584,1485,39,14,0
0900303-161,09,003,03-161,1017.5,519.96,24.31,6.1,0
0900303-162,09,003,03-162,1434,966,26,10,0
0900303-163,09,003,03-163,1928,1283,29,13,0
0900303-164,09,003,03-164,1620,1115,22,11,1
0900303-165,09,003,03-165,2117.33,1089.79,33.15,23.39,2
0900303-166,09,003,03-166,1407.37,202.31,11.73,2.93,0
0900303-167,09,003,03-167,2558.5,720.8,35.28,15.07,0
0900303-168,09,003,03-168,2285.12,285.89,12,10,2
0900303-169,09,003,03-169,1179,401,12,3,0
0900303-170,09,003,03-170,2374.08,1041.4,53.22,15.1,0.01
0900303-171,09,003,03-171,2288.87,862.37,29.33,12.95,1.04
0900303-172,09,003,03-172,1112.59,596.12,21.87,2.07,1.95
0900303-173,09,003,03-173,1894,1517,46,22,1
0900303-174,09,003,03-174,1834.46,1619.11,34.58,9.88,0
0900303-175,09,003,03-175,2851.25,1717.69,56.2,25.39,0
0900505-001,09,005,05-001,1154,1228,42,16,2
0900505-002,09,005,05-002,937,1393,21,15,1
0900505-003,09,005,05-003,622.11,512.66,9.36,6.5,0.01
0900505-004,09,005,05-004,442.89,210.46,6.05,2.04,1
0900505-005,09,005,05-005,403,563,19,3,0
0900505-006,09,005,05-006,755.82,248.62,8.95,12.93,0
0900505-007,09,005,05-007,548,574,17,2,0
0900505-008,09,005,05-008,354,587,15,3,0
0900505-009,09,005,05-009,409,594,10,10,0
0900505-010,09,005,05-010,1001.13,1651.61,43.41,11.22,1
0900505-011,09,005,05-011,1277,568,12,7,1
0900505-012,09,005,05-012,1835.12,1422.66,43.22,25.03,1
0900505-013,09,005,05-013,343.72,641.1,15.35,8.59,0
0900505-014,09,005,05-014,473.17,462.38,14.6,4.87,0
0900505-015,09,005,05-015,7.85,12.25,0.42,0.3,0
0900505-016,09,005,05-016,653,874,20,12,2
0900505-017,09,005,05-017,1087.35,1093.44,47.04,12,1.99
0900505-018,09,005,05-018,1018.76,1300.32,35.39,10.1,0.01
0900505-019,09,005,05-019,1495.61,1471.68,31.15,14.63,0
0900505-020,09,005,05-020,1428.62,1130.61,22.39,16.62,0
0900505-021,09,005,05-021,874.47,817.98,22.38,6.34,0
0900505-022,09,005,05-022,491,416,4,8,0
0900505-023,09,005,05-023,1153.9,1147.78,23.93,9.63,0
0900505-024,09,005,05-024,1150.68,1301.45,32.37,7.4,0
0900505-025,09,005,05-025,1460.31,1249.13,25.53,13.91,0
0900505-026,09,005,05-026,659,381,17,3,0
