GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
320019506001081,0,0,0,0,0
320019506001069,0,0,0,0,0
320019506001007,0,0,0,0,0
320019501001191,0,0,0,0,0
320019501001086,0,0,0,0,0
320019501001084,0,0,0,0,0
320019501001343,0,0,0,0,0
320019501001096,0,0,0,0,0
320019501001376,0,0,0,0,0
320019501001166,0,0,0,0,0
320019501001758,0,0,0,0,0
320019501001747,0,0,0,0,0
320019501001761,0,0,0,0,0
320019501001740,0,0,0,0,0
320019501001483,0,0,0,0,0
320019501001514,0.5,0.7,0,0,0
320019501001533,0,0,0,0,0
320019501001224,0,0,0,0,0
320019501001278,0,0,0,0,0
320019501001550,0,0,0,0,0
320019501001269,0,0,0,0,0
320019501001019,0,0,0,0,0
320019501001480,0,0,0,0,0
320019503013047,0.5,1.8,0,0,0
320019506002050,3.4,11.4,0.3,0,0.1
320019507001399,0.5,2.3,0.1,0,0
320019504001066,0,0,0,0,0
320019507002007,0.3,1.2,0,0,0
320019507003002,0,0,0,0,0
320019507003000,1.3,5.5,0.1,0,0.1
320019503021003,22.4,52.2,3.9,0.1,1.5
320019503021000,0,0,0,0,0
320019505002101,0,0,0,0,0
320019506001203,0,0,0,0,0
320019505002010,0,0,0,0,0
320019505002035,0,0,0,0,0
320019506001118,0.5,1.7,0,0,0
320019506001199,0,0,0,0,0
320019507001335,0,0,0,0,0
320019506002012,2.8,11.8,0.1,0,0.2
320019507003181,0,0,0,0,0
320019507003226,0,0,0,0,0
320019507003179,0,0,0,0,0
320019507003183,0,0,0,0,0
320019507003236,0,0,0,0,0
320019507001077,0,0,0,0,0
320019507001095,0,0,0,0,0
320019507001068,0,0,0,0,0
320019507001139,0,0,0,0,0
320019503021063,0,0,0,0,0
320019501002106,0,0,0,0,0
320019507001145,0,0,0,0,0
320019507003119,0,0,0,0,0
320019507003106,0.3,1.2,0,0,0
320019501001400,0,0,0,0,0
320019501001129,4,5.4,0.1,0.1,0.2
320019501001082,0,0,0,0,0
320019501001353,0,0,0,0,0
320019501001370,0,0,0,0,0
320019501001362,0,0,0,0,0
320019501001467,0,0,0,0,0
320019501001411,0,0,0,0,0
320019501001781,0,0,0,0,0
320019501001783,0,0,0,0,0
