GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOFUE,G20PREOLAR,G20PREOCAR,G20PREOWRI,G20USSDREE,G20USSRWAT,G20USSOWRI
44005442101,44,005,442101,810.29,275.61,5.51,1.84,0.92,1.84,11.02,813.96,251.72,1.84
44005442102,44,005,442102,1452.26,459.25,14.97,4,3,4.99,10.98,1465.18,375.35,4
44005442103,44,005,442103,546.89,159,8.99,2,0,0,1.01,548.89,134.01,0
44005442104,44,005,442104,447,107,2,0,0,0,6,449,95,0
44005442105,44,005,442105,1125,375,20,2,1,1,6,1136,314,2
44005442106,44,005,442106,1299,485,12,0,0,1,14,1292,435,0
44005442107,44,005,442107,1190,538,15,3,3,2,8,1245,436,2
44005442108,44,005,442108,656,177,5,2,1,0,2,633,168,1
44005442109,44,005,442109,325.46,70.9,1.42,1.02,1.03,1.04,1.09,316.46,52.67,1.01
44005442701,44,005,442701,73,43,3,0,0,1,0,75,42,0
44005442702,44,005,442702,203,118,5,0,1,0,2,201,109,2
44005442703,44,005,442703,1097.48,575.9,27.21,5.05,0.03,2.04,11.12,1114.24,536.93,3.02
44005442704,44,005,442704,1440.84,866.11,26.76,5.95,3.96,4.95,14.86,1535.96,744.23,2.97
44005442705,44,005,442705,460.4,322.16,10.06,1.01,1.01,2.01,5.05,472.57,289.96,2
44005442706,44,005,442706,459.84,312.19,8.98,1,1,1,8.97,472.83,297.2,0
44005442707,44,005,442707,1367.25,880.88,36.25,6.85,1.96,2.94,6.89,1468.16,758.46,2.93
44005442708,44,005,442708,1592.64,887.81,31.96,4.11,4.06,1.08,24.05,1686.79,797.6,0.1
44005443301,44,005,443301,1006.88,756.64,13.69,2.93,0.98,0,8.8,1067.49,625.65,1.96
44005443302,44,005,443302,928.46,767.95,16.34,2.88,1.92,2.88,3.84,979.41,641.08,2.88
44005443303,44,005,443303,591,424,7,3,0,1,4,603,369,4
44005443304,44,005,443304,807.65,595.4,8.97,0.18,2.1,4.12,4.36,847.1,502.27,0.16
44005443305,44,005,443305,173,145,5,0,1,0,1,185,124,0
44005443306,44,005,443306,870.65,806.54,16.74,5.91,2.95,0.99,5.91,936.63,666.71,0
44005443307,44,005,443307,831.16,557.54,17.34,2.05,1.24,0.38,4.86,845.5,501.09,0.14
44005ZZZZZZ,44,005,ZZZZZZ,0,0,0,0,0,0,0,0,0,0
44007440301,44,007,440301,597.52,889.4,22.09,2.95,2.13,2.95,6.14,699,749.16,2.24
44007440302,44,007,440302,542.57,860.99,18.76,1.1,2.07,1.1,3.22,590.33,779.03,2.09
44007440303,44,007,440303,815.16,1113.02,26.34,4.04,3.03,1.07,7.1,895.07,993.5,2.04
44007440304,44,007,440304,407.23,511.72,16.6,0.87,1.75,0.87,3.49,472.45,425.41,2.61
44007440305,44,007,440305,540.8,753.61,27.48,2.07,4.06,1.01,10.18,614.77,685.57,3.05
44007440306,44,007,440306,539.58,775.15,14.66,1.95,1.95,0,6.84,611.91,664.7,1.95
44007440401,44,007,440401,542.02,157.42,8.94,2.68,3.58,0.89,4.47,523.24,109.12,0.89
44007440402,44,007,440402,237,114,0,0,2,0,4,237,66,0
44007440403,44,007,440403,560.11,214.97,5.88,2.95,3.93,3.92,1.99,546.27,116.92,1.97
44007440404,44,007,440404,524,148,4,1,10,0,1,508,79,3
44007440405,44,007,440405,209.12,79.03,0,0,1,0,0,205.11,43.02,0
44007440406,44,007,440406,325.99,171.42,0.99,1.98,2.97,0,1.98,333.92,99.09,0.99
44007440407,44,007,440407,138,56,0,0,0,0,0,131,25,1
44007440408,44,007,440408,471.84,146.4,3.96,0.99,2.97,2.97,1.98,452.05,102.87,0
44007440701,44,007,440701,984.85,553.51,10.96,4.25,2.99,1,3.98,1039.26,414.15,2.99
44007440702,44,007,440702,828.49,466.35,7.09,3.02,4.02,3,4.02,908.27,325.33,3
44007440703,44,007,440703,537.51,520.65,10.91,2.98,2.98,0,2.98,629.73,398.67,0
44007440704,44,007,440704,218.23,120.64,3.01,0.01,1,0.01,1,238.26,92.46,2.01
44007440705,44,007,440705,238,146,1,1,0,0,6,250,125,0
44007440706,44,007,440706,803.31,1116.03,15.64,1.95,3.91,0.98,7.82,987.03,899.08,0.98
