GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWHI,G18USSRFLA,G18USSOWRI,G18GOVDRAI,G18GOVRFUN,G18GOVITRI,G18GOVIMUN,G18GOVOGIL,G18GOVOARM,G18GOVOWRI,G18LTGDMCK,G18LTGRPEN,G18LTGIRIC,G18LTGIMCC,G18LTGOHEL,G18LTGOWRI,G18ATGDNER,G18ATGOGOR,G18ATGOWRI,G18TREDMAG,G18TRERRIL,G18TREOWRI,G18SOSDGOR,G18SOSRCOR,G18SOSOWRI
44007443003,44,007,443003,745,988.8,8.9,586.4,961.8,87.9,31.8,51,15.9,8,765,735.5,59.8,82.5,41.8,5,1101,404.9,13.1,823.9,877.9,0,875.4,818.3,2
44007443101,44,007,443101,775.5,819.7,2,622.1,804.4,82.5,28.2,44.3,12.5,7.3,799.5,554.2,51.5,110.1,42.3,5.4,1111.2,319.1,17.2,868.8,694.4,1.1,901.7,663.5,1.1
44007443102,44,007,443102,658.2,624.3,0,527.3,593.2,73.7,28.1,48.5,10.7,5.8,655.3,419.7,45.6,77.6,33.9,11.6,861.8,279.2,11.6,733.8,507.9,0,741.6,507.9,1.9
44007443103,44,007,443103,708,738.1,3,555.5,727.9,77.4,25.1,40.2,18.1,2,730.2,485.9,54.4,75.1,47.2,5.1,995.4,302,19,790.4,611.4,4,819.5,588.5,2
44007443104,44,007,443104,855.4,869.3,2,689.3,836.1,89.6,37.2,45.3,11.1,5.1,866.4,582.6,63.4,103.6,66.4,3,1210.7,346.9,12.1,912.8,770.6,0,970,711.3,2
44007443105,44,007,443105,754.7,689,2.8,619.1,652.4,77.2,29.2,48,16,3.8,789.5,468.7,38.6,71,37.5,3.8,1045.1,252.7,12.2,825.1,574.5,0.9,864.7,535.8,0.9
44007443106,44,007,443106,689.3,682.6,4,574.2,656.8,61,23,31,13,6,692.4,497.4,42,66.2,41.9,2,938.4,318.4,10,737.5,605.4,1,764.5,575.5,0
44007443901,44,007,443901,109,40,0,91,35,3,6,6,5,0,97,35,2,6,3,3,107,30,3,103,41,0,110,36,0
44007443902,44,007,443902,389.9,138.2,1,342.5,133.2,21.7,7.9,14.8,5.9,2,388.9,95.7,11.8,5.9,11.8,0,402.7,90.8,2,372.1,127.3,0,384,115.5,0
44007443903,44,007,443903,260,120.1,0,233.3,109,18.4,8.1,7.2,6.1,0,238.3,89.1,14.2,9.1,12.3,1,258,79.5,1,242.4,99.6,0,247.5,106.6,0
44007443904,44,007,443904,530.3,229.8,5,459.4,233.8,32,13,13,13,2,526.3,163.9,21,16,23,1,545.3,162.8,10,519.3,208.8,2,562.2,181.8,2
44007443905,44,007,443905,469.1,324.1,3.1,404.1,293.1,37.2,13.7,27.5,15.8,1.2,481.5,222.8,22.2,18.1,28.3,1.1,537.5,187.8,7.4,492.2,264.6,0.1,495.4,276.1,0.1
