GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35029000017,35,029,000017,32.7,20.1,4.7,0.6,0.3,0.1,0,0.1,32.3,23.6,34.2,21.4,33.7,21.3
35031000001,35,031,000001,50.8,278.3,48.7,6.1,2,2,0,1,94.1,274.2,90.1,274.2,86,277.1
35031000002,35,031,000002,65,113,28,3,1,1,0,1,68,127,72,126,69,125
35031000003,35,031,000003,56.7,82,13.1,1.9,3.6,0,0,0,66,84.4,72.4,77.1,61.4,84.3
35031000004,35,031,000004,45.7,254.5,40.8,6.8,1.9,0,1,0,64.1,245.8,62.2,244.8,60.2,243.8
35031000005,35,031,000005,104,501,54,11,4,0,1,1,134,479,142,462,131,472
35031000006,35,031,000006,82.9,512.3,86.1,7,5.2,1.9,4.9,0,127.7,511.5,161.3,475.8,125.2,496.9
35031000007,35,031,000007,57.6,357.6,48.7,5,4,1,4,1,110.2,343.7,112.2,332.7,94.4,342.7
35031000008,35,031,000008,26.4,187.3,28.7,6.6,1.9,0,2.9,0,43.4,192.9,56.3,178.7,44.3,188.9
35031000009,35,031,000009,47.9,277.5,66.9,5,1,0,3,1,87.8,289.4,83.8,295.4,85.8,289.4
35031000010,35,031,000010,51.6,313.4,50.2,4.4,2.4,0,1,1,74.4,322.1,89.4,298.2,77.2,306.8
35031000011,35,031,000011,31,110,35,2,0,1,0,0,43,126,45,115,51,107
35031000012,35,031,000012,15.3,44.3,8.4,0,0,0,1,0,17.4,40.3,19.3,37.4,21.4,36.3
35031000013,35,031,000013,33.7,161,50.3,4.9,0,1,2,1,54.3,176.7,45.5,184.6,59.3,172.7
35031000014,35,031,000014,152.7,337.1,95,5,2.1,0,2,0,158.6,399.4,161.7,386.3,153.7,376.2
35031000015,35,031,000015,90.3,246.3,58.1,4,2,3,0,0,85.8,263.4,83.6,256.6,104.5,224.9
35031000016,35,031,000016,61,182,36,5,2,0,1,1,78,184,80,180,61,193
35031000017,35,031,000017,215,263,76,12,6,5,2,1,233,328,261,293,234,313
35031000018,35,031,000018,21.3,79.2,7.8,2.9,0,1.9,0,0,27.1,81.1,40.5,66.7,22.2,83.1
35031000019,35,031,000019,89.3,308.8,69.5,11.8,2.6,0.8,0.1,0,105.7,340.5,102.2,339.4,101.3,335.2
35031000020,35,031,000020,110.4,330,65.7,5.2,1.2,0.1,3.2,1,136.8,349,144.9,332.9,122.8,348.6
