GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR
35053000005,35,053,000005,76.25,118.83,33.67,0.99,0,0,0.99,0,83.18,135.67,85.17,134.68,67.34,150.52
35053000006,35,053,000006,105,140,46,5,9,0,1,0,133,165,140,156,124,167
35053000007,35,053,000007,12,53,11,0,0,0,0,0,12,61,15,58,14,60
35053000008,35,053,000008,203,298,81,9,6,0,2,1,268,318,272,305,240,329
35053000009,35,053,000009,28.54,12.79,5.9,0.98,0.98,0,0,0,29.52,19.68,35.43,12.79,30.51,16.73
35053000010,35,053,000010,23,48,12,0,0,0,0,0,29,50,27,52,26,51
35053000011,35,053,000011,251.58,154.59,36.97,8.71,1.95,0,0.97,0,245.85,195.3,281.63,156.57,246.79,185.6
35053000012,35,053,000012,15.32,2.65,1.21,0.01,0,0,0,0,15.27,3.89,16.4,2.75,16.38,2.77
35053000013,35,053,000013,204.1,147.37,39.18,3.04,2.98,0,0.99,0,213.96,167.74,220.1,154.53,211.24,161.41
35053000014,35,053,000014,168.31,89.63,16.93,0,1.99,0,0,0,166.32,101.58,170.3,96.6,163.33,98.59
35053000015,35,053,000015,83,467,90,0,2,3,6,0,157,396,133,390,126,382
35053000016,35,053,000016,15.76,2.95,0,0,0,0,0,0,12.8,5.91,16.74,1.97,14.77,3.94
35053000017,35,053,000017,29.67,36.05,5.26,0.02,1.02,0,0.01,0,30.74,36.26,36.78,31.18,24.64,42.29
35053000018,35,053,000018,152.33,237.95,59.74,4.98,4.98,1,1.99,0,168.26,285.74,177.22,266.82,146.36,292.71
35053000019,35,053,000019,196,125,33,3,1,1,0,0,194,159,209,145,207,142
35053000020,35,053,000020,86.35,114.38,18.48,2,0,0,1,0,88.42,125.45,107.83,107.97,88.28,123.38
35053000021,35,053,000021,3.86,4.79,0.18,0.02,0.02,0,0,0,3.89,4.91,4.05,4.72,3.88,4.85
35053000022,35,053,000022,50.57,19.36,9.33,1.25,0.05,0,0.04,0,47.48,28.63,48.48,21.56,42.35,25.51
35053000023,35,053,000023,44,53,13,1,0,3,0,0,50,63,60,53,47,66
35053000024,35,053,000024,116.52,79.64,15.55,1.94,0,0,0,0,114.6,96.13,120.42,86.43,122.35,84.5
35053000025,35,053,000025,31.49,45.07,6.43,0,0,0,0,0,32.36,46.04,37.94,39.54,30.55,45.09
35053000026,35,053,000026,5,2,0,0,0,0,0,0,4,3,5,2,5,2
35053000027,35,053,000027,225,139,38,2,2,2,1,1,214,181,228,167,217,173
35055000001,35,055,000001,54,215,15,46,0,2,1,0,55,268,69,242,62,248
35055000002,35,055,000002,22.97,90.87,6.99,1,0,0,0,0,30.95,88.87,21.97,93.86,20.97,96.86
35055000003,35,055,000003,27.96,57.46,8.37,11.18,0.03,0,0,0,26.22,75.63,29.23,72.52,27.89,74.81
35055000004,35,055,000004,74.09,239.17,26.79,13.74,2.02,0,0,0,91.08,253.66,92.83,244.78,69.84,264.65
35055000005,35,055,000005,67.68,205.87,38.65,11.87,0.99,0,0.99,0,77.59,237.56,85.56,217.72,61.79,247.4
35055000006,35,055,000006,113.39,287.37,58.15,4.08,1.01,1,0,0,134.49,310.45,146.49,291.4,102.36,337.51
35055000007,35,055,000007,189.93,87.92,38.98,0.16,1.83,0,0.01,0,200.25,110.24,223.32,78.86,209.22,87.56
35055000008,35,055,000008,36.67,168.96,14.98,12.31,1.06,0,0.94,0.94,41.74,186.86,59.13,169.89,40.65,184.19
35055000009,35,055,000009,92.81,499.07,44.2,36.04,1.51,0,0.54,0.06,116.24,534.87,145.21,493.87,109.36,524.17
35055000010,35,055,000010,49,247,22,6,0,0,0,1,54,270,58,256,51,262
35055000011,35,055,000011,47.94,334.02,32.23,19.57,0.55,0,1.65,0,68.05,353.03,80.16,329.9,66.67,342.56
35055000012,35,055,000012,103.68,517.08,43.2,21.27,0,0,1.33,0,129.6,535.02,154.86,501.79,112.99,537.02
35055000013,35,055,000013,16,408,42,18,0,0,0,0,38,430,97,359,46,403
35055000014,35,055,000014,88,292,28,17,0,0,3,0,81,330,91,315,64,340
35055000015,35,055,000015,102.84,486.23,46.21,30.59,1.3,0,1.95,0,115.21,524.63,139.95,492.09,111.31,515.52
35055000016,35,055,000016,63,347,41,33,1,0,1,0,82,383,113,348,83,376
35055000017,35,055,000017,64.39,303.02,35.98,17.68,0.95,0,0,0.32,78.91,327.96,93.12,305.55,69.76,326.7
35055000018,35,055,000018,108.71,373.38,41.19,33.08,2.03,0,0.68,0,108.03,430.1,156.65,378.11,126.26,393.64
35055000019,35,055,000019,64.41,233.21,16.63,9.2,0.35,0,0.35,0,64.76,248.78,78.21,228.26,59.81,246.3
