GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05069000902,72,0,0,0,72,0,0,58,0,0,0,58,0,0,18.22,8.69,55310,93783,00026,1,4
05069001401,2186,7,1565,7,602,8,4,1567,6,1240,6,303,8,4,492.33,234.9,55310,93783,05410,1,4
05069001402,3560,2,656,2,2893,2,7,2440,1,473,1,1959,2,4,766.61,365.77,55310,93783,13930,1,4
05069001501,3803,29,2514,29,1198,24,38,2716,13,1964,13,690,15,21,853.33,407.15,55310,93783,13930,1,4
05069001502,3735,25,2698,25,980,7,24,2982,22,2221,22,694,6,17,936.9,447.02,55310,93783,00026,1,4
05069001901,2174,12,1216,12,935,2,9,1451,4,909,4,526,1,7,157,63,55310,93783,00026,1,4
05069001902,2139,15,750,15,1354,1,15,1588,8,646,8,913,1,12,498.93,238.05,55310,93783,00026,1,4
05069002103,4658,19,3265,19,1339,24,11,3494,14,2486,14,950,21,9,375,381,55310,93450,13930,1,4
05069002104,3915,7,3751,7,119,25,13,2913,4,2795,4,85,17,8,123,146,55310,93570,13930,1,4
05071009517,3445,49,3367,49,2,24,1,2555,26,2482,26,2,18,1,51,94,NA,92046,04380,3,3
05071009518,3547,31,3474,31,13,27,2,2671,19,2608,19,7,16,2,160,164,14500,91491,14020,3,3
05071009519,2437,70,2222,70,91,6,42,2010,69,1765,69,67,6,34,456,453.24,14140,93447,04380,3,3
05071009520,2242,27,2075,27,127,9,4,1730,21,1599,21,81,6,2,392.48,390.1,14140,93447,04380,3,3
05071009521,2710,17,2598,17,73,6,16,2074,6,2005,6,38,5,14,470.52,467.67,14140,93447,04380,3,3
05071009522,3840,27,3773,27,0,31,8,2821,16,2763,16,0,21,5,243,302,38290,92910,08700,3,3
05073009701,6127,24,3562,24,2518,10,12,4446,17,2740,17,1656,10,6,1200,1130,66320,90090,12780,1,4
05073009702,1014,3,665,3,343,1,1,747,2,488,2,253,1,1,118.5,114.41,9550,93489,12780,1,4
05073009703,2502,14,1640,14,838,5,4,1806,6,1256,6,532,2,4,286.5,276.59,8290,93201,03510,1,4
05075009701,1780,1,1745,1,11,14,9,1383,1,1354,1,8,10,9,1021,930,56720,90627,13740,2,1
05075009702,4143,15,4067,15,0,59,2,3091,10,3024,10,0,45,2,46,173,6700,90345,12480,2,1
05075009703,1861,12,1839,12,1,8,0,1397,7,1378,7,0,5,0,95,130,67250,92562,12900,2,1
05075009704,2194,2,2179,2,0,13,0,1617,2,1604,2,0,9,0,61,46,700,92385,07990,2,1
05075009705,7479,30,7338,30,76,30,5,5709,21,5586,21,56,22,3,493,448,72890,90627,13740,2,1
05077009701,1903,60,1063,60,773,3,4,1338,31,788,31,481,3,4,349.72,193.23,30880,93699,09360,2,1
05077009702,2482,48,1265,48,1166,1,2,1701,25,943,25,705,1,2,47,96,46910,91302,09360,2,1
05077009703,6235,39,1977,39,4174,5,40,3980,26,1544,26,2349,5,30,1040.28,574.77,44120,91821,09360,2,1
05077009704,2433,27,1070,27,1334,2,0,1738,14,812,14,896,2,0,190,129,60590,93459,09360,2,1
05079009601,2062,51,1043,51,943,20,5,2038,51,985,51,928,20,3,27,45,NA,90075,06750,1,4
05079009602,3905,41,1404,41,2433,18,6,3007,34,1212,34,1704,18,5,228,105,27730,90786,06750,1,4
05079009603,2437,29,1658,29,745,5,0,1802,20,1282,20,475,5,0,109,95,66440,93963,00028,1,4
05079009604,2944,11,2550,11,369,14,0,2077,8,1825,8,226,10,0,158,132,66440,93453,00028,1,4
05079009605,2342,20,1902,20,406,6,8,1704,12,1432,12,239,4,5,650,570,66440,90639,00028,1,4
05081000301,8089,98,5862,98,2072,48,9,5862,75,4344,75,1332,30,6,898,734,2380,91935,02580,1,4
05081000302,2723,47,2016,47,629,29,2,2011,34,1510,34,414,17,2,114,65,24250,91863,06240,1,4
05081030398,3154,15,2877,15,223,37,2,2282,9,2084,9,153,25,2,70,37,75980,90858,02580,1,4
05083009501,3443,26,3390,26,5,22,0,2565,16,2515,16,4,14,0,81,100,62960,93195,12180,3,3
05083009502,3684,43,3422,43,181,24,13,2585,20,2404,20,118,16,7,157,198,12190,93390,04740,3,3
05083009503,4172,27,4069,27,55,14,3,3142,18,3061,18,30,13,2,726,734,53480,93372,11130,3,3
05083009504,2777,10,2745,10,0,21,1,2033,5,2008,5,0,15,0,260,344,43310,93114,09150,3,3
05083009505,3922,22,3872,22,0,22,6,2867,15,2819,15,0,14,4,845,872,7720,90405,03450,3,3
05083009506,2559,15,2492,15,31,20,1,1899,14,1827,14,31,12,1,55,65,43310,93621,03450,3,3
05085000201,9564,33,9459,33,12,44,15,6719,20,6627,20,7,33,12,416,490,73130,93879,03750,4,1
05085000202,9837,103,9595,103,17,69,52,6722,54,6527,54,8,45,34,1134,1519,10300,94131,03750,4,1
05085000203,5523,37,5336,37,102,19,29,3952,31,3793,31,66,14,17,114,103,NA,92283,09060,4,1
05085000204,3179,5,2838,5,326,2,6,2387,5,2153,5,219,2,3,547,515,11500,90663,03960,4,1
05085000205,4415,19,3311,19,1058,22,4,3224,14,2532,14,644,17,3,1040,744,41420,92283,09060,4,1
05085000206,1469,20,957,20,492,0,0,1056,14,680,14,348,0,0,20,17,36550,93171,09060,4,1
05085000207,3636,12,2575,12,1042,3,0,2600,11,1935,11,640,3,0,547,441,21730,91569,05850,4,1
05085000208,1645,17,1145,17,480,1,2,1200,12,872,12,301,1,2,77,154,33820,90972,05850,4,1
05087009601,2685,26,2644,26,0,13,2,1953,9,1922,9,0,11,2,98,191,32470,90009,08130,3,3
05087009602,2614,21,2549,21,0,43,1,1968,9,1917,9,0,32,1,460,624,33970,93888,08130,3,3
05087009603,3472,43,3394,43,1,34,0,2590,22,2525,22,1,20,0,41,34,62060,92481,08130,3,3
05087009604,2847,21,2767,21,2,47,10,2043,11,1987,11,2,28,4,9,56,62060,92055,08130,3,3
05089009601,3015,22,2967,22,0,12,10,2306,14,2258,14,0,11,9,59,79,77330,93702,14490,3,3
05089009602,5581,18,5515,18,6,30,10,4176,10,4124,10,2,20,10,402,517,77330,94020,14490,3,3
05089009603,3405,8,3383,8,0,10,4,2907,3,2890,3,0,7,4,34,33,9790,91893,06150,3,3
05091000201,3099,34,2825,34,217,14,9,2444,27,2226,27,144,13,7,459.92,464.95,68810,91434,13110,1,4
05091000202,3303,25,2385,25,850,15,26,2464,15,1844,15,565,8,17,463.69,468.75,68810,91434,13110,1,4
05091000203,564,6,318,6,219,5,16,499,6,289,6,187,5,6,93.9,94.93,68810,91434,13110,1,4
05091000204,2416,31,1670,31,697,5,10,1578,17,1225,17,309,5,5,296.96,300.2,68810,91434,13110,1,4
05091000205,3292,17,2133,17,1133,6,2,2306,10,1647,10,634,3,2,433.96,438.7,68810,91434,13110,1,4
05091000208,3003,22,2694,22,278,4,2,2194,18,1975,18,178,3,2,412.88,417.39,68810,91434,13110,1,4
05091000209,6138,52,5163,52,887,19,17,4368,26,3686,26,603,17,10,821.99,830.97,25780,91434,13110,1,4
05091000210,6958,68,6502,68,325,60,2,4940,39,4577,39,245,38,2,929.64,939.79,24640,90207,06360,1,4
05091020698,2421,12,203,12,2203,3,0,1563,6,146,6,1404,1,0,294.13,297.35,68810,91434,13110,1,4
05091020798,7273,43,5372,43,1793,13,51,5372,30,4051,30,1217,13,31,1010.93,1021.97,68810,91434,13110,1,4
05093000101,3488,39,1254,39,2158,25,12,2364,25,1043,25,1244,16,11,480.42,374.65,7330,90783,03320,2,1
05093000102,6978,43,4630,43,2235,19,50,4885,32,3559,32,1220,12,30,992.75,774.17,7330,90783,03320,2,1
05093000103,5941,40,2072,40,3781,8,39,3897,24,1573,24,2246,6,24,791.96,617.59,7330,90783,03320,2,1
