GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
23025009859,23,025,009859,1806,7,1782,7,4,11,1,1296,3,1279,3,4,6,1,195,370,NA,31705,31740,NA,NA,14500,2,2
23025009860,23,025,009860,4190,43,4122,43,9,5,7,3061,27,2992,27,5,5,5,564,968,NA,58970,59005,NA,NA,14610,2,2
23025009861,23,025,009861,2644,7,2622,7,8,5,2,1847,6,1826,6,3,4,2,269,281,NA,NA,14555,NA,NA,14590,2,2
23025009862,23,025,009862,2146,3,2127,3,2,8,6,1543,3,1529,3,0,3,5,167,185,NA,4965,5000,NA,NA,10650,2,2
23025009863,23,025,009863,1737,5,1714,5,1,13,4,1317,3,1302,3,0,7,2,83,139,NA,NA,23410,NA,NA,14767,2,2
23025009864,23,025,009864,2382,10,2357,10,0,13,2,1764,6,1741,6,0,9,2,369,485,NA,NA,1395,NA,NA,14767,2,2
23025009865,23,025,009865,4725,22,4671,22,5,20,3,3525,13,3483,13,4,11,1,787,770,NA,42625,42660,NA,NA,14560,2,2
23025009866,23,025,009866,4658,7,4616,7,2,18,15,3522,4,3491,4,1,11,11,769.4,876.27,NA,68875,68910,NA,NA,14590,2,2
23025009867,23,025,009867,4067,8,4022,8,3,17,13,2937,2,2911,2,2,11,9,641.6,730.73,NA,68875,68910,NA,NA,14590,2,2
23025009868,23,025,009868,6718,22,6641,22,14,13,28,4867,11,4817,11,5,8,15,1096,1126,NA,24285,24320,NA,NA,14330,2,2
23025009869,23,025,009869,3105,10,3077,10,5,9,2,2213,4,2193,4,3,7,2,385,567,NA,49800,49835,NA,NA,14590,2,2
23025009870,23,025,009870,1966,11,1941,11,1,5,8,1385,6,1365,6,1,3,4,94,108,NA,NA,73845,NA,NA,14590,2,2
23027000000,23,027,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,614,NA,NA,74475,NA,NA,14640,2,2
23027000410,23,027,000410,3175,17,3137,17,2,5,14,2210,6,2182,6,2,5,9,481,618,NA,86725,86760,NA,NA,10950,2,2
23027000420,23,027,000420,5548,32,5473,32,9,17,15,4069,15,4016,15,6,9,8,245,320,NA,66600,66635,NA,NA,14640,2,2
23027000430,23,027,000430,6355,27,6290,27,6,22,10,4830,21,4764,21,3,15,6,913,1455,NA,3950,3950,NA,NA,11340,2,2
23027000440,23,027,000440,3589,24,3554,24,3,4,4,2792,15,2752,15,3,4,3,169,284,NA,NA,39755,NA,NA,07450,1,1
23027000450,23,027,000450,4582,21,4548,21,1,5,7,3250,13,3217,13,1,1,5,143,199,NA,NA,39055,NA,NA,11520,1,1
23027000460,23,027,000460,5896,31,5823,31,10,19,12,4312,16,4249,16,8,12,11,229,382,NA,NA,56450,NA,NA,11520,1,1
23027000470,23,027,000470,3873,18,3837,18,7,5,5,2716,7,2690,7,3,5,4,148,168,NA,NA,46475,NA,NA,11520,2,2
23029009551,23,029,009551,2473,11,1903,11,2,553,4,1775,3,1464,3,1,303,1,40,51,34750,NA,53500,NA,NA,82012,2,2
