GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
49035001015,49,035,001015,3147,105,2688,105,28,40,272,2843,86,2357,86,27,33,254,624.17,815.29,NA,67000,93010,00870,3,2
49035001016,49,035,001016,3454,137,3088,137,24,28,177,3098,106,2689,106,22,23,152,680.15,888.42,NA,67000,93010,00870,3,2
49035001017,49,035,001017,3102,211,2471,211,68,70,276,2826,153,2176,153,54,39,251,620.43,810.41,NA,67000,93010,00870,3,2
49035001018,49,035,001018,2532,239,2047,239,49,109,84,2124,154,1639,154,34,67,76,466.31,609.1,NA,67000,93010,00870,3,2
49035001019,49,035,001019,1848,156,1533,156,35,45,78,1845,137,1440,137,32,35,64,405.06,529.09,NA,67000,93010,00870,3,2
49035001020,49,035,001020,2540,443,1683,443,103,189,115,2142,283,1312,283,73,113,78,470.26,614.26,NA,67000,93010,00870,3,2
49035001021,49,035,001021,1113,117,873,117,39,46,37,1155,104,842,104,35,36,34,253.57,331.22,NA,67000,93010,00870,3,2
49035001022,49,035,001022,577,12,539,12,11,4,11,576,12,527,12,11,4,10,126.46,165.18,NA,67000,93010,00870,3,2
49035001023,49,035,001023,2679,763,1577,763,141,76,119,2931,656,1374,656,110,44,91,643.49,840.52,NA,67000,93010,00870,3,2
49035001024,49,035,001024,527,119,314,119,19,30,45,485,79,257,79,19,23,28,106.48,139.08,NA,67000,93010,00870,3,2
49035001025,49,035,001025,937,151,646,151,48,46,46,1042,148,616,148,45,39,46,228.77,298.81,NA,67000,93010,00870,3,2
49035001026,49,035,001026,3224,772,2004,772,85,57,293,2757,493,1498,493,66,39,168,605.29,790.63,NA,67000,93010,00870,3,3
49035001027,49,035,001027,6166,1635,3746,1635,172,182,415,5199,929,2885,929,115,108,233,1141.41,1490.92,NA,67000,93010,00870,3,3
49035001028,49,035,001028,7520,1327,5136,1327,200,113,724,5653,738,3621,738,100,57,399,1241.09,1621.11,NA,67000,93010,00870,3,3
49035001029,49,035,001029,2744,533,1968,533,54,67,114,2339,306,1582,306,30,41,74,513.52,670.76,NA,67000,93010,00870,3,2
49035001030,49,035,001030,2790,490,1983,490,67,88,154,2324,287,1552,287,42,58,98,510.22,666.45,NA,67000,93010,00870,3,2
49035001031,49,035,001031,4065,611,3089,611,41,103,215,3287,346,2365,346,21,58,151,721.64,942.62,NA,67000,93010,00870,3,2
49035001032,49,035,001032,4506,553,3675,553,43,79,147,3807,334,2944,334,31,57,107,835.81,1091.74,NA,67000,93010,00870,3,2
49035001033,49,035,001033,3567,243,3153,243,49,27,91,3009,173,2527,173,32,25,79,660.61,862.89,NA,67000,93010,00870,3,2
49035001034,49,035,001034,4245,276,3804,276,36,30,98,3421,171,2961,171,27,24,67,751.06,981.04,NA,67000,93010,00870,3,2
49035001035,49,035,001035,4155,240,3709,240,48,24,132,3238,163,2778,163,31,14,89,710.89,928.56,NA,67000,93010,00870,3,2
49035001036,49,035,001036,2852,91,2725,91,1,5,30,2094,62,1942,62,0,3,25,459.73,600.5,NA,67000,93010,00870,3,2
49035001037,49,035,001037,2629,61,2518,61,8,2,40,1975,36,1867,36,5,2,29,433.6,566.37,NA,67000,93010,00870,3,2
49035001038,49,035,001038,2328,82,2200,82,6,8,31,1821,55,1675,55,4,6,26,399.79,522.21,NA,67000,93010,00870,3,2
49035001039,49,035,001039,3601,124,3380,124,20,2,69,2697,82,2467,82,10,1,55,592.11,773.42,NA,67000,93010,00870,3,2
49035001040,49,035,001040,3184,73,3046,73,4,3,55,2363,46,2229,46,3,2,37,518.78,677.64,NA,67000,93010,00870,3,2
49035001041,49,035,001041,3121,66,3008,66,8,2,37,2122,35,2022,35,3,1,26,465.87,608.53,NA,67000,93010,00870,3,2
49035001042,49,035,001042,6539,85,6280,85,7,5,158,5024,63,4771,63,4,4,119,1102.99,1440.74,NA,67000,93010,00870,3,2
49035001043,49,035,001043,2669,71,2497,71,6,14,81,2189,57,1994,57,4,11,66,480.58,627.74,NA,67000,93010,00870,3,2
