GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29183310901,1878,35,1725,35,85,2,31,1387,17,1279,17,51,1,22,211.21,453.24,64082,25998,NA,28920,1,1
29183310903,3645,57,3432,57,117,10,24,2630,38,2437,38,90,8,19,400.49,859.43,64082,25998,NA,28920,1,1
29183310998,4707,51,4490,51,114,9,40,3383,31,3207,31,84,5,25,515.15,1105.49,64082,25998,NA,28950,1,1
29183311098,7290,102,6928,102,186,14,54,5938,75,5600,75,135,11,42,904.22,1940.41,64082,25998,NA,28950,1,1
29183311102,11924,119,11476,119,218,27,82,7672,74,7340,74,115,18,51,1168.27,2507.05,65126,30812,NA,28950,5,9
29183311103,1118,7,1092,7,14,5,0,798,3,786,3,4,2,0,121.52,260.77,78314,7232,NA,28950,5,9
29183311104,6995,91,6772,91,87,11,31,4743,57,4546,57,56,8,19,722.25,1549.91,54074,18244,NA,28950,5,9
29183311198,11119,97,10706,97,178,24,112,7933,70,7585,70,116,13,79,1208.02,2592.34,65126,30812,NA,28950,5,1
29183311202,9379,89,9054,89,144,15,74,6128,55,5871,55,87,11,49,933.16,2002.5,65126,69434,NA,28950,1,1
29183311203,5737,51,5447,51,170,19,49,3873,27,3666,27,108,10,35,589.77,1265.62,65126,69434,NA,08370,1,1
29183311204,4036,52,3777,52,130,5,70,2548,31,2358,31,83,3,42,388,832.63,65126,69434,NA,28950,1,1
29183311298,5821,59,5531,59,148,9,73,4189,37,3948,37,109,7,51,637.89,1368.88,64082,69434,NA,28950,1,1
29183311301,16223,186,15488,186,349,30,169,10535,127,9928,127,224,19,110,1604.24,3442.62,65126,65130,NA,28950,5,1
29183311302,6134,59,5921,59,67,21,65,4064,35,3893,35,37,13,51,618.86,1328.03,65126,16681,NA,28950,5,9
29183311401,2455,34,2365,34,44,2,10,1901,26,1809,26,32,1,7,289.48,621.21,65126,65130,NA,08370,5,1
29183311402,7096,66,6907,66,83,4,36,4824,38,4668,38,55,4,21,734.59,1576.38,65126,16681,NA,08370,5,9
29183311501,1547,17,1509,17,9,4,8,1084,10,1051,10,6,2,5,165.07,354.23,65126,62112,NA,08370,5,1
29183311701,8122,128,7868,128,49,40,35,5347,77,5123,77,28,21,21,814.23,1747.29,54074,16681,NA,08370,5,9
29183311702,6979,83,6774,83,65,33,18,4653,64,4451,64,37,25,12,708.55,1520.5,54074,16681,NA,08370,5,9
29183311901,3879,70,3651,70,137,4,17,2662,34,2494,34,86,1,13,405.36,869.89,40178,18244,NA,31650,5,9
29183311902,2835,58,2676,58,72,5,24,2012,36,1875,36,46,3,16,306.38,657.48,40178,18244,NA,31650,5,9
29183311903,5117,77,4842,77,137,8,52,3896,53,3656,53,95,4,35,593.27,1273.13,40178,18244,NA,31650,5,9
29183312201,3430,25,3374,25,9,13,5,2516,16,2469,16,3,9,3,383.13,822.18,2512,7232,NA,28950,5,9
29183312202,5129,38,4758,38,295,12,23,3651,27,3345,27,223,9,20,555.96,1193.07,52148,7232,NA,28950,5,9
29185009801,3636,8,3610,8,2,13,3,2782,5,2756,5,2,11,3,267,384,44282,10108,NA,03120,4,4
29185009802,2511,11,2475,11,1,23,1,1913,11,1871,11,1,18,1,100,151,63074,63092,26940,31460,4,4
29185009803,2310,14,2271,14,19,5,1,1809,7,1770,7,19,5,1,39,43,55388,55406,NA,23270,4,4
29186009901,4657,13,4632,13,6,6,0,3366,9,3340,9,4,4,0,524,440,62876,74968,29400,29370,3,3
29186009902,5229,18,5160,18,16,14,20,3890,13,3834,13,12,8,10,981.62,1087.21,64180,70612,NA,29370,3,3
29186009903,3506,7,3491,7,0,6,2,2426,3,2415,3,0,3,2,612.18,678.04,62876,70612,NA,29370,3,3
29186009904,2645,11,2605,11,23,4,2,1899,8,1857,8,20,4,2,479.2,530.75,65034,3790,29400,29370,3,3
29187009501,6248,23,6189,23,12,15,9,4726,16,4669,16,5,12,8,917.08,1121.62,7102,57098,29820,05430,3,8
29187009503,4629,6,4597,6,12,6,6,3325,5,3295,5,11,5,4,645.21,789.12,7102,57098,NA,05430,3,8
29187009504,4977,36,4927,36,3,6,3,3599,22,3544,22,3,6,2,698.38,854.15,41078,60608,NA,18240,3,8
29187009506,2983,7,2964,7,1,10,1,2154,5,2134,5,0,9,1,551,453,5878,35378,NA,05130,3,8
