GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
44007000026,3682,826,1707,826,491,24,586,2966,502,1369,502,290,12,291,700.22,431.2,NA,59000,59000,NA,NA,00900,1,2
44007000027,4177,722,2236,722,1063,48,46,3241,395,1813,395,578,26,34,765.14,471.18,NA,59000,59000,NA,NA,00900,1,1
44007000028,5271,277,4600,277,284,7,87,4322,176,3723,176,175,7,65,1020.35,628.34,NA,59000,59000,NA,NA,00900,1,1
44007000029,5854,290,5419,290,87,11,17,4909,191,4454,191,53,7,13,1158.93,713.68,NA,59000,59000,NA,NA,00900,1,1
44007000030,591,12,476,12,88,6,1,592,12,473,12,88,6,1,139.76,86.07,NA,59000,59000,NA,NA,00900,1,1
44007000031,3454,254,1690,254,1115,32,269,3010,179,1552,179,868,27,205,710.61,437.6,NA,59000,59000,NA,NA,00900,1,1
44007000032,3702,246,2149,246,978,63,73,2761,131,1737,131,663,42,57,651.82,401.4,NA,59000,59000,NA,NA,00900,1,1
44007000033,4623,119,3928,119,385,21,90,3828,84,3289,84,281,17,73,903.72,556.52,NA,59000,59000,NA,NA,00900,1,1
44007000034,4751,89,4466,89,79,4,107,3811,60,3545,60,61,3,82,899.71,554.05,NA,59000,59000,NA,NA,00900,1,1
44007000035,5119,131,4541,131,173,5,252,4703,110,4096,110,156,4,227,1110.29,683.73,NA,59000,59000,NA,NA,00900,1,1
44007000036,8055,337,6426,337,419,18,839,8021,332,6119,332,403,13,822,1893.61,1166.1,NA,59000,59000,NA,NA,00900,1,1
44007000037,3939,209,3234,209,222,32,118,3524,158,2895,158,177,23,113,831.95,512.32,NA,59000,59000,NA,NA,00900,1,1
44007000102,7155,178,6159,178,448,43,20,5529,144,4842,144,346,34,19,1508.7,1368.5,NA,22960,22960,NA,NA,00330,1,1
44007000103,4252,95,3416,95,423,56,13,3236,67,2708,67,335,47,12,883.01,800.95,NA,22960,22960,NA,NA,00330,1,1
44007000104,7250,221,6426,221,322,46,65,5729,158,5104,158,228,28,53,1563.27,1418,NA,22960,22960,NA,NA,00330,1,1
44007000106,7128,138,6667,138,203,26,38,5510,97,5137,97,127,19,33,1503.51,1363.79,NA,22960,22960,NA,NA,00330,1,1
44007000108,4374,1399,2744,1399,115,10,45,4144,939,2162,939,71,5,28,790.43,493.5,NA,14140,14140,NA,NA,00120,1,1
44007000109,4384,1061,3175,1061,57,3,16,3962,687,2534,687,40,1,13,755.72,471.82,NA,14140,14140,NA,NA,00120,1,1
44007000110,4718,1613,2851,1613,135,3,16,4282,1006,2185,1006,72,3,10,816.75,509.93,NA,14140,14140,NA,NA,00120,1,1
44007000111,4119,1038,2633,1038,186,8,15,3424,657,1994,657,101,5,10,653.1,407.75,NA,14140,14140,NA,NA,00120,1,1
44007000112,5642,172,5441,172,6,4,14,4553,128,4279,128,5,4,9,1181.73,1417.28,NA,72500,20080,NA,NA,00270,1,1
44007000115,5207,48,5039,48,14,7,97,4110,28,3976,28,11,5,62,1113.99,1474.59,NA,NA,41500,NA,NA,00570,1,1
44007000116,4421,19,4351,19,10,2,36,3423,14,3361,14,8,1,25,927.78,1228.11,NA,NA,41500,NA,NA,00570,1,1
44007000118,6702,159,6290,159,134,5,107,5548,123,5115,123,111,4,72,1804.57,1494.53,NA,51940,51760,NA,NA,00780,1,1
44007000119,7921,142,7588,142,79,3,91,6668,110,6313,110,64,3,68,2168.87,1796.23,NA,51940,51760,NA,NA,00780,1,1
44007000120,6630,79,6455,79,36,8,41,5515,52,5350,52,27,6,28,1793.84,1485.64,NA,51940,51760,NA,NA,00780,1,1
44007000122,5699,35,5605,35,20,6,33,4520,23,4428,23,14,5,27,1345.56,1245.97,NA,NA,37720,NA,NA,00540,2,2
44007000123,6426,32,6320,32,28,7,39,5071,24,4976,24,16,5,26,1509.58,1397.86,NA,NA,37720,NA,NA,00540,2,2
44007000125,4945,46,4814,46,47,3,32,4073,30,3973,30,18,3,19,1212.49,1122.75,NA,NA,37720,NA,NA,00540,2,2
44007000129,5484,30,5436,30,1,6,6,4038,23,3982,23,1,5,4,766.05,954.31,NA,54460,11800,NA,NA,00090,2,1
44007000132,9796,53,9679,53,15,2,44,7401,34,7295,34,9,2,27,1523,2941,NA,NA,64220,NA,NA,00960,2,2
44007000133,4316,16,4257,16,18,12,13,3141,10,3099,10,11,7,4,679,993,NA,NA,27460,00390,00420,NA,2,2
44007000134,4415,51,4220,51,73,24,46,3526,35,3364,35,47,18,27,879.29,1217.21,NA,19180,19180,NA,NA,00240,2,2
44007000135,4672,206,4023,206,282,12,126,3641,137,3096,137,191,7,73,907.96,1256.91,NA,19180,19180,NA,NA,00240,2,2
44007000136,2956,63,2744,63,52,9,75,2305,46,2125,46,35,8,45,574.8,795.71,NA,19180,19180,NA,NA,00240,2,2
44007000138,4969,62,4798,62,36,4,68,4036,41,3875,41,28,3,48,1006.47,1393.27,NA,19180,19180,NA,NA,00240,2,2
44007000139,3189,73,3017,73,20,5,71,2813,53,2633,53,17,4,53,701.48,971.08,NA,19180,19180,NA,NA,00240,2,2
44007000140,5732,57,5500,57,24,8,141,4723,45,4526,45,17,5,85,1177.78,1630.43,NA,19180,19180,NA,NA,00240,2,2
44007000141,4493,155,4063,155,53,7,207,3614,97,3255,97,32,5,128,901.23,1247.59,NA,19180,19180,NA,NA,00240,2,2
44007000142,5419,393,4037,393,899,16,62,5333,370,3692,370,844,15,42,1329.9,1841.01,NA,19180,19180,NA,NA,00240,2,2
44007000143,4950,67,4729,67,32,1,121,4191,50,3979,50,24,1,87,1045.12,1446.78,NA,19180,19180,NA,NA,00240,2,2
44007000144,3920,14,3828,14,11,3,60,3385,12,3307,12,9,1,44,844.12,1168.54,NA,19180,19180,NA,NA,00240,2,2
44007000145,7687,39,7578,39,14,6,45,5945,31,5836,31,10,6,31,1482.52,2052.28,NA,19180,19180,NA,NA,00240,2,2
44007000146,4627,20,4477,20,32,10,83,3457,12,3355,12,20,9,49,862.08,1193.39,NA,19180,19180,NA,NA,00240,2,2
44007000147,6972,119,6713,119,64,14,54,5703,73,5462,73,42,13,40,1422.17,1968.74,NA,19180,19180,NA,NA,00240,2,2
44007000148,5166,76,5030,76,6,3,45,4318,61,4156,61,6,3,31,1076.79,1490.62,NA,19180,19180,NA,NA,00240,2,2
44007000149,733,47,639,47,29,5,5,703,40,598,40,17,5,3,175.27,138.3,NA,54640,54640,NA,NA,00840,1,1
44007000150,4308,243,3895,243,92,10,20,3380,151,3001,151,56,5,16,842.71,664.95,NA,54640,54640,NA,NA,00840,1,1
44007000151,4832,881,2613,881,420,9,40,3303,561,1922,561,224,9,26,823.51,649.8,NA,54640,54640,NA,NA,00840,1,1
44007000152,1988,331,1489,331,107,14,6,1912,259,1294,259,84,11,5,476.71,376.15,NA,54640,54640,NA,NA,00840,1,1
44007000153,2688,273,2302,273,83,9,14,2199,192,1753,192,48,5,9,548.26,432.61,NA,54640,54640,NA,NA,00840,1,1
44007000154,2217,272,1818,272,32,12,22,1739,190,1323,190,16,4,16,433.57,342.11,NA,54640,54640,NA,NA,00840,1,1
44007000155,4289,218,3959,218,36,11,25,3396,147,3059,147,22,5,16,846.7,668.1,NA,54640,54640,NA,NA,00840,1,1
44007000156,2374,46,2262,46,26,10,11,1841,33,1744,33,17,6,8,459,362.18,NA,54640,54640,NA,NA,00840,1,1
44007000157,3911,63,3824,63,15,1,8,3163,45,3060,45,8,0,5,788.61,622.26,NA,54640,54640,NA,NA,00840,1,1
44007000158,3754,41,3670,41,11,5,15,3026,28,2951,28,6,4,9,754.45,595.31,NA,54640,54640,NA,NA,00840,1,1
44007000159,2929,89,2811,89,16,3,5,2399,71,2239,71,11,3,4,598.13,471.96,NA,54640,54640,NA,NA,00840,1,1
44007000160,3126,182,2736,182,110,8,45,2480,107,2152,107,79,6,29,618.32,487.89,NA,54640,54640,NA,NA,00840,1,1
44007000161,4543,820,2897,820,410,16,22,3569,532,2199,532,278,11,17,889.83,702.13,NA,54640,54640,NA,NA,00840,1,1
44007000163,2783,47,2693,47,18,0,8,2249,32,2169,32,12,0,4,560.73,442.45,NA,54640,54640,NA,NA,00840,1,1
44007000164,5045,530,3318,530,362,9,50,3540,357,2548,357,244,5,29,882.6,696.43,NA,54640,54640,NA,NA,00840,1,1
44007000165,4063,159,3704,159,114,3,62,3346,115,2993,115,80,3,40,834.24,658.26,NA,54640,54640,NA,NA,00840,1,1
44007000166,1784,167,1404,167,142,2,17,1429,119,1095,119,85,1,10,356.28,281.13,NA,54640,54640,NA,NA,00840,1,1
44007000168,2990,58,2885,58,31,4,10,2478,42,2368,42,16,3,7,617.82,487.5,NA,54640,54640,NA,NA,00840,1,1
44007000169,1975,19,1934,19,7,0,10,1638,16,1594,16,6,0,6,408.39,322.24,NA,54640,54640,NA,NA,00840,1,1
44007000170,4833,128,4627,128,51,0,24,4039,89,3806,89,34,0,21,1007.02,794.6,NA,54640,54640,NA,NA,00840,1,1
44007000171,3606,210,3288,210,75,4,15,2842,131,2523,131,45,2,10,708.58,559.11,NA,54640,54640,NA,NA,00840,1,1
44007000172,1303,46,1049,46,61,6,140,1097,33,899,33,40,4,88,269.44,230.83,NA,80780,80780,NA,NA,01200,1,1
44007000173,3472,26,3326,26,58,10,48,2650,21,2534,21,37,4,33,650.88,557.61,NA,80780,80780,NA,NA,01200,1,1
44007000174,4215,287,3504,287,271,9,132,3036,129,2544,129,147,7,80,745.69,638.83,NA,80780,80780,NA,NA,01200,1,1
44007000175,3360,12,3254,12,37,1,52,2673,10,2595,10,25,0,33,656.53,562.45,NA,80780,80780,NA,NA,01200,1,1
44007000176,2803,120,2212,120,186,4,269,1991,66,1595,66,113,4,147,489.02,418.94,NA,80780,80780,NA,NA,01200,1,1
44007000177,3643,20,3585,20,17,3,15,2919,16,2865,16,8,3,11,716.95,614.21,NA,80780,80780,NA,NA,01200,1,1
44007000178,2821,61,2574,61,68,1,111,2220,32,2048,32,41,0,67,545.27,467.13,NA,80780,80780,NA,NA,01200,1,1
44007000179,3535,53,3275,53,79,7,118,2709,37,2515,37,44,6,70,665.37,570.02,NA,80780,80780,NA,NA,01200,1,1
44007000180,1699,31,1445,31,22,8,192,1428,20,1258,20,16,5,109,350.74,300.48,NA,80780,80780,NA,NA,01200,1,1
44007000181,2872,202,2505,202,54,7,103,2239,108,1931,108,27,6,59,549.93,471.12,NA,80780,80780,NA,NA,01200,1,1
44007000182,2388,49,2297,49,34,2,6,1891,26,1812,26,23,1,3,464.46,397.9,NA,80780,80780,NA,NA,01200,1,1
44007000183,1672,76,1512,76,57,2,23,1244,40,1121,40,26,2,15,305.55,261.76,NA,80780,80780,NA,NA,01200,1,1
44007000184,7126,150,6735,150,166,11,62,5437,74,5163,74,90,2,34,1335.41,1144.04,NA,80780,80780,NA,NA,01200,1,1
