GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28137009503,7151,36,4246,36,2841,21,7,5036,28,3162,28,1794,17,7,960.59,1493.45,NA,14900,91359,04230,1,2
28137009504,4847,29,3409,29,1396,8,5,3643,18,2675,18,923,5,4,694.88,1080.35,NA,66440,90621,03930,1,2
28139009501,4297,19,3791,19,484,2,1,3154,10,2807,10,324,2,1,562.2,919.12,NA,77480,90630,03270,1,2
28139009502,5613,5,4661,5,940,2,2,4036,5,3441,5,581,2,2,719.41,1176.14,NA,62600,91368,04110,1,2
28139009503,3027,14,2385,14,614,4,10,2339,9,1886,9,429,1,5,416.92,681.61,NA,62600,93582,04110,1,2
28139009504,6586,26,5369,26,1183,4,4,4760,16,3986,16,737,2,3,848.47,1387.13,NA,7060,92106,04110,1,2
28141009501,2734,19,2714,19,0,1,0,2144,13,2117,13,0,1,0,493.82,567.89,NA,9820,90639,02130,1,2
28141009502,2588,6,2377,6,199,3,3,1987,3,1849,3,129,2,1,457.66,526.31,NA,35300,90639,02130,1,2
28141009503,5677,18,5550,18,90,12,7,4267,11,4172,11,63,7,3,982.8,1130.22,NA,9820,91377,04260,1,2
28141009504,6684,13,6326,13,339,2,3,5148,8,4890,8,239,2,1,1185.72,1363.58,NA,5100,92853,04260,1,2
28143009501,3793,50,678,50,3063,0,0,2349,28,518,28,1775,0,0,732.69,528.52,NA,NA,90648,04290,2,3
28143009502,4371,31,1308,31,3026,2,4,2771,17,1009,17,1723,2,3,864.31,623.48,NA,74760,92862,04290,2,3
28145009501,3759,10,3564,10,175,0,9,2786,8,2637,8,128,0,5,516.77,1013.06,NA,51000,93609,03120,1,2
28145009502,3547,20,3321,20,204,2,0,2610,11,2446,11,140,2,0,484.13,949.06,NA,50280,90657,04350,1,2
28145009503,3549,19,2640,19,882,0,8,2608,13,2041,13,536,0,5,483.76,948.33,NA,51000,90657,03120,1,2
28145009504,4025,24,2744,24,1252,1,4,3005,13,2127,13,849,1,2,557.4,1092.69,NA,51000,93609,03120,1,2
28145009505,4367,17,3967,17,375,4,4,3223,11,2939,11,256,3,3,597.83,1171.96,NA,7100,92871,04350,1,2
