GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
06037004626,06,037,004626,2389,329,1667,329,157,7,228,2095,224,1359,224,111,5,172,10433.11,11002.94,NA,56000,92400,NA,NA,29940,21,2
06037004627,06,037,004627,5271,1485,2668,1485,485,24,578,5203,1080,2222,1080,328,20,473,25910.96,27326.17,NA,56000,92400,NA,NA,29940,24,2
06037004628,06,037,004628,2737,697,1531,697,273,7,221,2587,474,1264,474,199,4,172,12883.27,13586.93,NA,56000,92400,NA,NA,29940,24,2
06037004629,06,037,004629,3732,884,2319,884,128,7,390,3594,650,1914,650,92,7,281,17898.13,18875.7,NA,56000,92400,NA,NA,29940,21,2
06037004630,06,037,004630,1722,180,1305,180,62,3,171,1570,126,1129,126,52,2,135,7818.61,8245.64,NA,56000,92400,NA,NA,29940,21,14
06037004632,06,037,004632,3349,718,2093,718,102,10,423,3306,519,1851,519,78,8,331,16463.89,17363.12,NA,56000,92400,NA,NA,29940,21,2
06037004633,06,037,004633,2103,273,1455,273,88,3,283,1945,223,1213,223,69,3,214,9686.11,10215.14,NA,56000,92400,NA,NA,29940,21,2
06037004634,06,037,004634,5399,1060,3283,1060,361,23,656,5274,799,2830,799,291,18,537,26264.54,27699.06,NA,56000,92400,NA,NA,29940,24,2
06037004635,06,037,004635,5729,494,4058,494,244,17,906,5749,427,3829,427,212,17,837,28630.04,30193.76,NA,56000,92400,NA,NA,29940,21,2
06037004636,06,037,004636,8771,1057,6070,1057,815,38,772,9068,910,5802,910,697,38,711,45158.68,47625.16,NA,56000,92400,NA,NA,29940,21,2
06037004637,06,037,004637,2185,362,1675,362,78,2,62,2122,259,1481,259,66,2,55,10567.57,11144.75,NA,56000,92400,NA,NA,29940,21,2
06037004638,06,037,004638,3919,316,3080,316,105,5,411,3419,227,2577,227,75,2,311,17026.63,17956.6,NA,56000,92400,NA,NA,29940,24,2
06037004639,06,037,004639,3427,303,2793,303,174,8,149,3231,242,2490,242,127,6,124,16090.39,16969.22,NA,56000,92400,NA,NA,29940,21,2
06037004640,06,037,004640,5618,723,4004,723,269,11,607,5247,553,3419,553,219,10,493,26130.08,27557.26,NA,56000,92400,NA,NA,29940,21,2
06037004641,06,037,004641,7295,419,4793,419,26,8,2041,5711,318,3784,318,15,5,1271,28440.8,29994.18,NA,68224,92400,NA,NA,34860,21,2
06037004642,06,037,004642,5664,236,3297,236,2,3,2125,4455,194,2669,194,2,2,1394,22185.92,23397.67,NA,68224,92400,NA,NA,34860,21,2
06037004802,06,037,004802,5831,937,3859,937,26,11,996,5250,656,3176,656,20,6,736,17578.08,18538.16,NA,67042,93200,34420,01930,NA,30,33
06037004803,06,037,004803,11483,3703,3129,3703,292,23,4303,11691,2665,2701,2665,226,21,3413,39143.88,41281.84,NA,884,93200,01910,01930,NA,30,33
06037004804,06,037,004804,5523,1391,2510,1391,101,12,1506,5545,1009,2242,1009,81,11,1193,18565.8,19579.83,NA,884,93200,01910,01930,NA,30,33
06037004805,06,037,004805,5351,573,3807,573,62,14,885,4486,416,2976,416,44,8,626,22340.3,23560.48,NA,73220,92400,NA,NA,37500,21,2
06037004806,06,037,004806,6969,946,4880,946,328,19,786,6499,689,4245,689,244,14,618,32365.05,34132.76,NA,73220,92400,NA,NA,37500,21,2
06037004809,06,037,004809,11960,4756,2000,4756,177,32,4958,12196,3245,1763,3245,150,21,3772,40834.72,43065.03,NA,884,93200,01910,01930,NA,30,33
06037004810,06,037,004810,8937,3206,2248,3206,192,14,3251,9088,2232,1972,2232,141,14,2497,30428.5,32090.44,NA,884,93200,01910,01930,NA,30,33
06037004811,06,037,004811,12259,5775,3408,5775,216,52,2784,13530,4069,2976,4069,166,42,2208,45301.23,47775.49,NA,67042,93200,34420,01930,NA,30,33
06037004813,06,037,004813,2673,1112,654,1112,20,13,871,2676,737,568,737,9,6,619,8959.8,9449.17,NA,62896,93200,33570,12120,NA,30,33
06037004814,06,037,004814,11890,3940,2645,3940,67,28,5194,11768,2773,2264,2773,41,20,3897,39401.69,41553.73,NA,67042,93200,34420,01930,NA,30,33
06037004815,06,037,004815,4251,1091,1435,1091,38,9,1677,4255,807,1321,807,27,6,1287,14246.62,15024.74,NA,884,93200,01910,01930,NA,30,33
06037004818,06,037,004818,2608,530,887,530,12,2,1173,2491,393,809,393,6,0,890,8340.38,8795.92,NA,884,93200,01910,01930,NA,30,33
06037004826,06,037,004826,7007,1733,1093,1733,36,15,4125,6870,1311,993,1311,26,13,3216,23002.18,24258.51,NA,48914,93200,14940,01930,25470,30,33
06037004827,06,037,004827,6550,3390,951,3390,14,8,2173,7618,2524,850,2524,11,8,1701,25506.63,26899.76,NA,48914,93200,01910,01930,25470,30,33
06037004828,06,037,004828,4347,1984,746,1984,18,3,1591,4850,1494,661,1494,14,1,1186,16238.8,17125.73,NA,48914,93200,01910,01930,25470,30,33
06037005001,06,037,005001,3583,420,2955,420,14,10,183,3090,287,2364,287,11,9,132,11079.77,11684.93,NA,39304,93730,23010,14760,16325,1,38
06037005003,06,037,005003,2949,977,1191,977,71,4,704,2918,696,978,696,48,3,497,10463.03,11034.5,NA,56924,93730,42450,42480,16325,1,36
06037005005,06,037,005005,2551,1898,449,1898,27,7,169,3128,1289,398,1289,22,7,123,11216.03,11828.63,NA,56924,93730,NA,NA,12180,2,36
06037005006,06,037,005006,5955,5548,287,5548,6,9,90,7715,3705,225,3705,2,6,72,27663.57,29174.5,NA,56924,93730,NA,NA,12180,2,36
06037005007,06,037,005007,6272,5254,874,5254,30,25,71,8156,3646,767,3646,23,20,54,29244.86,30842.16,NA,56924,93730,NA,NA,12180,2,36
06037005008,06,037,005008,4919,4137,676,4137,22,2,70,6244,2789,591,2789,17,2,56,22389.03,23611.87,NA,56924,93730,22890,42480,12180,2,36
06037005009,06,037,005009,5519,4753,683,4753,10,11,54,7176,3248,620,3248,10,6,44,25730.89,27136.26,NA,56924,93730,NA,NA,12180,2,36
06037005010,06,037,005010,7285,5170,1889,5170,25,17,160,8326,3317,1555,3317,13,13,111,29854.43,31485.02,NA,84921,93730,42450,42480,12180,1,36
06037005012,06,037,005012,4646,2850,1629,2850,28,15,117,5280,1919,1311,1919,18,12,101,18932.43,19966.48,NA,85292,93730,42450,42480,12180,1,36
06037005013,06,037,005013,6202,2641,3341,2641,56,19,138,6412,1762,2731,1762,33,18,106,22991.42,24247.17,NA,85292,93730,42450,42480,NA,1,36
06037005014,06,037,005014,3758,2562,1060,2562,37,16,73,4062,1577,817,1577,22,12,57,14565.06,15360.58,NA,85292,93730,42450,42480,NA,1,36
