GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
10003014902,10,003,014902,6379,182,5237,182,852,8,97,4709,120,3832,120,561,7,69,966.76,1387.78,NA,92812,00200,1,1
10003014903,10,003,014903,5422,141,3907,141,1316,19,33,3402,69,2578,69,647,13,26,698.43,1002.6,NA,92812,00200,1,1
10005000501,10,005,000501,11517,194,9537,194,1702,24,56,8571,114,7184,114,1099,14,46,1388.73,2689.87,47420,92368,01080,1,1
10005000502,10,005,000502,2527,65,1479,65,957,20,6,1769,32,1074,32,616,11,4,286.62,555.17,24020,92368,01080,1,1
10005000503,10,005,000503,6899,225,5477,225,1164,15,16,5241,148,4105,148,822,8,10,849.18,1644.8,8680,90296,01850,1,1
10005000504,10,005,000504,18897,213,14283,213,4231,31,129,13945,136,10862,136,2706,21,84,2259.46,4376.42,64320,93404,01530,1,1
10005000505,10,005,000505,7776,127,6034,127,1559,19,35,6017,78,4712,78,1104,17,28,974.91,1888.34,29090,91036,00680,1,1
10005000506,10,005,000506,6093,26,5005,26,987,19,54,4629,19,3882,19,655,14,40,750.02,1452.74,47940,92516,00680,1,1
10005000507,10,005,000507,6804,44,5384,44,1038,321,10,5610,28,4557,28,721,266,10,908.97,1760.61,43245,92516,00680,1,1
10005000508,10,005,000508,7671,255,6004,255,1358,23,30,5885,170,4595,170,915,19,16,953.53,1846.91,48330,92664,00170,1,1
10005000512,10,005,000512,1434,6,1423,6,2,2,1,1276,6,1260,6,2,2,0,206.75,400.45,5690,93552,00680,1,1
10005000513,10,005,000513,7467,44,6912,44,484,15,12,6091,33,5659,33,346,11,9,986.9,1911.56,53920,93552,00680,1,1
10005000514,10,005,000514,2441,40,1645,40,685,8,59,1869,28,1305,28,467,4,37,302.83,586.56,64840,93552,00680,1,1
10005000515,10,005,000515,3889,22,2625,22,1230,5,7,2885,13,2054,13,797,4,4,467.45,905.41,18950,93552,00680,1,1
10005000516,10,005,000516,1100,3,1043,3,46,2,6,804,1,767,1,30,1,4,130.27,252.32,NA,93552,00680,1,1
10005000517,10,005,000517,4928,20,4576,20,304,12,15,3638,11,3397,11,196,12,11,589.45,1141.73,NA,91628,00810,1,1
10005000518,10,005,000518,6862,68,5464,68,1285,12,33,5053,39,4148,39,801,6,20,818.72,1585.8,41310,91628,00810,1,1
10005000519,10,005,000519,3296,20,2751,20,497,5,23,2465,14,2084,14,336,2,15,399.4,773.6,20380,91628,00270,1,1
10005050997,10,005,050997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60290,91776,00170,1,1
10005050998,10,005,050998,4093,26,3638,26,379,2,47,3379,19,3005,19,296,2,38,547.49,1060.45,41830,91776,00170,1,1
10005051096,10,005,051096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41830,91776,00170,1,1
10005051097,10,005,051097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60290,91776,00170,1,1
10005051098,10,005,051098,7427,53,6375,53,879,105,14,6019,43,5282,43,561,78,12,975.24,1888.97,NA,91776,00170,1,1
10005051196,10,005,051196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60290,91776,00170,1,1
10005051197,10,005,051197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60290,91776,00170,1,1
10005051198,10,005,051198,2108,25,2054,25,13,1,15,1933,22,1864,22,12,1,12,313.2,606.64,60290,91776,00170,1,1
