GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17161000237,2625,111,1521,111,982,6,4,1857,56,1184,56,556,3,2,358.79,526.52,65078,71201,NA,NA,34410,4,8
17161000240,4180,83,4050,83,6,7,34,3030,41,2916,41,5,5,22,657,696,15235,15248,NA,NA,26400,4,8
17161000242,4316,86,4041,86,162,12,15,3190,42,2984,42,103,9,10,513.8,537.4,65078,6301,NA,NA,34410,4,8
17161000243,3627,68,3534,68,12,5,5,2822,38,2729,38,9,5,3,454.53,475.41,49009,6301,NA,NA,34410,4,8
17161000244,2096,80,1534,80,458,4,20,1628,50,1253,50,256,4,15,314.54,461.6,65078,71201,NA,NA,34410,4,8
17161024101,3773,49,3669,49,40,4,11,2811,26,2733,26,21,0,5,143,237,49009,66300,NA,NA,36180,4,8
17161024102,5328,76,4997,76,219,13,23,3717,42,3483,42,124,10,16,598.68,626.19,1426,1439,NA,NA,34440,4,8
17161024103,3875,39,3820,39,5,6,5,2818,22,2762,22,5,4,3,113,207,63420,9512,NA,NA,34440,4,8
17163005004,3640,22,44,22,3570,4,0,2336,13,44,13,2262,4,0,774.39,139.4,22255,22268,NA,NA,13320,1,18
17163005005,3343,8,72,8,3246,14,3,2038,7,57,7,1959,7,1,675.6,121.62,22255,22268,NA,NA,13320,1,18
17163005006,1958,2,22,2,1928,2,4,1282,0,22,0,1256,2,2,424.98,76.5,22255,22268,NA,NA,13320,1,18
17163005008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22255,22268,NA,NA,13320,1,18
17163005009,6741,13,40,13,6682,6,0,4235,10,34,10,4180,1,0,1403.91,252.72,22255,22268,NA,NA,13320,1,18
17163005010,3684,21,15,21,3645,3,0,2550,10,9,10,2519,2,0,845.33,152.17,22255,22268,NA,NA,13320,1,18
17163005011,2816,3,18,3,2789,1,0,1982,3,15,3,1960,1,0,657.03,118.27,22255,22268,NA,NA,13320,1,18
17163005012,5698,22,54,22,5612,0,10,4006,15,52,15,3917,0,7,1327.99,239.05,22255,22268,NA,NA,13320,1,18
17163005013,6033,27,124,27,5864,8,2,4034,17,107,17,3884,7,2,1337.27,240.72,22255,22268,NA,NA,13320,1,18
17163005014,3651,28,130,28,3489,2,0,2411,14,127,14,2254,2,0,799.25,143.87,22255,22268,36330,05640,13320,1,18
17163005017,4210,81,3459,81,633,12,24,3293,60,2699,60,447,7,20,622.39,1103.57,4845,4858,05610,05640,NA,1,18
17163005018,7058,95,6657,95,233,18,52,5416,69,5084,69,143,12,39,1023.65,1815.05,4845,4858,05610,05640,NA,1,18
17163005019,4159,77,3950,77,105,9,18,3114,40,2953,40,63,6,12,588.56,1043.58,4845,4858,05610,05640,NA,1,18
17163005021,2097,595,1471,595,22,1,7,2060,420,1202,420,12,1,5,382.95,202.84,24933,10968,NA,NA,13320,1,18
17163005022,4695,94,882,94,3703,1,9,2846,58,742,58,1981,1,6,529.07,280.24,79085,10968,NA,NA,13320,1,18
17163005023,197,4,182,4,4,1,5,150,1,139,1,3,1,5,33.59,20.2,67756,12210,NA,NA,08040,13,18
17163005025,2925,12,91,12,2816,5,0,1770,6,72,6,1684,2,0,396.41,238.41,958,12210,NA,NA,13320,13,18
17163005027,1645,4,7,4,1629,5,0,1084,4,7,4,1067,2,0,242.77,146.01,12203,12210,NA,NA,13320,13,18
17163005028,2436,5,165,5,2262,1,3,1515,1,142,1,1369,1,1,339.3,204.06,12203,12210,14220,05640,08040,13,18
17163005029,2304,6,62,6,2234,0,1,1566,2,58,2,1503,0,1,350.72,210.93,12203,12210,36330,05640,13320,13,18
17163005030,985,14,115,14,848,0,0,627,7,102,7,511,0,0,140.42,84.45,12203,12210,NA,NA,13320,13,18
17163005038,7245,326,5410,326,1168,23,308,4396,173,3185,173,668,16,181,320,893,68328,69550,36210,29790,24940,1,18
17163005039,11328,155,10895,155,140,28,104,8407,100,8016,100,98,18,75,440,844,27806,27819,15820,15840,24940,1,18
17163005041,1212,1,67,1,1144,0,0,790,0,47,0,743,0,0,261.89,47.14,22255,72741,NA,NA,13320,1,18
17163005044,1226,4,10,4,1205,5,2,687,1,9,1,673,1,2,227.74,41,22255,22268,NA,NA,13320,1,18
17163501501,2110,17,1216,17,860,10,5,1575,10,941,10,604,6,4,297.68,527.82,22255,22268,36330,05640,13320,1,18
17163501502,2992,37,2851,37,86,3,15,2452,27,2317,27,66,3,12,291.29,737.08,4845,4858,14220,05640,13320,1,18
17163501601,7925,76,7420,76,390,9,27,6586,59,6136,59,303,9,20,1244.78,2207.15,4845,4858,05610,05640,NA,1,18
17163501602,5920,69,5432,69,368,15,36,4735,48,4343,48,254,10,32,894.94,1586.83,4845,4858,05610,05640,NA,1,18
17163501603,7204,79,6604,79,445,26,41,5449,51,5021,51,281,13,32,431.76,958.7,4845,4858,05610,05640,NA,1,18
17163502401,2735,21,155,21,2553,1,1,1577,9,144,9,1414,1,0,293.17,155.28,79085,10968,NA,NA,13320,1,18
17163502403,10,0,10,0,0,0,0,5,0,5,0,0,0,0,0.93,0.49,45993,10968,NA,NA,13320,1,18
17163502404,5662,128,4366,128,1123,20,13,4023,73,3198,73,654,15,10,747.88,396.14,11644,10968,17310,05640,13320,1,18
17163502601,7700,166,7057,166,370,23,82,5692,92,5226,92,198,15,69,1274.79,766.69,10370,12210,NA,NA,08040,13,18
17163502602,6437,98,5996,98,284,21,35,4676,59,4349,59,172,15,22,1047.25,629.84,10370,12210,NA,NA,08040,13,18
17163502603,5759,67,4233,67,1418,13,23,3765,43,2973,43,677,12,17,843.22,507.13,10370,12210,NA,NA,08040,13,18
17163502604,1489,36,1358,36,85,2,6,1123,20,1024,20,54,2,3,251.51,151.26,4845,12210,36330,05640,13320,13,18
17163503101,6081,36,5885,36,130,23,7,4409,22,4264,22,83,15,3,661.43,674.15,21254,73456,NA,NA,12720,13,18
17163503102,1494,7,1464,7,17,3,3,1137,5,1113,5,10,2,2,170.57,173.85,21254,73456,26190,05640,12720,13,18
17163503201,3363,17,3034,17,273,2,37,2564,13,2345,13,168,1,24,304.59,770.75,4845,72988,14220,05640,08040,1,18
17163503202,5646,51,5426,51,131,13,22,4252,30,4086,30,81,9,16,505.12,1278.17,4845,72988,14220,05640,08040,1,18
17163503203,4979,33,4894,33,27,14,10,3708,18,3629,18,24,12,7,462,992,49386,49399,26190,05640,41070,1,18
17163503301,4320,31,4110,31,137,11,30,3480,25,3297,25,103,10,20,275.75,612.27,74119,66729,18960,05640,NA,1,18
17163503302,10283,178,9116,178,827,15,144,7629,113,6786,113,515,12,90,604.5,1342.25,74119,66729,42960,05640,NA,1,18
17163503303,10271,184,8804,184,1107,23,149,7696,129,6601,129,718,17,102,609.81,1354.04,4845,66729,05580,05640,NA,1,18
17163503304,5123,46,4845,46,180,4,41,3801,33,3592,33,113,2,28,301.18,668.75,4845,66729,05610,05640,NA,1,18
17163503401,8312,121,8017,121,112,25,35,6360,83,6077,83,74,17,26,1026.65,1489.95,11644,11657,17310,05640,10650,1,18
17163503402,7625,126,6928,126,469,16,85,5990,80,5461,80,290,14,65,966.92,1403.27,25141,11657,17310,05640,NA,1,18
17163503404,1831,35,1784,35,2,0,10,1371,23,1317,23,2,0,6,221.31,321.18,15599,11657,29760,29790,10650,1,18
17163503405,7412,103,6700,103,470,16,118,5731,70,5178,70,320,12,81,925.12,1342.6,25141,11657,32190,29790,NA,1,18
17163504001,3613,13,3574,13,12,6,8,2602,6,2574,6,5,5,6,219,417,52116,52129,15820,15840,27960,1,18
17163504002,6103,36,6035,36,9,8,12,4372,18,4319,18,4,5,8,182,279,46955,46968,15820,15840,24650,1,18
17163504201,1780,4,35,4,1740,1,0,1115,4,34,4,1072,1,0,369.62,66.54,22255,22268,NA,NA,13320,1,18
17163504302,6701,96,5687,96,823,23,65,4972,57,4249,57,539,16,54,355,670,42496,42509,29760,29790,22300,1,18
17163504303,6022,65,5576,65,319,13,49,4329,33,4037,33,181,13,32,522,1198,47423,47436,NA,NA,24940,1,18
17163504304,6118,130,5249,130,604,13,122,4598,85,3920,85,408,12,88,533.24,1255.57,55249,55262,29760,29790,NA,1,18
17163504305,8546,136,7607,136,629,21,146,6077,80,5415,80,389,16,97,704.76,1659.43,55249,55262,29760,29790,NA,1,18
17165009551,2712,9,2690,9,5,7,1,2126,8,2104,8,2,4,0,382.85,425.62,23009,21709,NA,NA,13660,13,10
17165009555,2691,6,2674,6,2,7,1,2122,6,2101,6,2,7,0,382.13,424.82,23009,21709,NA,NA,13660,13,10
17165009556,2528,12,2505,12,7,3,1,1866,5,1849,5,4,2,1,336.03,373.57,62588,62601,NA,NA,13660,13,10
17165009557,2729,9,2706,9,0,11,3,2061,6,2041,6,0,7,1,132,162,28261,28274,NA,NA,16020,13,10
17165009558,3761,34,3353,34,354,11,3,2801,14,2587,14,176,7,3,638.42,923.77,33136,33149,NA,NA,18270,13,10
17165009559,2801,20,2602,20,151,7,15,2214,15,2069,15,100,6,9,504.63,730.18,33136,33149,NA,NA,18270,13,10
17165009560,3090,14,3040,14,32,2,2,2347,12,2299,12,21,1,2,534.95,774.04,33136,33149,NA,NA,18270,13,10
17165009561,2795,11,2475,11,289,4,5,2098,6,1898,6,182,1,5,433,555,11410,11423,NA,NA,08580,13,10
17165009562,3444,20,3310,20,85,14,8,2584,12,2476,12,67,11,6,138,280,72884,33149,NA,NA,18270,13,10
17167000001,4251,20,4026,20,161,14,28,3212,18,3031,18,122,10,13,578.25,1098.88,72000,72013,NA,NA,37080,18,9
17167000002,6707,77,6322,77,242,16,37,5234,55,4924,55,166,10,24,942.26,1790.64,72000,11046,NA,NA,37080,18,9
17167000003,4017,33,3678,33,256,7,36,3243,23,2982,23,179,6,30,583.83,1109.48,72000,11046,NA,NA,37080,18,11
17167000004,3583,9,3404,9,128,1,40,2753,6,2644,6,68,1,28,495.61,941.85,72000,11046,NA,NA,37080,18,11
17167000006,5943,23,5622,23,248,12,26,4539,15,4341,15,143,8,17,817.14,1552.86,72000,72013,NA,NA,37080,18,11
17167000007,2422,13,2346,13,50,3,8,1851,8,1794,8,31,3,7,1249,1847,30835,72013,NA,NA,37080,18,11
17167000008,2741,24,1332,24,1376,5,0,1663,15,969,15,660,4,0,299.38,568.94,72000,11046,NA,NA,37080,18,11
17167000009,3089,44,2504,44,509,8,12,2367,34,1960,34,322,7,10,426.12,809.79,72000,11046,NA,NA,37080,18,11
17167000010,8821,55,8165,55,395,13,189,7214,39,6723,39,274,8,131,1298.71,2468.02,72000,11046,NA,NA,37080,18,9
17167000011,2710,22,2647,22,25,4,12,2187,13,2135,13,14,3,9,393.72,748.21,72000,11046,NA,NA,37080,18,9
17167000012,3905,35,3690,35,147,3,27,3030,26,2855,26,98,3,22,545.48,1036.61,72000,11046,NA,NA,37080,18,11
17167000013,2246,40,1930,40,256,7,13,1929,28,1657,28,197,7,12,347.27,659.94,72000,11046,NA,NA,37080,18,11
17167000014,911,10,770,10,123,2,6,861,9,728,9,107,2,6,155,294.56,72000,11046,NA,NA,37080,18,11
17167000015,1169,3,351,3,805,7,0,901,2,328,2,566,3,0,162.2,308.25,72000,11046,NA,NA,37080,18,11
17167000016,4203,21,1444,21,2709,7,17,2642,10,1108,10,1497,5,12,475.63,903.87,72000,11046,NA,NA,37080,18,11
