GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
48113001504,3027,1217,826,1217,634,36,298,3036,813,725,813,480,30,175,399.74,536.59,NA,19000,92785,NA,16230,23,10
48113001701,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.13,0.18,NA,19000,92785,NA,16230,23,30
48113001702,433,38,250,38,142,0,3,444,37,239,37,128,0,3,58.46,78.47,NA,19000,92785,NA,16230,23,30
48113002201,915,55,589,55,153,2,111,935,49,579,49,148,2,108,123.11,165.25,NA,19000,92785,NA,16230,23,30
48113002202,398,72,80,72,232,1,11,398,54,73,54,210,1,6,52.4,70.34,NA,19000,92785,NA,16230,23,30
48113002701,4683,122,21,122,4501,0,36,2929,56,15,56,2785,0,17,385.65,517.67,NA,19000,92785,NA,16230,23,30
48113002702,2168,39,18,39,2101,5,2,1649,29,12,29,1575,2,2,217.12,291.45,NA,19000,92785,NA,16230,23,30
48113003101,2841,186,952,186,1682,9,10,2977,182,939,182,1656,8,10,391.97,526.16,NA,19000,92785,NA,16230,23,30
48113003102,92,14,31,14,46,1,0,92,10,25,10,46,1,0,12.11,16.26,NA,19000,92785,NA,16230,23,30
48113003201,602,56,155,56,377,13,0,601,51,151,51,336,12,0,79.13,106.22,NA,19000,92785,NA,16230,23,30
48113003901,2170,24,11,24,2132,2,1,1712,14,11,14,1671,2,0,225.42,302.58,NA,19000,92785,NA,16230,23,30
48113003902,2423,114,16,114,2287,1,0,1830,62,10,62,1695,1,0,240.95,323.44,NA,19000,92785,NA,16230,23,30
48113005901,6173,228,92,228,5843,7,1,4598,142,83,142,4223,7,1,605.41,812.65,NA,19000,93675,NA,16230,16,30
48113005902,4445,167,335,167,3936,4,3,3259,96,328,96,2734,3,2,429.11,576,NA,19000,93675,NA,16230,16,30
48113006001,3197,772,344,772,2067,4,0,2602,460,325,460,1354,3,0,342.6,459.88,NA,19000,93675,NA,16230,16,30
48113006002,4027,145,1419,145,2401,6,54,2878,95,1151,95,1484,6,47,378.94,508.66,NA,19000,93675,NA,16230,16,30
48113006301,4569,1702,1727,1702,1096,29,7,4182,1002,1457,1002,694,22,5,550.63,739.13,NA,19000,93675,NA,16230,16,30
48113006302,3300,1189,1815,1189,251,22,9,3133,708,1533,708,161,14,9,412.51,553.73,NA,19000,93675,NA,16230,16,24
48113006501,3281,2264,910,2264,43,29,10,3376,1299,726,1299,23,23,6,444.51,596.68,NA,19000,93675,NA,16230,16,24
48113006502,3159,1963,1028,1963,118,30,1,3148,1110,842,1110,64,21,1,414.49,556.38,NA,19000,93675,NA,16230,16,24
48113007101,1996,101,1843,101,25,6,19,1812,83,1599,83,23,6,18,238.58,320.25,NA,19000,92785,NA,16230,21,8
48113007102,5773,673,1004,673,4044,21,27,4999,429,958,429,3143,16,24,658.21,883.53,NA,19000,92785,NA,16230,23,30
48113007201,4935,2659,1014,2659,1196,13,34,5446,1812,914,1812,868,12,28,717.06,962.53,NA,19000,92785,NA,16230,23,30
48113007202,4930,2415,925,2415,1522,11,44,5512,1706,851,1706,1200,11,38,725.75,974.2,NA,19000,92785,NA,16230,23,30
48113007301,1985,61,1906,61,7,2,9,1739,45,1631,45,7,2,9,228.97,307.35,NA,19000,92785,NA,16230,21,8
48113007302,3606,441,2912,441,196,11,44,3294,324,2473,324,128,10,35,433.71,582.18,NA,19000,92785,NA,16230,21,8
48113007501,622,31,573,31,9,2,7,521,27,454,27,7,1,5,68.6,92.08,NA,19000,92785,NA,16230,21,8
48113007502,381,6,369,6,3,0,3,309,6,291,6,3,0,3,40.69,54.61,NA,19000,92785,NA,16230,21,8
48113007601,1987,146,1794,146,15,6,26,1621,102,1384,102,12,5,16,213.43,286.5,NA,19000,92785,NA,16230,21,8
48113007602,814,33,772,33,6,0,3,641,24,587,24,4,0,2,84.4,113.29,NA,19000,92785,NA,16230,21,8
48113007603,917,22,879,22,7,4,5,838,19,785,19,7,3,5,110.34,148.11,NA,19000,92785,NA,16230,21,8
48113007604,2858,57,2761,57,11,8,21,2246,48,2123,48,7,5,15,295.73,396.96,NA,19000,92785,NA,16230,21,8
48113007801,1996,44,1912,44,13,1,25,1873,38,1765,38,12,1,19,246.61,331.04,NA,19000,92785,NA,16230,21,30
