GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
42115000327,3248,14,3204,14,10,9,11,2334,7,2302,7,9,6,3,152,196,NA,3496,09150,19,10
42115000328,4744,17,4704,17,15,1,7,3410,10,3377,10,7,1,5,151,222,35624,19264,09150,19,10
42115000329,5574,15,5541,15,7,3,7,4210,11,4175,11,5,3,5,256,307,26560,42760,16050,19,10
42115032498,3723,21,3645,21,21,24,10,2737,12,2682,12,11,17,3,47,88,78464,29024,22980,19,10
42117009901,4072,11,4042,11,7,10,2,2937,10,2902,10,6,8,1,133,244,42016,41960,17730,19,5
42117009902,3840,10,3786,10,34,9,0,2804,5,2775,5,14,5,0,52,114,23152,23152,17730,19,5
42117009903,3809,13,3783,13,3,10,0,2830,9,2800,9,2,10,0,59,80,82968,82976,17730,19,5
42117009904,4105,17,4067,17,2,14,5,2945,14,2905,14,1,8,3,131,245,76808,76824,17730,19,5
42117009905,3929,6,3881,6,3,28,7,2883,5,2854,5,1,14,4,98,226,66232,75104,22370,19,5
42117009906,5843,38,5623,38,124,15,38,4795,27,4594,27,105,9,33,251,413,47080,64624,22370,19,5
42117009907,4916,26,4871,26,7,4,7,3694,12,3660,12,1,4,5,339,552,7160,12728,25170,19,5
42117009908,3430,5,3369,5,24,6,26,2700,3,2661,3,16,6,11,502,872,82160,82160,25170,19,5
42117009909,4199,8,4162,8,7,10,12,3051,3,3030,3,2,5,8,63,93,NA,18760,25170,19,5
42117009910,2983,5,2969,5,1,0,8,2176,2,2167,2,1,0,4,82,134,43128,78416,22370,19,5
42119009901,5072,24,5015,24,21,7,5,3742,14,3692,14,16,5,1,403,544,NA,84496,15480,16,5
42119009902,5586,10,5545,10,18,9,4,3900,7,3866,7,9,9,2,161,248,32936,32952,26010,16,5
42119009903,3512,8,3488,8,5,5,5,2589,8,2564,8,1,4,4,372,703,49288,49288,26010,16,5
42119009904,3565,7,3545,7,5,1,6,2535,4,2522,4,2,1,2,103,193,53200,43368,26010,16,5
42119009905,7438,453,6229,453,680,27,47,6345,428,4777,428,646,25,41,301,463,42976,10016,26010,16,5
42119009906,5218,46,5078,46,27,3,61,4153,31,4018,31,20,3,50,696,1176,43704,20888,13590,16,5
42119009907,5785,90,5476,90,102,12,102,5167,68,4854,68,82,8,87,542,730,42976,42976,13590,16,5
42121002000,3788,6,3771,6,1,3,7,2743,4,2730,4,1,2,2,106,171,61512,13136,23490,6,5
42121002001,4147,8,4126,8,5,2,5,2891,3,2877,3,3,2,3,145,181,16080,37480,24630,6,5
42121002002,6747,35,6518,35,182,4,6,5047,11,4939,11,80,2,4,290,243,61936,11080,10200,6,5
42121002003,1848,5,1765,5,64,2,9,1340,4,1283,4,41,1,7,299.29,259.08,27456,27456,10200,6,5
42121002004,2799,17,2671,17,92,1,10,2139,9,2048,9,63,1,9,477.75,413.56,27456,27456,10200,6,5
42121002005,2684,12,2616,12,49,1,3,2019,8,1964,8,35,1,3,450.95,390.36,27456,27456,10200,6,5
42121002006,5536,11,5503,11,9,5,8,4204,7,4182,7,3,1,4,990,847,75000,75000,24630,6,5
42121002007,2519,20,2465,20,21,8,5,1912,10,1869,10,15,5,3,450.51,386.39,56456,56456,18090,6,5
42121002008,2893,13,2854,13,10,1,15,2145,12,2109,12,7,0,5,505.41,433.48,56456,56456,18090,6,5
42121002009,2911,14,2881,14,10,2,3,2182,10,2153,10,6,1,2,514.12,440.95,56456,56456,18090,6,5
42121002010,3630,13,3582,13,15,2,18,2767,7,2733,7,7,2,11,651.96,559.18,56456,56456,18090,6,5
42121002011,5465,12,5417,12,3,1,32,4097,5,4066,5,2,1,18,102,94,66440,16232,18090,6,5
42121002012,3254,13,3227,13,8,4,2,2336,6,2316,6,4,2,2,464.47,526.05,69272,16944,07050,6,5
42121002013,3980,3,3962,3,7,4,3,2975,2,2965,2,3,2,1,591.53,669.95,86224,16944,07050,6,5
42121002014,3588,8,3565,8,5,5,5,2602,4,2579,4,5,5,5,147,175,14376,37200,10200,6,5
42121002015,3592,11,3565,11,3,7,4,2696,5,2673,5,3,6,4,189,216,23568,65560,02310,6,5
42123009701,2770,4,2752,4,1,7,6,2063,1,2052,1,0,4,5,252,249,13776,48272,24820,6,5
42123009702,4043,7,4011,7,2,5,18,2925,5,2900,5,2,4,9,467,533,NA,60480,24820,6,5
42123009703,5636,22,5592,22,3,8,3,3919,15,3879,15,2,5,3,136,164,75032,15408,24820,6,5
42123009704,3055,5,3045,5,0,5,0,2171,3,2163,3,0,2,0,90,139,NA,61040,24820,6,5
42123009705,3737,8,3719,8,3,4,0,2845,4,2832,4,1,4,0,311,350,87224,9024,24820,6,5
42123009706,4475,12,4401,12,31,7,24,3508,8,3442,8,26,6,18,636,703,NA,15672,24820,6,5
42123009707,3015,9,2997,9,0,4,5,2257,8,2235,8,0,3,3,527.82,578.6,81000,81000,24820,6,5
42123009708,4153,14,4115,14,1,8,15,3234,8,3202,8,1,8,7,756.31,829.06,81000,81000,24820,6,5
42123009709,3954,9,3906,9,8,16,13,3044,7,3008,7,3,13,6,711.87,780.35,81000,81000,24820,6,5
42123009710,2372,7,2347,7,2,1,15,1829,4,1812,4,2,1,6,367,506,NA,29328,24820,6,5
42123009711,2663,4,2648,4,2,1,8,2053,2,2043,2,2,1,3,446,553,81028,61208,24820,6,5
42123009712,2537,11,2522,11,0,1,3,1962,9,1941,9,0,1,2,507,351,69984,69992,24820,6,5
42123009713,635,0,635,0,0,0,0,475,0,475,0,0,0,0,50,24,NA,43372,24820,6,5
42123009714,2005,4,1997,4,0,4,0,1490,4,1481,4,0,1,0,32,53,76696,72600,24820,6,5
42125007041,1642,12,1283,12,334,6,4,1408,11,1143,11,233,6,4,310.98,183.57,81328,81328,24990,9,20
42125007110,4103,23,4058,23,15,3,4,3106,15,3064,15,11,0,1,400,328,NA,32440,04500,9,20
42125007127,1634,49,1554,49,21,10,0,1346,41,1242,41,18,4,0,409,196,10224,10224,04500,9,20
42125007137,4787,118,4555,118,94,9,10,3795,90,3529,90,72,7,7,1314,339,49240,71288,04500,9,20
42125007140,328,0,303,0,24,1,0,246,0,225,0,20,1,0,41.12,18.52,49240,65376,09960,9,20
42125007140,2915,12,2841,12,58,2,2,2225,9,2157,9,46,2,2,371.88,167.48,49240,65376,09960,9,20
42125007157,1801,13,1658,13,118,5,7,1403,7,1298,7,85,4,2,293,157,46072,46072,09960,9,20
42125007210,4712,20,4626,20,57,6,3,3478,14,3399,14,47,3,1,131,146,83504,17314,02760,9,20
42125007227,3556,5,3421,5,125,3,2,2662,5,2553,5,94,3,2,754,469,NA,51864,09960,9,20
42125007310,6440,9,6412,9,5,10,4,4755,6,4730,6,5,5,3,319,303,14000,19464,14880,9,20
42125007320,7315,26,7256,26,13,7,10,5123,17,5068,17,10,4,7,146,155,31082,51104,14880,9,20
