GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
09001002111,1382,392,544,392,420,3,23,1739,390,514,390,419,3,23,240.61,337.77,NA,18430,18500,NA,NA,01020,3,5
09001002112,5513,134,5010,134,177,8,183,4486,104,4000,104,141,8,129,620.68,871.32,NA,18430,18500,NA,NA,01020,3,5
09001002113,3634,77,3421,77,71,2,63,2782,51,2596,51,45,2,37,384.91,540.35,NA,18430,18500,NA,NA,01020,3,5
09001002114,3222,72,3067,72,28,2,51,2686,51,2515,51,27,2,40,371.63,521.71,NA,18430,18500,NA,NA,01020,3,5
09001002201,4736,99,4562,99,7,4,62,3428,63,3258,63,5,4,35,462.46,911.98,NA,NA,50860,NA,NA,02730,5,5
09001002202,4611,64,4482,64,4,8,53,3401,43,3272,43,4,6,33,458.81,904.79,NA,NA,50860,NA,NA,02730,5,5
09001002203,3591,53,3475,53,19,3,41,2711,37,2594,37,16,3,24,365.73,721.23,NA,18430,50860,04080,NA,02730,5,5
09001002301,4486,89,4324,89,20,11,42,3381,65,3202,65,16,6,27,522.26,1055.75,NA,NA,52980,NA,NA,02910,3,5
09001002302,1800,20,1747,20,7,1,25,1373,15,1320,15,5,1,17,212.09,428.73,NA,52910,52980,NA,NA,02910,3,5
09001002303,3225,40,3130,40,12,2,41,2386,25,2299,25,8,2,27,368.57,745.05,NA,NA,52980,NA,NA,02910,3,5
09001002304,4401,59,4276,59,21,3,40,3187,33,3077,33,13,3,28,492.3,995.17,NA,NA,52980,NA,NA,02910,3,5
09001002305,6112,105,5854,105,37,10,106,4592,68,4356,68,25,7,68,709.33,1433.9,NA,52910,52980,NA,NA,02910,3,5
09001002306,755,38,604,38,103,5,4,741,32,571,32,98,4,4,114.46,231.39,NA,NA,52980,NA,NA,02910,3,5
09001002401,3658,51,3511,51,20,4,72,2805,32,2680,32,13,4,44,450.8,1054.5,NA,30540,63480,03510,03780,NA,3,5
09001002402,4269,49,4158,49,12,1,49,3212,33,3108,33,12,1,25,516.2,1207.5,NA,NA,63480,03510,03780,NA,3,5
09001002451,2700,37,2604,37,13,5,41,2040,29,1943,29,12,2,25,342.53,777.86,NA,NA,63970,NA,NA,03810,3,5
09001002452,3388,50,3297,50,12,3,26,2538,34,2444,34,8,3,15,426.15,967.75,NA,NA,63970,NA,NA,03810,3,5
09001002453,4511,75,4300,75,42,7,85,3679,58,3471,58,28,5,59,617.73,1402.82,NA,63900,63970,NA,NA,03810,3,5
09001002454,2909,21,2851,21,19,3,15,2219,17,2159,17,15,2,9,372.58,846.11,NA,63900,63970,NA,NA,03810,3,5
09001002455,2696,71,2573,71,12,0,40,2090,49,1954,49,10,0,28,350.92,796.92,NA,63900,63970,NA,NA,03810,3,5
09001002456,4715,70,4550,70,16,13,65,3437,43,3291,43,11,11,38,577.09,1310.54,NA,63900,63970,NA,NA,03810,3,5
09001002571,2809,42,2737,42,13,3,14,2267,25,2195,25,10,3,9,362,694,NA,NA,68310,04080,NA,NA,5,6
09001010101,4277,123,3970,123,71,3,106,3516,86,3205,86,65,2,72,436.63,616.16,NA,NA,33620,NA,NA,01710,1,4
09001010102,4281,184,3938,184,31,1,121,3465,153,3032,153,28,1,98,430.3,607.23,NA,NA,33620,NA,NA,01710,1,4
09001010201,3143,116,2939,116,27,0,61,2471,88,2228,88,24,0,43,306.86,433.03,NA,NA,33620,NA,NA,01710,1,4
09001010202,4288,92,3984,92,21,1,188,3341,67,3069,67,16,0,122,414.9,585.49,NA,NA,33620,NA,NA,01710,1,4
09001110301,5291,139,4997,139,39,9,106,4423,108,4098,108,27,7,75,633.2,1366.1,NA,68100,68170,NA,NA,04050,3,5
09001110302,2327,39,2232,39,15,0,41,1866,29,1770,29,10,0,28,267.14,576.34,NA,68100,68170,NA,NA,04050,3,5
09001200301,4845,127,4570,127,49,1,98,3516,93,3238,93,37,1,54,586.04,1057.03,NA,NA,4720,NA,NA,00270,3,5
