GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
12009000684,2350,64,2224,64,23,5,34,2069,46,1928,46,18,5,26,553.57,907,NA,13175,90611,00150,9,15
12009000685,4844,162,4558,162,41,38,44,4366,128,4016,128,33,29,32,1168.14,1913.96,NA,10250,90611,00150,9,15
12009000686,3748,154,3393,154,109,36,51,3321,114,2944,114,73,34,42,478.27,808.06,NA,10250,90611,00150,9,15
12009000691,4276,105,4045,105,24,5,97,3407,82,3157,82,16,5,65,490.66,828.99,NA,44275,92132,00150,9,15
12009000692,2730,99,2566,99,31,5,26,2324,75,2123,75,25,5,21,334.69,565.47,NA,44275,92132,00150,9,15
12009000693,2665,75,2500,75,25,23,42,2173,57,1993,57,14,19,33,312.94,528.73,NA,44275,92132,00150,9,15
12009000694,4291,78,4165,78,13,8,27,3275,50,3144,50,8,3,20,471.65,796.87,NA,44275,92132,00150,9,15
12009000695,3755,115,3569,115,32,17,21,3058,93,2818,93,21,15,18,440.4,744.07,NA,44275,92132,00150,9,15
12009000696,1300,34,1223,34,13,14,16,1151,27,1063,27,10,10,14,165.76,280.06,NA,44275,92132,00150,9,15
12009000697,2650,87,2148,87,395,3,16,2023,55,1677,55,220,2,14,291.34,492.23,NA,44275,92132,00150,9,15
12009000701,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0.43,0.73,NA,NA,93224,00150,9,15
12009000711,939,20,902,20,1,11,5,690,14,651,14,1,7,3,99.37,167.89,NA,71900,93419,00150,9,15
12009000712,1810,48,1700,48,38,7,16,1344,28,1249,28,26,4,9,193.56,327.02,NA,NA,90624,00150,9,15
12009062101,12983,403,11128,403,1234,55,163,9548,289,7786,289,1023,44,117,1375.05,2323.21,NA,58700,90624,00150,9,15
12009062102,6468,84,6095,84,204,29,50,5190,61,4858,61,151,20,39,747.44,1262.82,NA,65525,90624,00150,9,15
12009062103,6054,124,5489,124,351,19,69,4475,78,4026,78,236,14,43,644.47,1088.85,NA,13150,90624,00150,9,15
12009064101,5640,136,5353,136,55,10,86,4790,100,4477,100,46,8,59,594.63,1007.42,NA,54425,92106,00150,9,15
12009064121,6880,216,6284,216,197,17,166,5431,165,4874,165,103,15,109,674.2,1142.24,NA,43975,92106,00150,9,15
12009064122,7949,326,7306,326,162,19,131,6440,230,5744,230,120,14,102,799.45,1354.45,NA,43975,92106,00150,9,15
12009064301,4114,155,3622,155,234,17,83,3208,97,2825,97,114,13,62,398.24,674.7,NA,43975,92106,00150,9,15
12009064302,5859,165,4979,165,581,11,123,4563,115,3872,115,365,7,89,566.45,959.68,NA,43975,92106,00150,9,15
12009064901,5056,280,4395,280,145,8,222,4392,228,3629,228,104,7,196,545.22,923.72,NA,43975,92106,00150,9,15
12009064902,4100,102,1919,102,1919,11,147,3410,86,1731,86,1369,9,129,423.31,717.18,NA,43975,92106,00150,9,15
12009065001,2212,43,2137,43,12,6,14,1733,29,1655,29,6,6,8,215.13,364.48,NA,35800,92106,00150,9,15
12009065021,3857,76,3719,76,29,8,24,3302,61,3129,61,22,8,21,409.91,694.47,NA,76500,92106,00150,9,15
12009065022,2720,23,2663,23,15,3,16,2367,16,2304,16,13,2,16,293.84,497.82,NA,76500,92106,00150,9,15
12009065101,5534,240,3195,240,1984,8,104,4522,196,2753,196,1282,8,87,561.36,951.06,NA,43975,92106,00150,9,15
12009065121,5908,421,4556,421,698,15,215,4840,283,3672,283,434,12,156,600.83,1017.94,NA,54000,92587,00150,9,15
12009065122,5499,414,4408,414,484,11,178,4766,328,3623,328,338,10,139,591.65,1002.38,NA,54000,92587,00150,9,15
12009065123,4290,95,3606,95,563,10,16,3493,63,2974,63,375,9,9,433.62,734.64,NA,54000,92587,00150,9,15
12009065201,6029,335,5347,335,256,10,74,5181,253,4443,253,167,9,56,643.16,1089.66,NA,54000,92587,00150,9,15
12009065202,4917,268,4192,268,370,9,77,3689,181,3028,181,235,8,56,457.95,775.86,NA,54000,92587,00150,9,15
12009065231,3192,98,2990,98,44,17,43,2515,74,2298,74,32,10,27,312.21,528.95,NA,42625,92028,00150,9,15
12009065232,9352,72,9225,72,30,11,12,8745,54,8595,54,24,9,9,1085.6,1839.23,NA,45275,92028,00150,9,15
12009066101,4147,70,4025,70,9,3,40,3577,59,3421,59,7,3,28,515.14,870.35,NA,44000,91573,00150,9,15
12009066102,3913,49,3840,49,4,7,13,3382,42,3280,42,4,5,9,487.06,822.9,NA,NA,92119,00150,9,15
12009066301,4966,100,4753,100,37,12,64,4223,87,3975,87,27,7,40,608.18,1027.53,NA,43975,91573,00150,9,15
12009066302,3410,70,3293,70,15,10,22,2871,51,2737,51,10,7,15,413.47,698.57,NA,33375,91573,00150,9,15
12009068699,10,1,9,1,0,0,0,11,1,9,1,0,0,0,2.94,4.82,NA,NA,90611,00150,9,15
12009069801,3132,83,2975,83,17,7,49,2598,60,2418,60,13,7,40,374.15,632.14,NA,44275,92132,00150,9,15
12009069802,4360,119,4009,119,143,15,73,3623,91,3288,91,92,13,48,521.77,881.54,NA,44275,92132,00150,9,15
12009069901,3503,61,3360,61,27,13,39,2709,45,2565,45,23,9,22,390.14,659.15,NA,NA,92132,00150,9,15
12009069902,3767,114,2507,114,1071,21,49,2866,78,2004,78,651,16,39,412.75,697.35,NA,44275,92132,00150,9,15
12009070199,50,2,45,2,2,0,1,52,2,45,2,2,0,1,7.49,12.65,NA,NA,93224,00150,9,15
12009071301,1820,87,1716,87,3,3,11,1399,54,1279,54,3,3,6,173.67,294.24,NA,35800,93588,00150,9,15
12009071321,7894,286,7030,286,430,10,134,5774,193,5018,193,274,6,90,716.78,1214.38,NA,54000,92587,00150,9,15
12009071322,5969,247,5244,247,359,16,99,4120,163,3516,163,205,6,67,511.45,866.51,NA,54000,92587,00150,9,15
12009071323,5450,334,4666,334,344,19,86,3985,221,3270,221,203,12,58,494.69,838.12,NA,54000,92587,00150,9,15
12009071331,13576,737,11856,737,788,28,163,9870,491,8234,491,519,17,118,1225.25,2075.84,NA,54000,92587,00150,9,15
12009071332,3253,180,2854,180,178,13,27,2252,113,1905,113,92,9,20,279.56,473.64,NA,54000,92587,00150,9,15
12011000101,8273,218,7951,218,36,9,51,7637,179,7199,179,32,7,41,1407.66,1220.59,NA,16725,90806,00180,18,18
12011000102,5925,387,5287,387,139,11,70,5201,300,4449,300,93,9,50,958.65,831.26,NA,16725,90806,00180,18,18
12011000104,23700,738,22348,738,362,14,232,22403,581,20802,581,255,13,171,4129.33,3580.59,NA,16725,90806,00180,18,20
12011000105,3210,135,3005,135,35,11,24,2384,96,2140,96,26,9,17,439.42,381.03,NA,13275,90806,00180,19,20
12011000106,14640,793,13142,793,361,20,303,10561,522,9053,522,248,18,198,1946.61,1687.92,NA,13275,90806,00180,19,20
12011000107,11847,1312,7288,1312,3094,12,123,9745,922,6152,922,1648,11,90,1796.2,1557.51,NA,58075,90806,00180,18,23
12011000108,6106,763,4944,763,267,13,101,5173,550,3830,550,154,11,78,953.49,826.78,NA,58075,90806,00180,18,18
12011000109,5336,119,5157,119,10,3,44,4861,106,4607,106,9,3,30,895.98,776.92,NA,40450,90806,00180,18,18
12011000110,1748,21,1720,21,0,3,3,1710,20,1664,20,0,3,3,315.19,273.3,NA,30850,90806,00180,18,18
12011000201,10907,750,9647,750,311,6,190,9882,574,8364,574,222,6,142,1821.46,1579.4,NA,43125,92054,00180,19,20
12011000205,11084,1565,8319,1565,904,17,254,9452,1110,6475,1110,563,12,182,1742.2,1510.68,NA,43125,92054,00180,19,20
12011000301,4053,110,3915,110,8,5,13,3575,97,3364,97,6,1,10,658.95,571.38,NA,40450,90806,00180,18,18
12011000302,8753,881,7384,881,407,8,67,7493,635,5937,635,232,4,50,1381.11,1197.58,NA,13625,92782,00180,18,18
12011000303,9548,1163,5478,1163,2689,41,130,8094,813,4677,813,1668,30,93,1491.89,1293.63,NA,36112,92782,00180,18,23
12011000304,8296,289,112,289,7871,7,16,5500,186,97,186,5018,2,11,1013.76,879.04,NA,58050,92782,00180,18,23
12011000305,4152,371,1208,371,2514,11,47,3056,253,996,253,1508,9,37,563.28,488.43,NA,58050,92782,00180,18,23
12011000306,6699,366,1123,366,5193,7,6,5122,266,1084,266,3495,7,4,944.09,818.63,NA,58050,92782,00180,18,23
12011000309,11372,484,10648,484,135,12,86,10178,379,9247,379,96,11,66,1876.01,1626.71,NA,58050,92782,00180,18,18
12011000310,6731,362,6081,362,228,6,45,6110,272,5376,272,145,6,39,1126.2,976.54,NA,58050,92782,00180,18,18
12011000311,5653,286,5312,286,10,10,33,5317,249,4777,249,8,9,25,980.03,849.8,NA,58050,92782,00180,18,18
12011000401,4238,125,4084,125,9,2,17,4074,105,3839,105,9,2,14,750.92,651.13,NA,39475,91098,00180,18,18
12011000403,4384,216,4085,216,25,7,50,4009,167,3607,167,24,5,39,738.94,640.74,NA,24000,91098,00180,18,18
12011000404,5458,275,5125,275,13,6,39,5015,237,4493,237,12,5,31,924.37,801.53,NA,24000,91098,00180,18,18
12011000406,6518,279,6157,279,25,5,42,5866,225,5353,225,24,5,34,1081.22,937.54,NA,24000,91098,00180,18,18
12011000407,6591,544,5448,544,450,30,113,6043,423,4775,423,320,21,81,1113.85,965.83,NA,24000,91098,00180,18,18
12011000408,9531,977,4953,977,3429,28,126,7929,746,4209,746,2102,27,99,1461.48,1267.26,NA,24000,91098,00180,18,23
12011000409,8585,379,952,379,7194,10,41,5828,285,819,285,4404,7,28,1074.22,931.47,NA,24000,91098,00180,18,23
12011000410,2997,10,20,10,2953,6,8,2021,6,17,6,1986,3,3,372.51,323.01,NA,24000,91098,00180,18,23
12011000411,4767,63,156,63,4540,2,1,3128,46,125,46,2908,2,1,576.55,499.94,NA,75225,91098,00180,18,23
12011000412,3982,74,49,74,3836,2,20,2894,55,40,55,2730,2,12,533.42,462.54,NA,39550,91098,00180,18,23
