GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26081012702,4442,65,4132,65,106,2,122,2851,40,2633,40,65,1,72,359.49,693.99,NA,42820,42820,NA,20340,8,4
26081012703,4821,106,4442,106,198,21,54,3380,65,3088,65,117,10,35,426.19,822.75,NA,42820,42820,NA,20340,8,4
26081012901,4877,118,4436,118,197,30,90,3562,64,3219,64,144,22,49,449.14,867.06,NA,42820,42820,NA,20160,8,4
26081012902,4234,104,3995,104,69,20,44,3242,56,3031,56,51,13,35,408.79,789.16,NA,42820,42820,NA,20340,8,4
26081014501,4150,62,3983,62,42,11,52,3104,35,2964,35,34,8,28,560.62,784.31,NA,88940,88940,NA,16470,8,4
26081014502,5195,92,4936,92,74,15,77,3760,67,3521,67,53,10,42,679.1,950.07,NA,88940,88940,NA,36570,8,4
26081014601,3333,29,3276,29,6,2,20,2358,20,2301,20,6,2,9,252.34,805.88,NA,NA,12240,NA,07560,8,4
26081014602,5502,36,5408,36,16,16,25,3829,26,3756,26,7,7,7,409.76,1308.61,NA,NA,12240,NA,07560,8,4
26081014701,4400,86,4201,86,40,35,34,3223,47,3067,47,22,21,19,344.91,1101.51,NA,19500,12240,NA,20340,8,4
26081014702,6828,86,6544,86,119,44,33,4931,53,4705,53,77,29,14,483.19,1569.28,NA,19500,31240,NA,20340,8,4
26081014801,5591,57,5401,57,66,31,36,3958,35,3809,35,40,19,20,387.84,1259.63,NA,NA,31240,NA,07620,8,4
26081014802,6254,41,6166,41,19,6,20,4331,22,4262,22,16,3,6,582,1470,NA,12480,12500,NA,07620,8,4
26081014803,2114,19,2064,19,18,4,9,1408,10,1371,10,12,2,3,137.97,448.09,NA,NA,31240,NA,07620,8,4
26083000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,NA,NA,NA,NA,07690,9,1
26083009601,227,0,221,0,1,1,4,202,0,199,0,1,1,1,54,60,NA,NA,34300,16560,07690,9,1
26083009602,1474,6,1462,6,0,3,2,1161,1,1155,1,0,3,1,452,281,NA,620,1520,NA,07690,9,1
26083009603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,65,NA,NA,39380,NA,07690,9,1
26085009601,2476,15,2422,15,17,20,2,1714,7,1672,7,13,14,1,83,97,NA,49740,25440,NA,28200,16,2
26085009602,1174,9,1151,9,5,4,5,932,4,920,4,2,1,1,63,36,NA,NA,25260,NA,03810,16,2
26085009603,848,7,772,7,59,10,0,705,5,644,5,44,7,0,86,89,NA,NA,63120,NA,03810,16,2
26085009604,1077,7,862,7,195,13,0,885,3,714,3,155,10,0,154,165,NA,4940,44320,NA,03810,16,2
26085009605,598,7,571,7,14,5,1,484,4,466,4,6,3,1,99.51,67.78,NA,4940,44320,NA,03810,16,2
26085009606,1508,11,1021,11,459,15,1,1087,8,759,8,302,9,1,223.49,152.22,NA,4940,64880,NA,03810,16,2
26085009607,902,4,498,4,393,7,0,653,1,354,1,292,5,0,192,29,NA,NA,89040,NA,03810,16,2
26087003201,4733,91,4618,91,6,13,3,3283,41,3184,41,6,10,1,149,321,NA,16420,11840,NA,07040,1,6
26087003202,6065,86,5928,86,0,28,23,4106,41,4001,41,0,15,8,610,683,NA,5470,21160,NA,25680,1,6
26087003204,7159,133,6970,133,10,25,19,5151,75,4967,75,8,19,7,1082,1270,NA,46040,52500,NA,21180,1,6
26087003205,5454,59,5373,59,2,13,7,3729,32,3652,32,2,8,3,361,478,NA,58080,58090,NA,25680,1,6
26087003206,5064,451,4514,451,15,20,63,3959,294,3319,294,4,15,33,681,991,NA,40320,40300,NA,19100,1,10
26087003207,8191,122,7998,122,11,26,32,5813,65,5638,65,9,19,17,418,633,NA,46040,46060,NA,21180,1,10
26087003208,7215,126,6972,126,19,51,47,5218,73,4999,73,11,32,30,1151.27,1511.04,NA,46040,46040,NA,21180,1,10
26087003209,787,21,400,21,351,10,5,801,20,398,20,348,10,5,176.73,231.96,NA,46040,46040,NA,21180,1,10
26087003210,4468,52,4355,52,24,28,9,3310,37,3194,37,17,21,4,691,788,NA,NA,25160,NA,21180,1,10
26087003211,7374,67,7242,67,6,27,32,5362,39,5252,39,3,16,13,923,1531,NA,53340,53360,NA,21180,1,10
26087003212,8059,130,7889,130,10,23,6,5835,72,5668,72,7,15,1,553,865,NA,1660,1680,NA,02670,1,10
26087320301,4485,55,4395,55,9,20,6,3101,27,3022,27,8,14,3,714,540,NA,17460,51420,NA,20940,1,6
26087320302,5714,100,5571,100,10,23,10,3851,48,3728,48,5,15,7,902,918,NA,NA,61060,NA,21180,1,6
26089000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,195,NA,NA,8440,NA,16020,16,1
26089009701,1645,59,1534,59,2,49,0,1333,26,1247,26,1,33,0,100.21,128.63,NA,58740,46700,NA,25920,16,1
26089009702,4232,45,3830,45,5,336,15,3030,29,2761,29,2,202,7,227.79,292.37,34050,77600,77620,NA,33360,16,1
26089009703,2178,24,2130,24,2,16,5,1660,15,1616,15,1,10,3,188,208,NA,NA,46820,NA,21390,16,1
26089009704,1303,4,1297,4,0,1,1,1069,2,1063,2,0,1,1,257,351,NA,25980,32380,NA,16020,16,1
26089009705,3536,13,3498,13,0,19,6,2509,9,2476,9,0,14,1,158,165,NA,NA,16400,NA,16020,16,1
26089009706,3633,43,3547,43,7,24,12,2726,30,2645,30,2,15,4,482,633,NA,35300,25700,NA,33870,16,1
26091000601,3346,76,3170,76,90,5,5,2399,49,2286,49,8,3,4,170,288,NA,10760,50520,NA,06930,3,8
26091000602,5370,82,5241,82,5,9,33,3875,52,3736,52,3,9,23,504,573,NA,16480,16500,NA,10050,18,8
26091000603,6858,84,6705,84,14,29,25,5038,38,4929,38,6,18,9,348,432,NA,60840,12720,NA,26520,18,8
26091000604,6497,100,6355,100,11,19,12,4720,45,4603,45,6,16,5,398,535,NA,50830,88640,NA,01920,18,8
26091000605,3364,106,3234,106,6,16,2,2408,53,2287,53,2,13,0,203,263,NA,16280,22820,NA,26520,18,8
26091000606,3747,241,3463,241,11,1,28,2781,148,2453,148,11,1,20,448.07,423.24,NA,440,460,NA,01950,18,8
26091000607,5577,256,5247,256,10,13,49,3984,147,3656,147,7,8,19,731,855,NA,79120,66840,NA,33720,3,8
26091000608,3075,193,2854,193,3,12,13,2344,116,2099,116,3,4,6,478.65,519.4,NA,79120,79120,NA,33720,18,8
26091000609,3860,107,3691,107,6,15,41,2891,65,2726,65,4,5,26,590.35,640.6,NA,79120,79120,NA,33720,18,8
26091000610,4118,112,3977,112,10,15,3,3003,62,2862,62,6,9,2,269.13,387.97,NA,21180,68580,NA,06000,3,8
26091000611,2903,159,2723,159,9,9,3,2152,90,1961,90,5,5,1,192.87,278.03,NA,9000,9020,NA,06000,3,8
26091000612,1954,98,1849,98,6,0,0,1471,66,1336,66,3,0,0,312,376,NA,NA,62240,NA,06000,3,8
26091000613,8794,1802,6553,1802,341,29,33,7278,1042,4940,1042,205,26,23,1172.63,1107.64,NA,440,440,NA,01950,3,8
26091000614,4452,389,3819,389,182,20,30,3507,243,2909,243,81,13,18,565.05,533.73,NA,440,440,NA,01950,3,8
26091000615,5858,332,5338,332,89,9,89,4607,188,4087,188,72,9,63,742.28,701.14,NA,440,440,NA,01950,18,8
26091000616,3070,628,2333,628,72,8,12,2560,368,1767,368,42,6,9,412.47,389.61,NA,440,440,NA,01950,3,8
26091000617,6319,431,5339,431,483,17,45,5136,277,4063,277,461,15,43,827.51,781.65,NA,440,50540,NA,01950,3,8
26091000618,4148,90,4015,90,12,3,28,2947,40,2842,40,5,3,17,163,228,NA,39720,39740,NA,18810,18,8
26091000619,4967,107,4836,107,3,11,9,3513,57,3382,57,1,8,8,126,214,NA,55500,72440,NA,24570,18,8
26091000620,3199,122,3063,122,4,6,4,2256,60,2128,60,1,4,3,222,284,NA,9000,27020,NA,30780,18,8
26093007100,6854,51,6725,51,16,41,15,4912,30,4809,30,11,23,9,876,1396,NA,NA,81160,NA,14250,17,9
26093007110,3000,36,2949,36,2,10,2,2141,28,2073,28,2,8,2,336,516,NA,NA,21220,NA,17910,17,9
26093007120,4825,54,4728,54,5,33,5,3403,31,3308,31,5,26,2,540,1010,NA,39540,60120,NA,18720,17,9
26093007130,6860,28,6772,28,12,17,31,4882,17,4809,17,10,14,15,797,1577,NA,NA,37040,NA,17910,17,9
26093007200,4511,46,4405,46,1,40,19,3131,22,3047,22,1,28,11,297,557,NA,NA,16920,NA,14730,17,9
26093007220,5488,56,5328,56,1,90,13,3823,32,3708,32,0,45,6,616,909,NA,30060,36340,NA,14730,17,9
26093007240,4515,42,4417,42,9,32,15,3316,27,3223,27,6,22,11,467,859,NA,39540,39560,NA,18720,17,9
26093007250,3243,35,3142,35,1,31,32,2493,18,2417,18,1,20,19,393.26,573.63,NA,39540,39540,NA,18720,17,9
26093007251,4786,45,4658,45,9,47,24,3561,27,3450,27,4,37,16,561.74,819.37,NA,39540,39540,NA,18720,17,9
26093007300,4859,44,4793,44,0,13,9,3470,32,3397,32,0,6,3,597,1113,NA,39540,51640,NA,18720,17,9
26093007310,4513,52,4426,52,12,19,3,3225,31,3142,31,9,10,2,195,318,NA,NA,81240,NA,33030,17,9
26093007330,6183,44,6084,44,4,32,18,4330,28,4247,28,2,18,7,769,924,NA,64140,66540,NA,28140,17,9
26093007400,7482,45,7332,45,11,39,53,5117,19,5018,19,7,26,28,735.68,1245.33,NA,NA,10640,NA,06870,15,9
26093007401,6378,68,6163,68,57,32,56,4567,43,4385,43,50,20,26,656.61,1111.47,NA,10620,10640,NA,06870,15,9
26093007410,7797,73,7603,73,11,43,64,5778,51,5598,51,8,27,43,830.71,1406.2,NA,10620,10620,NA,06870,15,9
26093007420,4783,33,4697,33,6,37,10,3568,20,3493,20,3,25,7,597.64,1045.02,NA,NA,31860,NA,18720,17,9
26093007421,5433,26,5348,26,6,18,34,3841,17,3769,17,5,12,21,643.36,1124.98,NA,10620,31860,NA,06870,17,9
26093007430,3523,39,3453,39,5,19,7,2557,18,2500,18,4,13,4,399.31,530.09,NA,NA,36100,NA,28140,17,9
26093007431,4777,29,4545,29,184,4,15,3459,23,3220,23,179,4,10,540.17,717.08,NA,NA,36100,NA,28140,17,9
26093007432,4655,21,4617,21,1,3,12,3506,18,3459,18,1,2,8,547.51,726.83,NA,NA,36100,NA,28140,17,9
26093007440,5533,45,5415,45,4,51,16,3984,23,3884,23,4,38,12,667.32,1010.68,NA,10620,35060,NA,06870,15,9
26093007441,5647,62,5227,62,311,23,23,4022,26,3898,26,41,13,18,673.68,1020.32,NA,87060,35060,NA,36330,15,9
