GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRROU,G20USSDAHL,G20HALRJOH,G20HALDLUA,G20PUCRHAN,G20PUCDEAG,G20PUCLSAX
460030VTD-1,46,003,0VTD-1,257,42,0,256,66,279,11,264,25,2
460030VTD-2,46,003,0VTD-2,132,12,0,126,22,132,8,131,6,0
460030VTD-3,46,003,0VTD-3,304,81,2,291,122,387,23,304,38,4
460030VTD-5,46,003,0VTD-5,133,52,0,132,62,170,13,133,28,0
460030VTD-7,46,003,0VTD-7,230,92,0,230,93,280,37,256,54,0
460050VTD-1,46,005,0VTD-1,297,109,3,302,107,333,43,302,71,7
46005VTD-01,46,005,VTD-01,715,211,9,742,203,840,64,737,130,9
46005VTD-02,46,005,VTD-02,684,187,0,685,187,762,68,683,103,11
46005VTD-04,46,005,VTD-04,218,85,2,220,81,248,38,221,56,10
46005VTD-05,46,005,VTD-05,1057,456,6,1115,419,1301,175,1148,249,44
46005VTD-W2,46,005,VTD-W2,357,229,13,402,204,432,140,354,179,44
46005VTD-W3,46,005,VTD-W3,342,217,20,368,207,442,104,374,151,23
46005VTDW01,46,005,VTDW01,172,63,1,175,63,190,27,174,41,4
46005VTDW71,46,005,VTDW71,321,146,16,347,126,412,50,350,91,16
46005VTDW72,46,005,VTDW72,29,13,0,31,13,35,5,31,9,0
46005VTDW81,46,005,VTDW81,396,248,12,447,213,556,72,472,148,24
46005VTDW82,46,005,VTDW82,228,99,4,239,89,278,40,249,49,12
460070VTD-1,46,007,0VTD-1,53,196,1,83,175,99,120,53,180,7
460070VTD-4,46,007,0VTD-4,151,13,0,147,13,150,8,136,12,1
46007VTD-02,46,007,VTD-02,110,74,4,116,70,134,41,102,68,9
46007VTD-05,46,007,VTD-05,83,55,3,86,53,98,30,75,51,6
46007VTD-06,46,007,VTD-06,23,15,1,23,14,27,9,21,14,2
46007VTD-27,46,007,VTD-27,273,109,3,274,109,292,74,245,106,9
460090VTD-1,46,009,0VTD-1,460,101,0,442,112,501,40,461,52,3
460090VTD-2,46,009,0VTD-2,380,110,0,375,119,447,48,375,76,14
460090VTD-3,46,009,0VTD-3,480,221,2,479,225,556,96,479,128,16
460090VTD-4,46,009,0VTD-4,396,147,0,376,200,460,66,380,107,10
460090VTD-5,46,009,0VTD-5,468,113,7,466,122,562,61,469,73,17
460110VTD-1,46,011,0VTD-1,313,269,23,348,252,421,123,333,195,38
460110VTD-2,46,011,0VTD-2,421,482,31,457,450,564,213,449,343,55
460110VTD-3,46,011,0VTD-3,417,490,38,454,457,554,215,437,348,69
460110VTD-4,46,011,0VTD-4,747,749,42,817,702,1000,340,792,541,73
460110VTD-5,46,011,0VTD-5,1447,1212,82,1589,1138,1941,557,1550,867,134
460110VTD-6,46,011,0VTD-6,1247,950,71,1372,894,1671,434,1325,681,112
460110VTD-8,46,011,0VTD-8,486,333,20,543,312,652,149,526,241,32
460110VTD-9,46,011,0VTD-9,468,233,10,511,220,623,96,498,158,23
46011VTD-10,46,011,VTD-10,402,178,7,435,166,537,76,425,125,16
46011VTD-11,46,011,VTD-11,461,301,22,497,278,611,124,485,208,34
46011VTD-12,46,011,VTD-12,194,73,1,218,69,265,30,201,51,4
46011VTD-13,46,011,VTD-13,158,89,1,168,86,210,35,166,64,4
46011VTD-14,46,011,VTD-14,794,497,23,885,468,1078,221,860,356,45
46011VTD-15,46,011,VTD-15,102,79,1,108,74,133,33,104,55,4
46011VTD-16,46,011,VTD-16,319,131,6,341,123,434,56,335,92,16
460130VTD-1,46,013,0VTD-1,812,504,29,855,483,1040,223,850,348,63
460130VTD-2,46,013,0VTD-2,399,318,18,420,305,514,136,416,223,33
460130VTD-3,46,013,0VTD-3,886,551,30,933,535,1144,232,925,376,69
460130VTD-4,46,013,0VTD-4,407,289,18,427,274,521,121,426,197,44
460130VTD-5,46,013,0VTD-5,278,243,21,297,236,362,107,295,170,38
460130VTD-6,46,013,0VTD-6,1286,672,42,1349,651,1667,298,1347,474,79
460130VTD-7,46,013,0VTD-7,1257,625,40,1321,596,1625,269,1316,427,84
460130VTD-8,46,013,0VTD-8,643,461,35,679,445,828,206,675,325,68
460130VTD-9,46,013,0VTD-9,534,287,18,563,277,689,122,561,197,38
46013VTD-10,46,013,VTD-10,266,207,19,278,199,344,89,278,140,33
46013VTD-11,46,013,VTD-11,377,288,18,395,279,490,126,394,206,36
46013VTD-12,46,013,VTD-12,624,259,12,657,248,806,108,654,173,28
46013VTD-13,46,013,VTD-13,221,137,2,229,132,290,56,229,98,6
46013VTD-14,46,013,VTD-14,138,122,0,146,116,176,44,146,77,1
46013VTD-15,46,013,VTD-15,701,269,7,731,262,889,111,731,189,29
46013VTD-16,46,013,VTD-16,269,121,4,285,117,346,47,283,84,13
46013VTD-17,46,013,VTD-17,378,244,2,398,236,481,106,397,169,10
46013VTD-18,46,013,VTD-18,142,109,0,145,103,169,41,145,65,3
46013VTD-19,46,013,VTD-19,639,408,2,673,393,819,161,672,280,25
46013VTD-20,46,013,VTD-20,78,65,0,81,64,101,26,81,42,3
46013VTD-21,46,013,VTD-21,116,128,0,125,126,148,52,125,88,1
46013VTD-22,46,013,VTD-22,122,119,1,131,114,158,47,131,76,2
460150VTD-2,46,015,0VTD-2,334,65,3,315,95,370,34,316,49,9
460150VTD-3,46,015,0VTD-3,416,100,3,410,128,465,48,430,63,7
460150VTD-5,46,015,0VTD-5,534,219,16,537,237,649,110,547,159,35
46015VTD-D2,46,015,VTD-D2,148,81,5,152,82,195,41,153,62,9
46015VTD-D3,46,015,VTD-D3,56,32,1,57,32,72,14,57,22,4
46015VTD-D4,46,015,VTD-D4,261,142,8,265,149,336,71,267,103,21
460170VTD-1,46,017,0VTD-1,109,84,2,107,87,135,52,111,74,2
460170VTD-2,46,017,0VTD-2,44,76,2,54,69,80,35,37,77,1
460170VTD-3,46,017,0VTD-3,29,181,7,54,163,87,109,25,181,7
460190VTD-6,46,019,0VTD-6,41,0,0,37,4,39,2,41,0,0
460190VTD-8,46,019,0VTD-8,30,4,0,30,6,30,4,28,4,1
46019VTD-11,46,019,VTD-11,64,8,0,65,8,62,6,59,6,4
46019VTD-12,46,019,VTD-12,93,12,0,85,14,85,11,84,11,0
46019VTD-13,46,019,VTD-13,117,14,1,115,19,117,16,108,14,3
46019VTD-14,46,019,VTD-14,322,42,5,319,59,321,51,304,41,19
46019VTD-16,46,019,VTD-16,691,143,11,693,152,711,116,654,116,33
46019VTD-17,46,019,VTD-17,342,58,5,336,64,355,36,323,38,20
46019VTD-18,46,019,VTD-18,88,20,10,96,24,92,24,85,18,11
46019VTD-20,46,019,VTD-20,198,40,2,195,47,195,46,180,40,14
46019VTD-21,46,019,VTD-21,178,78,4,192,77,209,43,165,62,22
46019VTD-22,46,019,VTD-22,152,63,7,165,60,168,48,133,59,20
46019VTD-23,46,019,VTD-23,174,53,7,182,51,183,45,169,38,16
46019VTD-24,46,019,VTD-24,250,89,18,262,90,283,58,244,68,25
46019VTD-25,46,019,VTD-25,278,78,2,293,68,324,25,284,51,10
46019VTD-26,46,019,VTD-26,196,50,12,199,58,213,40,186,45,17
46019VTD-27,46,019,VTD-27,210,60,5,217,53,228,35,207,31,23
46019VTD-28,46,019,VTD-28,301,108,9,321,97,358,46,310,70,17
460210VTD-1,46,021,0VTD-1,141,26,0,141,26,146,14,141,15,4
460210VTD-2,46,021,0VTD-2,150,21,0,154,21,156,14,150,14,2
460210VTD-3,46,021,0VTD-3,142,11,0,142,14,167,4,142,8,0
460210VTD-4,46,021,0VTD-4,150,12,0,150,12,153,2,146,5,0
460210VTD-5,46,021,0VTD-5,158,10,0,156,16,167,5,155,6,1
460230VTD-1,46,023,0VTD-1,318,131,0,310,163,334,91,305,129,3
460230VTD-2,46,023,0VTD-2,129,53,0,117,62,139,37,129,47,1
460230VTD-4,46,023,0VTD-4,69,123,0,79,116,99,83,75,116,0
460230VTD-5,46,023,0VTD-5,218,129,0,212,137,266,61,210,122,2
460230VTD-7,46,023,0VTD-7,92,47,0,91,47,121,13,101,28,2
460230VTD-8,46,023,0VTD-8,157,12,0,146,26,165,6,151,6,0
460230VTD-9,46,023,0VTD-9,360,41,0,356,49,368,10,356,27,2
460230VTD6B,46,023,0VTD6B,46,58,0,47,59,58,37,44,57,3
46023VTD-10,46,023,VTD-10,132,6,1,132,13,143,3,132,3,0
46023VTD-13,46,023,VTD-13,49,22,0,48,24,52,14,48,22,0
46023VTD-3a,46,023,VTD-3a,46,43,0,49,44,63,28,45,41,3
46023VTD-3b,46,023,VTD-3b,126,126,3,131,126,157,78,122,118,8
46023VTD-3c,46,023,VTD-3c,101,101,2,103,101,124,63,97,95,7
46023VTD-6a,46,023,VTD-6a,45,57,0,45,59,59,36,41,56,2
46023VTD-6c,46,023,VTD-6c,11,12,0,11,12,12,9,10,12,1
46023VTD11a,46,023,VTD11a,155,32,0,158,32,175,15,158,24,2
46023VTD11b,46,023,VTD11b,249,56,2,254,55,283,23,255,36,3
46023VTD11c,46,023,VTD11c,179,40,1,182,40,199,15,182,29,2
46023VTD12a,46,023,VTD12a,19,2,0,16,7,19,2,16,6,0
46023VTD12b,46,023,VTD12b,7,0,0,5,2,7,0,5,0,0
46023VTD12c,46,023,VTD12c,50,8,2,42,18,50,8,43,12,0
4602500VTD1,46,025,00VTD1,247,52,2,250,57,300,19,249,34,4
4602500VTD2,46,025,00VTD2,329,85,1,335,88,354,42,314,46,12
4602500VTD3,46,025,00VTD3,185,58,2,190,56,212,20,190,25,8
4602500VTD5,46,025,00VTD5,298,58,1,303,57,322,26,303,35,2
46025VTD-W3,46,025,VTD-W3,75,28,1,79,26,91,13,79,13,5
46025VTD4-1,46,025,VTD4-1,126,50,4,124,55,149,26,123,31,15
46025VTD4-2,46,025,VTD4-2,119,51,1,119,51,138,31,119,43,9
46027VTD-C1,46,027,VTD-C1,131,381,12,169,357,248,200,149,313,32
46027VTD-C2,46,027,VTD-C2,26,78,2,34,76,51,43,31,63,5
46027VTD-W1,46,027,VTD-W1,291,108,1,300,105,358,40,303,64,3
46027VTD-W2,46,027,VTD-W2,242,131,8,257,131,305,56,262,74,15
46027VTD-W3,46,027,VTD-W3,536,477,11,627,405,778,149,623,311,19
46027VTDNE1,46,027,VTDNE1,55,83,5,68,73,82,47,58,62,8
46027VTDNE2,46,027,VTDNE2,151,225,16,185,200,221,131,160,172,25
46027VTDNW1,46,027,VTDNW1,286,407,15,338,366,435,205,307,338,32
46027VTDNW2,46,027,VTDNW2,161,228,11,187,207,244,113,172,188,19
46027VTDSE1,46,027,VTDSE1,189,325,13,236,297,340,128,239,235,18
46027VTDSE2,46,027,VTDSE2,357,611,26,438,558,637,238,448,437,35
460290VTD-2,46,029,0VTD-2,1026,344,25,1044,356,1184,170,1001,225,55
460290VTD-3,46,029,0VTD-3,670,217,14,665,247,747,126,634,146,34
460290VTD-5,46,029,0VTD-5,733,246,3,770,239,861,108,776,126,19
46029VTD-A1,46,029,VTD-A1,809,303,25,875,271,984,123,869,159,47
46029VTD-A2,46,029,VTD-A2,350,209,12,400,170,463,81,406,111,21
46029VTD-A3,46,029,VTD-A3,157,69,4,169,63,193,27,168,39,12
46029VTD-A4,46,029,VTD-A4,364,161,13,388,145,441,65,384,89,30
46029VTD-B1,46,029,VTD-B1,342,140,8,375,122,424,55,372,73,16
46029VTD-B2,46,029,VTD-B2,562,360,37,623,329,717,190,594,229,54
46029VTD-B3,46,029,VTD-B3,273,131,11,290,125,337,59,288,81,19
46029VTD-B4,46,029,VTD-B4,54,23,1,57,19,66,8,57,11,2
46029VTD-C1,46,029,VTD-C1,163,80,4,169,71,201,37,167,49,8
46029VTD-C2,46,029,VTD-C2,44,31,1,47,31,59,17,44,23,3
46029VTD-C3,46,029,VTD-C3,261,131,12,273,116,294,73,261,84,22
46029VTD-C4,46,029,VTD-C4,315,151,19,329,146,359,89,313,101,30
46029VTD-D1,46,029,VTD-D1,407,180,7,434,165,482,82,419,109,28
46029VTD-D2,46,029,VTD-D2,356,149,19,379,147,403,94,347,107,28
46029VTD-D3,46,029,VTD-D3,277,150,10,299,143,338,69,282,104,20
46029VTD-D4,46,029,VTD-D4,182,124,9,190,123,229,67,182,93,13
46029VTD-E1,46,029,VTD-E1,404,163,14,417,164,458,102,407,111,25
46029VTD-E2,46,029,VTD-E2,545,198,7,576,171,651,73,585,95,24
46029VTD-E3,46,029,VTD-E3,299,107,3,313,91,357,41,318,52,14
46029VTD-E4,46,029,VTD-E4,179,71,7,185,72,202,43,182,48,13
46029VTD-E5,46,029,VTD-E5,163,67,6,177,57,200,27,177,36,8
46031VTD-AR,46,031,VTD-AR,24,2,0,23,3,22,2,22,1,0
46031VTD-BH,46,031,VTD-BH,2,61,0,6,55,11,32,5,60,0
46031VTD-BU,46,031,VTD-BU,30,31,0,37,25,37,16,31,31,0
46031VTD-CD,46,031,VTD-CD,26,66,0,34,52,37,34,26,62,0
46031VTD-GV,46,031,VTD-GV,68,1,0,68,2,69,1,68,1,0
46031VTD-KN,46,031,VTD-KN,12,65,0,12,60,19,35,7,60,1
46031VTD-LC,46,031,VTD-LC,31,6,0,33,4,33,4,27,6,0
46031VTD-LE,46,031,VTD-LE,17,69,1,25,62,39,44,14,67,2
46031VTD-LO,46,031,VTD-LO,102,4,0,101,6,105,4,85,6,0
46031VTD-MI,46,031,VTD-MI,97,22,0,112,20,119,8,97,15,0
46031VTD-MT,46,031,VTD-MT,107,16,0,107,17,108,10,98,10,4
46031VTD-RL,46,031,VTD-RL,50,13,0,48,13,46,8,46,13,0
46031VTD-SM,46,031,VTD-SM,62,145,0,69,138,79,89,56,147,2
46031VTD-WK,46,031,VTD-WK,9,109,0,6,110,26,58,6,110,0
46033VTD-BG,46,033,VTD-BG,156,60,1,156,52,175,24,142,52,5
46033VTD-BR,46,033,VTD-BR,964,408,33,1020,390,1121,222,944,324,68
46033VTD-EM,46,033,VTD-EM,132,40,2,141,39,139,31,121,40,5
46033VTD-FB,46,033,VTD-FB,148,23,4,149,26,157,20,137,22,6
46033VTD-HE,46,033,VTD-HE,862,244,22,883,244,928,160,821,197,54
46033VTD-PR,46,033,VTD-PR,334,124,0,333,121,353,89,317,103,20
46033VTD-SD,46,033,VTD-SD,545,220,16,563,215,617,127,511,182,51
46033VTD6-1,46,033,VTD6-1,251,141,4,267,134,289,86,251,110,24
46033VTD7-1,46,033,VTD7-1,161,79,5,161,80,189,47,153,68,17
46033VTD8-1,46,033,VTD8-1,117,66,4,124,64,148,30,117,51,9
46033VTD8-2,46,033,VTD8-2,173,97,5,181,95,216,44,172,74,12
460350000C4,46,035,0000C4,291,93,6,303,91,351,39,303,55,11
460350VT-14,46,035,0VT-14,347,178,7,374,165,430,82,361,112,23
460350VTD10,46,035,0VTD10,337,177,9,356,170,430,82,348,116,30
460350VTD11,46,035,0VTD11,206,110,6,218,103,260,49,209,70,17
460350VTD12,46,035,0VTD12,132,68,3,142,62,159,33,137,42,10
460350VTD13,46,035,0VTD13,186,97,4,199,91,230,43,194,60,14
460350VTD15,46,035,0VTD15,329,212,14,351,199,448,81,369,123,27
460350VTD16,46,035,0VTD16,249,155,10,263,150,337,61,275,94,22
460350VTD17,46,035,0VTD17,5,3,0,5,3,7,1,5,2,0
460350VTD18,46,035,0VTD18,176,116,7,192,108,247,45,199,67,12
460350VTD19,46,035,0VTD19,383,215,12,405,199,521,65,433,120,19
46035VTD-06,46,035,VTD-06,332,173,10,353,163,437,61,369,107,21
46035VTD-07,46,035,VTD-07,172,91,4,184,86,224,31,191,56,10
46035VTD-08,46,035,VTD-08,385,205,10,408,193,503,71,423,125,24
46035VTD-09,46,035,VTD-09,322,170,8,340,161,404,75,329,111,27
46035VTD-20,46,035,VTD-20,423,231,15,447,216,572,75,476,135,23
46035VTD-C1,46,035,VTD-C1,257,64,1,247,71,291,19,259,26,3
46035VTD-C2,46,035,VTD-C2,426,98,1,412,110,484,26,429,50,7
46035VTD-C3,46,035,VTD-C3,391,91,1,374,100,435,22,392,39,5
46035VTD-C5,46,035,VTD-C5,266,89,4,281,86,322,35,281,50,14
460370VTD-5,46,037,0VTD-5,88,37,0,87,39,105,16,88,30,1
460370VTD-6,46,037,0VTD-6,141,113,1,141,117,173,69,147,96,2
46037VTD-AT,46,037,VTD-AT,82,21,0,80,29,92,2,82,11,0
46037VTD-BR,46,037,VTD-BR,167,84,0,168,86,200,34,173,45,1
46037VTD-BW,46,037,VTD-BW,165,72,0,165,65,190,31,176,35,3
46037VTD-FP,46,037,VTD-FP,129,85,0,134,85,173,35,142,53,2
46037VTD-GK,46,037,VTD-GK,123,78,0,138,68,166,31,136,48,5
46037VTD-LT,46,037,VTD-LT,78,40,0,78,51,96,15,84,27,2
46037VTD-RR,46,037,VTD-RR,155,69,0,139,74,186,29,161,37,3
46037VTD-RW,46,037,VTD-RW,122,61,0,117,63,144,29,123,40,5
46037VTD1w1,46,037,VTD1w1,146,97,0,161,87,199,30,176,47,11
46037VTD2w2,46,037,VTD2w2,125,59,1,126,59,145,26,124,42,10
46037VTD2W3,46,037,VTD2W3,64,28,1,65,28,77,14,65,22,4
46037VTD3W3,46,037,VTD3W3,111,57,1,119,56,142,25,121,30,9
46037VTD4W1,46,037,VTD4W1,113,66,0,113,64,140,29,130,29,7
46037VTD5W1,46,037,VTD5W1,17,10,0,17,10,18,1,17,7,0
46037VTD5W2,46,037,VTD5W2,29,15,0,29,15,34,6,29,9,0
46037VTD6W3,46,037,VTD6W3,25,21,0,25,21,30,12,27,17,0
460390VTD-1,46,039,0VTD-1,114,48,0,114,46,146,7,130,16,0
460390VTD-3,46,039,0VTD-3,243,78,3,251,79,290,38,254,50,9
460390VTD-4,46,039,0VTD-4,136,46,4,139,47,162,25,136,25,16
460390VTD-5,46,039,0VTD-5,128,74,8,138,76,174,31,145,46,8
460390VTD-6,46,039,0VTD-6,138,62,0,144,58,178,22,153,40,3
460390VTD-7,46,039,0VTD-7,156,39,0,146,44,178,23,150,23,6
460390VTD-8,46,039,0VTD-8,232,64,0,229,67,263,35,221,56,5
460390VTD-9,46,039,0VTD-9,236,64,0,225,71,263,24,224,30,5
46039VTD-10,46,039,VTD-10,146,47,1,147,47,180,14,147,31,2
46039VTD-11,46,039,VTD-11,166,64,0,166,68,195,34,157,51,4
460410VTD-2,46,041,0VTD-2,41,1,1,42,2,36,6,37,1,2
460410VTD-3,46,041,0VTD-3,38,14,0,39,14,41,9,35,12,0
460410VTD-4,46,041,0VTD-4,226,88,5,239,87,253,55,216,76,4
460410VTD-5,46,041,0VTD-5,49,17,0,39,21,48,16,36,17,3
460410VTD-6,46,041,0VTD-6,115,19,0,113,29,118,10,113,17,0
460410VTD-7,46,041,0VTD-7,36,255,5,62,237,86,157,22,258,6
460410VTD-8,46,041,0VTD-8,8,48,1,13,45,23,30,4,54,0
460410VTD-9,46,041,0VTD-9,30,54,0,38,45,44,31,25,59,2
46041VTD-10,46,041,VTD-10,11,73,2,15,72,29,47,11,66,6
46041VTD-11,46,041,VTD-11,2,17,0,4,17,8,12,2,15,2
46041VTD-12,46,041,VTD-12,19,35,1,23,32,29,21,17,36,1
46041VTD-13,46,041,VTD-13,57,105,4,68,96,88,59,49,112,4
46041VTD-14,46,041,VTD-14,60,263,4,91,237,131,155,44,270,7
46041VTD-15,46,041,VTD-15,86,138,1,102,124,134,77,76,150,2
460430VTD-1,46,043,0VTD-1,395,1,0,395,16,398,5,359,0,0
460430VTD-2,46,043,0VTD-2,257,63,0,252,69,297,10,272,18,3
460430VTD-3,46,043,0VTD-3,274,36,0,275,32,292,10,274,26,0
460430VTD-4,46,043,0VTD-4,223,60,9,224,59,236,43,225,18,5
460430VTD-5,46,043,0VTD-5,346,14,0,348,14,355,3,347,4,1
46045000001,46,045,000001,348,118,0,351,118,406,41,361,63,7
46045000002,46,045,000002,305,88,5,315,92,351,55,297,60,20
46045000003,46,045,000003,237,37,1,238,38,300,7,236,26,2
46045000004,46,045,000004,202,53,3,197,65,237,20,196,38,6
46045000005,46,045,000005,309,48,1,309,55,336,11,322,26,2
46045000006,46,045,000006,121,32,0,117,38,128,14,108,24,2
46047VTD-BE,46,047,VTD-BE,129,11,1,131,11,128,14,122,4,14
46047VTD-CA,46,047,VTD-CA,229,56,4,236,49,231,51,221,38,17
46047VTD-E1,46,047,VTD-E1,20,3,0,20,3,20,2,20,3,0
46047VTD-E2,46,047,VTD-E2,31,5,0,31,5,31,5,30,5,1
46047VTD-E3,46,047,VTD-E3,3,0,0,3,0,3,0,3,0,0
46047VTD-EA,46,047,VTD-EA,354,72,5,366,72,367,51,336,53,20
46047VTD-H1,46,047,VTD-H1,262,140,14,278,133,308,92,264,121,20
46047VTD-H2,46,047,VTD-H2,328,163,12,347,147,377,104,318,128,28
46047VTD-H3,46,047,VTD-H3,273,161,17,291,162,321,112,273,136,31
46047VTD-H4,46,047,VTD-H4,230,127,8,246,119,270,70,209,106,28
46047VTD-JA,46,047,VTD-JA,813,264,12,841,251,875,190,798,200,58
46047VTD-OA,46,047,VTD-OA,151,17,0,154,14,151,17,145,11,0
46047VTD-OE,46,047,VTD-OE,49,6,1,50,4,49,5,45,3,1
460490VTD-1,46,049,0VTD-1,149,23,0,149,23,167,9,146,13,1
460490VTD-2,46,049,0VTD-2,115,2,0,112,7,119,0,108,2,0
460490VTD-3,46,049,0VTD-3,126,9,0,90,13,130,3,90,5,0
460490VTD-4,46,049,0VTD-4,89,10,0,88,11,90,9,88,6,0
460490VTD-5,46,049,0VTD-5,100,11,0,97,13,103,5,98,7,2
460490VTD-6,46,049,0VTD-6,411,108,10,437,115,480,31,396,66,16
460510VDT46,46,051,0VDT46,148,50,7,154,47,192,15,171,36,4
460510VTD41,46,051,0VTD41,342,143,0,344,151,428,68,355,103,3
460510VTD42,46,051,0VTD42,261,88,1,273,86,308,26,273,44,11
460510VTD43,46,051,0VTD43,512,160,8,524,164,576,80,511,88,25
460510VTD44,46,051,0VTD44,458,139,0,464,145,529,46,478,83,7
46051VTD2-1,46,051,VTD2-1,360,161,12,387,155,451,67,371,110,23
46051VTD2-2,46,051,VTD2-2,513,245,6,552,232,657,87,554,142,26
460530VTD-1,46,053,0VTD-1,799,203,3,799,206,921,54,780,150,8
460530VTD-2,46,053,0VTD-2,612,163,0,609,175,737,45,606,130,2
460530VTD-3,46,053,0VTD-3,326,75,0,327,75,363,12,316,51,0
460550VTD-1,46,055,0VTD-1,75,1,0,75,2,76,1,78,0,0
460550VTD-4,46,055,0VTD-4,131,9,0,131,12,137,5,124,9,1
46055VTD-16,46,055,VTD-16,206,18,1,208,18,211,9,206,15,1
46055VTD-17,46,055,VTD-17,198,29,0,208,21,210,11,205,9,0
46055VTD-19,46,055,VTD-19,207,19,0,202,29,211,11,198,11,2
46055VTD-20,46,055,VTD-20,197,8,0,197,11,209,3,191,3,0
46057VTD-BY,46,057,VTD-BY,259,59,0,260,59,301,19,263,26,0
46057VTD-CW,46,057,VTD-CW,567,185,6,579,202,630,101,567,103,24
46057VTD-ES,46,057,VTD-ES,329,178,11,341,204,418,89,348,133,10
46057VTD-HI,46,057,VTD-HI,388,33,1,390,36,395,25,384,18,2
46057VTD-HZ,46,057,VTD-HZ,131,4,0,131,4,136,1,125,2,0
46057VTD-ND,46,057,VTD-ND,545,145,4,557,140,608,82,536,102,12
46057VTD-OX,46,057,VTD-OX,145,14,1,143,16,147,9,143,8,1
460590VTD-1,46,059,0VTD-1,112,11,0,111,17,134,3,111,10,0
460590VTD-2,46,059,0VTD-2,74,9,0,74,13,80,4,74,9,0
460590VTD-3,46,059,0VTD-3,74,5,0,75,5,81,3,75,0,1
460590VTD-4,46,059,0VTD-4,26,3,0,30,1,30,0,30,0,1
460590VTD-5,46,059,0VTD-5,145,19,1,150,22,182,1,150,6,2
460590VTD-6,46,059,0VTD-6,144,54,0,147,55,170,18,143,30,7
460590VTD-7,46,059,0VTD-7,107,21,0,80,24,112,10,104,19,0
460590VTD-8,46,059,0VTD-8,17,3,0,17,4,18,0,17,4,0
460590VTD-9,46,059,0VTD-9,78,1,0,75,6,78,1,77,1,0
460590VTD10,46,059,0VTD10,43,3,0,43,5,43,1,40,3,0
46059VTD-12,46,059,VTD-12,227,87,2,243,77,289,28,250,45,5
46059VTD-M1,46,059,VTD-M1,207,65,3,220,59,247,31,220,41,5
46059VTD-M2,46,059,VTD-M2,52,21,0,57,19,69,6,59,9,0
46059VTDM3a,46,059,VTDM3a,69,22,1,72,20,83,12,72,14,1
46059VTDM3b,46,059,VTDM3b,41,17,0,44,13,52,5,47,9,1
460610VTD-1,46,061,0VTD-1,783,332,10,801,304,854,145,741,260,22
460610VTD-2,46,061,0VTD-2,297,116,2,296,119,348,47,315,75,5
460610VTD-3,46,061,0VTD-3,243,49,0,243,52,246,18,243,18,0
460610VTD-4,46,061,0VTD-4,266,38,0,258,53,265,30,258,15,9
460610VTD-5,46,061,0VTD-5,202,8,0,202,12,214,2,194,5,0
46063VTD-BU,46,063,VTD-BU,148,15,3,147,16,148,13,135,12,6
46063VTD-CC,46,063,VTD-CC,102,12,0,102,21,107,10,89,14,1
46063VTD-FI,46,063,VTD-FI,51,6,0,53,3,54,0,51,3,0
46063VTD-HI,46,063,VTD-HI,116,4,1,104,13,106,2,104,6,0
46063VTD-LA,46,063,VTD-LA,50,0,0,49,0,49,0,46,0,0
46063VTD-LU,46,063,VTD-LU,92,0,0,84,4,86,3,83,1,2
46063VTD-PG,46,063,VTD-PG,62,1,0,63,0,62,1,56,0,2
46063VTD-RE,46,063,VTD-RE,125,0,1,118,7,125,7,118,4,2
460650VTD-5,46,065,0VTD-5,161,73,1,181,60,208,17,181,41,1
460650VTD-7,46,065,0VTD-7,88,11,0,106,6,119,2,102,6,0
460650VTD-9,46,065,0VTD-9,45,87,2,49,75,57,35,49,59,3
46065VTD-11,46,065,VTD-11,1028,371,22,1165,309,1330,155,1158,239,37
46065VTD-21,46,065,VTD-21,260,228,20,296,195,338,97,293,156,25
46065VTD-23,46,065,VTD-23,329,234,15,366,199,422,100,361,156,22
46065VTD-24,46,065,VTD-24,372,279,18,426,243,487,118,420,194,26
46065VTD-26,46,065,VTD-26,360,205,19,398,176,459,89,396,140,22
46065VTD-28,46,065,VTD-28,339,205,19,385,175,440,90,380,140,32
46065VTD-29,46,065,VTD-29,186,146,10,209,126,241,62,206,99,12
46065VTD-30,46,065,VTD-30,544,329,26,611,284,704,144,603,224,33
46065VTD-31,46,065,VTD-31,561,246,20,632,212,724,105,622,165,27
46065VTD-32,46,065,VTD-32,336,144,13,382,122,439,64,375,96,16
46065VTD-33,46,065,VTD-33,311,144,13,351,124,405,62,347,96,17
46065VTD-34,46,065,VTD-34,586,241,18,659,209,758,102,656,161,29
460670VTD-1,46,067,0VTD-1,576,101,3,595,100,613,55,564,56,5
460670VTD-2,46,067,0VTD-2,598,207,7,621,203,684,96,624,119,23
460670VTD-3,46,067,0VTD-3,116,19,0,115,21,122,7,116,10,0
460670VTD-4,46,067,0VTD-4,501,96,0,448,128,551,29,502,49,3
460670VTD-5,46,067,0VTD-5,497,200,7,522,181,627,58,533,88,9
460670VTD-6,46,067,0VTD-6,377,52,2,377,55,406,18,385,22,4
460670VTD-7,46,067,0VTD-7,299,22,0,265,32,307,6,298,6,0
460690VTD-1,46,069,0VTD-1,64,15,0,64,16,73,8,64,12,0
460690VTD-2,46,069,0VTD-2,182,42,1,183,42,203,21,182,33,5
460690VTD-3,46,069,0VTD-3,136,16,0,137,16,157,3,136,8,0
460690VTD-4,46,069,0VTD-4,80,19,1,80,20,89,9,80,15,1
460690VTD-5,46,069,0VTD-5,97,33,0,100,33,109,11,96,23,1
460710VTD-1,46,071,0VTD-1,37,0,0,38,0,38,0,37,0,0
