GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16HALRNOE,G16HALDHAW,G16PUCRNEL,G16PUCDRED
46071VTD4W1,46,071,VTD4W1,64,15,2.5,1,68.5,13.5,67,16,66.5,11.5
46071VTD4W2,46,071,VTD4W2,64,15,2.5,1,68.5,13.5,67,16,66.5,11.5
460730VTD-2,46,073,0VTD-2,108.92,31.98,5,2,115.91,32.97,102.92,45.96,114.91,32.97
460730VTD-3,46,073,0VTD-3,107,33,2,2,109,34,102,40,115,23
460730VTD-4,46,073,0VTD-4,71,23,6,1,68,34,65,39,69,28
460730VTD-5,46,073,0VTD-5,75.08,24.02,2,4,85.09,24.03,76.08,33.04,85.09,23.03
46073VTD1-1,46,073,VTD1-1,286,152,21,10,342,136,292,187,365,98
460750VTD-1,46,075,0VTD-1,139.03,18.34,9.29,0.84,151.67,16.69,132.53,35.01,148.2,17.66
460750VTD-3,46,075,0VTD-3,42.29,9.95,3.73,1.24,52.24,5.91,47.26,11.19,50.06,8.39
460750VTD-5,46,075,0VTD-5,147,16,9,2,144,29,149,24,150,18
46075VTD-M1,46,075,VTD-M1,29.69,3.73,1.96,0.18,32.36,3.38,28.27,7.29,31.64,3.56
46075VTD-M2,46,075,VTD-M2,61.71,14.52,5.45,1.82,76.24,8.62,68.97,16.34,73.06,12.25
46075VTD-M3,46,075,VTD-M3,32,7.53,2.82,0.94,39.53,4.47,35.76,8.47,37.88,6.35
46077000001,46,077,000001,185.57,104.91,20.31,3.95,218.85,97.02,192.34,121.84,226.19,77.28
46077000002,46,077,000002,425.22,157.6,30.59,3.48,466.15,160.23,410.08,216.03,490.91,104.32
46077000003,46,077,000003,254.97,109.92,22.07,6.76,297.77,99.56,261.73,132.89,311.28,70.27
46077000004,46,077,000004,329.87,121.24,26.31,6.69,370.55,117.05,324.56,162.17,377.93,98.74
46077000005,46,077,000005,484.44,209.34,39.73,8.13,545.77,200.16,484.38,256.08,563.78,155.4
46079004301,46,079,004301,306,135,13,3,337,119,299,159,374,75
46079004302,46,079,004302,348,134,19,8,372,136,327,176,412,78
46079004303,46,079,004303,127,33,12,3,141,32,123,53,145,27
46079004304,46,079,004304,152,69,11,3,178,61,149,96,192,42
46079004305,46,079,004305,275,128,19,3,317,110,254,177,354,63
46079004306,46,079,004306,236,75,20,2,267,67,239,97,291,40
46079004307,46,079,004307,293.69,159.83,8.99,3,353.62,124.87,301.68,175.81,368.61,97.9
46079004308,46,079,004308,1570,1082,139,34,1771,943,1639,1093,1726,802
46079004309,46,079,004309,388,256,66,10,520,215,419,321,537,181
46079004310,46,079,004310,342.31,242.17,50.01,7,420.38,223.13,344.32,306.19,450.39,177.1
46081VTD-CC,46,081,VTD-CC,16.19,6.84,1.99,0.19,19.21,6.03,17.87,7.52,19.15,5.56
46081VTD-DW,46,081,VTD-DW,277.3,229.86,39.94,2.01,329.06,212.13,294.18,248.02,326.06,208.11
46081VTD-LD,46,081,VTD-LD,767.62,450.8,125.6,14.02,916.15,450.81,829.77,537.37,915.09,390.12
46081VTD-NM,46,081,VTD-NM,225.59,99.67,20.2,4.02,245.89,105.58,236.76,112.74,224.89,118.53
46081VTD-R1,46,081,VTD-R1,496.35,212.34,61.47,5.78,588.84,188.1,547.45,234.14,586.94,173.29
46081VTD-R2,46,081,VTD-R2,1740.17,539.4,145.32,32,1917.04,524.76,1806.92,620.98,1917.02,488.21
46081VTD-S1,46,081,VTD-S1,766.2,487.39,149.04,24.4,977.43,453.41,912.87,510.13,959.98,416.4
46081VTD-S2,46,081,VTD-S2,1014.22,488.52,155.2,27.86,1190.31,503.42,1131.58,556.18,1167.44,453.69
46081VTD-S3,46,081,VTD-S3,1140.58,604.46,143.75,17.78,1373.53,521.41,1305.75,590.93,1386.83,450.64
46081VTD-SO,46,081,VTD-SO,193,49,16,4,201,56,196,60,210,54
46081VTD-W1,46,081,VTD-W1,36.04,8.74,3.52,0.42,37.62,11.43,35.49,13.79,37.15,10.73
46081VTD-W2,46,081,VTD-W2,135.49,32.87,13.22,1.57,141.41,42.96,133.41,51.83,139.67,40.35
46081VTD-W3,46,081,VTD-W3,278.27,67.51,27.15,3.21,290.42,88.23,273.99,106.45,286.85,82.87
46081VTD-WW,46,081,VTD-WW,323.95,78.6,31.61,3.74,338.09,102.72,318.96,123.93,333.94,96.48
46083VTD-02,46,083,VTD-02,187.7,58.29,10.05,1,183.77,76.26,167.69,90.34,208.81,49.17
46083VTD-06,46,083,VTD-06,317.95,118.59,26.22,4.06,372.58,91.24,323.03,147.78,391.67,66.02
46083VTD-08,46,083,VTD-08,145,62,9,1,166,51,145,73,176,38
46083VTD-11,46,083,VTD-11,139.6,65.79,14.13,2.03,163.98,56.59,135.67,84.9,175.98,34.48
46083VTD-12,46,083,VTD-12,274.84,82.45,19.63,3.93,309.2,72.64,274.84,107.97,318.03,49.08
46083VTD-13,46,083,VTD-13,193.55,64.52,8.93,2.98,209.44,60.55,193.56,82.39,211.42,56.58
46083VTD-14,46,083,VTD-14,272.84,106.9,19.15,4.03,316.27,89.68,270.91,132.04,329.28,65.55
46083VTD-15,46,083,VTD-15,750.51,273.22,62.43,13.11,881.69,226.46,796.77,313.47,912.05,167.62
46083VTD-16,46,083,VTD-16,686.85,228.03,56.52,7.93,787.02,185.37,711.64,269.66,797.92,145.73
46083VTD-21,46,083,VTD-21,147.3,61.71,10.95,1,163.23,55.74,145.31,71.66,171.19,36.83
46083VTD-23,46,083,VTD-23,347,130,44,8,399,134,350,181,410,110
46083VTD-26,46,083,VTD-26,234.62,80.53,13.94,5.42,261.72,72.79,229.97,99.89,267.14,57.3
46083VTD-B1,46,083,VTD-B1,23.75,8.15,1.41,0.55,26.49,7.37,23.28,10.11,27.04,5.8
46083VTD-B2,46,083,VTD-B2,19.49,6.69,1.16,0.45,21.74,6.05,19.1,8.3,22.19,4.76
