GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,G20GOVRCOX,G20GOVDPET,G20GOVLCOT,G20GOVADUE,G20GOVOWRI,G20ATGRREY,G20ATGDSKO,G20ATGLBAU,G20AUDRDOU,G20AUDCOST,G20AUDUFAB,G20TRERDAM,G20TRELSPE,G20TRECPRO
49003FLD2UW,49,003,FLD2UW,104,14.1,1.5,0.4,1.1,0,0,0,0,1.1,91.5,8.9,5.2,4.8,7.4,97,14.4,6.3,97,13.7,4.4,100.7,4.8,9.3
49003GAR01I,49,003,GAR01I,263,32,7.2,0.4,0.4,0.9,2.2,0,0,2.2,235,29.7,17.1,6.8,12.6,249,37.4,14.9,251.2,26.1,10.8,251.2,18.5,23
49003GAR02I,49,003,GAR02I,323.3,42.6,10.6,0,1.3,0,0.7,0.7,0,1.3,282.1,34.6,19.3,8.7,25.3,301.4,49.2,18,314.7,34.6,8,307.4,20,30.6
49003GAR02U,49,003,GAR02U,161.1,21.2,5.3,0,0.7,0,0.3,0.3,0,0.7,140.5,17.2,9.6,4.3,12.6,150.1,24.5,8.9,156.8,17.2,4,153.1,9.9,15.2
49003GAR0UE,49,003,GAR0UE,273.2,32.8,1.7,0,1.7,0,0.9,0,0.9,4.3,261.1,17.2,5.2,4.3,18.1,259.4,28.4,14.7,262,25.9,3.5,253.3,7.8,31
49003GAR1UE,49,003,GAR1UE,194.8,23.7,5.3,0.3,0.3,0.7,1.7,0,0,1.7,174.2,22,12.7,5,9.3,184.5,27.7,11,186.2,19.4,8,186.2,13.7,17
49003GAR1UN,49,003,GAR1UN,123.6,15,3.4,0.2,0.2,0.4,1.1,0,0,1.1,110.5,14,8,3.2,5.9,117,17.6,7,118.1,12.3,5.1,118.1,8.7,10.8
49003GC0000,49,003,GC0000,27.7,0,0,0,0.9,0,0,0,0,0.9,25.1,0,0,2.6,0,26.9,0.9,0.9,25.1,3.5,0,23.4,0,3.5
49003HONEYI,49,003,HONEYI,760.1,102.8,19.1,0.9,2.9,2.9,4.6,2,0.2,10.1,699,90.9,35.1,17.3,53,717.1,117,43.4,725.1,96.1,24.6,729.7,51.5,69.7
49003HONEYU,49,003,HONEYU,60.4,8.2,1.5,0.1,0.2,0.2,0.4,0.1,0,0.8,55.4,7.3,2.9,1.3,4.3,56.9,9.4,3.4,57.5,7.8,1.9,58,4.1,5.5
49003HOWL0I,49,003,HOWL0I,27.4,1.8,0.2,0,0,0,0.2,0,0,0.4,22.4,2,1,1.4,2,24.6,2,2.2,24.2,3.5,0.4,23.4,0.8,3.5
49003HOWLUE,49,003,HOWLUE,5.6,0.4,0,0,0,0,0,0,0,0.1,4.6,0.4,0.2,0.3,0.4,5,0.4,0.5,4.9,0.7,0.1,4.8,0.2,0.7
49003HOWLUN,49,003,HOWLUN,58.4,3.9,0.4,0,0,0,0.4,0,0,0.9,47.6,4.3,2.2,3,4.3,52.3,4.3,4.8,51.5,7.3,0.9,49.7,1.7,7.3
49003HOWLUW,49,003,HOWLUW,40.8,2.7,0.3,0,0,0,0.3,0,0,0.6,33.3,3,1.5,2.1,3,36.6,3,3.3,36,5.1,0.6,34.8,1.2,5.1
49003LAKE00,49,003,LAKE00,13,0.4,0.2,0,0.1,0,0,0,0,0.2,11.2,0.1,0.4,0.5,0.9,12.4,0.7,0.4,11.5,1.4,0.1,11.4,0.3,1.2
49003MANT0I,49,003,MANT0I,241.4,47,4.6,0.9,0.5,0.5,1.4,1.4,0,4.6,237.3,38.3,9.6,4.1,9.6,238.2,45.6,12.3,245.5,26.5,12.8,240.9,24.2,19.6
49003MANTUN,49,003,MANTUN,90.5,17.6,1.7,0.3,0.2,0.2,0.5,0.5,0,1.7,89,14.4,3.6,1.5,3.6,89.3,17.1,4.6,92.1,9.9,4.8,90.4,9.1,7.4
49003MANTUS,49,003,MANTUS,206.6,43.2,4,0.8,0.5,0.4,1.2,1.1,0,3.7,203.6,35.2,8.3,3.6,7.8,204.3,41.6,10.6,211.2,23.3,11.8,207.4,21.4,17.5
49003PARK00,49,003,PARK00,99.1,1,0,0,0,0,0,0,0,0,83.1,8,6,0,3,92.1,4,0,90.1,5,0,89.1,1,4
49003PER002,49,003,PER002,395.1,85.4,12.8,0,3.1,1,4.1,0,1,8.5,396.7,65.4,15.5,7.4,15.7,401.5,74.1,23.8,405,48.4,22.2,401.2,32.5,47.9
49003PER003,49,003,PER003,490.6,112,19.9,0.8,3.3,0,1.7,0,0,12.4,505.5,87.2,12.4,9.1,19.1,502.2,104.6,20.8,513.8,61.4,31.5,519.6,38.2,49
49003PER01I,49,003,PER01I,658.9,117,12.5,1.1,4.2,0.9,2.1,0,0,10.3,663.2,84.3,20.5,7,13.3,661.7,101,20,654.4,67.2,31.9,681.1,38.5,43.1
49003PER01U,49,003,PER01U,53.9,9.9,0.9,0.1,0.4,0.1,0.2,0,0,0.8,54.1,7.1,1.8,0.6,1,54,8.4,1.8,53.4,5.6,2.6,55.6,3.3,3.5
49003PER04I,49,003,PER04I,652.4,130.3,24.5,2,5.9,1,2.9,2.1,0,8.9,659.9,98.9,24.2,14.1,13.2,641.2,115.1,49,667,65.2,23.6,668.2,50.1,51.3
49003PER04U,49,003,PER04U,31,6.2,1.2,0.1,0.3,0,0.1,0.1,0,0.4,31.4,4.7,1.1,0.7,0.6,30.6,5.4,2.4,31.8,3.1,1.1,31.8,2.4,2.4
49003PLYM0I,49,003,PLYM0I,25.9,2.4,0.3,0,0.2,0,0,0,0.1,0,23.6,2.2,0.8,0.6,1,24.8,2.8,0.9,25.4,1.4,0.9,24.8,1.1,1.5
49003PLYMUC,49,003,PLYMUC,21,2,0.3,0,0.2,0,0,0,0.1,0,19.1,1.8,0.6,0.4,0.8,20.1,2.2,0.7,20.7,1.2,0.7,20.1,0.9,1.2
49003PLYMUE,49,003,PLYMUE,142.1,13.8,1.9,0,1.2,0,0,0,0.6,0.1,129.9,12.3,4.3,3,5.7,136.2,15.5,4.9,139.7,8.1,4.9,136.1,6.2,8.6
49003PLYMUW,49,003,PLYMUW,51.7,4.8,0.7,0,0.4,0,0,0,0.2,0,47.1,4.4,1.5,1.1,2,49.5,5.5,1.8,50.9,2.9,1.8,49.5,2.2,3.1
49003PORT0I,49,003,PORT0I,44.3,5.4,0.3,0,0.3,0,0,0,0,0.6,37.9,4.8,3.2,1.6,1.9,38.3,7.7,3.8,41.8,3.5,1.3,38.9,4.1,4.1
49003PORTUE,49,003,PORTUE,53.6,6.6,0.4,0,0.4,0,0,0,0,0.8,45.9,5.8,3.9,1.9,2.3,46.3,9.3,4.6,50.5,4.2,1.5,47.1,5,5
49003PORTUW,49,003,PORTUW,41,5,0.3,0,0.3,0,0,0,0,0.6,35.1,4.4,3,1.5,1.8,35.4,7.1,3.5,38.7,3.2,1.2,36,3.8,3.8
49003PROM00,49,003,PROM00,20.4,0,0,1,0,0,0,0,0,0,12.4,1,1,0,5,17.4,1,3,20.4,0.1,1,19.3,1,1.1
49003RIVER0,49,003,RIVER0,321,31,8,1,0,0,0,0,1,1,268,28,14,13,35,307,27,18,287,32,24,299,21,26
49003SNOW0I,49,003,SNOW0I,8.2,0.3,0.2,0,0,0,0,0,0,0.1,7,0.1,0.3,0.2,0.8,7.8,0.5,0.3,7.2,0.8,0.1,7.3,0.3,0.7
49003SNOWUN,49,003,SNOWUN,24.4,1.1,0.5,0,0,0,0,0,0,0.3,20.5,0.4,1,0.6,2.2,23,1.5,0.9,21.4,2.6,0.3,21.5,0.8,2.1
49003SNOWUS,49,003,SNOWUS,57.9,2.4,1.2,0,0,0,0,0,0,0.6,48.9,0.6,2.4,1.2,5.4,54.9,3.6,1.8,50.7,6,0.6,51.3,1.8,4.8
49003SWIL00,49,003,SWIL00,727,156.7,23.8,1.1,1.1,2,4,0.2,0,12.9,706.8,116.2,44.8,21,24,711.2,140.2,50.5,720.6,81.2,54.6,719.9,70.8,74.9
49003TRE003,49,003,TRE003,468.5,81.4,14.8,1.7,1.9,0,2.6,0.8,0.9,5.3,423.5,69.1,33.8,12.2,26.4,452.9,79.9,29.5,454.4,55.5,24.1,453.5,50.6,40.9
49003TRE004,49,003,TRE004,616.4,94.2,25,2,5,0,0,0,1,3,533.2,94.2,27.1,22,47.1,575.3,95.2,43.1,583.3,78.2,27,577.3,51.1,60.1
