GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDWAR,G18USSRDIE,G18USSUAYY,G18USSOWRI,G18GOVRBAK,G18GOVDGON,G18GOVOWRI,G18ATGDHEA,G18ATGRMCM,G18ATGOWRI,G18SOCDGAL,G18SOCRAMO,G18SOCGSAN,G18SOCOWRI,G18TREDGOL,G18TRERORR,G18TREGGUE,G18TREOWRI,G18AUDDBUM,G18AUDRBRA,G18AUDLFIS,G18AUDGSTA,G18AUDOWRI
25001000117,25,001,000117,1029.78,1002.69,49.16,0.96,1578.76,464.23,4.83,1233.04,839.12,0,1295.77,701.03,56.61,0.01,1174.04,812.77,49.16,0.02,1053.67,864.81,61.82,37.41,0
25001000118,25,001,000118,704.91,459.38,38.11,0,802.84,379.49,2.01,779.9,416.48,0.02,821.35,330.97,36.98,0.98,749.16,386.53,40.72,0.98,706.9,396.68,45.85,22.89,0.02
25001000119,25,001,000119,455.46,285.22,34.84,0,483.49,273.13,1.99,513.39,256.17,0.98,520.93,211.74,27.98,0.02,501.15,235.14,19.25,0.02,456.47,249.97,29.11,13.09,0.98
25001000430,25,001,000430,465.53,614.93,35.27,0.02,874.38,209.92,4.22,516.85,591.49,0.02,646.12,420.94,30.2,0,550.32,494.67,34.71,0,513,505.45,33.95,21.71,0
25001000431,25,001,000431,621.57,842.65,50.29,0,1163.39,319.8,5.69,712.67,808.48,0,866.39,607.31,33.21,0,730.7,685.13,44.6,0,678.5,713.6,40.81,24.67,0
25001000432,25,001,000432,290.65,407.93,33.99,0.85,577.05,148.72,0.85,313.59,423.23,0.85,417.28,288.95,20.4,0,345.04,342.49,21.25,0,330.59,340.79,31.44,6.8,0
25001000433,25,001,000433,788.38,847.31,69.23,0.13,1330.11,340.68,0.15,899.22,801.3,0.13,1088.03,548.7,31.18,1,921.79,680.06,45.3,0,864.4,687.87,51.85,31.13,0
25001000434,25,001,000434,636.43,638.19,40.55,0,978.45,314.69,3.53,729.87,585.31,0,840.05,429.28,26.44,0,725.46,515.67,25.56,0,656.71,547.4,40.55,21.16,0
25001000435,25,001,000435,675.47,630.38,39.05,1.13,994.71,312.09,8.9,753.1,589.66,1.04,847.59,447.81,25.79,0.04,751.04,512.65,33.36,1.04,683.31,537,40.65,18.9,0.04
25001000436,25,001,000436,700.7,821.02,66.03,0,1222.64,317.74,7.1,786.69,792.85,1,935.39,577.36,36.93,0,811.72,656.74,53.03,0,737.03,683.39,57.81,31.73,0
25001000454,25,001,000454,1197.34,755.58,74.96,1,1375.24,624.66,5,1357.25,675.63,0,1385.24,567.69,56.97,0,1276.3,638.65,70.96,0,1203.34,676.63,54.97,49.97,0
25001000455,25,001,000455,1152,742,79,3,1405,541,5,1325,642,2,1348,531,70,0,1233,609,73,2,1143,653,62,47,1
25001000456,25,001,000456,1067.2,780.98,71.81,1,1382.4,514.64,4.99,1219.8,700.18,0,1264.69,581.49,62.83,0,1137.02,665.27,64.83,0,1063.21,689.21,61.84,43.89,1
25001000566,25,001,000566,2082.94,1834.32,106.42,5.88,3003.33,927.21,15.65,2413.8,1597.23,2.94,2488.83,1377.9,92.88,1.96,2259.83,1573.17,87.03,0.98,2047.07,1629.36,142.84,75.1,1
25001000656,25,001,000656,866.09,873.91,42.03,0.98,1397.87,353.87,1.96,1044.98,743.9,0.98,1166.19,584.56,25.42,0,1020.54,706.76,25.42,0,933.54,742.92,46.92,15.64,0
25001000657,25,001,000657,943.93,827.8,34.74,0,1416.39,342.44,7.94,1109.69,710.68,0,1193.07,544.92,38.71,0,1051.13,659.07,37.72,0,952.87,722.59,34.74,27.79,0
25001000658,25,001,000658,792.16,609.35,49.03,1,1029.94,401.84,2.12,932.93,509.56,0,980.72,400.27,43,0.02,889.69,473.56,44.1,0,802.93,509.61,54.74,38.87,0
25001000659,25,001,000659,826.43,729.41,47.4,0,1205.48,364.88,4.84,955.11,645.21,0,1032.41,500.19,45.45,0.97,899.96,600.77,49.33,0,818.75,647.12,36.82,39.63,0
25001000660,25,001,000660,829,672,40,0,1174,353,0,1001,538,0,1071,414,31,0,970,487,32,0,903,519,47,21,0
25001000695,25,001,000695,2026.14,1128.9,71.91,4.92,2200.59,976.13,12.8,2243.83,977.21,2.95,2269.42,823.57,99.48,1.97,2121.68,935.84,86.68,1.97,1971.96,964.41,76.84,104.39,135.86
25001000756,25,001,000756,1590.45,534.8,60.75,1,1293.67,878.38,8.96,1695.02,479.03,1,1716.93,370.47,75.69,1,1645.22,424.25,59.75,0,1501.81,461.1,112.54,44.82,0
25001000757,25,001,000757,1151.55,655.33,69.61,0,1243.04,599.64,1.99,1274.86,586.71,0,1338.5,462.41,51.71,0,1234.09,534.01,47.73,0,1141.61,550.91,66.63,46.74,0
25001000758,25,001,000758,901.07,754.23,59.12,0.95,1274.85,412.87,4.77,1090.82,630.27,0,1164.24,500.6,32.42,0,1065.08,568.3,39.09,0,972.59,622.65,44.82,22.88,0.95
25001000759,25,001,000759,1040.24,864.9,63.86,0.05,1444,487.3,8.1,1214.72,752.63,0.98,1302.88,589.93,49.77,0,1188.88,696.5,36.33,0,1094.87,731.61,58.25,25.7,0.05
25001000760,25,001,000760,1144.43,902.49,76.81,3.84,1540.95,550.13,12.48,1354.7,765.2,0.96,1435.34,591.42,65.29,0.96,1282.69,716.23,55.69,0.96,1174.2,753.68,94.09,30.72,0.96
25001000761,25,001,000761,1170.8,793.73,63.66,2.03,1403.19,592.71,4.11,1306.6,715.55,1.01,1369.29,577.06,57.56,0.01,1232.98,654.13,73.48,1.01,1125.05,685.45,80.81,47.26,0.01
25001000762,25,001,000762,914.33,878.85,49.52,1.98,1340.41,461.1,6.07,1076.44,752.37,0.02,1144.16,607.24,57.22,0.99,1054.25,682.21,45.11,0,945.87,739.16,49.43,26.14,0
25001000763,25,001,000763,968,838,68,1,1354,497,7,1127,749,0,1211,585,61,1,1078,693,59,0,996,711,69,35,0
25001000764,25,001,000764,892,754,60,2,1234,433,2,1046,657,1,1132,507,44,1,1032,595,46,1,933,610,71,31,1
25001000881,25,001,000881,1028.09,857.78,57.23,0.99,1431.49,463.29,8.86,1195.86,741.3,0.01,1259.22,599.88,52.32,0.02,1127.75,713.57,50.33,1.98,1019.18,767.74,65.13,31.63,0.99
25001000882,25,001,000882,1027.56,825.37,43.95,0.98,1441.71,420.01,4.88,1159.43,728.67,0.98,1234.64,581.18,42.98,1.95,1103.75,695.46,40.05,1.95,1015.84,725.74,50.79,31.26,0.98
25001000883,25,001,000883,1011.25,865.36,42.97,1,1446.93,429.68,6.99,1145.16,757.44,1,1208.11,627.54,53.96,0,1098.19,711.48,54.96,0,1012.25,747.45,51.96,45.97,2
25001000884,25,001,000884,929.35,685.33,67.01,0,1220.53,437.14,3,1069.4,596.29,1,1138.42,460.25,46.02,1,1027.38,546.28,46.02,1,957.35,568.29,62.01,28.02,1
25001001167,25,001,001167,1002.07,803.25,53.95,1,1445.65,383.64,10.99,1147.93,710.34,1,1218.87,573.47,32.97,0,1132.95,643.4,29.97,0,1049.02,674.37,53.95,12.99,0
25001001168,25,001,001168,693.55,702.49,47.12,0,1099.92,315.15,4.01,845.06,589.08,0,871.21,505.74,33.14,0,790.91,570.02,37.12,0,713.61,581.15,63.15,23.09,0
25001001169,25,001,001169,581,583,48,1,872,299,8,686,522,1,747,414,31,1,683,465,36,1,630,469,54,27,1
25001001170,25,001,001170,722.23,577.39,33.27,0,972.76,327.84,1.96,827.92,503.99,0,862.17,408.09,37.19,0,806.39,447.23,39.15,0.98,719.29,486.38,51.87,24.47,0
25001001171,25,001,001171,792.76,978.61,56.96,2,1459.71,329.57,9.97,978.63,843.61,0,1082.33,661.87,35.25,1,954.64,761.68,40.08,0,846.56,809.8,58.94,22.06,0
25001001454,25,001,001454,2412.06,1551.43,93.21,2.05,2855.4,1161.92,3.17,2681.68,1378.88,1.03,2663.4,1232.91,103.49,1.02,2522.43,1323.8,104.29,0.03,2344,1373.72,121.93,84.74,2.08
25001001530,25,001,001530,1906.32,170.05,38.78,0,828.36,1269.89,1.99,1937.15,166.07,0,1847.65,135.24,109.39,0,1875.49,142.2,57.68,0,1811.85,148.17,40.77,67.62,0
25001001643,25,001,001643,1029.73,914.24,70.68,0,1443.32,519.28,5.9,1209.39,803.29,2.94,1276.19,643.22,56.94,0,1154.42,739.44,53.03,0,1084.7,758.1,57.94,30.44,0
25001001644,25,001,001644,1033.91,985.29,72.73,0.02,1576.59,453.99,10.15,1220.47,872.42,0.06,1295.65,717.54,42.63,0.01,1158.58,817.71,48.66,0.01,1070.32,832.99,74.81,29.18,0.01
25001001645,25,001,001645,809.98,855.15,47.13,0,1301.86,378.97,4.91,957.25,753.04,1.96,1026.96,607.73,42.22,0,911.11,701,49.09,0,823.73,726.53,52.04,32.4,0
25001001646,25,001,001646,813.93,944.75,54.05,0,1392.35,379.36,6.01,979.07,824.66,0,1092.13,661.53,29.03,0,955.05,761.6,44.03,0,847.98,803.63,67.05,22.01,0
25001001647,25,001,001647,725,856,72,0,1239,366,1,892,748,0,980,582,48,0,876,663,48,0,811,676,60,27,0
25001001648,25,001,001648,635.39,922.11,48.95,0,1225.81,320.69,10.99,769.26,823.2,1,863.17,664.36,40.96,2,744.28,744.28,50.95,2,675.35,766.26,59.94,30.97,1
25001001877,25,001,001877,1053.45,335.83,38.98,0,774.6,649.66,0,1139.41,288.85,0,1117.42,250.87,55.97,0,1088.43,277.86,44.98,0,1040.46,288.85,31.98,38.98,0
25001001964,25,001,001964,1474.62,468.66,56.72,1,1034.82,927.36,7.96,1586.07,408.95,2.99,1534.32,329.35,116.42,4.98,1494.52,375.12,96.52,2.99,1417.91,386.07,75.62,75.62,2.99
25001002145,25,001,002145,1067.84,868.89,55.13,1.03,1455.76,501.68,8.98,1241.29,744.43,0.03,1336.87,593.55,37.04,1,1195.35,707.3,40.26,1,1096.08,753.89,62.92,26.13,1
25001002146,25,001,002146,967.14,877.2,49.35,1.95,1457.66,391.73,6.89,1160.94,721,0.98,1256.52,568.03,31.75,0.99,1125.17,646.3,43.52,0.98,1035.41,707.36,47.28,26.81,0.98
25001002147,25,001,002147,729.5,572.91,37.04,0,980.69,338.74,5.01,835.52,495.95,0,869.6,408.92,30,1,792.57,476.9,37,0,743.56,488.96,44.97,20.99,0
25001002148,25,001,002148,822.01,771.14,67.84,1,1250.98,371.1,9.98,977.64,678.36,1,1058.44,540.69,40.9,0,938.73,628.48,52.87,0,864.91,670.38,51.87,26.93,0
25001002149,25,001,002149,709,697,58,1,1085,366,7,853,611,1,899,503,40,0,827,566,40,1,768,580,50,25,1
25001002150,25,001,002150,767.48,664.68,52.9,2,1086.85,373.26,8.98,886.25,595.82,1,964.09,471.07,36.93,1,845.33,558.89,42.92,0,780.45,602.81,38.92,33.93,0
25001002151,25,001,002151,1131.85,1100.97,69.62,1.01,1822.74,438.25,7.03,1351.51,941.04,0.01,1481.3,749.67,34.38,1,1289.14,889.49,45.38,1,1164.85,956.02,67.7,24.23,2
25001ZZZZZZ,25,001,ZZZZZZ,214.92,189.06,11.22,0.28,308.45,98.34,1.32,251.01,162.99,0.16,264.34,134.57,10.28,0.12,238.51,156.48,9.64,0.13,217.07,164.76,12.94,7.21,0.14
25003000015,25,003,000015,367,157,15,0,294,243,0,377,148,3,386,120,16,0,372,121,25,0,364,122,19,11,0
25003000016,25,003,000016,426,188,25,1,364,268,0,443,185,3,454,155,21,0,449,143,29,0,432,142,20,22,0
25003000017,25,003,000017,426,203,19,0,396,241,1,435,198,1,448,154,34,0,450,151,30,0,431,150,27,18,0
25003000018,25,003,000018,382,169,20,1,325,241,1,407,159,1,405,147,12,0,396,143,23,0,390,136,15,17,1
25003000019,25,003,000019,496,215,27,0,453,284,0,528,203,5,533,171,21,1,521,178,30,1,506,165,24,25,1
25003000028,25,003,000028,216.91,36.98,4,0,97.96,157.93,0,215.91,40.98,0,206.91,36.98,9,0,203.91,34.99,10,0,197.92,36.98,4,10,0
25003000122,25,003,000122,509,261,26,1,425,356,3,525,258,5,516,227,38,0,498,228,41,0,475,228,28,33,0
25003000592,25,003,000592,878.62,565.76,43.98,2,908.61,559.76,5,896.61,563.76,6,953.59,446.81,48.98,1,908.61,439.81,80.96,1,883.62,430.81,53.98,53.98,1
25003000614,25,003,000614,445,240,16,0,446,250,0,461,225,0,479,185,25,0,464,200,18,0,449,196,20,16,1
25003000629,25,003,000629,956.83,443.46,35.96,0,874.93,557.32,2,994.79,414.49,6.99,1003.78,337.59,56.93,1,986.8,331.6,69.91,0,945.85,343.58,48.94,44.95,0
25003000630,25,003,000630,988.17,411.54,34.04,1,883.07,535.68,5,1020.21,383.51,7.01,1043.22,301.41,52.07,1,997.2,302.4,70.09,2,983.15,307.42,25.06,56.05,2
25003000708,25,003,000708,641,125,18,0,289,487,0,636,125,5,617,108,43,0,597,121,44,0,594,108,17,42,0
25003000777,25,003,000777,160.38,146.35,15.25,0,195.43,117.68,0,171.41,148.44,0,190.98,116.32,8.68,0,178.9,112.72,16.32,0,171.7,117.62,10.06,9.56,0
25003000846,25,003,000846,728.51,138.58,30.76,1.99,368.46,521.27,0.08,728.58,150.82,2.07,727.27,110.04,38.42,0,707.3,110.12,37.81,0,690.08,111.87,25.71,28.4,0
25003000847,25,003,000847,681,157,23,1,330,525,1,686,159,5,644,138,63,0,640,136,58,0,651,114,23,47,0
25003000848,25,003,000848,497.73,64.27,11.21,0.01,198.14,373.18,0.92,498.65,68.02,0.93,482.96,55.84,31.54,0,469.96,56.77,36.15,0,466.19,54.01,10.26,30.57,0
25003000849,25,003,000849,696.77,155.15,12.03,1,347.39,513.55,1,712.77,139.16,2,672.77,127.12,41.04,1,658.75,131.12,39.04,1,652.73,126.12,14.03,38.03,1
25003000871,25,003,000871,194,151,7,0,217,126,0,202,147,0,206,129,11,0,195,134,17,0,194,120,15,12,0
25003000915,25,003,000915,567,296,34,0,557,331,0,588,295,0,592,248,40,0,568,250,50,0,551,250,25,34,0
25003000974,25,003,000974,879.38,477.24,46.02,2,815.39,558.24,5,910.39,467.24,3,909.41,392.19,54.02,2,872.39,386.19,78.04,3,840.38,398.19,46.02,44.02,2
25003000999,25,003,000999,1753.02,705,76,1,1498,1005.02,4,1814.02,650,9,1825.02,542,106,1,1737.02,564,112,0,1689.02,540,87,82,0
25003001004,25,003,001004,2069,538,65,4,1447,1219,2,2095,516,15,2094,380,113,0,2026,403,112,0,1965,409,66,85,1
25003001275,25,003,001275,367,77,19,0,183,278,0,376,80,1,360,71,28,0,350,71,33,0,331,77,12,24,0
25003001277,25,003,001277,73,16,6,0,48,47,1,74,19,0,73,17,3,0,67,19,5,0,65,18,3,5,0
25003001300,25,003,001300,83,39,1,0,77,48,0,78,41,0,85,35,5,0,78,41,6,0,83,36,0,2,0
25003001338,25,003,001338,533,204,21,0,343,419,0,550,208,1,542,186,36,0,528,191,30,0,514,191,13,34,0
25003001383,25,003,001383,663,242,37,3,535,398,1,676,245,0,695,187,44,0,664,196,49,0,630,208,34,34,0
25003001384,25,003,001384,585,179,27,0,393,398,2,606,171,4,576,155,50,0,576,146,48,1,551,147,28,38,0
25003001385,25,003,001385,541,125,20,0,287,402,1,553,132,0,538,93,47,0,516,98,55,0,512,95,19,35,0
25003001386,25,003,001386,693,268,29,0,562,423,2,707,261,1,717,212,43,0,698,218,44,0,686,214,23,28,0
25003001387,25,003,001387,620,191,28,0,414,413,0,616,205,3,630,139,51,1,606,139,61,0,600,147,24,29,0
25003001455,25,003,001455,400.1,284.95,16.59,0.98,439.13,264.45,1.95,419.61,271.29,0.98,427.42,242.01,20.49,0,402.05,242.99,34.15,0,382.53,234.2,24.4,32.2,0
25003001492,25,003,001492,254,147,19,0,265,152,0,254,156,1,247,140,20,0,248,135,13,0,231,144,12,11,0
25003001495,25,003,001495,631,224,33,1,437,434,1,636,232,0,626,193,44,0,610,194,47,0,606,178,38,34,0
25003001496,25,003,001496,854,306,37,0,678,512,2,874,287,1,888,229,36,0,874,221,50,0,853,225,24,33,0
25003001497,25,003,001497,455,88,20,0,200,356,0,460,93,0,442,74,33,0,443,72,33,0,427,71,24,18,0
25003001498,25,003,001498,887,326,44,0,677,567,1,919,299,2,933,236,51,1,920,228,50,2,880,241,31,40,0
25003001499,25,003,001499,1081,310,35,1,738,662,1,1103,282,1,1081,218,76,0,1061,217,69,0,1024,204,51,55,0
25003001500,25,003,001500,1063,382,41,0,861,619,0,1106,344,1,1137,253,50,0,1072,257,62,0,1058,237,42,43,1
25003001501,25,003,001501,1057.92,377.22,44.2,1,784.53,673.8,2,1061.04,369.06,4.02,1066.2,288.57,70.26,0,1048,287.59,67.31,0.01,1032.89,269.51,38.21,48.22,0
25003001502,25,003,001502,1160.08,523.78,47.8,0,1069.47,660.2,0,1188.96,486.94,3.98,1227.8,371.43,60.74,1,1181,374.41,72.69,1.99,1153.11,356.49,48.79,50.78,1
25003001503,25,003,001503,886,205,35,0,518,593,1,877,211,0,839,171,75,1,834,175,71,1,801,173,35,55,0
25003001504,25,003,001504,904,292,48,0,668,553,4,925,291,2,911,241,53,4,887,235,59,1,853,239,43,33,1
25003001505,25,003,001505,941,280,26,0,686,557,1,921,295,2,949,203,55,0,918,211,58,0,893,207,29,43,1
25003001506,25,003,001506,592,193,20,1,425,379,2,597,192,0,584,151,53,0,572,146,50,0,559,153,20,36,0
25003001507,25,003,001507,537.54,157.57,22.29,1.02,309.76,393.56,1.01,531.63,171.53,3.01,522.69,130.98,47.5,0.01,533.58,126.87,36.51,0.01,508.19,122.95,27.34,33.4,0
25003001508,25,003,001508,920.46,313.43,35.71,1.98,703.24,557.44,0.99,932.37,309.47,0.99,939.31,242.02,60.5,0.99,925.42,228.13,62.49,0.99,877.81,238.05,41.66,48.6,0
25003001606,25,003,001606,646,183,27,0,462,386,2,671,172,1,667,133,35,0,634,158,33,0,620,143,28,29,0
25003001642,25,003,001642,239.98,131.68,6.23,1,196.46,177.09,1,240.41,137.37,1,239.6,122.03,15.27,0,238.37,125.14,9.31,0,227.87,120.41,14.23,8.27,0
25003001659,25,003,001659,148,107,14,0,160,104,0,151,106,1,167,83,13,0,160,85,13,0,149,88,9,11,0
25003001675,25,003,001675,1147,409,39,1,795,797,0,1170,391,4,1132,364,72,0,1093,372,80,0,1073,357,48,60,0
25003001803,25,003,001803,864.93,217.98,30,1,550.96,545.96,2,862.93,216.98,3,862.93,156.99,56,0,821.94,184.99,50,0,814.94,174.99,21,47,0
25003001882,25,003,001882,197.05,52.02,4,0,135.04,116.03,1,200.05,51.02,0,199.05,46.01,3,0,192.05,44.01,8,0,182.04,43.01,9,6,0
25003001934,25,003,001934,206,85,7,0,159,133,1,215,80,1,214,72,7,0,208,74,9,0,210,74,2,5,0
25003001981,25,003,001981,649.09,130.02,19,0,340.04,443.07,0,663.09,126.02,0,630.09,111.02,38,0,619.09,106.01,44,0,609.08,93.02,23,39,0
25003002050,25,003,002050,1098.6,228.67,17.9,0,585.59,755.6,1.99,1118.49,208.78,4.97,1080.71,184.92,62.64,0,1062.81,191.88,47.72,0,1043.92,177.96,37.78,40.76,0
25003002051,25,003,002051,470,47,8,0,154,366,0,475,43,2,437,34,46,1,430,39,43,0,424,39,8,38,1
25003002052,25,003,002052,1097.4,172.33,33.1,0,514.41,780.4,1.01,1107.51,183.22,2.03,1073.29,141.08,64.36,0,1052.19,148.12,65.28,0,1029.08,145.04,29.22,50.24,0
25003002070,25,003,002070,284,141,21,0,246,193,0,307,133,0,303,113,19,0,299,111,21,0,279,103,19,26,0
25005000012,25,005,000012,610.24,630.08,30.96,0,896.54,351.2,0.03,697.36,550.43,0.02,727.31,477.36,32.9,0.02,659.69,532.92,40.72,0,655.04,491.26,52.79,28.71,0.02
25005000013,25,005,000013,577.06,848.9,58.55,0.01,1120.48,337.19,7.93,746.05,723.56,0.98,793.89,620.05,36.77,0,674.59,723.5,36.75,0,692.13,647.2,51.82,22.87,0
25005000014,25,005,000014,612.16,836.46,34.77,0.99,1146.25,319.8,4.11,775.06,698.14,0.02,836.52,591.02,23.48,0,725.16,693.18,24.47,0,708.54,642.19,55.55,13.3,0
25005000087,25,005,000087,538,530,63,0,848,283,0,666,464,0,655,414,47,0,632,430,40,0,601,430,46,26,0
25005000088,25,005,000088,568.88,563.72,39.33,1.02,847.81,309.63,0.05,677.08,484.52,0,682.71,442.43,23.94,0,649.91,449.35,31.11,2.05,606.9,456.48,46.28,19.68,0.02
25005000089,25,005,000089,794,657,54,2,1093,409,4,933,553,2,961,471,35,1,886,511,39,1,812,531,61,25,1
25005000090,25,005,000090,798,692,54,0,1103,419,0,922,608,0,940,524,43,0,888,561,42,0,826,553,66,30,0
25005000091,25,005,000091,743,540,52,0,943,375,0,864,471,0,892,389,34,0,828,439,25,0,759,437,57,21,0
25005000092,25,005,000092,768,573,67,0,999,404,0,908,495,0,933,414,36,0,857,467,31,0,806,454,68,21,0
25005000093,25,005,000093,619,378,42,1,671,366,2,718,317,3,695,276,48,2,680,285,41,2,611,309,37,40,2
25005000094,25,005,000094,896,919,57,0,1386,477,0,1079,764,0,1116,671,37,0,1042,716,37,0,974,727,59,25,0
25005000095,25,005,000095,488,230,46,0,438,326,0,556,208,0,546,178,40,0,520,197,47,0,500,202,39,23,0
25005000096,25,005,000096,789,547,53,0,926,443,3,895,479,0,907,399,41,0,852,440,44,1,789,446,54,36,0
25005000097,25,005,000097,621,536,44,3,853,339,2,723,473,2,736,399,44,2,681,441,37,1,630,453,46,19,1
25005000098,25,005,000098,720.12,633.28,53.67,0.98,959.19,428.37,1.95,848.92,544.48,0,874.29,460.57,38.06,0,802.09,497.65,44.89,1.95,761.1,502.52,51.72,27.32,0.98
25005000144,25,005,000144,704.2,970.79,59.55,0.96,1299.79,389.02,13.81,842.37,864.74,2.08,933.94,709.12,48.98,2.06,709.12,956.53,28.76,0.15,789.4,756.22,69.01,31.87,2.21
25005000145,25,005,000145,470,743,43,3,959,276,1,603,639,0,660,536,33,0,491,729,17,0,568,561,48,24,1
25005000639,25,005,000639,652.23,860.75,53.36,1.98,1150.3,384.42,4.94,798.49,756.99,0.99,831.1,678.92,28.66,0.99,745.13,754.02,33.6,0.99,723.39,688.8,77.08,5.93,0
25005000640,25,005,000640,510.77,490.25,27.64,0.02,715.7,289.58,2.06,594.51,419.01,0.01,620.9,349.08,29.34,0.01,558.87,395.98,34.4,0.01,545.61,371.2,41.92,21.07,0
25005000641,25,005,000641,140.28,17.22,10.02,0,60.36,108.15,0,144.32,19.19,5,138.33,15.16,7.02,0,137.3,16.19,7.01,0,138.29,13.18,7.02,2.01,0
25005000642,25,005,000642,802.6,581.67,44.97,1.96,935.55,482.93,2.93,894.49,521.06,0.98,913.07,443.83,38.13,0,857.35,500.53,24.44,0,811.4,473.15,55.72,23.46,0.98
25005000643,25,005,000643,894.72,710.78,54.98,1,1157.64,472.85,0,1026.68,611.81,0,1049.67,522.84,48.98,0,972.7,593.81,43.99,0,931.71,561.82,59.98,32.99,0
25005000644,25,005,000644,634,504,46,0,770,389,1,727,454,0,762,370,30,0,705,420,27,0,693,393,32,22,1
25005000645,25,005,000645,806,733,41,1,1139,404,2,922,630,0,957,531,40,0,868,599,32,1,821,563,72,22,0
25005000646,25,005,000646,1084.34,712.75,50.71,0.92,1239.25,578.13,1.84,1230.03,608.56,0.92,1223.57,522.81,62.7,0.92,1161.79,580.9,47.95,0,1086.18,556.92,74.69,44.26,0
25005000647,25,005,000647,1235.7,961.26,64.56,0.12,1579.66,631.65,10.1,1422.92,812.83,0.1,1444.52,708.03,54.56,0.08,1329.41,808.04,40.16,0,1292.34,756.02,76.71,32.91,0.02
25005000661,25,005,000661,644.47,887.21,45.87,1.11,1239.03,310.97,1.65,811.08,738.14,0.15,886.19,613.1,35.3,0.1,754.7,734.65,33.44,0.13,733.7,678.92,59.29,20,0.16
25005000662,25,005,000662,735.61,957.79,54.57,0.99,1312.35,400.6,3.01,900.29,819.63,0.02,973.37,676.48,50.16,0.99,846.51,785.39,45.08,0.99,830.76,723.56,64.5,33.01,0.99
25005000701,25,005,000701,495,465,32,0,753,223,4,610,373,0,602,336,25,0,566,366,17,0,549,348,30,11,2
25005000702,25,005,000702,1024,893,55,5,1447,493,11,1249,728,0,1328,577,52,0,1172,689,52,0,1135,667,66,23,0
25005000703,25,005,000703,847,712,54,1,1186,394,6,1020,578,0,1053,485,38,0,958,566,43,0,932,541,48,22,0
25005000704,25,005,000704,982,886,62,1,1437,442,6,1207,708,0,1249,587,39,1,1131,680,30,1,1082,657,68,21,3
25005000705,25,005,000705,1150,904,65,1,1552,517,4,1390,709,0,1431,588,40,0,1303,698,29,1,1258,661,75,23,1
25005000706,25,005,000706,886,897,64,2,1389,433,3,1090,746,2,1153,612,47,0,1030,700,43,1,1010,661,66,28,2
25005000723,25,005,000723,705.72,518.13,42.68,1.99,842.7,389.09,4.96,799.02,454.6,0.99,800.02,370.23,58.56,0.99,722.6,459.56,37.72,0.99,706.72,393.06,61.54,37.72,1.99
25005000724,25,005,000724,631.57,500.36,34.28,1,803.71,340.31,3.03,743.73,418.33,0,766.51,352.95,26.5,1,692.64,417.04,22.22,1,684.42,387.95,34.22,16.31,0
25005000725,25,005,000725,449.75,444.64,30.35,0,646.73,261.88,5,527.23,380.32,1.02,562.25,313.11,15.24,2.02,501.92,367.33,20.25,2,506.8,326.1,31.29,16.2,1.02
25005000726,25,005,000726,588.52,496.84,38.45,1.97,812.29,307.57,3.94,680.2,435.72,0,719.63,347,30.56,0.99,627.95,424.88,28.59,0.99,637.81,381.5,27.6,21.69,0
