GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16PREIFUE,G16PREGSTE,G16PREOWRI,G16HALRCHE,G16HALDGRE,G16HALLSTR,G16HALCCUM,G16HALOWRI
56013002201,56,013,002201,48.4,0.8,1.2,0.1,0,1.1,0.1,45.2,4.5,0.3,0.4,0
56013002401,56,013,002401,39.4,23.6,3,0,0,1,1,32.5,30.5,3.9,2,0
56015000101,56,015,000101,49,0,0,0,0,0,0,45,2,1,1,0
56015000201,56,015,000201,73,7,4,0,0,0,2,65,10,1,6,3
56015000801,56,015,000801,338,35.2,15.8,3.3,0.8,3.3,3.4,311.6,57.6,9.9,15.7,0
56015000802,56,015,000802,72.3,7.5,3.4,0.7,0.2,0.7,0.7,66.6,12.3,2.1,3.4,0
56015000901,56,015,000901,174.6,33.5,15.4,4.5,0.9,1.8,2.7,160.2,53.4,9.1,9.1,1.8
56015000902,56,015,000902,18.4,3.5,1.6,0.5,0.1,0.2,0.3,16.8,5.6,0.9,0.9,0.2
56015001001,56,015,001001,87.5,37.1,3,2.3,0.8,2.3,0.7,81.5,38.8,5.2,4.7,0
56015001002,56,015,001002,231.9,64.7,18.2,0.7,2,4.3,6,219.4,91.4,2.3,13.4,1
56015001003,56,015,001003,234.5,61.5,17.8,2.5,0.3,3.3,8.2,220.5,80.7,9.8,12.9,0.4
56015001004,56,015,001004,389.3,127.5,18.9,4.4,4,3.8,14,358.6,167,12.8,16.9,0
56015001005,56,015,001005,177.6,39.5,15.8,2.1,0,2.1,6.8,170.2,59.5,6.8,5.8,0.5
56015001006,56,015,001006,247,97,22,5,1,2,4,244,106,12,8,3
56015001007,56,015,001007,220,76,22,10,0,5,7,210,94,9,21,2
56015001008,56,015,001008,598.8,114,35.2,8.7,4.5,7.1,12.3,582.3,155.9,14.2,21.9,2.1
56015001009,56,015,001009,434.5,94.2,9.4,4.7,0.9,4.7,6.6,401.6,125.2,5.7,13.2,1.9
56015001010,56,015,001010,122.2,41.6,3.5,2.5,2.4,3.3,0.2,116.3,49.4,2.2,9.1,0.1
56015001301,56,015,001301,128.5,19,4,5,0,0,3,129.5,20.1,1,8,0
56015001501,56,015,001501,193.3,21.7,6.5,1.2,0,0.8,1.6,178.2,34.4,3.3,6.1,1.6
56015001502,56,015,001502,34.2,4.5,1.1,0,0,0.2,0,30.6,7,0.4,1.3,0.4
56015001601,56,015,001601,190.1,16.2,8.6,3.8,0,0,6.4,184.7,23,6.4,5.8,0
56015001701,56,015,001701,97,7,2,0,0,0,0,89,12,1,3,0
56015001801,56,015,001801,203.3,9.9,3.4,4.4,0.7,0,2,195,11.6,2.1,9.6,0
56015001802,56,015,001802,74.7,4.1,1.6,1.6,0.3,0,0,70,4.4,0.9,4.4,0
56015002001,56,015,002001,28.2,1.7,0.8,0,0,0,0,27.4,1.7,0.8,0.8,0
56017000101,56,017,000101,597,152,52,2,1,15,11,547,234,30,27,1
56017000102,56,017,000102,459.4,112.9,36.7,6.8,1.9,10.6,11.6,410.2,166,28,30.9,2.9
56017000204,56,017,000204,139.6,19.8,3,1,1,3,10.9,119.8,40.6,3,10.9,0
56017000303,56,017,000303,741.6,115.1,44.3,11.2,0.1,6.4,17.4,646.8,203,37,40.1,2.1
560190003-1,56,019,0003-1,307,75,23,2,0,1,12,288,103,14,10,0
560190003-2,56,019,0003-2,191,52,15,2,0,1,3,172,68,16,6,0
560190003-3,56,019,0003-3,199,51.3,12.2,1.9,0,4.9,1.5,170.7,72.7,12.8,7.6,0
560190003-4,56,019,0003-4,224,45,13,0,0,4,6,209,62,10,10,0
560190003-5,56,019,0003-5,103.8,29.4,3.7,0,0,0,5.5,86.3,42.2,6.4,7.3,0
560190003-6,56,019,0003-6,153.9,37,13,5,0,3,1,142.9,49,9,9,1
560190003-7,56,019,0003-7,191.1,42,8,0,2,2,4,180.1,56,5,8,0
560190003-8,56,019,0003-8,209.7,44.9,10,0,0,2,4,193.7,45.9,9,15,0
560190004-7,56,019,0004-7,618.1,92.3,27.2,2.1,1,7.1,13,564.9,139,14.8,27,1
560190004-8,56,019,0004-8,622,104,31,2,4,7,10,542,157,28,31,3
560190005-9,56,019,0005-9,72,10,4,0,0,0,4,72,11,0,5,1
56019002-14,56,019,002-14,147,22,6,0,0,0,1,137,31,4,3,0
56019006-10,56,019,006-10,79.8,10.2,2.2,0,0.7,0,0.7,71.8,15.4,1.5,2.9,0
56019008-11,56,019,008-11,232.2,16.8,2.8,4,0.3,1,1.3,212.2,25.6,4.5,13.1,0
56019009-12,56,019,009-12,82,6,3,0,0,0,0,77,4,0,9,0
56019010-15,56,019,010-15,44.5,0.1,0,0,0,0,1,41.5,0.1,0,3,0
560210001-1,56,021,0001-1,799.8,439.6,94.7,11.6,11.9,21.2,39.1,763.5,500.8,58.7,49.2,6
560210001-2,56,021,0001-2,389.6,321.4,57.4,2,2,10.9,14.8,372.8,339.2,35.6,23.7,1
560210001-3,56,021,0001-3,355.2,316.8,63.9,2,2,15,24.9,323.8,371.3,34.9,25.9,3
560210001-4,56,021,0001-4,187,203,29,3,0,8,15,180,223,15,14,3
560210001-5,56,021,0001-5,339,277,54,1,2,9,12,325,325,18,13,3
560210001-6,56,021,0001-6,345.6,383.3,52.5,2,2,9.9,20.8,318.9,439.7,30.7,13.9,2
560210001-7,56,021,0001-7,180,130,26,5,1,6,7,170,147,16,10,2
560210001-8,56,021,0001-8,390,322,59,5,2,11,33,353,373,48,29,3
560210001-9,56,021,0001-9,275,173,43,3,4,6,19,249,214,24,21,1
560210002-1,56,021,0002-1,267.4,149.7,26.5,0,0,2.1,13.2,235.1,182.3,22.3,12.1,4
560210002-2,56,021,0002-2,449,244,51,4,0,9,19,431,307,21,14,1
560210002-3,56,021,0002-3,512.5,320.3,48.1,6,1,5.1,25.4,508.6,376.5,16.1,7,4
560210002-4,56,021,0002-4,344,183,36,1,2,6,14,331,222,10,13,2
560210002-5,56,021,0002-5,536,322,52,9,3,10,21,519,378,21,27,2
560210002-6,56,021,0002-6,1060.5,524.3,101.3,10.2,2,14.1,54.8,1004.4,663.4,55.7,32.6,7.1
560210002-7,56,021,0002-7,678.1,400.9,73,12,3,17,31,609.1,479.9,52,41,5
560210002-8,56,021,0002-8,95.5,60.8,19.5,5.1,1,4.1,2.2,97.6,70.2,6.2,7.1,0
560210002-9,56,021,0002-9,374.7,189.9,55.6,9,1,9,23.4,378.7,236.3,19.2,15.2,3
560210003-1,56,021,0003-1,432,234,68,5,2,10,21,384,317,32,26,4
560210003-2,56,021,0003-2,268,180,37,5,2,12,15,258,201,30,17,4
560210003-3,56,021,0003-3,252,169,50,2,3,7,16,255,189,24,19,0
560210003-4,56,021,0003-4,351.5,246.2,41,4,7,12,15,338.5,291.3,17,19,0
560210003-5,56,021,0003-5,538.5,302.2,74.2,8.5,3,12.9,20.9,496.3,369.8,33.3,36.6,2
560210003-6,56,021,0003-6,488.8,251.7,65.1,4,1,6,9,465.6,294.6,19.2,26.1,1
560210003-7,56,021,0003-7,367.8,175.5,34.5,2.9,0.9,6.7,11.5,338,218.3,16.5,16.4,1
560210003-8,56,021,0003-8,417,226,53,7,5,13,26,387,263,43,29,4
560210003-9,56,021,0003-9,765,371,95,14,2,14,41,747,430,56,41,2
560210004-1,56,021,0004-1,76,19,5,1,0,0,2,67,25,6,1,0
560210004-2,56,021,0004-2,484,139.4,38.1,16,1,8,12.1,456.7,173.7,21.1,31.1,4
560210004-3,56,021,0004-3,24.6,2,0,0,0,0,0,21.6,1,0,0,2
560210004-4,56,021,0004-4,438,123,25,3,1,2,15,405,150,19,21,2
560210004-5,56,021,0004-5,59,5,4,0,0,0,2,54,10,2,4,0
560210004-6,56,021,0004-6,1062,276,69,10,2,12,31,972,377,49,39,3
560210004-7,56,021,0004-7,659.4,200,69.6,5,1,8.1,39.2,629.1,258.5,35.3,28.2,5
560210004-8,56,021,0004-8,477.6,223.8,52.8,17.4,4.1,13.8,20,433.8,275.8,38.6,46,2
560210004-9,56,021,0004-9,747,256.6,74.9,13,2,9,28,696,314.6,45.9,50.9,9
560210005-1,56,021,0005-1,347.5,120.8,19.7,2.8,1.9,5.6,12.2,314.7,144.2,23.4,16.9,0.9
560210005-2,56,021,0005-2,676.2,253.6,44.7,6.8,1,4.9,28.2,639.3,327.4,24.3,21.4,2.9
560210005-3,56,021,0005-3,882.3,231.8,62.5,10.1,2,11,23.2,791.2,325.1,40.2,44.2,3
560210005-4,56,021,0005-4,1460.3,362.3,118.3,4.2,4.5,12.6,36.5,1326,496.4,72,63.4,6.4
560210005-5,56,021,0005-5,119.4,41.7,10.9,2,0,1,2,105,60.1,4.1,2.1,1
560210006-1,56,021,0006-1,691,70,36,15,0,2,23,612,120,37,51,3
560210006-2,56,021,0006-2,640,89,45,12,1,8,7,584,132,30,40,0
560210006-3,56,021,0006-3,631,104,40,5,5,5,10,574,157,27,23,5
560210006-4,56,021,0006-4,86,8,4,2,0,0,3,82,11,4,5,0
560210006-5,56,021,0006-5,147,13,7,0,0,1,3,123,30,4,11,0
560210007-1,56,021,0007-1,45.2,34.9,6,0.1,0.8,1.5,1.7,47.5,35.5,2.6,2,0
560210007-2,56,021,0007-2,6.9,2.1,0,0,0,0,0,6.9,2.1,0,0,0
560210007-3,56,021,0007-3,100.5,40.1,7.8,0.1,0,1.2,1.4,91.1,40.4,9.6,6.1,0.9
560210007-4,56,021,0007-4,213.3,91,14.3,6.2,0.9,0.9,1.8,184.7,97.3,18.7,22.3,0
56021001-10,56,021,001-10,352.5,239.8,57.3,7.2,6.2,6.6,13.6,332.5,272.4,25.3,32.1,2
56021002-10,56,021,002-10,133.9,58.4,10.5,1,0,0,4.8,132,66,3.8,3.8,0
56021002-11,56,021,002-11,408.4,204.3,51.8,4,1,11.9,16.9,359.4,256.3,38.8,36.8,1
56021002-12,56,021,002-12,498,257.5,73.6,8.9,1,12.9,17.9,485.1,300.2,39.8,27.8,1
56021002-13,56,021,002-13,491,334.9,66.5,4,2,6,35.6,495.1,389.9,25,20,1
56021003-10,56,021,003-10,442.5,212,82.2,7.1,5,6.3,23.5,423.6,278.6,27.1,26.7,1
56021003-11,56,021,003-11,124.5,57.5,20.5,1,0,1.1,3.1,128.8,64.3,4.7,8.4,0.1
56021003-12,56,021,003-12,399,201,35,11,5,9,18,360,258,25,16,1
