GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRBAR,G18USSDTRA,G18USSLPOR,G18USSOWRI,G18HALRCHE,G18HALDHUN,G18HALLBRU,G18HALCCUM,G18HALOWRI,G18GOVRGOR,G18GOVDTHR,G18GOVLSTR,G18GOVCRAM,G18GOVOWRI,G18SOSRBUC,G18SOSDBYR,G18SOSLCAR,G18SOSOWRI,G18AUDRRAC,G18AUDDDOC,G18AUDOWRI,G18TRERMEI,G18TREDLOW,G18TREOWRI,G18SPIRBAL,G18SPIOWRI
5603303-03s,56,033,03-03s,73,36.5,1.7,0,64.3,36.1,2.6,6.5,0.4,78.2,29.6,1.3,2.2,0,74.3,27.4,7.8,0,83,24.8,0,78.2,29.1,0,86.9,3.5
5603311-01s,56,033,11-01s,51.9,15.7,1.7,0.4,47.6,15.8,2.6,2.5,0.3,54.1,13.2,0.4,1.8,0.7,52.8,13.6,2.6,0,55.5,12.4,0,54.6,13.4,0.1,59,0.9
560350001-1,56,035,0001-1,526.6,226,21.6,0,478.5,235.8,27.5,18.7,0,551.2,197.5,9.8,10.8,3.9,532.5,192.6,24.6,0,558.1,184.7,1,549.2,192.6,0,600.3,10.8
560350001-3,56,035,0001-3,579.1,155.1,22,0,551.1,153.1,25,20,0,575.1,146.1,15,16,0,560.1,131.1,43,0,599.1,133.1,0,595.1,134.1,0,642.2,9
560350001-4,56,035,0001-4,354,70,13,1,341,62,17,16,0,348,62,5,20,3,334,65,22,0,365,63,1,361,61,1,390,5
560350002-1,56,035,0002-1,468.8,47.2,5,0,447.8,45.3,9.1,11.1,1,459.9,45.2,2,12.1,1,456.8,36.2,14,0,472.9,35.2,0,472.8,39.2,0,480.9,3
560350002-2,56,035,0002-2,229.2,33.9,5,1,224.2,32.9,7,3,0,226.2,29.9,4,6,1,225.2,31.9,6,0,231.2,29.9,0,225.2,35.9,0,250.2,0
560350004-1,56,035,0004-1,195.3,58,6.4,0,191.5,56.2,3.5,4.3,1,201.8,54.5,2.2,3.2,1.1,193.5,51.4,12.4,0,201.9,51.3,0,197.8,54.4,0,219.7,1.2
560350004-2,56,035,0004-2,169.8,35.8,6,0,157.9,35.8,7,10.9,0,172.8,24.8,4,8.9,2,166.8,28.8,6,0,171.8,26.8,0,170.8,27.8,0,178.7,1
560350005-1,56,035,0005-1,130,42,5,0,130,42,4,1,0,129,42,0,4,1,122,38,13,0,134,36,0,130,38,0,136,1
56037000101,56,037,000101,16.9,5.5,1,0,14.1,4.1,2.1,2.1,0,15.9,3.8,0.7,2.4,0,17.9,2.8,2.4,0,18.6,3.8,0,18.6,3.8,0,18.3,0.3
56037000301,56,037,000301,184.9,100.5,10.3,0,163.1,98.2,15,12.9,1.3,181.1,93.3,6.6,13.6,1,182.1,89.3,17.1,0.3,187.9,94.1,0.3,185.9,99.4,0.5,227.2,3.5
56037000302,56,037,000302,419.2,198.9,23.7,0,370.8,201.6,30.8,22.2,1.9,407.3,188.9,12.2,30.4,2.2,404,183.6,37,0.6,414.6,196.5,0.6,411.4,203.9,1.2,492.5,5
56037000303,56,037,000303,186.7,82.7,9.5,0,165.7,81.4,16.6,5.8,0.3,184.5,75.7,2.8,13.7,1,179.2,74.1,16.6,0.1,181.2,84.6,0.1,179.4,84.8,0.2,218.6,0.9
56037000304,56,037,000304,61.1,24.1,1,0,49.1,27.1,3,4,1,52.1,29.1,0,5,0,54.1,26.1,2,0,54.1,26.1,0,56.1,28.1,0,70.1,0
