GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIPIE,G20PREOWRI,G20USSRLUM,G20USSDDAV,G20USSOWRI,G20HALRCHE,G20HALDBUL,G20HALLBRU,G20HALCHAG,G20HALOWRI
560210006-3,56,021,0006-3,712,145,6,8,5,738,140,0,695,130,25,25,0
560210006-4,56,021,0006-4,117,8,0,1,0,112,10,2,107,9,1,6,1
560210006-5,56,021,0006-5,165,15,2,1,2,171,14,0,158,17,4,4,0
560210007-1,56,021,0007-1,61.02,38.4,8.22,1.57,1.49,63.25,47.27,0.1,57.75,41.01,5.87,5.24,0.08
560210007-2,56,021,0007-2,9.07,3.2,0,0,0,10.67,1.6,0,9.07,2.13,1.07,0,0
560210007-3,56,021,0007-3,113.49,47.6,3.22,3.26,1.14,112.99,52.63,1.98,108.81,51.01,4.13,3.48,0.09
560210007-4,56,021,0007-4,245.35,124.07,6.48,4.63,1.85,233.32,139.81,5.56,214.8,121.29,21.29,20.37,0.93
56021001-10,56,021,001-10,386.65,308.33,31.84,10.57,5.51,394.42,339.21,5.1,358.14,306.02,50.02,21.28,2.99
56021002-10,56,021,002-10,242.82,103.25,7.65,2.87,3.82,261.93,92.74,1.91,265.74,83.19,5.74,3.83,1.91
56021002-11,56,021,002-11,407.27,254.34,19.91,9.94,6,426.21,264.28,3.97,390.42,225.41,46.72,24.91,2.98
56021002-12,56,021,002-12,674,405.59,34.79,15.91,6.96,718.73,410.56,4.97,657.1,371.79,56.66,33.8,1.99
56021002-13,56,021,002-13,597.98,415.49,20.87,10.91,4.03,633.62,403.79,6.91,615.59,373.8,37.8,12.11,0.02
56021003-10,56,021,003-10,431.26,250.46,28.77,9.97,6.96,458.95,267.45,1.01,414.19,236.61,31.94,32.81,1.98
56021003-11,56,021,003-11,159.48,83.8,7.22,3.22,1.07,171.33,79.23,1.14,166.12,70.16,9.22,6.22,0
56021003-12,56,021,003-12,427,244,17,5,4,449,243,3,408,229,41,14,1
56021003-13,56,021,003-13,387.62,206.42,14.66,4.69,7.04,401.69,209.94,2.93,388.2,174.16,35.18,12.31,2.93
56021004-10,56,021,004-10,201.63,47.35,2.96,1.97,0,193.74,52.28,1.97,189.8,42.42,10.85,5.92,0
56021004-11,56,021,004-11,58.21,47.63,0.88,2.65,0,65.27,43.22,0,65.27,41.46,0.88,0.88,0
56023000101,56,023,000101,501.67,81.99,12.04,5.1,1.85,490.55,98.67,0.46,454.42,94.96,24.55,15.29,0
56023000102,56,023,000102,276.67,45.22,6.64,2.81,1.02,270.54,54.41,0.26,250.61,52.37,13.54,8.43,0
56023000103,56,023,000103,304.66,49.79,7.31,3.09,1.13,297.91,59.92,0.28,275.97,57.67,14.91,9.28,0
56023000104,56,023,000104,272,55,7,1,3,270,62,1,260,59,9,3,2
56023000106,56,023,000106,132.58,10.85,3.93,0.99,0.04,131.58,11.84,0.02,126.6,12.83,0.03,2.02,0
56023000107,56,023,000107,65,7,1,1,1,64,8,1,54,10,4,4,0
56023000108,56,023,000108,289.8,12.99,4,3,1,294.79,13.99,0,269.81,13.99,7.99,14.99,0
56023000201,56,023,000201,896.4,102.47,19.13,10.05,13.07,935.67,97.35,4.01,875.23,88.4,23.14,35.26,3
56023000202,56,023,000202,320.41,27.86,3.98,2.99,0,323.39,25.87,0,306.48,23.88,6.97,9.95,0
56023000203,56,023,000203,685,379,25,11,8,731,359,1,691,344,27,21,1
56023000204,56,023,000204,486,58,8,2,5,492,57,0,473,47,14,10,0
56023000205,56,023,000205,788,148,11,8,6,817,134,4,761,135,31,23,4
56023000206,56,023,000206,546,59,3,3,3,546,58,2,521,56,8,16,1
56023000207,56,023,000207,1080.19,68.67,18.89,6.97,9.93,1118.94,50.78,1.99,1054.3,57.72,20.89,37.79,0
56023000208,56,023,000208,599,66,12,0,9,615,62,0,583,62,18,14,0
56023000209,56,023,000209,416.62,16.16,3.07,2.01,5.97,411.63,18.17,3.98,399.59,20.18,4.97,8.99,0
56023000210,56,023,000210,983,321,21,8,9,1036,289,4,968,294,34,26,0
56025000101,56,025,000101,364,208,25,7,4,336,235,6,321,192,36,29,2
56025000102,56,025,000102,312.23,234.42,14.05,6.02,5,304.09,253.5,2.03,287,212.35,28.13,22.16,3.01
56025000103,56,025,000103,448,344,27,4,8,459,357,5,441,311,41,18,1
56025000104,56,025,000104,563,369,31,13,6,590,365,3,592,304,38,19,3
56025000105,56,025,000105,274,274,21,7,3,292,268,4,307,227,24,4,1
56025000106,56,025,000106,869.87,346.75,43.84,10.96,8.97,863.89,389.6,7.97,835,301.91,69.75,37.86,2.99
56025000107,56,025,000107,324,160,21,7,4,314,187,2,303,150,30,16,1
56025000109,56,025,000109,893,261,26,9,11,905,265,6,898,209,48,25,3
56025000111,56,025,000111,478,180,16,6,2,502,169,1,499,133,22,17,1
56025000112,56,025,000112,253,115,20,3,1,263,120,0,238,110,20,12,0
56025000201,56,025,000201,605.96,273.22,26.15,11.05,3.04,598.81,297.44,3.04,576.57,253.12,44.34,19.23,0.01
56025000202,56,025,000202,456,225,23,8,5,440,253,9,403,220,37,30,4
56025000203,56,025,000203,426,167,31,6,1,416,189,4,399,152,46,15,2
56025000204,56,025,000204,383,184,21,1,3,382,195,2,360,165,34,18,1
56025000206,56,025,000206,938,294,35,10,9,965,289,10,947,239,49,25,4
56025000207,56,025,000207,1060.02,295.82,32.04,10.05,5.01,1038.95,321.85,4.01,999.85,246.74,63.13,39.14,2
56025000208,56,025,000208,1210.04,305.51,30.95,10.98,6.99,1182.09,342.45,4.99,1122.19,273.56,75.87,48.92,2
56025000209,56,025,000209,492.32,109.19,22.86,4.97,0.03,487.25,122.22,2.01,460.19,91.52,36.98,18.84,2.01
56025000210,56,025,000210,685,265,32,11,11,712,277,7,708,203,53,26,5
56025000302,56,025,000302,525.46,231.25,20.45,8.77,6.77,498.01,272.09,4.93,482.28,218.48,36.13,28.49,1.96
56025000303,56,025,000303,635,281,26,6,3,633,290,5,593,262,54,20,1
56025000304,56,025,000304,851.13,299.25,37.16,7.04,9.03,844.11,337.4,2.03,797,279.09,55.25,36.14,2.01
56025000305,56,025,000305,543,207,14,4,1,527,226,2,522,176,33,21,2
56025000306,56,025,000306,601.59,235.72,15.9,7.23,9.32,644.72,204.2,6.15,647.55,168.36,30.95,9.01,2.08
56025000308,56,025,000308,1005.41,396.28,46.1,11.77,16.68,1012.28,420.8,7.85,952.45,326.64,100.05,51.99,3.92
56025000309,56,025,000309,427,161,13,3,9,434,164,1,417,140,30,17,1
56025000310,56,025,000310,1988.13,624.51,42.67,18.43,27.15,2023.03,610.94,11.64,2003.63,495.54,89.23,38.8,4.85
56025000401,56,025,000401,687.82,204.81,24.75,10,5.93,644.28,255.24,8.87,621.92,200.63,55.79,23.27,2.97
56025000402,56,025,000402,1030.43,131.75,19.59,11.58,4.92,1000.05,166.9,5.5,961.8,116.89,57.01,35.96,2.19
56025000501,56,025,000501,53,15,0,0,1,49,15,0,51,15,2,1,0
56025000701,56,025,000701,124.68,17.08,2,6,1,114.67,35.08,0,110.69,22.04,6.02,7.01,1
56025000702,56,025,000702,68.32,7.92,0,0,0,67.33,7.92,0,69.31,3.96,1.98,0.99,0
56025000801,56,025,000801,1050.33,255.81,39.27,12.46,9.56,1014.69,317.12,10.57,964.54,241.58,80.71,52.72,1.96
56025000802,56,025,000802,225.07,54.32,5.44,1.5,1.34,219.79,62.54,1.39,206.45,57.29,15.62,4.23,1.01
56025000803,56,025,000803,483.97,95.81,11.61,5.23,0.29,454.69,115.04,7.02,435.43,80.74,27.91,34.26,2.02
56025000804,56,025,000804,910.68,139.13,15.02,7.01,0,880.64,168.15,4.01,848.61,128.11,36.04,30.05,4
56025000805,56,025,000805,1074,162,27,9,4,1030,212,5,977,160,68,42,0
56025000901,56,025,000901,909.54,202.45,13.15,10.96,1.98,893.63,212.51,3,869.53,176.47,34.12,32.92,1.01
56025001101,56,025,001101,123,4,3,0,0,117,12,0,116,4,8,3,0
56025001102,56,025,001102,124,22,0,3,0,125,22,0,121,22,5,2,0
56025001103,56,025,001103,219,54,5,1,0,217,57,2,212,48,8,6,1
56025001104,56,025,001104,113,7,2,0,1,108,10,2,96,9,4,10,2
56025001202,56,025,001202,284,89,13,3,2,287,96,3,277,89,14,4,0
56025001301,56,025,001301,84,19,0,0,0,80,19,2,76,17,2,5,0
