GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38011003902,38,011,003902,375.9,31.9,16,0.2,0,1,4.2,402,20.7,9.2,1.2,0,385.7,24.1,17.1,0,389.6,35.1,5.4,0,357.4,40.6,0,340.4,47,18.8,0,341.8,44.8,15.8,2,349,30.2,20.3,0
38011003903,38,011,003903,193,12,3,1,0,0,1,197,7,6,2,0,192,10,8,0,201,12,3,0,177,21,0,169,22,10,0,173,17,7,1,174,13,15,0
38011003904,38,011,003904,260.9,50,13,4,4,0,2,288.9,30,9,4,0,266.9,44,19,1,289.9,34,9,0,255.9,55,1,237.9,62,21,1,246.9,53,19,0,254.9,38,27,0
38013000201,38,013,000201,48,6,1,0,0,0,0,51,5,0,1,0,47,7,2,0,50,6,0,0,42,10,1,42,9,4,0,41,9,5,0,44,7,4,0
38013000202,38,013,000202,229,39,8,4,2,0,2,258,23,2,2,0,228,30,20,1,239,43,2,0,219,43,0,214,42,15,0,207,46,13,0,223,31,16,0
38013000203,38,013,000203,314.6,31,10,0,0,0,2,340.6,13,3,0,0,320.6,27,6,0,311.6,32,4,3,311.5,22.1,0,272.5,53.1,15,1,280.5,35,18,0,283.5,38,17,1
38013000204,38,013,000204,128,16,5,0,1,0,0,136,7,5,2,0,134,10,6,0,129,16,4,1,119,16,0,117,18,5,0,107,23,9,0,120,13,7,0
38013000205,38,013,000205,115,13,1,1,0,0,0,119,10,2,0,0,116,9,5,0,110,18,2,0,107,10,0,107,14,3,0,105,14,7,0,109,11,5,0
38013000206,38,013,000206,61,14,1,0,0,0,0,66,8,2,0,0,65,7,4,0,66,7,3,0,59,11,0,55,10,8,0,56,9,7,0,61,8,5,0
38015000701,38,015,000701,1515.4,290.4,135.3,32.4,6.3,2,23.1,1645.4,224.1,77.2,35.6,2,1496.1,307.1,161.7,3,1612.1,270,76.6,2,1401.4,435,8.2,1274.1,400.7,185.1,6.1,1347.8,337.9,178,5,1348.2,300.4,195.1,8
38015000702,38,015,000702,916.4,262.7,74.9,5.2,5.3,0,28.3,1120.1,135.3,27.7,7.6,2,997.9,194.9,72.3,4.2,1086.5,150.4,33.3,6.2,997.7,169.7,7.2,881.5,250.9,79.1,5,929.9,187.5,86.5,5.2,982.8,157.2,73.7,4
38015000703,38,015,000703,1365.5,355.5,108.3,11.6,6.4,0,20.5,1567,213.8,61.8,19.2,2.1,1411.5,304.5,123.1,5,1488.5,283.6,54.3,3.1,1368.8,331.8,5.5,1219.4,391.2,140.1,1,1281.3,310.4,134.8,3.2,1287.6,282.2,147.6,3
38015000704,38,015,000704,559.6,116.6,31.7,2.8,1.9,0,10.3,622.1,70.9,14.9,7.5,0.9,565.2,102.6,44.8,0,610,79.3,17.7,0,564.2,101.7,0.9,501.8,145.5,42,0.9,539.1,103.5,43.8,0,557.7,86.8,42,0
38015000705,38,015,000705,544.9,109.8,29.1,4.3,2.5,0,9.4,602.2,72,13.1,7.8,0.8,561.4,95.8,39,0.1,602.4,74,15.4,1,533.8,106.2,3.4,487.8,129.2,41,0.1,509.7,95.5,38.3,1.7,527.8,89,25.1,0.1
38015000706,38,015,000706,935,251.9,80.7,5,5.2,0,29.3,1102.7,157.4,34.4,11.8,1.1,973.9,234.7,82.8,3.2,1101.1,163.6,27.4,4.8,992.2,196,3.9,885.4,266.9,81.4,1,934.2,219.8,71.1,3,971.8,174.2,74,0.9
