GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOFUE,G16PREOWRI,G16USSRHOE,G16USSDGLA,G16USSLMAR,G16USSIGER,G16USSOWRI,G16HALRCRA,G16HALDIRO,G16HALLSEA,G16HALOWRI,G16GOVRBUR,G16GOVDNEL,G16GOVLRIS,G16GOVOWRI,G16AUDRGAL,G16AUDLRIE,G16AUDOWRI,G16TRERSCH,G16TREDMAT,G16TRELOLS,G16TREOWRI,G16INSRGOD,G16INSDBUF,G16INSLBAT,G16INSOWRI,G16PSCRFED,G16PSCDHUN,G16PSCLSKA,G16PSCOWRI
38035004302,38,035,004302,762,656,87,23,11,3,21,1013,473,31,15,0,890,523,84,0,970,475,56,0,1018,277,11,763,563,84,1,769,518,95,5,776,478,88,2
38035004303,38,035,004303,627.3,511.65,61.59,12.18,7.03,1,28.09,817.14,375.99,27.44,5.15,1,756.4,389.64,60.68,5,830.22,339.72,37.65,1,851.67,227.39,5.09,661.83,428.73,62.01,4,681.3,383.26,71.03,6,675.16,362.26,87.03,2
38035004304,38,035,004304,376,356,72,15,3,0,21,531,250,24,15,0,468,285,49,1,518,249,29,1,523,172,5,391,319,52,2,391,295,58,0,408,270,53,0
38035004305,38,035,004305,96,98,16,5,1,0,5,116,78,11,5,0,108,84,20,0,105,87,12,0,117,62,1,87,90,21,0,85,90,26,0,96,71,29,0
38037003101,38,037,003101,639.1,82.61,35.51,4.92,1.08,0,4.94,707.51,48.75,16.74,10.88,0,668.1,76.44,30.47,1.97,679.91,76.37,19.69,1,627.59,108.66,0.02,602.89,113.78,40.57,0,604.75,89.34,48.3,1,623.59,78.18,43.48,0.02
38037003102,38,037,003102,105.39,16.05,9.02,0,0,0,2,123.44,11.03,1.01,0.01,1,119.41,10.05,7.02,0,123.42,11.05,2.01,0,107.39,22.07,0,110.37,15.07,7.02,0,111.37,15.05,6.03,0,112.38,13.05,7.03,0
38037003103,38,037,003103,234.54,55.99,13.79,1.97,4.9,0,1.97,275.82,34.38,3.96,4.92,0,259.08,50.11,5.95,0.98,265.96,43.25,5.92,0.98,243.32,48.23,0.98,229.56,59.01,20.65,0,229.56,55.03,16.76,0.98,239.39,39.34,19.68,0.98
38037003104,38,037,003104,6.17,0.79,0.34,0.05,0.01,0,0.05,6.82,0.47,0.16,0.1,0,6.44,0.73,0.3,0.02,6.56,0.73,0.19,0.01,6.05,1.05,0,5.82,1.09,0.39,0,5.83,0.86,0.47,0.01,6.02,0.75,0.42,0
38037003105,38,037,003105,115.49,28.63,5.92,0,0,0,0.99,129.31,12.83,4.94,2.96,0,128.32,14.81,5.92,0,125.36,19.74,2.96,0,118.45,19.74,0,118.45,18.75,7.9,0,111.54,22.7,7.9,0,116.48,16.78,8.88,0
38039002301,38,039,002301,175,57,26,3,0,1,6,207,42,10,3,1,181,73,11,0,191,66,8,0,190,47,1,156,77,23,1,156,61,33,0,178,49,25,0
38039002302,38,039,002302,149.16,74.12,19.01,0,0,0,3.01,187.25,52.06,5.01,4,0,150.19,79.1,16.03,0,176.23,64.08,6.01,0,153.2,62.09,0,126.16,94.13,13.02,0,126.16,77.11,25.04,0,148.18,68.1,16.03,1
38039002303,38,039,002303,189,77,19,1,1,0,1,241,46,6,3,0,215,60,13,2,221,64,7,0,214,52,0,174,88,19,0,181,74,20,0,192,64,16,0
38039002304,38,039,002304,141,57,13,1,0,1,6,185,36,5,0,0,164,47,11,1,168,50,7,0,170,34,1,138,72,10,0,137,65,15,0,140,62,13,0
38039002305,38,039,002305,189.52,32.41,15.71,0.98,0,0,1.96,221.93,17.68,1.96,1.96,0,202.29,23.57,13.75,0.98,201.31,33.39,4.91,0.98,183.63,43.21,0,165.95,52.05,10.8,0.98,167.92,43.21,15.71,0.98,193.45,28.48,10.8,0
38041003101,38,041,003101,520,84,19,1,6,0,4,563,46,18,8,1,533,52,40,0,526,73,23,1,485,90,1,440,93,64,1,457,69,57,1,480,62,46,1
38041003102,38,041,003102,94,11,4,2,1,1,0,104,5,0,2,0,93,9,6,0,103,7,1,0,90,13,1,87,11,7,1,92,9,4,1,90,9,5,0
38041003601,38,041,003601,316,64,15,2,2,0,10,360.99,34,10,6,0,339.99,49,23,0,354.99,50,13,0,323.99,62,0,297,87,17,1,323.99,42,30,2,313,41,32,2
38041003602,38,041,003602,120,9,8,0,0,0,3,132,3,2,1,0,123,5,8,0,120,13,2,0,118,9,0,114,16,3,0,111,11,8,1,115,8,7,0
38043001401,38,043,001401,78.3,30.28,4.89,1.96,1.96,0,2.93,94.91,22.47,2.93,1.95,0,90.01,19.55,8.8,0.98,94.9,21.5,4.89,0,88.04,16.64,0,75.35,32.24,7.83,0,76.32,28.33,9.78,0,86.07,22.48,8.81,0
38043001402,38,043,001402,60,19,6,0,0,0,0,71,12,3,0,0,67,11,4,1,63,21,2,0,59,15,1,56,23,5,0,50,18,9,0,53,16,9,0
38043001403,38,043,001403,53.96,13.99,5,0,0,0,1,62.95,9.99,1,3,0,56.95,14.99,2,0,58.95,14.99,2,0,52.96,6.99,0,45.96,19.98,1,0,48.96,12.99,5,0,53.96,11.99,1,0
38043001404,38,043,001404,534,79,31,3,0,1,5,591,44,24,6,0,556,74,26,0,553,86,17,0,487,110,1,466,114,47,0,469,84,59,1,492,73,50,1
38043001405,38,043,001405,118,10,6,0,0,0,1,127,4,5,0,1,122,5,8,0,122,10,4,0,100,28,1,104,13,15,1,111,7,12,1,111,7,15,0
38043001406,38,043,001406,261.96,25.7,10.87,1.98,0,0,1.98,271.85,23.72,6.92,1.98,0,266.9,26.69,8.9,0,269.87,23.72,9.88,0,245.16,32.62,0,227.36,41.52,22.73,0.99,235.27,27.68,24.71,0,250.09,25.7,16.81,0
38045002801,38,045,002801,510.86,150.37,41.82,1,7.97,1,16.93,616.42,88.63,23.9,2.99,1,536.75,152.36,31.87,0,595.51,113.52,18.92,0,550.7,117.51,2.99,462.07,233.02,28.88,0,479.99,157.34,58.75,1,509.87,135.43,49.79,0
38045002901,38,045,002901,159,29,12,0,0,0,1,192,9,3,3,0,177,19,7,0,186,17,3,0,157,40,0,146,46,11,0,151,25,20,0,159,24,14,0
38045002902,38,045,002902,260,132,16,2,2,2,5,330,79,9,9,0,270,131,21,0,314,99,12,0,273,89,3,230,158,18,0,234,125,35,0,257,107,27,0
38045002903,38,045,002903,549,190,39,10,6,1,3,677,115,13,7,0,592,164,47,0,650,138,15,0,572,149,2,486,257,34,0,493,205,56,0,529,168,45,0
38047002801,38,047,002801,243.17,17.17,12.04,1,2.01,2,3.01,264.33,11.1,6.01,3.01,0,253.26,19.1,16.05,0,264.26,18.13,5.02,2,229.05,31.19,0,207.03,51.23,14.07,0,221.02,23.16,21.09,0,216.06,26.14,19.08,0
38047002802,38,047,002802,345.65,45.82,12.95,1,1.99,0,2.99,390.48,26.9,2.99,1.99,0,370.56,29.88,14.94,0,373.55,36.86,6.97,0,311.79,54.79,0,302.82,68.73,20.92,0,302.82,45.82,25.9,0,312.78,41.84,23.91,0
38047002803,38,047,002803,172,41,8,3,1,0,6,198,27,10,3,0,178,42,13,3,191,32,14,0,171,48,1,155,60,19,0,158,43,26,1,165,35,27,0
38047002804,38,047,002804,57,3,2,0,0,0,0,63,1,1,0,0,58,5,2,0,58,6,0,0,52,8,0,50,12,1,0,51,4,5,0,53,2,5,0
38047002805,38,047,002805,70,7,3,0,1,0,2,73,6,1,2,0,69,6,6,0,77,3,2,0,65,7,0,62,12,2,0,65,4,6,0,64,6,5,0
