GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38059003403,38,059,003403,231,347,47,10,596,313,54,2,544,311,51,67,562,373,8,551,386,4,775,34,566,351,4
38059003404,38,059,003404,719,249,30,5,553,232,27,2,483,211,33,87,523,263,3,487,304,3,694,13,526,251,0
38059003405,38,059,003405,1416.68,326.93,35.99,5,682.85,292.93,55.99,1,600.87,285.94,63.99,81.98,668.85,333.93,2,630.86,378.92,1,837.81,22,642.86,336.92,4
38059003406,38,059,003406,723,210,16,4,480,172,24,0,384,170,40,84,461,201,1,442,222,4,563,14,445,200,1
38059003407,38,059,003407,140.57,175.5,19.02,0.02,411,160.36,23.08,0,357.62,159.37,35.12,45.32,395.91,184.45,1.01,378.77,200.59,2,491.18,14.03,376.94,193.41,0.01
38059003601,38,059,003601,368.76,54.34,8.06,1,366.68,50.33,10.09,0,271.15,45.38,20.16,82.43,362.51,56.49,2.01,350.45,66.6,4.01,393.79,2.01,344.49,57.55,1.01
38059003602,38,059,003602,473.32,46.54,8.91,0.99,472.33,38.62,8.91,0,357.46,49.51,31.69,74.27,448.56,52.48,0.99,426.78,63.37,10.89,470.35,0.99,434.7,58.42,0
38061000201,38,061,000201,814.38,129.02,22.9,1.03,817.31,109.22,25.92,0.99,771.45,93.27,44.78,47.78,815.01,131.27,0.99,798.1,151.16,1.97,906.52,4.93,791.49,148.91,1.97
38061000202,38,061,000202,363.28,40.95,10.1,1.97,362.35,36.75,13.07,0.01,339.23,28.71,19.2,21.2,348.67,52.68,0.01,341.59,60.78,0.03,386.12,0.07,353.19,49.05,0.03
38061000203,38,061,000203,148,17,2,0,143,14,6,0,97,15,14,39,143,17,0,133,28,0,148,1,140,22,0
38061000401,38,061,000401,208.23,54.08,3,0.01,206.22,46.09,9.01,0,205.19,44.08,4.02,11.03,192.22,66.09,0,199.2,59.12,0,230.26,2.01,188.22,58.09,0
38061000402,38,061,000402,251.81,241.39,3.03,4,250.8,224.37,13.03,0,267.8,205.33,18.04,5.05,238.77,246.42,0,224.77,260.42,0,375.03,25.02,235.75,242.41,0
38061000403,38,061,000403,194.6,25.95,4.99,1,183.62,30.94,4.99,1,168.65,23.95,17.96,11.98,173.64,42.91,0,171.64,44.91,0,209.57,0,181.62,30.94,0
38061000404,38,061,000404,98.11,8.88,0.69,0,97.07,8.56,1.37,0,82.78,9.55,4.78,9.21,91.63,11.64,0,87.9,16.38,0,100.19,0.68,89.95,10.93,0.34
38061000405,38,061,000405,365.37,207.01,11.85,1.05,365.29,196.43,14.8,0.06,365,177.63,19.97,21.22,349.35,220.98,0.06,349.94,219.62,0.17,482.42,10,341.82,212.86,0.06
38061000406,38,061,000406,188.78,17.04,1.31,0,186.81,16.39,2.62,0,159.28,18.35,9.18,17.7,176.33,22.29,0,169.12,31.46,0,192.71,1.31,173.05,20.98,0.66
38061000407,38,061,000407,189.47,514.39,15.12,0.95,204.56,470.99,31.15,0.94,232.84,455.86,17.96,5.71,187.54,515.37,0.94,180.94,525.74,2.83,498.09,33.97,178.1,512.52,0.94
38063002301,38,063,002301,1141,586,43,7,1195,495,52,1,1192,504,40,41,1104,594,0,1089,610,9,1456,24,1091,596,0
38065003301,38,065,003301,210,27,0,0,212,23,3,0,162,30,6,35,189,35,0,169,49,6,202,0,192,37,0
38065003302,38,065,003302,91.76,15,4.41,0,87.35,15.88,5.29,0,78.53,14.12,7.06,8.82,82.94,22.06,0,76.76,27.35,0.88,92.65,0.88,77.65,26.47,0
38065003303,38,065,003303,91,17,3,0,91,16,0,0,76,16,4,12,90,17,0,81,25,0,97,0,86,23,0
38065003304,38,065,003304,66.55,6.95,1.99,0,66.55,3.97,3.97,0,49.66,7.95,2.98,12.91,59.59,11.92,0,57.61,14.9,0,68.53,0,62.57,9.93,0
38065003305,38,065,003305,131.67,13.18,2.03,0.01,130.05,11.16,5.03,0,102.73,12.16,9.06,22.27,132,12.21,0,117.92,23.26,1.01,134.09,0.01,121.01,19.2,0
38065003306,38,065,003306,170,21,3,1,167,22,4,0,132,17,8,35,167,21,0,149,37,0,177,0,161,24,0
38065003307,38,065,003307,157.69,29.05,3.6,0,153.1,29.14,6.73,0,140.81,25.94,6.96,12.26,152.46,33.02,0,145.63,39.75,0.12,170.82,0.12,148.78,36.6,0
38067001001,38,067,001001,449.63,124.66,13.05,7.02,455.65,113.63,15.05,0,428.65,109.56,16.06,31.06,418.55,157.74,0,437.56,138.73,0,507.96,5.04,427.54,124.7,0
38067001002,38,067,001002,501.33,127.57,8.97,3.99,495.35,121.59,13.95,0,490.37,112.62,9.97,24.92,461.46,149.5,1,461.46,151.5,0,545.18,5.98,461.46,135.55,0
38067001003,38,067,001003,551.44,181.72,20.78,0.09,576.41,152.57,16.06,0,560.54,128.73,22.11,40.53,537.34,196.41,0,528.58,189.61,5.87,652.05,14.82,523.55,184.37,0.98
38067001004,38,067,001004,537.75,173.33,11.22,3.92,561.79,136.47,18.95,0,550.67,119.31,27.89,20.47,519.82,173.65,0,521.58,175.46,0.13,625.12,7.18,515.6,159.69,0.02
38067001005,38,067,001005,169,73,4,0,176,59,9,1,166,63,5,9,163,80,1,169,74,1,218,3,160,74,1
38067001006,38,067,001006,249.62,105.42,7.96,3.98,251.61,101.44,6.96,0,253.6,91.5,9.95,6.96,237.69,118.35,0,239.68,116.36,0,301.34,5.97,235.7,111.39,0
38069001401,38,069,001401,118,24,3,0,115,22,4,0,92,30,7,13,112,27,0,109,29,0,126,2,110,27,0
38069001402,38,069,001402,121,39,1,1,120,38,0,0,94,37,4,24,112,45,0,111,43,2,134,1,115,41,1
38069001403,38,069,001403,268.24,51.52,7.02,0,269.26,46.48,6.03,0,245.3,37.46,9.05,28.98,258.2,53.57,0,240.25,68.52,1,281.56,3.02,243.19,64.46,0
38069001404,38,069,001404,141.1,54.99,7,3,144.09,49.99,9,0,136.08,43.99,7,16.01,133.09,66.98,0,138.07,63,0,180.07,0,135.08,63.99,0
38069001405,38,069,001405,56.02,26.01,1,1,59.02,20,3,1,58.02,19,2,3,52.02,26.01,0,54.02,24.01,2,70.02,0,53.02,24.01,0
38069001406,38,069,001406,308.13,108.05,3.01,1,321.13,88.05,7.01,2,317.13,72.04,12.01,20.01,299.12,103.06,1,295.13,110.06,2,365.17,6,301.13,99.06,2
38069001407,38,069,001407,219,73,6,0,225,59,6,0,217,45,11,21,203,75,1,198,84,3,245,1,202,71,0
