GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIFUE,G16PREOLAR,G16PREOSAN,G16PREOWRI,G16USSDLEA,G16USSRMIL,G16USSOERI,G16USSITRU,G16USSODIA,G16USSOWRI,G16HALOWEL,G16HALOCLA,G16HALOWRI,G16GOVDMIN,G16GOVRSCO,G16GOVOLEE,G16GOVOWRI,G16LTGDZUC,G16LTGRBRO,G16LTGOWAR,G16LTGOWRI,G16TREOPEA,G16TREPSCH,G16TREONGO,G16TREOWRI,G16SOSOCON,G16SOSOHER,G16SOSOWRI,G16AUDDHOF,G16AUDRFEL,G16AUDOBRO,G16AUDOWRI,G16ATGDDON,G16ATGRBUC,G16ATGOJAC,G16ATGOWRI
500019605001033,1.1,0.6,0.1,0,0,0,0.2,0,1.1,0.7,0.1,0,0,0,1.6,0.2,0,0.9,1,0,0,1,0.9,0,0,1.4,0.3,0.1,0,1.6,0.2,0,1,0.7,0.1,0,1.3,0.5,0.1,0
500019610002040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019610002009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019610002021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001000,98.7,37.6,4.4,5.4,0.6,0,9.2,2.2,106.1,42,4.4,4,1.2,0.2,138.1,11.4,0.6,85.9,65.9,5,0.2,98.3,54.5,1.8,0.2,116.5,23.4,5.2,0,132.7,11.2,0,96.1,44.6,5.4,0,111.5,33.6,5.2,0
500019606001033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001008,20.7,7.9,0.9,1.1,0.1,0,1.9,0.5,22.2,8.8,0.9,0.8,0.3,0,28.9,2.4,0.1,18,13.8,1,0,20.6,11.4,0.4,0,24.4,4.9,1.1,0,27.8,2.3,0,20.1,9.3,1.1,0,23.3,7,1.1,0
500019606001078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001060,3.1,1.2,0.1,0.2,0,0,0.3,0.1,3.3,1.3,0.1,0.1,0,0,4.3,0.4,0,2.7,2.1,0.2,0,3.1,1.7,0.1,0,3.7,0.7,0.2,0,4.2,0.4,0,3,1.4,0.2,0,3.5,1.1,0.2,0
500019607001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604002006,27.1,15.1,2.5,0.4,0,0,0,4.9,30.9,17.8,0.7,0.5,0.7,0,44.9,3.6,0,19.6,30,1.8,0,23.4,26,0.9,0,42.7,4,1.6,0,44.1,3.6,0,25.6,20.9,1.3,0,30,18,0.9,0
500019604002005,16,8.9,1.5,0.2,0,0,0,2.9,18.3,10.5,0.4,0.3,0.4,0,26.5,2.1,0,11.6,17.7,1.1,0,13.9,15.4,0.5,0,25.2,2.4,1,0,26.1,2.1,0,15.1,12.4,0.8,0,17.7,10.6,0.5,0
500019604002056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604004008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604004036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604004044,21.9,3.9,0.9,0.4,0.1,0.1,0,0.3,22.1,6.3,0.3,0.4,0.3,0.1,27.1,1.4,0.2,17.8,11.4,0.3,0.1,17.6,10.4,0.5,0.1,22.9,3.6,0.7,0.1,25.6,1.7,0,18.7,8.9,0.7,0,22.3,5.4,0.5,0.1
500019604004038,7.7,1.4,0.3,0.1,0,0,0,0.1,7.8,2.2,0.1,0.1,0.1,0,9.6,0.5,0.1,6.3,4,0.1,0,6.2,3.7,0.2,0,8.1,1.3,0.2,0,9,0.6,0,6.6,3.1,0.2,0,7.9,1.9,0.2,0
500019604004018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003045,1.2,1.3,0.2,0,0,0,0.2,0,1.3,1.5,0,0,0,0,2.4,0.3,0,0.7,2.2,0,0,1,1.9,0.1,0,2.3,0.3,0.1,0,2.4,0.2,0,1.1,1.6,0.1,0,1.7,1.2,0.1,0
500019604003105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604003129,0.9,1,0.1,0,0,0,0.1,0,1,1.1,0,0,0,0,1.8,0.3,0,0.6,1.6,0,0,0.7,1.4,0,0,1.7,0.2,0.1,0,1.8,0.2,0,0.8,1.2,0.1,0,1.2,0.9,0,0
500019609002089,3.7,3.5,0.3,0.1,0,0,0,0.6,3.9,4,0.2,0.1,0.1,0.1,6.8,0.9,0.1,2.6,5.6,0.1,0,3,5,0.1,0,6.3,0.6,0.5,0,6.7,0.8,0,3.3,4.1,0.2,0,4.6,3.1,0.1,0
500019609002038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019609002021,4.3,4.1,0.4,0.1,0,0,0,0.7,4.5,4.7,0.2,0.1,0.1,0.1,7.9,1,0.1,3,6.5,0.1,0,3.5,5.8,0.1,0,7.4,0.7,0.6,0,7.8,0.9,0,3.8,4.8,0.3,0,5.3,3.7,0.1,0
500019605001040,68.9,35.8,3.8,2.6,0.6,0.1,10.8,0.9,73.1,42.7,3.6,2.4,1.1,0.1,103.1,13.3,0.4,55,65.5,3.1,0.1,63.1,55.8,2.9,0,92,17.3,5.1,0.4,101.6,13.1,0.3,64.9,45.2,6.2,0,81.2,33.7,4.9,0
500019605001013,25.9,13.5,1.4,1,0.2,0,4.1,0.3,27.5,16.1,1.4,0.9,0.4,0,38.8,5,0.1,20.7,24.7,1.2,0,23.7,21,1.1,0,34.6,6.5,1.9,0.2,38.2,4.9,0.1,24.4,17,2.3,0,30.6,12.7,1.8,0
500019605001032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019605001045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019605001039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019605003015,3.9,2,0.2,0.1,0,0,0.6,0.1,4.1,2.4,0.2,0.1,0.1,0,5.8,0.8,0,3.1,3.7,0.2,0,3.6,3.2,0.2,0,5.2,1,0.3,0,5.8,0.7,0,3.7,2.6,0.4,0,4.6,1.9,0.3,0
500019605001059,8.5,4.4,0.5,0.3,0.1,0,1.3,0.1,9,5.3,0.4,0.3,0.1,0,12.8,1.6,0,6.8,8.1,0.4,0,7.8,6.9,0.4,0,11.4,2.1,0.6,0.1,12.6,1.6,0,8,5.6,0.8,0,10,4.2,0.6,0
500019605001026,8.9,4.6,0.5,0.3,0.1,0,1.4,0.1,9.4,5.5,0.5,0.3,0.1,0,13.3,1.7,0,7.1,8.4,0.4,0,8.1,7.2,0.4,0,11.9,2.2,0.7,0.1,13.1,1.7,0,8.4,5.8,0.8,0,10.5,4.3,0.6,0
500019605002006,5,2.6,0.3,0.2,0,0,0.8,0.1,5.3,3.1,0.3,0.2,0.1,0,7.4,1,0,4,4.7,0.2,0,4.6,4,0.2,0,6.6,1.2,0.4,0,7.3,0.9,0,4.7,3.3,0.4,0,5.9,2.4,0.4,0
500019602002047,4.1,2.3,0.3,0.1,0,0,0.4,0.2,4.5,2.7,0.1,0,0,0,6.3,0.7,0.1,2.8,4.4,0.2,0,3.4,3.8,0.1,0,5.9,0.7,0.3,0,6.3,0.5,0,3.8,3,0.2,0,5,2.2,0.1,0
500019602002118,13.6,7.6,0.9,0.3,0,0,1.4,0.5,14.8,9,0.5,0.1,0.2,0,20.8,2.2,0.2,9.3,14.6,0.6,0,11.4,12.6,0.2,0,19.3,2.2,0.9,0.1,20.8,1.6,0.1,12.4,10,0.7,0,16.4,7.2,0.4,0
500019602002096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602002099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602002012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602002102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602001052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602002014,8.2,4.6,0.6,0.2,0,0,0.9,0.3,9,5.5,0.3,0.1,0.1,0,12.6,1.4,0.1,5.7,8.9,0.4,0,6.9,7.6,0.1,0,11.7,1.3,0.5,0,12.6,1,0,7.5,6.1,0.4,0,9.9,4.4,0.2,0
500019602002008,1.6,0.9,0.1,0,0,0,0.2,0.1,1.8,1.1,0.1,0,0,0,2.5,0.3,0,1.1,1.8,0.1,0,1.4,1.5,0,0,2.3,0.3,0.1,0,2.5,0.2,0,1.5,1.2,0.1,0,2,0.9,0,0
500019602002109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602001050,0.8,0.5,0.1,0,0,0,0.1,0,0.9,0.5,0,0,0,0,1.3,0.1,0,0.6,0.9,0,0,0.7,0.8,0,0,1.2,0.1,0.1,0,1.3,0.1,0,0.8,0.6,0,0,1,0.4,0,0
500019602002082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019602002002,2.5,1.4,0.2,0.1,0,0,0.3,0.1,2.7,1.6,0.1,0,0,0,3.8,0.4,0,1.7,2.7,0.1,0,2.1,2.3,0,0,3.5,0.4,0.2,0,3.8,0.3,0,2.3,1.8,0.1,0,3,1.3,0.1,0
500019606003027,6.3,2.2,0.2,0.5,0.1,0,0,2.1,7.5,2.8,0.7,0.2,0.1,0,10.1,0.7,0.1,6.3,4.7,0.2,0.1,6.7,3.8,0.3,0.1,8.2,1.7,0.5,0,9.2,1.1,0,7.1,2.9,0.5,0,7.9,1.8,0.5,0
500019607002013,7,1.6,0.2,0.2,0,0,0.4,0.2,7,2.1,0.2,0.1,0.1,0,8.3,0.7,0,5.8,3.5,0.2,0,6,3.1,0.1,0,7.2,1.2,0.2,0,7.9,0.7,0,6.1,2.3,0.3,0,7,1.7,0.3,0
500019608003025,3.3,0.7,0.1,0.1,0,0,0.2,0.1,3.3,1,0.1,0.1,0,0,3.9,0.3,0,2.7,1.7,0.1,0,2.9,1.5,0.1,0,3.4,0.6,0.1,0,3.7,0.3,0,2.9,1.1,0.2,0,3.3,0.8,0.1,0
500019608002024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019608001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019607002009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019607004034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019608003034,1.8,0.4,0.1,0,0,0,0.1,0,1.8,0.6,0.1,0,0,0,2.2,0.2,0,1.5,0.9,0.1,0,1.6,0.8,0,0,1.9,0.3,0.1,0,2.1,0.2,0,1.6,0.6,0.1,0,1.8,0.5,0.1,0
500019607001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019607001006,16.2,3.6,0.5,0.4,0.1,0,1,0.4,16.1,4.8,0.5,0.3,0.2,0,19.2,1.5,0.1,13.4,8.2,0.5,0,14,7.1,0.3,0,16.7,2.8,0.5,0,18.3,1.7,0,14,5.4,0.8,0,16.3,4,0.7,0
500019607002016,3.3,0.7,0.1,0.1,0,0,0.2,0.1,3.3,1,0.1,0.1,0,0,3.9,0.3,0,2.7,1.7,0.1,0,2.9,1.5,0.1,0,3.4,0.6,0.1,0,3.7,0.3,0,2.9,1.1,0.2,0,3.3,0.8,0.1,0
500019608001010,18.4,4.1,0.5,0.5,0.1,0,1.1,0.5,18.3,5.5,0.6,0.3,0.3,0,21.8,1.7,0.1,15.2,9.3,0.6,0,15.9,8.1,0.4,0,18.9,3.1,0.6,0,20.8,1.9,0,15.9,6.1,0.9,0,18.5,4.5,0.8,0
500019608002017,15.9,3.5,0.5,0.4,0.1,0,0.9,0.4,15.7,4.7,0.5,0.3,0.2,0,18.7,1.5,0.1,13.1,8,0.5,0,13.7,6.9,0.3,0,16.3,2.7,0.5,0,17.9,1.6,0,13.7,5.2,0.8,0,15.9,3.9,0.7,0
500019607003019,5.5,1.2,0.2,0.1,0,0,0.3,0.1,5.5,1.7,0.2,0.1,0.1,0,6.5,0.5,0,4.6,2.8,0.2,0,4.8,2.4,0.1,0,5.7,0.9,0.2,0,6.2,0.6,0,4.8,1.8,0.3,0,5.5,1.4,0.2,0
500019608001001,5.5,1.2,0.2,0.1,0,0,0.3,0.1,5.5,1.7,0.2,0.1,0.1,0,6.5,0.5,0,4.6,2.8,0.2,0,4.8,2.4,0.1,0,5.7,0.9,0.2,0,6.2,0.6,0,4.8,1.8,0.3,0,5.5,1.4,0.2,0
500019607001026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604001086,12.8,7.2,1,0.5,0.1,0,1.3,0.3,13.3,8.8,0.3,0.3,0.2,0,19.5,2.4,0,8.6,14.3,0.6,0,10.8,11.7,0.4,0,18.4,2.4,0.6,0,19.3,2.2,0,11.2,9.2,1,0,15.1,6.7,0.4,0
500019604001077,22.5,12.7,1.7,0.8,0.2,0.1,2.2,0.6,23.4,15.5,0.6,0.6,0.4,0,34.2,4.2,0,15,25.1,1,0,19.1,20.5,0.6,0.1,32.4,4.2,1.1,0.1,33.9,3.9,0,19.7,16.3,1.7,0,26.6,11.8,0.7,0
500019604001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604001010,25.1,14.2,1.9,0.9,0.2,0.1,2.5,0.6,26.2,17.3,0.7,0.6,0.5,0,38.2,4.6,0,16.8,28.1,1.1,0,21.3,22.9,0.7,0.1,36.2,4.7,1.3,0.1,37.9,4.3,0,22,18.2,1.9,0,29.7,13.2,0.8,0
500019604001103,12.3,7,0.9,0.4,0.1,0,1.2,0.3,12.8,8.5,0.3,0.3,0.2,0,18.8,2.3,0,8.3,13.8,0.5,0,10.5,11.3,0.4,0,17.8,2.3,0.6,0,18.6,2.1,0,10.8,8.9,1,0,14.6,6.5,0.4,0
500019604001108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019609004099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019609004037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604002039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604002022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019604002047,0.6,0.5,0,0,0,0,0.1,0,0.7,0.6,0,0,0,0,1.1,0.1,0,0.4,0.8,0,0,0.6,0.7,0,0,1.1,0.1,0,0,1.1,0.1,0,0.6,0.6,0,0,0.8,0.4,0,0
500019604002075,1.3,0.9,0,0,0,0,0.2,0,1.3,1.1,0,0,0,0,2.2,0.2,0,0.9,1.7,0,0,1.1,1.4,0,0,2.1,0.2,0.1,0,2.3,0.1,0,1.2,1.2,0,0,1.6,0.9,0,0
500019604002061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606002036,10.3,2.6,0.2,0.6,0,0,1.3,0,11.3,2.8,0.3,0.1,0.2,0,13.9,0.6,0,9,5.6,0.2,0,10.2,3.9,0.2,0,10.8,2.3,0.4,0,12.5,1,0,9.7,3.3,0.2,0,11.3,2.2,0.3,0
500019606002028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606002022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606002046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606002050,4.9,1.2,0.1,0.3,0,0,0.6,0,5.4,1.3,0.1,0.1,0.1,0,6.6,0.3,0,4.3,2.7,0.1,0,4.9,1.8,0.1,0,5.1,1.1,0.2,0,5.9,0.5,0,4.6,1.6,0.1,0,5.4,1,0.1,0
500019610002057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019610002018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019610002035,0.5,0.5,0,0,0,0,0.1,0,0.6,0.5,0,0,0,0,0.9,0.1,0,0.3,0.7,0,0,0.4,0.6,0,0,0.8,0.1,0,0,0.9,0.1,0,0.5,0.5,0,0,0.6,0.4,0,0
500019610002026,0.5,0.5,0,0,0,0,0.1,0,0.6,0.5,0,0,0,0,0.9,0.1,0,0.3,0.7,0,0,0.4,0.6,0,0,0.8,0.1,0,0,0.9,0.1,0,0.5,0.5,0,0,0.6,0.4,0,0
500019610002033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001071,14.5,5.5,0.6,0.8,0.1,0,1.3,0.3,15.6,6.2,0.6,0.6,0.2,0,20.2,1.7,0.1,12.6,9.7,0.7,0,14.4,8,0.3,0,17.1,3.4,0.8,0,19.4,1.6,0,14.1,6.5,0.8,0,16.3,4.9,0.8,0
500019606001035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019606001030,4.1,1.6,0.2,0.2,0,0,0.4,0.1,4.4,1.8,0.2,0.2,0.1,0,5.8,0.5,0,3.6,2.8,0.2,0,4.1,2.3,0.1,0,4.9,1,0.2,0,5.6,0.5,0,4,1.9,0.2,0,4.7,1.4,0.2,0
500019606001051,18.6,7.1,0.8,1,0.1,0,1.7,0.4,20,7.9,0.8,0.8,0.2,0,26,2.1,0.1,16.2,12.4,0.9,0,18.5,10.3,0.3,0,22,4.4,1,0,25,2.1,0,18.1,8.4,1,0,21,6.3,1,0
500019606001074,3.1,1.2,0.1,0.2,0,0,0.3,0.1,3.3,1.3,0.1,0.1,0,0,4.3,0.4,0,2.7,2.1,0.2,0,3.1,1.7,0.1,0,3.7,0.7,0.2,0,4.2,0.4,0,3,1.4,0.2,0,3.5,1.1,0.2,0
500019606001052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
