GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
13011000008,13,011,000008,492.6,44.3,8.2,460.7,42.1,18.4,480.7,45.9
13011000009,13,011,000009,368.9,48.1,6,344.8,43.1,18.1,356.9,38.1
13011000010,13,011,000010,746,80,16,704,82,30,733,76
13011000011,13,011,000011,810.4,76.6,17.4,735.2,89,49.2,769.3,103.3
13011000012,13,011,000012,356.9,49.3,8.2,339.5,47.2,17,346.5,45.3
13011000013,13,011,000013,342,30,4,304,31,14,309,34
13013000001,13,013,000001,1339,365,73,1248,329,108,1300,342
13013000002,13,013,000002,1730.2,410.1,59.5,1661.1,353.5,113.6,1713.1,373.7
13013000003,13,013,000003,1318,337,74,1276,282,104,1305,327
13013000004,13,013,000004,1117,284,62,1056,247,89,1089,267
13013000005,13,013,000005,2002.6,643.1,94.7,1933.9,572.3,120.6,1994.7,513.4
13013000006,13,013,000006,908,278,43,886,235,60,914,229
13013000007,13,013,000007,1084.2,499.8,57.3,1063.2,431.7,84.1,1138.9,332.4
13013000008,13,013,000008,1837.1,400.8,93.4,1732.8,363.8,129,1770.9,409.3
13013000009,13,013,000009,1634,417,65,1599,345,93,1606,356
13013000010,13,013,000010,761,577,54,746,491,80,794,414
13013000011,13,013,000011,1220.6,445.4,95.6,1172.8,397.6,116.6,1235,378.5
13013000012,13,013,000012,1272,287,71,1191,269,102,1228,285
13013000013,13,013,000013,978,329,81,956,294,76,1011,267
13013000014,13,013,000014,577,124,32,545,106,43,553,132
13013000015,13,013,000015,1604,295,46,1491,255,111,1523,311
13013000016,13,013,000016,2047,935,151,2034,760,192,2115,745
13015000001,13,015,000001,2833.8,564.2,98.8,2621.1,495.4,188.7,2704,540.2
13015000002,13,015,000002,1595.1,425.3,73.7,1448.8,390.9,133.6,1516.6,431.2
13015000003,13,015,000003,2328.5,1073.7,128.8,2257.5,936.9,163.3,2440.1,799.5
13015000004,13,015,000004,3088.7,1228.1,120.1,3054.3,1013.8,192.2,3191.9,867.1
13015000005,13,015,000005,4389.2,1333.5,174.1,4148.9,1188.9,282.8,4335.9,1144.3
13015000006,13,015,000006,1822.1,374.3,71,1684.8,328.1,141.6,1738.1,397.2
13015000007,13,015,000007,1391.6,293.6,55.6,1299.2,254.3,104.1,1319.3,300.2
13015000008,13,015,000008,2531.8,642.3,105.1,2366.3,596.2,169.6,2502.6,595.2
13015000009,13,015,000009,698,60,16,622,67,38,639,100
13015000010,13,015,000010,1252,223,35,1159,217,61,1163,229
13015000011,13,015,000011,1435.5,372.6,46.9,1336.2,333.3,98.3,1396.6,353.9
13015000012,13,015,000012,1084,131,37,1003,115,62,1021,163
13015000014,13,015,000014,1483.1,161.1,36.3,1351.3,157.9,76.3,1400.7,202.4
13015000015,13,015,000015,1313.5,206.9,48.4,1218.7,200.8,85.8,1215,254.6
13015000016,13,015,000016,1923,952.4,110.3,1807.7,839.6,157,1967.6,745.4
13015000018,13,015,000018,729.8,167.4,25.4,683.6,153.6,52.8,707.8,183
13017000001,13,017,000001,1091.1,1114.4,28,1061,909.4,47,1213,587.2
13017000002,13,017,000002,2649,987,63,2529,830,88,2665,629
13019000518,13,019,000518,526.6,195.1,10,483.8,170.2,18.9,530.6,114.5
13019001144,13,019,001144,638.8,122,16.8,593.9,102.2,35.8,606.8,109.8
13019001148,13,019,001148,326.6,63.3,7,307.4,52.9,12.3,323.1,46
13019001157,13,019,001157,2213,429.1,47.1,2083.1,358.4,83.5,2189.4,311.4
13019001329,13,019,001329,202.5,41.1,5.3,188.3,34.2,11.4,192.9,35.9
13019001427,13,019,001427,430.9,33.8,8.3,402.7,32.4,20.7,399.2,44.8
13019001642,13,019,001642,518.4,77.9,9,471.2,71.8,20.1,486.4,71.5
13019001767,13,019,001767,374.4,72.6,8,352.5,60.6,14.1,370.5,52.7
13019001819,13,019,001819,194.1,15.2,3.7,181.3,14.6,9.3,179.8,20.2
13021000EM1,13,021,000EM1,30,978.2,4.6,83,817.8,14.8,176.3,531.8
13021000EM2,13,021,000EM2,100,1999,21,193,1746,29,443,1128
13021000EM3,13,021,000EM3,488.1,1284,51.8,555.9,1096.8,69.7,753.1,732.2
13021000EM4,13,021,000EM4,63,1234,13,99,1095,19,253,639
13021000EM5,13,021,000EM5,315,1115.4,21.8,332.9,980.5,37.7,511.3,639.5
13021000GF1,13,021,000GF1,195.9,2692.6,67.5,358,2273.6,82.4,671,1524.6
13021000GF2,13,021,000GF2,68,773,10,104,657,19,176,439
13021000GF3,13,021,000GF3,143.8,1409.5,14,215.8,1183.5,41.9,366.3,830.6
13021000GF4,13,021,000GF4,118,900.6,10.4,163.8,739.7,13.5,247.5,505.1
13021000GF5,13,021,000GF5,308.2,2298.1,39.3,375.7,1986.9,65.4,654.1,1422.7
13021000HA1,13,021,000HA1,228.2,1548.2,13,301,1334.8,23.1,465.3,916.9
13021000HA2,13,021,000HA2,1125,1176,61,1096,1067,94,1312,750
13021000HA3,13,021,000HA3,1103.7,2669.8,73.7,1149.9,2392.1,78.7,1552.7,1633.7
13021000HA4,13,021,000HA4,1003.9,444.9,23,972.9,415.9,28,1047.8,308
13021000HO1,13,021,000HO1,1654.5,1134.5,70.1,1730.7,965.7,75.8,1921,658.7
13021000HO2,13,021,000HO2,1732.5,835.5,59.7,1852,671.7,55.8,1968.8,446.8
13021000HO3,13,021,000HO3,3243.7,2215.3,164.3,3439.3,1823.6,172.2,3843.9,1185.6
13021000HO4,13,021,000HO4,590,448,46,607,369,56,690,284
13021000HO5,13,021,000HO5,454.2,453.2,46.4,472.9,398.9,37.5,546,305.1
13021000HO6,13,021,000HO6,797.4,515.3,57.8,836.6,432,41.1,931.6,285.1
13021000HO7,13,021,000HO7,1199.7,581.5,70.4,1234.5,485.5,60.1,1361.8,322.1
13021000RU1,13,021,000RU1,2247.9,1286.9,55.8,2218.5,1152.8,74.4,2470,768.2
13021000RU2,13,021,000RU2,1388.2,650.1,49.9,1341.6,569.2,62.1,1431.8,454.2
13021000VV1,13,021,000VV1,579.6,1231,94.7,714.1,1019.5,90.8,891.9,701.9
13021000VV2,13,021,000VV2,281,842,41,340,717,52,424,478
13021000VV3,13,021,000VV3,126,1485,18,175,1261,33,338,845
13021000VV4,13,021,000VV4,223.4,1942.4,31,312.3,1646.8,53,577.1,1058.3
13021000VV5,13,021,000VV5,912,557,60,967,446,52,1049,313
13021000VV6,13,021,000VV6,944,833,90,1063,670,60,1191,435
13021000WA1,13,021,000WA1,1135.7,558.3,32.2,1090.8,494.5,37.3,1194.2,316.3
13021000WA2,13,021,000WA2,1320.8,697.5,39.6,1282,624.4,51.5,1398.7,407.2
13023000001,13,023,000001,3719.8,1101.3,123,3698.7,923.2,147,3708.8,724.2
13025000001,13,025,000001,1853.4,134.3,43.8,1625.6,136.3,70.6,1678.3,154.2
13025000002,13,025,000002,1987.9,269.5,30.5,1708.6,253.8,97.4,1812.8,230.2
13025000003,13,025,000003,1695.9,212.2,31.2,1484.3,217.9,74.6,1543,229.6
13027000659,13,027,000659,313,46.7,6.4,276.8,42.6,11.3,293.7,41.8
13027000660,13,027,000660,775.6,372.1,11.8,718.4,295.4,37.7,792.6,186.2
13027001199,13,027,001199,825.5,1376.6,32.1,827.1,1148.5,58.2,1049.7,643.4
13027001230,13,027,001230,173,52,2,154,47,8,163,35
13027001402,13,027,001402,316,347,9,307,290,18,360,149
13027001650,13,027,001650,961.6,226.8,21.3,874.2,187.2,39.5,938.8,166.2
13027001712,13,027,001712,249,85,5,232,63,12,245,51
13029000001,13,029,000001,1568.6,615.1,44.2,1555.5,467.4,60.1,1614.4,332.8
13029000002,13,029,000002,365,121.7,12.8,354.1,102.9,16.8,366.3,87
13029000003,13,029,000003,1354.7,515.2,58.3,1308.8,447,75,1371.9,373.3
13029000004,13,029,000004,1652.3,607.5,95.7,1656.3,489.7,107.8,1757.8,439.1
13029000005,13,029,000005,561.2,246.9,37.2,564.4,202.4,38.8,603.5,179.7
13029000006,13,029,000006,1000.8,388.3,58.7,1017.1,309.9,63.5,1084.3,271
13029000007,13,029,000007,469,249.4,36.9,460,199.1,47.1,501.4,185.1
13029000008,13,029,000008,1652.9,600.1,93.7,1663.1,465.8,123,1767,420.4
13029000009,13,029,000009,1222.3,399.4,63.3,1229.2,317.1,71.9,1297.4,283.4
13029000010,13,029,000010,614.6,245.9,38,612.6,194.6,47.1,655.9,177.4
13029FTSTEW,13,029,FTSTEW,78,28,2.5,76.1,22.5,3.1,78.2,17.4
13031000001,13,031,000001,293.9,125.2,7.1,275.8,96,13.1,298,73.5
13031000002,13,031,000002,944.7,303.6,28,970.7,239.7,33,983.7,191.7
13031000003,13,031,000003,852,460.8,21.8,834.5,373.5,36.5,899.9,269.8
13031000004,13,031,000004,1317,394,56,1314,329,62,1411,251
13031000005,13,031,000005,861.9,197.2,33.2,832.4,168.9,48.3,867.6,139.9
13031000006,13,031,000006,766,104,23,740,100,20,760,86
13031000007,13,031,000007,509.1,146.3,12.7,497.4,108.2,23.4,514,85.8
13031000008,13,031,000008,273.1,47.8,2.1,263,39.3,9.3,269.1,31
13031000009,13,031,000009,312,191,13,314,154,16,337,114
13031000010,13,031,000010,1234,460,59,1258,379,59,1326,296
13031000011,13,031,000011,1565,1791,111,1697,1452,131,1971,1016
13031000012,13,031,000012,698,284,16,702,226,23,726,145
13031000013,13,031,000013,2293,1183,144,2405,999,147,2591,760
13031000014,13,031,000014,1572,1552,121,1678,1292,132,1932,897
13031000015,13,031,000015,1108,1944,234,1268,1721,244,1583,1387
13031000016,13,031,000016,502.5,78.1,8.5,484.9,61.5,18.4,488.6,65.1
13033000001,13,033,000001,140,120,2,138,103,3,151,52
13033000002,13,033,000002,814.2,381.5,19.7,767.1,365.3,28.5,851.9,225.2
13033000003,13,033,000003,198.1,251.8,2.2,189.6,213.2,7.2,230,113.6
13033000004,13,033,000004,97,180,3,102,151,4,132,64
13033000005,13,033,000005,363,240,6,348,222,10,376,136
13033000006,13,033,000006,72.1,99.4,3.9,72.1,89.9,3.1,75.2,61.7
13033000007,13,033,000007,115.2,149.7,6.9,125.1,119.2,10.8,137.9,74.8
13033000008,13,033,000008,94,72,6,90,66,4,98,35
13033000009,13,033,000009,329.9,233.2,7.8,310.4,204.8,7.8,332,123.4
13033000010,13,033,000010,59,111,1,62,84,4,88,33
13033000011,13,033,000011,279,281,13,265,247,18,308,153
13033000012,13,033,000012,160.5,170,3.4,160.6,149.4,2.4,178.6,74.5
13033000013,13,033,000013,95,101,0,98,82,4,120,43
13033000014,13,033,000014,404,1287,22,457,1081,43,690,561
13033000015,13,033,000015,1120,843,29,1119,701,45,1256,410
13033000016,13,033,000016,149,209,3,143,188,5,176,105
1303500BCCC,13,035,00BCCC,6764.5,2582.7,195.4,6365.6,2181.6,348.5,6913.8,1627.5
13037000001,13,037,000001,212,274,5,210,245,3,249,161
13037000002,13,037,000002,304,130,4,305,108,12,314,68
13037000003,13,037,000003,48,240,2,59,187,8,87,132
13037000004,13,037,000004,159,228,2,166,202,2,183,122
13037000005,13,037,000005,107,307,3,122,265,5,155,173
13039000001,13,039,000001,411.8,175.6,12.9,375.1,137.9,20.8,395,97.2
13039000002,13,039,000002,666.8,271.7,11.9,625,231.9,28.9,689.7,154.2
13039000003,13,039,000003,718.8,457.3,22.5,634.5,391,53.1,737.8,268.4
13039000004,13,039,000004,337.8,70.8,11.1,302.6,60.6,21.1,321.7,61.4
13039000005,13,039,000005,896.4,226.6,28.6,821.5,214.8,65,892.4,192.1
13039000006,13,039,000006,1090,363,47,973,335,71,1089,276
13039000007,13,039,000007,627,650,32,588,560,55,739,341
13039000008,13,039,000008,700,376,44,647,325,71,751,257
13039000009,13,039,000009,2075,983,138,1957,849,199,2168,702
13039000010,13,039,000010,449.6,345.7,48,421.6,301.7,67.9,476.6,273.8
13039000011,13,039,000011,1075,620,78,990,548,112,1142,447
13039000012,13,039,000012,779.3,437.2,48,732.3,372.2,73,786.3,317.2
13039000013,13,039,000013,964,425,53,894,362,78,1024,294
13039000014,13,039,000014,1516,527,54,1490,407,90,1582,329
13043001685,13,043,001685,1382,623,50,1360,516,55,1437,359
13043001736,13,043,001736,1228.6,386.2,22,1176.9,324.9,47.9,1195.1,231.9
13045000501,13,045,000501,1300.4,798,72.7,1284.9,680.1,96.2,1431.4,531.5
13045000640,13,045,000640,1064.3,269.3,36,1024.6,232.5,66.6,1069.7,234.2
13045000641,13,045,000641,1899,703.9,67.1,1775,624.8,129.1,1891.1,588.6
13045000642,13,045,000642,1699.8,1408.8,107.8,1671.8,1218,146.6,1869.8,974.3
13045000649,13,045,000649,1764.8,398,71,1640.5,384.8,102.7,1730.3,390
13045000650,13,045,000650,1182,530,66,1136,472,86,1215,406
13045000682,13,045,000682,976.1,145.4,25.2,897.6,149.3,45.6,946.1,150.2
13045000713,13,045,000713,1524.7,253.4,51.1,1482.6,221.4,73.1,1511.7,217.3
13045000715,13,045,000715,705,191,14,676,155,44,719,141
13045001006,13,045,001006,602,51,14,551,48,32,584,55
13045001111,13,045,001111,1246,368,41,1156,304,70,1219,254
13045001122,13,045,001122,1634,578,63,1531,536,101,1662,441
13045001152,13,045,001152,930,128,23,879,122,37,934,100
13045001240,13,045,001240,914.5,172.9,37.5,847.8,168.2,49.7,897.8,165.4
13045001371,13,045,001371,662.1,150.3,26.3,609.5,144.2,40.4,640.9,150.2
13045001483,13,045,001483,1647.8,419.5,69,1627.8,366.4,94.1,1672.9,361.3
13045001496,13,045,001496,504,181,13,467,165,30,505,118
13045001533,13,045,001533,882,165,25,819,140,45,871,117
13045001540,13,045,001540,1757.5,634.9,59.7,1706.3,537.9,117,1802.9,448.1
13045001542,13,045,001542,1140.5,188.1,45.3,1063.7,190.1,65,1099.1,200.9
130450714A1,13,045,0714A1,735.5,1247.6,59.5,748.9,1087.9,87.8,953.9,755
130450714A2,13,045,0714A2,539,382.9,36.1,557,339.9,35.7,639.2,243.1
130450714A3,13,045,0714A3,1138,741,72,1217,587,80,1335,450
130450714A4,13,045,0714A4,699.6,894.2,53.9,774.5,755.5,72.8,909.2,620.8
130450714A5,13,045,0714A5,740.9,544,86.5,754.2,471.4,93.5,869.3,382.1
130450714A6,13,045,0714A6,534.2,320.5,33,568.2,256.6,42.9,604.1,197.7
130450714BN,13,045,0714BN,506.1,285.2,25.6,486.2,247.7,36.8,560.4,176.8
130450714BW,13,045,0714BW,1070,310,51,1063,257,75,1130,226
1304700BLCK,13,047,00BLCK,854,143,31,732,131,60,804,145
1304700BOYN,13,047,00BOYN,2886,660,111,2705,562,162,2924,523
1304700CAKT,13,047,00CAKT,1246,214,44,1130,186,68,1197,191
1304700CHAM,13,047,00CHAM,1365,258,42,1252,218,59,1324,223
1304700FT-O,13,047,00FT-O,1751.3,482.2,80.4,1577.6,410.8,108.2,1705.6,393.9
1304700GRAY,13,047,00GRAY,1950,442,107,1752,424,130,1912,414
1304700LAKE,13,047,00LAKE,1421,372,69,1193,341,100,1326,349
1304700POPS,13,047,00POPS,2122.6,383.9,88,1955.6,326.9,124,2110.6,337.9
1304700RING,13,047,00RING,3412.4,883.1,163,3167.4,728.1,243,3419.4,715.1
1304700WEST,13,047,00WEST,2347.7,661.8,88.6,2051.4,551.2,147.8,2308.4,522.1
1304700WOOD,13,047,00WOOD,1520,271,57,1372,242,79,1456,264
13049000002,13,049,000002,636,770.3,19.8,554,624.1,40.5,687.3,400.9
1304900003B,13,049,00003B,272,17,1,224,22,9,244,23
1304900003S,13,049,00003S,393,32,5,318,32,11,334,37
1304900004A,13,049,00004A,450,42,8,389,39,25,394,56
1304900004H,13,049,00004H,431,68.7,6.2,368,63.9,19.5,397.7,49.1
1304900005F,13,049,00005F,411,48,10,344,55,25,380,53
1304900005R,13,049,00005R,167,12,2,144,13,3,145,14
1304900005W,13,049,00005W,192.4,14.6,2,149.3,24.5,8.1,165.4,19.3
1305101-01C,13,051,01-01C,917,1285,129,1102,1038,129,1341,651
1305101-05C,13,051,01-05C,559,735,89,634,618,91,793,430
1305101-06C,13,051,01-06C,793,563,53,919,388,55,947,287
1305101-08C,13,051,01-08C,599,437,38,660,336,40,717,224
1305101-09C,13,051,01-09C,160.3,218.8,10.1,166.4,186.6,18.1,202.7,149
1305101-10C,13,051,01-10C,586.2,226.1,27.4,600.3,169.5,31.3,630.3,138.2
1305101-12C,13,051,01-12C,1456.3,667.5,81.8,1621.2,478.3,59.2,1728.8,307.5
1305101-13C,13,051,01-13C,448,276.7,36.7,454.6,231.5,32.9,514.9,181.7
1305101-14C,13,051,01-14C,652.6,341.8,28.6,680.3,266.1,36.4,723.3,180.5
1305101-16C,13,051,01-16C,1304.4,439.7,57.9,1314.2,354.3,57.9,1375,298.4
1305101-17C,13,051,01-17C,1011.4,437.6,60.8,1099,314.4,54,1163.3,226
1305102-02C,13,051,02-02C,149,634,25,208,509,34,294,344
1305102-03C,13,051,02-03C,108,675,28,154,565,39,260,387
1305102-04C,13,051,02-04C,64,1537,31,188,1253,67,383,828
1305102-05C,13,051,02-05C,108,953,35,149,833,67,290,556
1305102-06C,13,051,02-06C,53,260.2,10.8,76.6,221.5,11.7,97.1,150.6
1305102-07C,13,051,02-07C,197,1278,52,291,1110,59,486,699
1305102-09C,13,051,02-09C,202,1553,55,305,1330,71,537,869
1305102-11C,13,051,02-11C,153,768,29,213,635,38,296,434
1305102-12C,13,051,02-12C,96,657,40,135,564,66,236,387
1305103-01C,13,051,03-01C,123,168,14,142,135,18,168,91
1305103-02C,13,051,03-02C,361,614,45,489,460,41,562,310
1305103-03C,13,051,03-03C,54.3,440,6.6,70.2,375.7,14,150.3,251.6
1305103-04C,13,051,03-04C,43.9,770,8,99.7,636.3,15,208.5,379
1305103-05C,13,051,03-05C,261.2,767.5,48.5,311.5,661.5,55.1,438.8,454.8
1305103-08C,13,051,03-08C,217,462,14,248,391,26,316,252
1305103-09C,13,051,03-09C,273,171,12,283,143,18,311,102
1305103-10C,13,051,03-10C,200,1227,27,271,1067,27,438,668
1305103-11C,13,051,03-11C,152,609,19,184,511,26,258,336
1305103-12C,13,051,03-12C,494.2,578.4,43.7,510,493.4,47.6,599.3,330
1305103-13C,13,051,03-13C,428,1207.9,33,463.6,1080.3,53.5,687.4,773.8
1305103-14C,13,051,03-14C,286,1088.6,34.7,367.8,943.9,29.1,524.5,581.4
1305103-15C,13,051,03-15C,241.3,223.4,12.1,264.3,182.7,11.7,301.9,98.2
1305104-02C,13,051,04-02C,715.1,398.2,46.8,724.1,322.6,62.4,812,252
1305104-04C,13,051,04-04C,1050.5,413,52.7,1046.6,346.6,66.4,1123.7,266.5
1305104-05C,13,051,04-05C,1052,437,65,1091,356,58,1120,300
1305104-06C,13,051,04-06C,1023,383,60,1036,321,53,1105,261
1305104-07C,13,051,04-07C,1396,629,88,1452,505,82,1587,376
1305104-08C,13,051,04-08C,1334,477.3,60.4,1410.4,347.4,63.5,1460.8,291.4
1305104-10C,13,051,04-10C,639.4,354.5,31.3,662.9,287.9,38.2,699.2,197.8
1305104-11C,13,051,04-11C,698.9,449.8,26.3,704.1,376.1,39.4,765.5,263.1
1305104-12C,13,051,04-12C,1247.4,535,46.1,1359.1,369.3,40,1469.8,206.8
1305104-13C,13,051,04-13C,1325.6,532.3,37.1,1500.8,341.7,16.1,1577,181.6
1305104-14C,13,051,04-14C,835.4,388.4,26.9,900.6,296.4,24,991.7,141
1305104-15C,13,051,04-15C,936.7,425.5,29,1035.3,295.5,23.7,1113.4,156.1
1305105-01C,13,051,05-01C,133,396,10,144,336,21,200,239
1305105-02C,13,051,05-02C,34,360,8,54,294,15,118,196
1305105-03C,13,051,05-03C,11,517,8,47,434,6,128,247
1305105-05C,13,051,05-05C,22,1441.7,14,102.8,1212,21,297.5,708.9
1305105-06C,13,051,05-06C,174.2,1052,27.9,209.1,913.6,38.4,392.1,585.8
1305105-07C,13,051,05-07C,213.5,684.1,29.8,230.4,620.6,41.7,341.6,436.9
1305105-08C,13,051,05-08C,303,662,32,308,605,31,432,410
1305105-10C,13,051,05-10C,64.2,1721.7,16.8,164.9,1451.2,35.5,413.6,879.6
1305105-11C,13,051,05-11C,335.6,1070.5,32.9,397.5,923.5,48.4,568.6,613.1
1305106-01C,13,051,06-01C,403,603.3,59.3,433.4,519.5,52.1,528.1,388.3
1305106-02C,13,051,06-02C,916.9,671.9,46.2,996,529.4,43.2,1098.5,332.8
1305106-03C,13,051,06-03C,647,871,54,676,744,55,803,508
1305106-05C,13,051,06-05C,388.1,620.4,38.1,420.1,533.1,50.2,522.7,376.2
1305106-06C,13,051,06-06C,398,360,24,395,302,46,454,231
1305106-08C,13,051,06-08C,315.1,803.3,38.8,367.8,686,57.7,491.1,507
1305106-09C,13,051,06-09C,937.3,1193.2,94.3,978.6,1022.3,125.4,1223.6,712.9
1305106-10C,13,051,06-10C,1190.1,1199.1,81.8,1244,1012.6,79.8,1471.5,726.2
1305106-11C,13,051,06-11C,779,1342,88,820,1166,99,1037,849
1305107-01C,13,051,07-01C,462.1,318.9,12.1,450.9,266.7,27.2,500.1,193.6
1305107-03C,13,051,07-03C,514.7,212.4,27.9,456.3,184.9,41.7,503.9,152.3
1305107-04C,13,051,07-04C,641.9,1318.6,56.8,672.1,1161.9,79.8,899.4,815.5
1305107-05C,13,051,07-05C,273,330,21,289,299,20,353,198
1305107-06C,13,051,07-06C,900.5,667.1,51,880.5,566.1,70,1015.5,404.1
1305107-07C,13,051,07-07C,2066.5,1362.1,115.3,2108.4,1155.5,129.7,2361.8,841.9
1305107-08C,13,051,07-08C,1181.5,304.2,56.5,1130.8,258.8,65,1192.1,235.5
1305107-09C,13,051,07-09C,632.4,622.9,52.4,646.8,534.9,61.5,774,396.1
1305107-10C,13,051,07-10C,728.2,1088.4,90.1,777.5,941.6,95.3,996.8,650.3
1305107-11C,13,051,07-11C,800.8,951.8,96.4,848.5,844.8,89.5,1031.8,620.2
1305107-12C,13,051,07-12C,1569.2,1454.6,85.4,1641.8,1243.8,104.6,1902.5,859.7
1305107-13C,13,051,07-13C,1123,547,46,1175,449,36,1316,257
1305107-14C,13,051,07-14C,1280.4,2353.1,114.1,1377.5,2051.8,122.2,1806.9,1381.3
1305107-15C,13,051,07-15C,55.7,114.4,4.9,58.3,100.8,6.9,78,70.8
1305108-01C,13,051,08-01C,69.8,283.6,12.1,86.4,230.5,19.9,128.3,162.1
1305108-02C,13,051,08-02C,143,728,36,182,628,68,302,446
1305108-03C,13,051,08-03C,280.5,143.4,7.6,273.8,116.9,14.7,281.6,95.4
1305108-05C,13,051,08-05C,17,642,8,64,527,17,144,347
1305108-06C,13,051,08-06C,14.2,468,7.8,54.2,376.4,14,119,237.2
1305108-07C,13,051,08-07C,11.9,298.6,5.8,34.8,247.8,2,76,146.6
1305108-08C,13,051,08-08C,15.3,847.9,7.1,79.8,692.7,14,191.7,419.4
1305108-09C,13,051,08-09C,11,701,15,59,562,25,130,372
1305108-10C,13,051,08-10C,10,989,7,94,819,12,219,524
1305108-11C,13,051,08-11C,6,929,10,60,780,15,184,428
1305108-12C,13,051,08-12C,96.7,417.4,15.1,117.5,345.8,21.8,190.9,228.2
1305108-13C,13,051,08-13C,256.2,130.1,15.9,246.3,112.2,13.9,268.1,82.4
1305108-15C,13,051,08-15C,66,693,5,95,605,4,199,373
130510XFTPU,13,051,0XFTPU,189.2,111.2,11.6,193.4,90.6,14.8,216.3,65.7
13053000001,13,053,000001,96.1,76,5.8,89.6,65,7.9,96.5,50.2
13053FTBEN1,13,053,FTBEN1,351.6,278.1,21.1,327.7,237.8,29,353,183.5
13053FTBEN2,13,053,FTBEN2,257.7,203.8,15.4,240.2,174.3,21.3,258.7,134.5
13053FTBEN3,13,053,FTBEN3,44,39.2,2.7,41.2,33.3,3.8,44.8,25.7
13055000870,13,055,000870,1579.6,304.2,35.8,1401.7,336,69.6,1515,262.4
13055000925,13,055,000925,2099,759,67,1940,675,101,2108,524
13055000940,13,055,000940,455,96,11,420,98,22,452,73
13055000961,13,055,000961,66,4.3,4.3,59.1,6.9,6.9,63.4,7.7
13055000962,13,055,000962,304.4,31.8,5.2,267.3,33,15.4,285,34.6
13055000968,13,055,000968,451,93,17,414,108,11,472,67
13055001083,13,055,001083,117,53.7,3.7,102.9,49.1,9.1,114.6,31.3
13055001216,13,055,001216,108.2,16.5,0.1,103,18.5,2.1,106.2,14.4
13055001382,13,055,001382,89,15,3,68,23,3,80,17
13055001484,13,055,001484,442.8,93.5,11.9,391,96.5,21.9,426.8,83.6
130550P-870,13,055,0P-870,272,48,3,238,54,12,260,42
13055XC-968,13,055,XC-968,478,98,15,422,124,21,456,84
13057000001,13,057,000001,1285,491,105,1313,414,125,1356,421
13057000002,13,057,000002,2184,618,151,2173,501,204,2216,601
13057000003,13,057,000003,1661,268,86,1615,224,128,1644,311
13057000004,13,057,000004,1995.7,287.6,81.3,1932.9,235.6,121.1,1926.1,322.4
13057000005,13,057,000005,1903.8,664.8,120.2,1903.6,548.6,157.3,1948.6,546.9
13057000006,13,057,000006,1821.7,1047.7,178.6,1793.1,904.5,244.4,1927.3,883.1
13057000007,13,057,000007,2094.8,749,112.5,2197.1,562.9,134.9,2244.4,531.2
13057000008,13,057,000008,2320.3,561.2,125.9,2343.8,435.2,150.9,2381.1,461.4
13057000009,13,057,000009,2597,707,126,2624,538,146,2696,532
13057000010,13,057,000010,2502.7,1018.5,125.8,2466,825.4,169.9,2616.1,671.1
13057000011,13,057,000011,1357.5,735.6,121.6,1353.6,632.6,162.8,1395.9,634.5
13057000012,13,057,000012,2119.7,1166.4,179.4,2144.5,946.4,259.7,2294.1,905.8
13057000013,13,057,000013,1871.5,321.6,88.4,1796.3,269.7,112.5,1824.5,337
13057000014,13,057,000014,645.1,86,24.6,609.6,76.6,38,621.9,100.4
13057000015,13,057,000015,1313.2,457.5,88.7,1324.4,374.4,113,1373,370.6
13057000016,13,057,000016,2174.2,980.4,198.7,2212.1,828.1,214.6,2298.1,857.1
13057000018,13,057,000018,2851,525,125,2778,430,197,2818,493
13057000019,13,057,000019,2586.7,814.8,167.1,2677.2,615.8,171.1,2728.9,652.6
13057000020,13,057,000020,1555.3,231.5,68.9,1491.6,185.4,103.2,1505.6,251.2
13057000021,13,057,000021,1728,499.7,94.3,1760.1,378.3,121.4,1791.1,389.4
13057000022,13,057,000022,1378,340.6,85.9,1307.2,315.3,117,1335.4,365.4
13057000023,13,057,000023,2060,758,186,1976,692,214,2072,729
13057000024,13,057,000024,3201.5,1234.3,237.7,3201.5,1017.6,272.6,3378.2,1008.6
13057000026,13,057,000026,2791,1458,200,2976,1148,235,3134,1016
13057000027,13,057,000027,2429.5,521.4,99.7,2394.6,433.7,150.5,2483.3,415.7
13057000028,13,057,000028,1566,432,100,1564,358,118,1582,414
13057000029,13,057,000029,1723.6,483.1,100.2,1658.3,427.9,145.9,1693.9,457.6
13057000030,13,057,000030,1708,227,61,1614,199,88,1617,256
13057000031,13,057,000031,846.4,344.6,61.9,824.5,298.9,83.8,873,295.1
13057000032,13,057,000032,1888.3,575.7,122.8,1899.1,450,150.3,1947.3,470.6
13057000033,13,057,000033,376,43,15,350,44,24,358,56
13057000034,13,057,000034,1527.6,421.5,77.8,1554.2,334.9,90.6,1551.2,354.6
13057000035,13,057,000035,1588.9,298.5,69,1534.7,247.2,96.3,1537.7,305.6
13057000036,13,057,000036,3098.1,845.5,157.9,3020.4,699.9,208.3,3111.7,718.1
13057000037,13,057,000037,2760.1,865.4,195.2,2745.8,717.5,232.2,2837.8,756.4
13057000038,13,057,000038,2069.5,437.6,104.3,2107.4,299.3,131.5,2126.7,370.3
