GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
13073000016,13,073,000016,672,207,26,661,178,36,693,162
13073000017,13,073,000017,2665.9,1414.3,201,2650.7,1219,181.3,2986.6,977.5
13073000018,13,073,000018,294.6,180.2,25.1,289.7,156.7,23.4,332,128.8
13073000020,13,073,000020,1486.6,668.6,49.8,1425,573,64.7,1552.5,410.4
13073000025,13,073,000025,1086.9,163.6,26.4,1040.3,133,39.5,1090.2,121.4
13073000026,13,073,000026,750,429,68,755,356,57,843,282
13073000030,13,073,000030,901.1,832.2,76.6,916.6,725.8,87.9,1058.2,577
13073000031,13,073,000031,513.5,574.8,44.1,501.1,505.9,53.6,602.6,398.6
13073000032,13,073,000032,701,256,18,659,223,29,731,166
13073000033,13,073,000033,695,713,69,703,612,85,844,477
13073000034,13,073,000034,638,702,51,616,620,68,746,476
13073000040,13,073,000040,693.3,210.4,17.4,663.2,168.3,27.7,716.1,113.3
13073000050,13,073,000050,313.8,303.3,7,307.4,244.6,8.6,345.1,142.3
13073000051,13,073,000051,445.1,52.5,8.5,419.6,49.5,14.7,441.2,50.2
13073000060,13,073,000060,1022.7,416.8,39.8,1000.5,352.9,54.6,1083.8,266.3
13073000061,13,073,000061,1426.7,410.9,86.8,1426.1,319.3,89.9,1547.5,274.2
13073000062,13,073,000062,1950.8,800,100.5,1967.1,667.5,102.1,2151.3,511.1
13073000063,13,073,000063,592.4,253.5,26.6,615.1,207.9,32.3,679.7,148.1
13073000064,13,073,000064,1285.1,738.9,71.3,1295.7,619.4,74.2,1471,447
13073000065,13,073,000065,1109,396,68,1115,329,61,1200,287
13073000070,13,073,000070,822,257,39,801,214,45,874,181
13073000074,13,073,000074,807.4,449.5,65.5,804.6,385.4,65.3,903.1,298.8
13073000075,13,073,000075,960.6,422.5,55.5,963.4,372.6,52.7,1054.9,292.2
13073000076,13,073,000076,767.8,386.9,48.9,731.9,341,54.8,858.5,254.3
13073000080,13,073,000080,861.2,276.1,32.1,867.1,226,34.2,956.5,156.7
13073000085,13,073,000085,596,156,21,553,133,34,613,108
13073000090,13,073,000090,880,343,40,835,286,57,924,258
13073000100,13,073,000100,970.7,424.6,58.2,978.7,357.4,52.3,1066,284.1
13073000105,13,073,000105,867.6,284.4,22.6,884.5,212,24.5,957.8,142.3
13073000107,13,073,000107,712,392,31,758,299,31,832,203
13073000108,13,073,000108,926,347,48,951,277,58,1040,233
13073000109,13,073,000109,1367.4,528.6,45.4,1421.5,418,48.5,1532.2,274.7
13073000110,13,073,000110,491,269,32,468,232,28,533,181
13073000111,13,073,000111,812,349,58,839,282,57,904,254
13073000115,13,073,000115,676,349,45,648,302,54,728,242
13073000120,13,073,000120,964,284,53,964,224,55,1023,196
13073000125,13,073,000125,876,486,50,872,398,61,954,322
13073000130,13,073,000130,1119.3,393.2,61.2,1114.5,328.1,56.4,1187.2,271.7
13073000131,13,073,000131,691.2,186.4,27.1,686.7,141.5,33.3,731,112.9
13073000132,13,073,000132,944,308.1,35,952.6,247.8,41.7,1030.5,188.3
13073000134,13,073,000134,1207.5,552.3,45.2,1221.1,441.5,62.4,1351.4,325.8
13073000135,13,073,000135,1183,377.8,83.1,1228.5,315.2,58.2,1318.4,257.9
13073000136,13,073,000136,985.3,418.4,65.8,971.3,357.6,70.7,1069,286.9
13073000137,13,073,000137,1063,414,31,1103,313,30,1180,205
1307500000C,13,075,00000C,488.7,450.1,12.9,471.9,350.2,35.6,543.1,246.3
1307500000L,13,075,00000L,568,165,15,561,145,20,551,121
1307500000M,13,075,00000M,446,93,10,422,77,20,437,72
1307500000S,13,075,00000S,183.2,278.5,4.7,186.9,230.4,13.2,223.8,177.5
130750000DB,13,075,0000DB,1092,280,44,1034,261,50,1110,194
130750000EP,13,075,0000EP,14,261,6,43,195,8,85,114
130750000NL,13,075,0000NL,681.9,114.4,9.3,654.6,104.4,17.9,681.3,83.8
130750000RB,13,075,0000RB,710.6,115,10.2,679,102.2,22.7,704.1,86.1
13077000001,13,077,000001,2626.9,729.1,129,2571.5,631.8,157.7,2693.9,572
13077000002,13,077,000002,1274,254.2,38,1231,210.1,63,1263,208.1
13077000003,13,077,000003,1040,172,28,979,149,53,1021,156
13077000004,13,077,000004,455,94,23,439,84,19,459,86
13077000005,13,077,000005,696,1043,64,766,879,71,890,589
13077000006,13,077,000006,2361.1,522.9,127.4,2297.7,438.3,161.9,2392.1,454.3
13077000007,13,077,000007,1947.7,588.7,126.4,1948.7,508.3,126.4,2047.1,502
13077000008,13,077,000008,2712.1,655.1,116,2680.1,547,146,2770.1,531
13077000009,13,077,000009,1018,457,45,964,411,66,1034,333
13077000010,13,077,000010,1166,217,33,1099,187,66,1142,192
13077000011,13,077,000011,1574,381.2,62.4,1465.7,345.3,92.7,1564.5,330.4
13077000012,13,077,000012,1373.2,389,60.3,1315.1,336,83.6,1381.8,307
13077000013,13,077,000013,1219,234,49,1166,203,69,1199,198
13077000014,13,077,000014,1998,493.6,88.2,1925.7,397.4,152.6,2003,398.4
13077000015,13,077,000015,812,571,45,763,522,58,868,392
13077000017,13,077,000017,583,1214,82,610,1059,95,767,757
13077000018,13,077,000018,5061.6,2028.4,237.3,5100.3,1661,323.7,5458.7,1351.3
13077000019,13,077,000019,1032,540,50,1059,448,50,1149,326
13077000020,13,077,000020,878,306,58,895,231,81,924,230
13077000021,13,077,000021,2206.4,768.6,123.7,2174.7,647,152.3,2314.3,557.7
13077000022,13,077,000022,1817.3,745.3,98.6,1818.3,618.7,109.6,1932.9,545
13077000023,13,077,000023,1982,441,126,1988,364,121,2081,373
13077000024,13,077,000024,149,317,14,167,267,16,207,170
13077000025,13,077,000025,1030.9,472.9,60,1040.9,393,66,1099.9,328
13077000026,13,077,000026,2720.5,671,134.8,2709.4,560.7,171.4,2796.8,559
13077000027,13,077,000027,833.3,197.5,32.6,788.3,173.6,45.1,837.2,156.3
13077000028,13,077,000028,2025,2097,187,2070,1829,202,2435,1353
13079000002,13,079,000002,538,497.8,23.6,544.9,400.6,36.3,594,265.1
13079000003,13,079,000003,862.6,151.8,30.6,819.2,138,35.5,828.1,142
13079000004,13,079,000004,906,126,16,842,112,37,854,129
13079000005,13,079,000005,930.8,114.2,22.1,871.9,100.8,35.1,909.5,98.3
1307900001A,13,079,00001A,150,131.5,2.9,152.9,111,7.8,157.8,73
1307900001B,13,079,00001B,237.7,391.4,10.4,253.1,324.2,9.5,290.3,177.2
130810ARABI,13,081,0ARABI,392,81,6,376,70,10,384,46
130810CONEY,13,081,0CONEY,579,61,7,574,52,8,587,34
130810CORDE,13,081,0CORDE,2343,2582,80,2413,2020,113,2715,1249
130810JAMES,13,081,0JAMES,736.6,79.6,13,714.6,67.5,24,728.6,68.3
130810LISTO,13,081,0LISTO,499,34,20,469,36,16,471,35
13083000960,13,083,000960,1346.8,210,55,1174,186,95.9,1221,219.9
13083000974,13,083,000974,824.3,227.1,34.3,729,205.2,52.7,775.1,180.6
13083001038,13,083,001038,445,94,15,372,84,30,399,72
13083001214,13,083,001214,591.9,140.2,27.1,532.6,126.2,43.1,561.6,123.3
13083001222,13,083,001222,967,119,29,778,130,55,824,140
13083001885,13,083,001885,338,43.7,12.6,291.4,46.6,25.2,297.2,58.3
13083001889,13,083,001889,538,131,53,571,102,45,604,110
13085000001,13,085,000001,1234,363,38,1224,281,72,1250,243
13085000002,13,085,000002,4683,476,145,4311,420,311,4281,687
13085000003,13,085,000003,3984.2,609.2,173,3780.1,532.2,276.1,3865.2,673.2
13087000513,13,087,000513,2154.7,1356.5,39.8,2080.1,1134.6,77.6,2252.2,772.3
13087000514,13,087,000514,899.9,931.5,32.8,829,801.8,54.4,1015.1,512.1
13087000694,13,087,000694,386,749,11,358,660,33,479,413
13087001277,13,087,001277,367.2,69.3,6.8,342.6,59.2,10.5,356.2,44.6
13087001325,13,087,001325,362,87,9,314,82,13,355,64
13087001342,13,087,001342,262,77,2,224,66,13,241,48
13087001361,13,087,001361,497,154,9,447,132,25,485,96
13087001613,13,087,001613,424,132,3,388,113,19,402,74
13087001805,13,087,001805,667.2,567.6,12.6,610.3,480.4,43.5,694.5,336
130890000AA,13,089,0000AA,167.9,1545.7,25.4,218.6,1410,37.1,386.5,912.5
130890000AB,13,089,0000AB,831.4,819.6,128.5,1069.1,586.2,88,1193.4,435.5
130890000AD,13,089,0000AD,1054.8,778.5,89.1,1351,491.3,65.4,1449,304.1
130890000AE,13,089,0000AE,575.1,1733.6,142.1,819.9,1504.3,107.2,1075.1,964.4
130890000AF,13,089,0000AF,59.6,1084.1,20.5,93.8,959.1,38.1,214.9,689.5
130890000AG,13,089,0000AG,898.2,1088.3,111,1220.2,766.2,88,1370.3,539.1
130890000AH,13,089,0000AH,956,1418,105,1206,1035,116,1370,662
130890000AI,13,089,0000AI,260.3,1850,66.4,372.6,1659.8,114.4,660.5,1060.2
130890000BB,13,089,0000BB,235,2563.2,140.5,470,2241.6,168.4,880.3,1487.7
130890000BC,13,089,0000BC,408.9,1372.8,100,577.9,1156.8,116,807.9,793.9
130890000BD,13,089,0000BD,487,709,58,621,588,49,762,345
130890000BE,13,089,0000BE,515,872,93,689,682,87,815,504
130890000BF,13,089,0000BF,532.5,1016.1,60.4,594.7,891.6,74,731.6,665.8
130890000BG,13,089,0000BG,707.6,1326.6,92.9,852.7,1107.4,116.2,1042.8,793
130890000BH,13,089,0000BH,573.4,964.1,65.9,616,836,83.8,761.3,631.3
130890000BI,13,089,0000BI,952.5,1121.3,136.2,1264.2,807.7,108.4,1411,570.7
130890000BJ,13,089,0000BJ,72.5,2085.7,32.6,114.3,1949.6,47.1,398.1,1383.8
130890000BL,13,089,0000BL,56.5,1205.7,13.2,97.9,1091.1,33.9,240.6,809.4
130890000BM,13,089,0000BM,81.5,2429.2,23.2,163.2,2177.6,56.4,436.5,1491.5
130890000BR,13,089,0000BR,133.1,1731.6,76.1,249.2,1518.3,114.1,492.4,1070.9
130890000CA,13,089,0000CA,37,1146,16,86,1013,30,237,687
130890000CB,13,089,0000CB,29.4,1030.4,7.6,68.4,940.2,19.9,170,629.6
130890000CC,13,089,0000CC,7.3,684.5,12.8,38.5,602.8,31.2,117.4,434.9
130890000CD,13,089,0000CD,89.3,2380,32,152.4,2203.2,42.7,408.8,1475
130890000CE,13,089,0000CE,358.6,642.9,63.5,440.4,520.2,76.9,511.9,428.3
130890000CF,13,089,0000CF,133,1705,27,181,1555,35,373,1164
130890000CG,13,089,0000CG,56.5,2127.3,26.4,140.7,1927.4,48.9,432.9,1356.2
130890000CH,13,089,0000CH,555.8,1295.6,86.4,692.3,1101.3,98.8,817.2,882.2
130890000CI,13,089,0000CI,332.1,2010.5,91.8,576.8,1745.4,101,1028.9,931.1
130890000CJ,13,089,0000CJ,437.1,1465.7,87.7,596.6,1256,87.4,826.7,788.6
130890000CK,13,089,0000CK,371.5,3226.5,92.9,505.4,2789,148.2,859.5,2060.7
130890000CL,13,089,0000CL,37.5,883.8,13.5,71.2,794.4,20.2,173.1,548.2
130890000CM,13,089,0000CM,27.6,975.7,16.6,67,874.9,25,165.7,648.9
130890000CO,13,089,0000CO,482.3,781.9,88.9,638.1,607.1,80.9,779.9,429.4
130890000CP,13,089,0000CP,78,1572,29,144,1436,34,349,1019
130890000CQ,13,089,0000CQ,62.6,1419.3,41.1,136.5,1222,63.6,278.6,911.6
130890000CR,13,089,0000CR,29.9,1047.2,9.2,83.5,909,22,176.1,680.1
130890000CS,13,089,0000CS,75,2239,23,149,2026,51,394,1542
130890000CT,13,089,0000CT,31,472.6,11.6,56.4,408.6,27.2,97.3,338.8
130890000CU,13,089,0000CU,55,578.6,21.1,101.9,495.5,28.4,174.9,361
130890000CV,13,089,0000CV,363.1,2015.4,99.4,629.4,1691.8,107,1046.5,926.1
130890000CW,13,089,0000CW,665,1567,117,917,1278,111,1271,743
130890000CX,13,089,0000CX,686.8,969.7,117,864.8,772.8,95,1024.7,571.9
130890000DA,13,089,0000DA,467.6,1255.9,80.2,561.3,1018,111.5,681.1,816.1
130890000DB,13,089,0000DB,203.3,490.2,41,248.3,425,36.1,314.4,321.8
130890000DC,13,089,0000DC,817.2,2164.2,138,1004.2,1814.6,173.1,1304.5,1408
130890000DE,13,089,0000DE,134,999.1,19.2,172.2,861.2,39.4,266,658.7
130890000DF,13,089,0000DF,730,1081.7,87.9,918.6,865.7,74.9,1104,546.4
130890000DG,13,089,0000DG,768,664,68,1007,426,55,1067,311
130890000DH,13,089,0000DH,278.7,1565.5,67.9,508.5,1305.8,61.9,838.2,654.4
130890000DI,13,089,0000DI,1041.9,782,82.2,1344.4,481.5,59.2,1426.7,325
130890000EA,13,089,0000EA,204.9,2470.7,93.8,384.3,2162.5,116.1,715.7,1476.1
130890000EC,13,089,0000EC,470.8,730.6,69.4,555.8,616.9,80.5,660.3,480
130890000EE,13,089,0000EE,287.4,2653.8,118.3,570.1,2318.1,138.2,1107.3,1310.2
130890000EF,13,089,0000EF,625,1471,90.4,779,1254.9,111.4,1021.9,902.9
130890000EG,13,089,0000EG,338.7,1244.7,88.1,587.2,1000.5,70.2,790.6,586.5
130890000ER,13,089,0000ER,103.4,557.4,15.8,172.2,457.2,27.4,301,240
130890000FA,13,089,0000FA,69.9,2636.6,34.3,143.1,2401.3,43.6,414,1786
130890000FB,13,089,0000FB,292.4,1205.7,58.1,468.1,1020.2,48.4,714.7,517.2
130890000FC,13,089,0000FC,27.5,1246.2,17,92.9,1105.1,20.4,243.8,751
130890000FE,13,089,0000FE,96.4,3280.4,35,221.9,2972.6,67.3,595.9,2128.3
130890000FG,13,089,0000FG,58,1708.1,26,107.1,1582.1,31,308.3,1161.6
130890000FJ,13,089,0000FJ,23.2,982,22.3,76.8,853.3,33.1,176,623.7
130890000FK,13,089,0000FK,29.1,1138.6,10.1,70.4,1032,30.1,200.2,768.3
130890000FL,13,089,0000FL,27,1228.8,16.6,67.4,1104.2,32.8,169.9,831.2
130890000FM,13,089,0000FM,161,1531,25,199,1386,42,347,1045
130890000GA,13,089,0000GA,174.4,1230.2,45.4,285.9,1063.9,60.3,532.9,621.6
130890000GB,13,089,0000GB,75,808,28,113,726,27,190,556
130890000GC,13,089,0000GC,100.7,1799.9,58.2,198,1539.5,95.2,380,1186.4
130890000GD,13,089,0000GD,874.8,1327.4,113.3,1078.6,1069.2,113.6,1253.2,789.9
130890000GF,13,089,0000GF,56,969,15,85,865,24,178,651
130890000HA,13,089,0000HA,171.3,1437.6,27.8,220.9,1243.7,56.5,373.1,943.6
130890000HB,13,089,0000HB,470.1,1337.1,72.4,572.7,1158.1,98.6,774.7,882.9
130890000HC,13,089,0000HC,665,1313,94,873,1057,81,1086,695
130890000HF,13,089,0000HF,360.5,939.5,73.8,452.9,798.4,77.4,559,629.2
130890000HG,13,089,0000HG,570.6,842.8,53,665.9,719.6,54,765.8,525.3
130890000HH,13,089,0000HH,34.6,1856,26.7,86.7,1708.1,43,301.3,1254.1
130890000HI,13,089,0000HI,109,452.5,27.6,164.8,378.9,35.3,237.2,281.4
130890000IA,13,089,0000IA,295.3,1057.8,35.4,333,941.8,48.6,464.6,682.7
130890000IB,13,089,0000IB,85.3,530,20.7,106,453.5,31.4,171.9,324.9
130890000JA,13,089,0000JA,327.4,1184.8,77,570,947.9,54.9,765.6,526.7
130890000JB,13,089,0000JB,219.2,1255.8,42.3,269.1,1090.4,60.2,428.6,746.6
130890000KA,13,089,0000KA,40.9,1392.1,23.2,90.2,1189.4,52.1,256.7,849
130890000KB,13,089,0000KB,1042,724,79,1260,491,63,1342,330
130890000KC,13,089,0000KC,37,809,12,70,730,9,165,504
130890000KD,13,089,0000KD,40.4,1753,19.4,103,1611.7,27.1,311,1156.6
130890000KE,13,089,0000KE,46,1193,39,123,1051,51,254,784
130890000KG,13,089,0000KG,679,789,98,875,583,96,1003,432
130890000LA,13,089,0000LA,841.8,1475,104.4,1108.1,1197,112,1395.5,751.2
130890000LB,13,089,0000LB,405.7,1094.9,59.5,566.5,886.5,76.2,786.8,509.8
130890000LC,13,089,0000LC,471.8,1322.7,94.6,630,1105.7,99.5,827.1,821.1
130890000LD,13,089,0000LD,50.5,615.4,9.9,70.2,547.4,14.8,127.4,407.6
