GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13073000030,13,073,000030,1084.5,1184.4,39.9,1068.3,1149.8,73.6,1070.3,1079.2,115.7,1058.2,1092.7,105.1
13073000031,13,073,000031,581.5,1006.9,26.8,577.7,959,46,576.8,914,77.6,574.8,927.4,58.4
13073000032,13,073,000032,737,471,21,733,449,36,734,421,47,724,428,31
13073000033,13,073,000033,1021,1423,63,1023,1365,93,1029,1290,140,1012,1323,106
13073000034,13,073,000034,782,1163,35,778,1111,63,784,1062,95,793,1071,60
13073000040,13,073,000040,972.4,280.5,11.2,965.3,272.2,16.5,960.4,238.8,39.7,959.2,238,25.6
13073000050,13,073,000050,426.6,311.7,5.5,429.8,305.2,5.1,425.3,285.4,16.9,419.8,285.3,13.5
13073000051,13,073,000051,556.4,76.5,3.9,554.8,69.6,10.1,556.4,61.8,15.4,551.7,64.9,13.9
13073000060,13,073,000060,1121.4,594.7,16.9,1113.3,562.6,38.3,1122.3,526.4,62,1120.5,523.8,55.4
13073000061,13,073,000061,1906.5,827.3,47.3,1952.2,754.7,58.7,1964.8,671.1,98.2,1934.4,685,100
13073000062,13,073,000062,2322.8,1268.3,60,2335.8,1225.3,70,2341.8,1132.4,124.9,2332.8,1145.4,107.9
13073000063,13,073,000063,648.4,358.8,16.1,659.8,335.1,20.9,674.9,311.4,27.5,674,307.6,27.5
13073000064,13,073,000064,1470.1,1128.1,48.2,1501.8,1066.4,61.6,1519.2,1000.9,84.8,1499.9,1002.8,81.9
13073000065,13,073,000065,1268,570,31,1269,543,47,1284,488,68,1270,501,56
13073000070,13,073,000070,934.7,361.1,17.6,932.8,345.4,27.7,939.1,302.5,45.4,918.3,308.2,46.6
13073000074,13,073,000074,880.7,647.7,21.8,865.4,630,43.9,876.8,574.1,72.1,864.8,596.6,50.7
13073000075,13,073,000075,1024.3,625.3,33.2,1008.6,605,47.1,1026.2,569.9,49.9,1025.2,563.4,45.3
13073000076,13,073,000076,829.6,530.5,26.9,844.5,498.6,31.9,832.6,462.6,60.8,829.6,471.6,46.9
13073000080,13,073,000080,857.4,347.5,17.1,871.5,311.4,24.1,877.4,286.4,43.2,861.4,294.4,38.1
13073000085,13,073,000085,548.3,211.9,10.3,547.2,202.6,16.3,550.9,177.5,26.6,538.7,180.8,27.4
13073000090,13,073,000090,963,464,17,951,453,35,946,414,64,934,433,45
13073000100,13,073,000100,1003,605,24,1008,576,40,1016,530,57,1023,531,39
13073000105,13,073,000105,976.4,373,11.8,980.6,349.5,14.7,1005.9,303.4,30.4,1000.1,305.2,22.7
13073000107,13,073,000107,1012,654,18,1038,615,20,1063,542,41,1048,549,40
13073000108,13,073,000108,937,478,22,949,435,37,957,390,61,951,401,49
13073000109,13,073,000109,1564.6,743,25.2,1600.4,693.5,30.3,1626.1,603.6,61.6,1623.9,598.8,54.3
13073000110,13,073,000110,507,321,19,506,303,25,501,286,44,492,283,42
13073000111,13,073,000111,825,512,35,832,486,42,834,443,80,823,459,60
13073000115,13,073,000115,767,528,28,764,509,36,758,472,67,749,476,54
13073000120,13,073,000120,1007,378,19,1001,351,32,990,319,57,977,332,49
13073000125,13,073,000125,984,649,25,972,631,39,969,577,78,967,576,57
13073000130,13,073,000130,1178.6,545.3,19.1,1177.7,520.4,29.7,1175.7,494.6,44,1158.5,504.2,31.6
13073000131,13,073,000131,842.6,257.2,15.9,846.2,237.9,16.1,849.1,213.6,29.5,837,214.4,39.5
13073000132,13,073,000132,1279.9,568.3,28.4,1284.8,542.7,39.2,1299.5,483.8,60.9,1277,498.4,55
13073000134,13,073,000134,1022.8,566.8,14.5,1029.9,536.5,25.7,1034.2,487.6,50.9,1030.7,489.9,47.8
13073000135,13,073,000135,1142.3,500.9,28.1,1179.3,464.8,23.1,1188.4,416.6,45.2,1179.3,425.7,37.2
13073000136,13,073,000136,1018,618,31,1013,584,57,1022,546,65,1008,546,62
13073000137,13,073,000137,1186,565,15,1199,520,15,1215,474,39,1211,469,31
1307500000C,13,075,00000C,630.2,508.5,14.8,643,470.9,30.7,626.2,467.9,40.6,602.5,468.9,33.6
1307500000L,13,075,00000L,702,180,8,691,171,18,696,157,18,674,163,18
1307500000M,13,075,00000M,521,119,5,512,114,10,516,102,12,499,110,9
1307500000S,13,075,00000S,202.1,322.9,5.7,209.6,305,10.4,203.9,299.3,10.4,195.4,301.2,8.5
130750000DB,13,075,0000DB,1249,404,19,1231,402,28,1231,373,44,1220,376,35
130750000EP,13,075,0000EP,17,260,5,23,242,9,19,248,2,16,248,4
130750000NL,13,075,0000NL,781.9,123.5,11.2,772.9,118.8,22.5,765.9,108.4,23.7,751,106.8,20.8
130750000RB,13,075,0000RB,807.3,145.5,7.3,791.8,143.4,16.5,789.5,134.2,14.6,782,131.3,16.4
13077000001,13,077,000001,3472.9,1208.1,63.1,3475.7,1118.2,109.4,3478.2,1016.6,164,3439,1021.3,150.5
13077000002,13,077,000002,1768,420.1,21,1760,386.1,46,1744,358.1,72,1734,362.1,55
13077000003,13,077,000003,1276,263,16,1272,240,29,1260,230,38,1245,231,33
13077000004,13,077,000004,513,119,8,505,117,16,510,100,20,503,105,16
13077000005,13,077,000005,846,1317,25,849,1264,55,855,1188,85,846,1187,74
13077000006,13,077,000006,2811.9,717.7,52.3,2776.9,700.5,82.5,2732.9,632.1,136.7,2699.8,637.1,127.6
13077000007,13,077,000007,2431.3,955.5,46.2,2441.4,882.1,84.3,2466.4,787.8,130.6,2457.4,802.9,106.4
13077000008,13,077,000008,3258.1,1025.1,51,3229.1,963.1,102,3202.1,871.1,169,3186.1,876.1,149
13077000009,13,077,000009,1219,524,25,1201,502,48,1193,487,63,1157,508,57
13077000010,13,077,000010,1465,322,26,1452,304,47,1433,282,63,1429,284,53
13077000011,13,077,000011,1868.8,497,32.3,1832.3,487.2,52.5,1818,444,82.7,1779.7,455.1,77.6
13077000012,13,077,000012,1660.2,518.7,25.2,1627.8,496.8,63.4,1601.6,454.6,88.6,1586.3,458.7,72.5
13077000013,13,077,000013,1524,394,15,1495,376,44,1493,335,58,1488,338,46
13077000014,13,077,000014,2782,757.2,49.5,2779,727.5,79.3,2765.1,656.1,117,2741.3,665,102.1
13077000015,13,077,000015,949,769,20,919,748,49,913,714,65,898,722,51
13077000017,13,077,000017,868,1559,44,837,1512,78,846,1465,88,824,1484,67
13077000018,13,077,000018,3366.8,2552.4,90.1,3377.9,2421,146.9,3366.8,2266.9,239,3335.1,2300.7,191.4
13077000019,13,077,000019,1227,795,29,1235,738,60,1227,701,83,1224,703,70
13077000020,13,077,000020,1028,478,26,1047,427,38,1053,369,72,1052,373,57
13077000021,13,077,000021,2403.2,1104.4,70.7,2400.3,1044.4,98.1,2380.2,967.3,146.7,2374,984.6,118.4
13077000022,13,077,000022,2273.7,1220.5,52.8,2282.6,1130.9,94.7,2295.6,1038.2,150.4,2283.6,1060.1,123.6
13077000023,13,077,000023,2188,689,58,2213,629,74,2216,550,123,2213,550,111
13077000024,13,077,000024,189,343,7,177,336,15,175,331,14,171,331,14
13077000025,13,077,000025,1118.9,601.9,34,1128.9,569.9,57,1130.9,521.9,74,1110.9,527.9,68
13077000026,13,077,000026,2995.8,919.5,49.9,2971.7,866.8,93.3,2913.9,791.5,161.2,2881.8,811.3,135
13077000027,13,077,000027,995.4,313.6,16.3,995.4,298.2,25.9,980,273.3,43.1,981,266.6,38.4
13077000028,13,077,000028,5087.9,3857.2,136.2,5104.7,3658.6,222,5087.9,3425.8,361.2,5039.9,3476.8,289.2
13079000002,13,079,000002,678.4,525.3,13.8,669.6,497.8,27.5,658.8,478.1,34.4,647,478.1,30.4
13079000003,13,079,000003,1028.2,181.4,15.8,1007.5,178.4,27.6,997.6,164.6,27.6,976.9,166.6,29.6
13079000004,13,079,000004,1125,161,11,1095,163,28,1094,145,32,1085,145,26
13079000005,13,079,000005,1075.3,191.2,13.1,1045.2,180.2,35.1,1041.2,176,36.2,1025.2,179,29.1
1307900001A,13,079,00001A,185.1,134.4,2,184.1,129.5,4.9,173.4,123.7,9.7,172.4,126.6,8.8
1307900001B,13,079,00001B,323.2,413.9,3.2,315.9,404.8,11.4,298.7,392.6,16.4,295.4,387.6,17.4
130810ARABI,13,081,0ARABI,459,112,1,459,104,6,451,94,7,448,90,8
130810CONEY,13,081,0CONEY,624,88,3,627,81,4,620,69,9,621,66,9
130810CORDE,13,081,0CORDE,2488,2649,56,2559,2495,86,2450,2360,165,2426,2381,121
130810JAMES,13,081,0JAMES,832.7,108.6,3,838.6,98.6,4,841.6,86.5,7,836.7,87.5,7
130810LISTO,13,081,0LISTO,584,29,3,571,31,5,558,26,10,561,22,9
13083000960,13,083,000960,1597.7,299.9,29,1558.7,298.9,42,1500.8,273.9,56,1484.8,274.9,60
13083000974,13,083,000974,957.1,284.5,18.2,932.4,272.7,37.3,909.2,256.4,44.5,905.2,247.4,47.4
13083001038,13,083,001038,533,121,8,505,120,25,498,113,27,489,115,29
13083001214,13,083,001214,731.1,198.3,11,709.1,194.3,24,698,178.3,29.1,689,176.3,33.1
13083001222,13,083,001222,1216,108,15,1152,120,44,1107,103,52,1093,105,53
13083001885,13,083,001885,402.1,58.3,5.8,378.8,65.1,10.7,372,53.4,16.5,372,53.4,15.5
13083001889,13,083,001889,629,191,20,635,182,25,628,161,35,617,160,35
13085000001,13,085,000001,1634,504,24,1643,462,33,1641,408,76,1626,419,66
13085000002,13,085,000002,6203,849,80,6088,775,204,6016,694,253,5951,680,263
13085000003,13,085,000003,5562.5,1133.3,93,5487.5,1052.3,181.1,5467.4,899.3,259.1,5400.4,928.3,253.1
13087000513,13,087,000513,2333.8,1593.4,36.8,2329.9,1516.8,56.7,2270.2,1452.1,101.5,2231.3,1472,79.6
13087000514,13,087,000514,1018,1106.8,20.1,1003.9,1037.4,64.3,981.6,1013.4,72.4,960.4,1042.4,50.3
13087000694,13,087,000694,462,795,9,461,764,18,452,750,26,438,753,20
13087001277,13,087,001277,416.8,76.6,1.3,415.6,70.4,2.8,399.8,67.4,6,390.1,74.5,3.8
13087001325,13,087,001325,388,115,1,380,117,5,384,105,10,378,106,9
13087001342,13,087,001342,315,98,0,306,101,3,299,88,10,289,95,6
13087001361,13,087,001361,558,200,5,559,190,6,549,184,14,542,178,12
13087001613,13,087,001613,492,122,5,472,132,8,470,115,11,464,119,8
13087001805,13,087,001805,774.3,673.1,10.7,768.6,634.5,26.1,743.4,635.1,31.1,720.2,638.1,25.3
130890000AA,13,089,0000AA,201,1718.5,12,189,1682.6,39,185.1,1647.3,62.3,184.1,1649.4,40.2
130890000AB,13,089,0000AB,886,1070.2,38.8,1003.5,941.8,44.8,1012.5,824.3,95.6,1009.5,839.2,73.7
130890000AD,13,089,0000AD,1093.5,1066.8,30.7,1213.3,940,28.7,1214.3,836,78.2,1205.4,841,71.3
130890000AE,13,089,0000AE,552.5,2085.8,43.1,601.4,1994.3,60.8,606.8,1866.9,136.4,591,1886.4,119
130890000AF,13,089,0000AF,94.7,1250.1,20.5,87.9,1220.8,40,86.9,1184.7,65.4,89.8,1185.7,47.9
130890000AG,13,089,0000AG,987.2,1469.4,37,1133.2,1318.4,39,1174.2,1192.4,68,1145.2,1209.4,74
130890000AH,13,089,0000AH,1048,1715,33,1153,1573,50,1163,1424,126,1155,1430,109
130890000AI,13,089,0000AI,291.1,2329.8,38.7,311.2,2271,51.1,322.5,2159.4,127.4,325.8,2166.9,101.5
130890000BB,13,089,0000BB,259.8,3394.9,45,313.2,3294.9,63.1,360.6,3132.4,146.7,364.8,3143.7,115
130890000BC,13,089,0000BC,446.9,1783.7,33,488.9,1704.7,46,494.9,1626.7,100,500.9,1606.7,97
130890000BD,13,089,0000BD,478.5,1003.6,24.1,540.6,924.3,33.3,551.5,840.9,69.6,541.4,860.9,57.5
130890000BE,13,089,0000BE,615,1160,30,688,1071,38,716,978,62,699,982,62
130890000BF,13,089,0000BF,553.5,1395,28.2,571.6,1351.7,42.2,575.6,1280.3,93.5,548.6,1307.3,73.4
130890000BG,13,089,0000BG,701.1,1480.3,28.2,775.4,1373,46.1,773.5,1286.4,77.2,748.1,1292.1,72.5
130890000BH,13,089,0000BH,565,1361,30,560,1309,52,547,1248,104,513,1268,85
130890000BI,13,089,0000BI,1112,1631,50,1247,1484,58,1269,1310,137,1269,1320,121
130890000BJ,13,089,0000BJ,97,2412.1,15.4,88.9,2367.7,39.9,84.3,2345.9,66.2,78,2366.8,44.4
130890000BL,13,089,0000BL,57,1289,8,55,1270,15,48,1250,35,46,1262,23
130890000BM,13,089,0000BM,138.7,2717.6,17.1,128.7,2657.3,38.3,124.6,2631.1,63.4,113.7,2630.9,44.3
130890000BR,13,089,0000BR,176.7,2437.6,24.6,187.9,2381.8,50.7,200.6,2270.1,122.6,200.8,2294.9,87.4
130890000CA,13,089,0000CA,61,1280,10,58,1247,26,53,1237,40,53,1242,29
130890000CB,13,089,0000CB,64,1191,14,55,1171,31,58,1163,33,60,1151,28
130890000CC,13,089,0000CC,28,730,7,28,707,7,31,692,27,26,701,18
130890000CD,13,089,0000CD,93.2,2458.6,33,83.5,2446,47.6,78.7,2405.2,74.8,78.7,2414,62.1
130890000CE,13,089,0000CE,500.7,1133.7,33.3,532.2,1069.9,52.4,544.3,998.1,93.8,543.2,992.2,79.6
130890000CF,13,089,0000CF,181,2320,17,159,2281,52,163,2251,62,153,2272,48
130890000CG,13,089,0000CG,89,2408.9,21.6,84.1,2365.3,50.1,76.7,2344.1,65.8,75,2346.2,49.6
130890000CH,13,089,0000CH,585.4,1767.5,29.6,610.7,1707.8,52.6,611,1602.3,107.8,600.5,1616.4,98.5
130890000CI,13,089,0000CI,363.6,2406.9,28.1,427.6,2319.8,46.1,441.6,2216.6,92.2,435.6,2219.6,80.1
130890000CJ,13,089,0000CJ,443.3,1890.5,19.4,484.3,1817.4,26.6,492.8,1719.1,79.9,497.4,1724.8,57.7
130890000CK,13,089,0000CK,434,3052.9,41.3,406.8,2994.9,94.8,409.3,2840.7,189.1,364.6,2873.6,130.2
130890000CL,13,089,0000CL,48,1000,7,47,975,16,54,952,26,56,952,16
130890000CM,13,089,0000CM,56.3,1094.5,5,39.5,1074.6,20.1,42.6,1057.8,32.8,41.4,1057,27.8
130890000CO,13,089,0000CO,478.3,1105.4,40.9,532.2,1037.5,40.9,536.2,969.6,80.9,524.3,964.6,81.9
130890000CP,13,089,0000CP,91,1738,17,79,1710,38,87,1686,48,85,1698,30
130890000CQ,13,089,0000CQ,127.2,1725,19.6,120.6,1691.3,42.1,127.2,1629.6,89.8,116.9,1651.1,60.8
130890000CR,13,089,0000CR,53.8,957.4,6,48.5,938,26.4,47.4,930.8,27.2,39.4,940,19.9
130890000CS,13,089,0000CS,105,2586,29,105,2534,53,106,2504,69,110,2499,53
130890000CT,13,089,0000CT,12,220,4,14,210,8,11,203,13,14,203,9
130890000CU,13,089,0000CU,143,1181.5,24.9,151.2,1164.7,30.8,148.5,1109.2,73.1,151.1,1120.8,52.8
130890000CV,13,089,0000CV,341.2,2400.7,36.6,438,2294,35.2,456.1,2173.2,100.5,449.3,2183.9,76.5
130890000CW,13,089,0000CW,699,1961,39,779,1856,45,790,1730,120,768,1762,95
130890000CX,13,089,0000CX,830.8,1651.6,37,929.8,1523.6,58,926.8,1384.6,138,927.8,1391.6,128
130890000DA,13,089,0000DA,477.5,1408.3,25.3,458.8,1380.9,50.4,448,1279.1,105.7,437.1,1285.9,82.7
130890000DB,13,089,0000DB,239.8,588.4,12,236.7,574.4,24,229.7,543.5,41.9,228.7,545.4,33
130890000DC,13,089,0000DC,858.1,2443.5,49.5,887.8,2336.5,89.2,897.7,2196.8,162.5,877.9,2213.6,136.7
130890000DE,13,089,0000DE,178,1215,11,166,1184,37,164,1150,59,157,1148,40
130890000DF,13,089,0000DF,712.3,1513,31.4,782.8,1415.3,45.4,794.8,1316.2,95.1,793.9,1333.3,69.7
130890000DG,13,089,0000DG,794,936,27,900,829,28,882,759,57,875,762,53
130890000DH,13,089,0000DH,284.7,1429.7,18,337.7,1360.8,27,360.7,1275.8,46,346.7,1293.8,39
130890000DI,13,089,0000DI,1072.9,1131.8,26.1,1216.2,967.6,42.1,1247.2,838.4,81.2,1225.1,851.4,81.2
130890000EA,13,089,0000EA,266.4,2822,54.9,299.4,2750.5,76.9,308.2,2667,129.2,306.7,2687.4,101.6
130890000EC,13,089,0000EC,426.3,900.8,25.5,455.8,858.6,31.4,444,813.4,67.8,443,803.5,66.8
130890000EE,13,089,0000EE,303.6,3163.8,39.8,361.1,3069.8,50.2,386.3,2917.2,137,399.1,2939.8,92.5
130890000EF,13,089,0000EF,759,1723,40,811,1658,47,807,1573,101,797,1555,103
130890000EG,13,089,0000EG,402.7,1872.4,38.7,468.3,1789.3,44.9,496.7,1680.2,99.5,487.6,1702.6,77.7
130890000ER,13,089,0000ER,123.3,994.3,4.2,136.6,952.2,13.3,153.9,905.9,22.4,149.8,905.1,20.7
130890000FA,13,089,0000FA,103,2692,20,88,2645,57,93,2593,81,89,2605,65
130890000FB,13,089,0000FB,319.4,1445.5,24.5,388.8,1373.8,14.4,396.3,1292.3,42,375.9,1312.9,35.2
130890000FC,13,089,0000FC,48.5,1347.9,9.8,50.7,1307.6,24.9,53.6,1283.9,38.3,52.5,1293.8,25.6
130890000FE,13,089,0000FE,127.7,3791.1,28,124,3734.7,55.9,131.6,3669,97.2,127,3691.4,65.7
130890000FG,13,089,0000FG,95,2099,15,83,2079,37,81,2057.9,55,91,2051.9,41
130890000FJ,13,089,0000FJ,54.6,1268.8,7.8,39,1244.3,33.2,43.9,1230.7,40,37.1,1235.6,33.2
130890000FK,13,089,0000FK,71.3,1300.2,11,55.3,1279.1,18.1,56.3,1264.9,38.2,50.2,1274,23.1
130890000FL,13,089,0000FL,57,1429.8,16.2,44.4,1404.1,32.7,41.5,1380.5,47.2,39.5,1388.4,35
130890000FM,13,089,0000FM,193,1683,13,182,1653,36,165,1604,71,167,1613,45
130890000GA,13,089,0000GA,210.7,1637.8,26,223.7,1590.5,39.9,246,1523.6,68.8,249.7,1514.3,53.9
130890000GB,13,089,0000GB,123,999,12,113,993,22,114,965,39,109,965,26
130890000GC,13,089,0000GC,107.2,2030.2,26,97,1987.3,48.3,104.6,1910.3,104.6,96.3,1928.5,85.1
130890000GD,13,089,0000GD,916.3,1972,46,976.1,1887.2,50.4,977.4,1754,132.8,992.7,1767.5,87.5
130890000GF,13,089,0000GF,99.6,1106.4,13.8,89.7,1090.6,24.6,95.7,1068.9,36.5,87.8,1066,36.5
130890000HA,13,089,0000HA,362.9,1889.2,21.4,313.4,1890.2,43.7,303.7,1798,96.1,282.4,1814.5,60.2
130890000HB,13,089,0000HB,626.2,2039.3,40.1,672.2,1958,61.2,661.3,1869.6,124.4,642.2,1899.6,98.3
130890000HC,13,089,0000HC,687,1671,41,776,1541,59,782,1449,103,774,1462,94
130890000HF,13,089,0000HF,429.6,1313.4,35.4,451.3,1262.1,53.4,465,1198.6,80.2,458.5,1206.5,71.5
130890000HG,13,089,0000HG,532.4,1037.2,28.8,542.2,997.7,31.8,543.4,948.7,64.1,540,958.6,49.1
130890000HH,13,089,0000HH,83.7,2336.8,23.9,64.8,2330.4,32.3,65.1,2307.9,58,73.1,2301.8,47.7
130890000HI,13,089,0000HI,231.5,1052.9,18,256.1,1006.1,33.6,272.9,953.2,55.4,272.9,962.9,40.6
130890000IA,13,089,0000IA,341.1,1344.8,13.5,336.4,1319,24.1,329.9,1262.7,60,322.2,1251.1,48.6
130890000IB,13,089,0000IB,214,1000.1,20.9,203,987.2,32.8,183.1,945.4,68.7,177.1,931.5,46.8
130890000JA,13,089,0000JA,280.1,1176.8,23.2,362.9,1081.6,18.6,373.9,1001.7,59,371.5,993.9,58
130890000JB,13,089,0000JB,391.8,1612.9,20.2,360.7,1578.8,47,340.6,1523.4,84.8,312.1,1499,67.2
130890000KA,13,089,0000KA,74.6,1555.1,16.2,80.3,1506.4,41.1,78.4,1490.1,49.7,75.5,1488.2,35.4
130890000KB,13,089,0000KB,1067,1043,26,1164,937,27,1154,843,85,1138,864,69
130890000KC,13,089,0000KC,41,897,5,34,894,9,36,870,19,35,877,13
130890000KD,13,089,0000KD,72.4,2182.8,10.1,69.9,2152.8,30.6,70,2109.2,58.6,65.7,2132.7,34.4
130890000KE,13,089,0000KE,105,1387,15,101,1359,34,93,1330,53,91,1342,38
130890000KG,13,089,0000KG,734,1079,32,837,960,45,853,865,81,835,884,79
130890000LA,13,089,0000LA,823.1,1777.7,49.2,927.4,1659.2,54.4,928.3,1538.6,120.8,921.2,1546.7,105.7
130890000LB,13,089,0000LB,468.6,1515,23.4,512.3,1453.1,34.2,538.5,1349.7,71.7,535,1356.8,59.6
130890000LC,13,089,0000LC,511.6,1618.4,25.9,554.4,1536.8,46.8,546.4,1472.1,86.6,540.5,1470.1,72.7
130890000LD,13,089,0000LD,74,855.7,14.5,71.4,840.6,25,66.7,821.2,37.7,67.6,831.7,23.7
130890000LE,13,089,0000LE,334.9,2216.5,35.4,406.1,2137.3,38.7,436.8,2009.5,104,444.1,2020.9,77.7
130890000LH,13,089,0000LH,82.1,2017,25.6,59.9,1978.9,52.5,65.8,1950.1,73.6,62.8,1974.9,50.7
130890000LV,13,089,0000LV,385.3,709.9,15.8,419.7,674.4,19.8,421.6,631,43.5,427.5,625.1,34.7
130890000MA,13,089,0000MA,143,1928,18,135,1900,39,133,1877,58,120,1890,46
130890000MB,13,089,0000MB,165.5,2701.1,34.3,168.7,2639.3,52.7,187.9,2558.7,115.7,179.9,2567,88.2
130890000MC,13,089,0000MC,78.9,2315,20.4,70.1,2272.1,57.5,69.2,2243.9,59.4,66.2,2271.1,27.3
130890000MD,13,089,0000MD,77.4,1558.7,19.3,85.2,1525.1,35.6,73.8,1473.2,74.9,78.5,1482.9,52.9
130890000ME,13,089,0000ME,424,2031.5,43.1,424.1,1981.2,72.2,424.1,1895,139.3,425.1,1899,107.2
130890000MF,13,089,0000MF,63,1673,14,55,1645,24,49,1639,44,59,1640,24
130890000MG,13,089,0000MG,298.1,1423.6,25.2,334.8,1355.8,40.6,335.8,1297.8,77.4,331.9,1303.6,64.8
130890000MH,13,089,0000MH,965.1,1336.8,31.1,1016.2,1260.6,44.1,1029.3,1161.4,93.2,1017.3,1176.3,87.2
130890000MI,13,089,0000MI,96.1,2426.2,17,86.1,2385.1,44,82.1,2351.1,81.1,80.1,2355.1,57.1
130890000MJ,13,089,0000MJ,168,1066.9,13,174,1040.9,20,171,975,76,172,997.9,47
130890000MK,13,089,0000MK,366.3,1421.3,19.5,383,1368.6,41,368.4,1311,82.9,355.7,1320.8,69.3
130890000ML,13,089,0000ML,102,1959,22,86,1931,47,91,1902,76,92,1900,64
130890000MN,13,089,0000MN,150,1346,10,145,1328,24,140,1279,48,123,1278,26
130890000MO,13,089,0000MO,133,1553,25,124,1524,37,141,1455,70,131,1467,46
130890000MP,13,089,0000MP,52.4,1199.8,13.8,53.4,1176,24.7,60.3,1144.4,45.5,53.4,1147.3,34.6
130890000MQ,13,089,0000MQ,1108,1124,33,1215,1001,44,1210,924,79,1193,928,79
130890000MR,13,089,0000MR,90,1852,11,91,1828,24,87,1812,46,90,1805,25
130890000MS,13,089,0000MS,800.4,1081.8,34.9,899.2,965,38.9,905.2,884.2,68.9,888.2,895.2,71.8
130890000MT,13,089,0000MT,160.7,2300.2,42.9,180.7,2250.3,59.9,193.7,2131.5,126.8,196.7,2141.5,101.8
130890000MU,13,089,0000MU,752.1,1206.4,33.6,857.8,1074.8,44.2,863.5,992.2,94.1,851,1006.6,78.8
130890000MV,13,089,0000MV,75,1404,11,64,1383,24,72,1363,37,66,1376,21
130890000MW,13,089,0000MW,217.2,1072.8,16.4,238.4,1040.3,25.5,248.1,990.6,49.2,240.2,997.6,44.9
130890000MZ,13,089,0000MZ,70,1700,19,61,1666,42,61,1655,48,62,1662,33
130890000NB,13,089,0000NB,195.8,1283,16.6,209.1,1225,34.9,215.6,1178.4,67.5,213.7,1191.1,44.2
130890000NC,13,089,0000NC,158,1242,13,148,1216,27,151,1172,60,147,1171,41
130890000ND,13,089,0000ND,323,909,28,369,861,25,383,769,66,376,777,58
130890000NF,13,089,0000NF,339.5,837.4,21.6,356.2,806.9,30.5,369,740,60,375.9,734.1,56.1
130890000OA,13,089,0000OA,525.3,1341.9,24,593.3,1243.9,35,614.3,1134.8,92.1,598.3,1148.8,81
130890000OB,13,089,0000OB,375.7,910.3,13,352.8,906.3,20,334.9,857.4,48,326,844.5,52.8
130890000OK,13,089,0000OK,180.6,2211.1,28.5,230.2,2137.5,43.3,243.5,2034.5,98.4,243.5,2046.5,73.6
130890000OV,13,089,0000OV,88,2849,15,81,2788,59,78,2753,83,80,2754,60
130890000PA,13,089,0000PA,123.3,1247.9,17.5,113.1,1215.2,40,116.1,1193.3,57.6,117.2,1198.3,42.1
130890000PB,13,089,0000PB,653,1803,25,641,1758,66,664,1641,117,651,1666,92
130890000PC,13,089,0000PC,70.1,1409.3,4.8,57.6,1393.9,25,58.6,1385.2,31.7,56.6,1387.2,17.3
130890000PE,13,089,0000PE,51.6,452.8,4.2,46.5,452.2,11.7,50.2,428.9,29.8,51.2,434.9,18.4
130890000PF,13,089,0000PF,394,2068,42,384,2036,69,371,1924,148,357,1959,114
130890000PG,13,089,0000PG,283.4,2671.1,24.6,313.1,2552.5,37.3,268.4,1789.8,64.9,267.9,1793.3,36.8
130890000PH,13,089,0000PH,62,928,7,59,914,11,62,900,23,58,905,15
130890000PI,13,089,0000PI,50.9,1111.8,15,52.9,1089.9,24,47.9,1070.9,44.9,48.9,1072.9,29.9
130890000PN,13,089,0000PN,70.3,1148.3,12.1,68.2,1124.8,23.2,77.7,1087.3,35.1,78.7,1081,27.2
130890000PR,13,089,0000PR,52,1791,11,54,1746,28,45,1739,42,51,1740,22
130890000RA,13,089,0000RA,118,2302,10,104,2268,31,111,2239,54,106,2226,44
130890000RC,13,089,0000RC,83,1942,9,69,1916,32,68,1897,50,63,1905,37
130890000RD,13,089,0000RD,430.2,1056.1,22.3,455.5,999.2,43.7,446.2,942.1,80.5,435,960.3,69.3
130890000RE,13,089,0000RE,170,1734.3,13.2,155.2,1706.6,42.5,149.1,1670.2,69.1,144.6,1679.4,39.3
130890000RF,13,089,0000RF,82.4,1629.8,11.7,59.1,1623.5,27.8,68.1,1593.1,45.7,63.6,1589.5,35.8
130890000RG,13,089,0000RG,133,1715,19.3,118.5,1678.4,49.1,123.3,1638.9,69.4,115.6,1664.9,42.4
130890000RH,13,089,0000RH,89,2296,25,82,2245,48,78,2230,63,71,2232,47
130890000RI,13,089,0000RI,145.6,2746.8,18.2,128.2,2722.6,42.5,130.3,2692,61.9,130.2,2687,45.7
130890000RJ,13,089,0000RJ,112,1182,8,100,1163,29,104,1136,44,107,1151,23
130890000RK,13,089,0000RK,93,1620,18,73,1604,34,77,1596,43,74,1604,31
130890000RL,13,089,0000RL,241.6,2822.4,13.7,224.3,2787.2,49.6,219.9,2750.5,76.8,221.5,2747.6,59.3
130890000RM,13,089,0000RM,86,1535,17,84,1498,32,92,1463,50,87,1480,36
130890000RN,13,089,0000RN,85.5,1106.8,16.4,112.2,1067.8,22.3,119.4,1016.8,51.4,120.4,1022.5,38.1
130890000SA,13,089,0000SA,710,1801,35,824,1657,39,864,1517,99,860,1528,70
130890000SB,13,089,0000SB,326.4,1856,37.2,364.7,1778.6,49.7,368,1699.3,98.6,377.7,1702.7,75.9
