GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32003002430,32,003,002430,699,346,15,5,9
32003002436,32,003,002436,0.3,2.2,0,0,0
32003002440,32,003,002440,669.5,797.4,7,2,7
32003002444,32,003,002444,136,112,5,1,0
32003002445,32,003,002445,0,0,0,0,0
32003002446,32,003,002446,845,480,21,4,13
32003002447,32,003,002447,0,0.9,0,0,0
32003002449,32,003,002449,942.1,690.3,11,5,12
32003002456,32,003,002456,847.3,464.8,19.4,1.9,19.4
32003002457,32,003,002457,991,1110,36,6,22
32003002458,32,003,002458,0.3,0.3,0,0,0
32003002463,32,003,002463,1242,514,17,4,16
32003002464,32,003,002464,1234,918.6,13.9,1,23.9
32003002465,32,003,002465,362.2,801.4,11.1,5,9.1
32003002466,32,003,002466,503.9,929.9,7,3,9
32003002468,32,003,002468,0.6,1,0,0,0
32003002469,32,003,002469,96.1,343.5,7.9,1,2
32003002473,32,003,002473,73.6,442.5,6,0,3
32003002476,32,003,002476,136.4,1276.5,12,0,12
32003002477,32,003,002477,704.8,1381.3,5.2,5,16.3
32003002478,32,003,002478,0,0,0,0,0
32003002479,32,003,002479,1086.7,703.9,19.4,3.1,18.4
32003002480,32,003,002480,909.5,681.6,18,4,22
32003002481,32,003,002481,1144,475,14,5,26
32003002483,32,003,002483,1553.3,637.2,27,7.7,22.4
32003002484,32,003,002484,723.5,466.6,11.6,0.9,8.9
32003002486,32,003,002486,1.5,5.4,0.1,0,0
32003002487,32,003,002487,0,0,0,0,0
32003002488,32,003,002488,0,0,0,0,0
32003002489,32,003,002489,0,0,0,0,0
32003002500,32,003,002500,602.4,640.3,3,3,6
32003002501,32,003,002501,9.7,26.3,1,0,0
32003002503,32,003,002503,2.1,5,0,0,0
32003002600,32,003,002600,497.8,654.9,19.2,0.9,9.2
32003002601,32,003,002601,7.1,19.6,0,0,0
32003002602,32,003,002602,55.8,95.7,2,1,4
32003002603,32,003,002603,555,705,14,1,13
32003002604,32,003,002604,512.4,468.9,16.1,3.8,3.8
32003002605,32,003,002605,460.2,633.3,9,3,10
32003002606,32,003,002606,596,409,10,1,6
32003002607,32,003,002607,860,439,10,3,15
32003002608,32,003,002608,0,0,0,0,0
32003002609,32,003,002609,6.5,3,0.1,0,0.1
32003002611,32,003,002611,796,741,23,7,14
32003002612,32,003,002612,0,0,0,0,0
32003002613,32,003,002613,648.3,653.4,14.7,3.2,9.6
32003002614,32,003,002614,475,541,14,2,8
32003002615,32,003,002615,490,686,16,5,5
32003002616,32,003,002616,440,227,7,0,18
32003002617,32,003,002617,477,324,7,2,7
32003002621,32,003,002621,662,731,19,2,15
32003002622,32,003,002622,435,521,11,1,14
32003002623,32,003,002623,0,2,0,0,0
32003002624,32,003,002624,341,558,7,2,4
32003002625,32,003,002625,1,4,0,0,0
32003002631,32,003,002631,12,12,0,0,1
32003002632,32,003,002632,2,23.8,0,0,0
32003002633,32,003,002633,370.3,806.4,16.6,1.5,9.6
32003002634,32,003,002634,412.6,443,6.3,5,13.7
32003002635,32,003,002635,622.5,756.5,8,3,11
32003002640,32,003,002640,0.1,0.2,0,0,0
32003002641,32,003,002641,3,1,0,0,0
32003002642,32,003,002642,26.3,50,0.8,0,1.3
32003002643,32,003,002643,617.3,931.9,12.7,2,13.6
32003002644,32,003,002644,383,826,7,3,8
32003002645,32,003,002645,29,85,5,0,1
32003002646,32,003,002646,3.8,9.9,0.2,0,0.4
32003002650,32,003,002650,421.9,674,7.9,2,9.8
32003002651,32,003,002651,288.1,467.3,4,1,9
32003002652,32,003,002652,869.8,816.5,18.1,5.7,17.1
32003002653,32,003,002653,382.4,783.1,8.7,1.6,7.9
32003002654,32,003,002654,351,462,8,2,8
32003002655,32,003,002655,384,674,12,4,4
32003002660,32,003,002660,313,504,10,1,6
32003002661,32,003,002661,743,908,23,4,20
32003002662,32,003,002662,119,153,4,0,6
32003002663,32,003,002663,278,684,13,0,7
32003002664,32,003,002664,9,6,0,0,0
32003002665,32,003,002665,51,138,1,0,0
32003002666,32,003,002666,1653.1,1223.5,27.7,6.9,21.8
32003002671,32,003,002671,670,1198,17,8,8
32003002672,32,003,002672,659.2,835.3,21.4,4.5,13.4
32003002673,32,003,002673,45,116,1,0,2
32003002674,32,003,002674,804.5,630,21,4,8.1
32003002675,32,003,002675,4.8,16.1,0,0,0
32003002676,32,003,002676,8.1,19.8,0,0,0.9
32003002681,32,003,002681,2,0,0,0,0
32003002682,32,003,002682,512.8,852.2,9,2.3,11.8
32003002683,32,003,002683,0,3,0,0,0
32003002684,32,003,002684,18.1,38,0.2,0.1,0.3
32003002685,32,003,002685,2.7,4.2,0,0,0.1
32003002691,32,003,002691,12.6,23.4,0,0,0
32003002692,32,003,002692,455.8,608.8,9.9,2.7,9.9
32003002693,32,003,002693,95.6,122.9,2.1,0.3,2.1
32003002694,32,003,002694,1,1,0,0,0
32003002695,32,003,002695,397,648,8,5,8
32003002696,32,003,002696,20,34,1,0,0
32003002700,32,003,002700,484,398,8,1,9
32003002701,32,003,002701,559.5,735.3,23,0,7
32003002702,32,003,002702,406,384,4,1,9
32003002703,32,003,002703,2,4,0,0,0
32003002704,32,003,002704,13.2,35.8,0.9,0,0
32003002705,32,003,002705,456,487,10,4,7
32003002706,32,003,002706,0.8,2.2,0.1,0,0
32003002709,32,003,002709,341,348,6,2,9
32003002710,32,003,002710,437,378,10,2,6
32003002711,32,003,002711,516,656,15,4,12
32003002713,32,003,002713,481,249,10,0,9
32003002714,32,003,002714,521,235,9,3,5
32003002715,32,003,002715,0,1,0,0,0
32003002716,32,003,002716,954.5,435.7,16.8,6.9,16.8
32003002717,32,003,002717,724,323,8,4,10
32003002720,32,003,002720,1,2,0,0,0
32003002721,32,003,002721,0,0,0,0,0
32003002722,32,003,002722,194.1,82.2,5,0,5
32003002723,32,003,002723,1.3,7.3,0,0,0.1
32003002724,32,003,002724,891.9,411.8,13.1,4,14.1
32003002725,32,003,002725,95.1,476,4.4,1.1,3.3
32003002726,32,003,002726,79.7,448.3,2.9,1,6.8
32003002727,32,003,002727,187.7,936.4,13,1,13
32003002729,32,003,002729,432,175.4,8.1,1,4.1
32003002730,32,003,002730,1096.2,486.5,25.2,7,11.2
32003002731,32,003,002731,707.5,1095.2,15.9,4,10
32003002732,32,003,002732,457.7,658,10.5,1.9,7.7
32003002733,32,003,002733,480,282,8,2,5
32003002734,32,003,002734,618,332,16,5,17
32003002735,32,003,002735,593,253,6,2,20
32003002736,32,003,002736,316,217,5,3,8
32003002737,32,003,002737,745,218,9,3,18
32003002738,32,003,002738,594,349,7,1,7
32003002740,32,003,002740,712,349,15,3,11
32003002742,32,003,002742,468,228,6,0,10
32003002743,32,003,002743,737,432,11,1,13
32003002745,32,003,002745,8.5,11.5,0.1,0,0.1
32003002746,32,003,002746,453,294,11,2,11
32003002751,32,003,002751,440,161,4,2,5
32003002752,32,003,002752,1035,311,12,8,15
32003002770,32,003,002770,62.4,19,2,1,3
32003002775,32,003,002775,416.9,752.6,4.8,2.9,9.2
32003002776,32,003,002776,752.7,1550.8,21.9,7.1,25.4
32003002904,32,003,002904,0,0,0,0,0
32003002906,32,003,002906,0.2,0.4,0,0,0
32003002907,32,003,002907,0,0,0,0,0
32003002911,32,003,002911,0,0,0,0,0
32003002914,32,003,002914,0,0,0,0,0
32003002916,32,003,002916,13.8,7.6,0.3,0,0.3
32003002917,32,003,002917,0,0,0,0,0
32003002919,32,003,002919,0,0,0,0,0
32003002920,32,003,002920,0,0,0,0,0
32003002927,32,003,002927,0,0,0,0,0
32003002930,32,003,002930,0,0,0,0,0
32003002931,32,003,002931,0,0,0,0,0
32003002934,32,003,002934,0,0,0,0,0
32003002938,32,003,002938,0,0,0,0,0
32003002946,32,003,002946,0,0,0,0,0
32003002948,32,003,002948,0,0.1,0,0,0
32003002949,32,003,002949,0,0,0,0,0
32003002951,32,003,002951,0,0,0,0,0
32003002957,32,003,002957,0,0,0,0,0
32003002959,32,003,002959,0,0,0,0,0
32003002961,32,003,002961,0,0,0,0,0
32003002962,32,003,002962,0,0,0,0,0
32003002969,32,003,002969,0,0,0,0,0
32003002970,32,003,002970,4.6,16.6,0.2,0,0.1
32003002971,32,003,002971,0,0,0,0,0
32003002972,32,003,002972,0,0,0,0,0
32003002973,32,003,002973,0,0,0,0,0
32003002974,32,003,002974,0,0,0,0,0
32003002975,32,003,002975,0,0,0,0,0
32003002976,32,003,002976,0,0,0,0,0
32003002977,32,003,002977,0,0,0,0,0
32003002978,32,003,002978,0,0,0,0,0
32003002979,32,003,002979,0,0,0,0,0
32003003036,32,003,003036,328,375,1,2,2
32003003037,32,003,003037,263,328,2,1,1
32003003040,32,003,003040,415.6,560.5,1.1,1,8.3
32003003151,32,003,003151,0,0,0,0,0
32003003152,32,003,003152,25.6,46.2,1,0,1
32003003191,32,003,003191,0,3,0,0,0
32003003217,32,003,003217,817,725,10,2,10
32003003361,32,003,003361,671,553,11,1,15
32003003363,32,003,003363,656,834,7,2,16
32003003364,32,003,003364,631,942,17,1,19
32003003365,32,003,003365,412,377,4,1,6
32003003366,32,003,003366,376,456,5,1,9
32003003370,32,003,003370,490,433,5,0,10
32003003371,32,003,003371,389.5,260,8.5,0,8.5
32003003372,32,003,003372,557,510,10,1,16
32003003373,32,003,003373,676,699,6,3,19
32003003374,32,003,003374,459,444,7,1,8
32003003375,32,003,003375,681,762,7,4,11
32003003380,32,003,003380,316,260,1,1,5
32003003381,32,003,003381,677,763,10,7,10
32003003382,32,003,003382,503.1,490.9,12.1,1.7,7.8
32003003383,32,003,003383,398.2,639.4,0,1,7
32003003385,32,003,003385,801,801,18,2,22
32003003386,32,003,003386,356,409,5,3,14
32003003391,32,003,003391,352,351,5,1,3
32003003392,32,003,003392,421,383,3,3,9
32003003393,32,003,003393,308,283,3,3,3
32003003395,32,003,003395,430,484,4,0,4
32003003413,32,003,003413,346,488,0,0,5
32003003414,32,003,003414,393,460,7,0,4
32003003416,32,003,003416,687,587,11,1,9
32003003417,32,003,003417,1051.8,732.9,18.8,5,27.7
32003003418,32,003,003418,314,359,7,0,2
32003003430,32,003,003430,574,454,4,3,9
32003003431,32,003,003431,521.5,526,4,1,8
32003003433,32,003,003433,1.5,0,0,0,0
32003003435,32,003,003435,758,606,12,3,13
32003003439,32,003,003439,1,1,0,0,0
32003003457,32,003,003457,1,6,0,0,0
32003003464,32,003,003464,483,605,4,1,4
32003003465,32,003,003465,445,468,9,0,5
32003003518,32,003,003518,1,10,0,0,1
32003003532,32,003,003532,167.9,353,5.2,0,3.4
32003003535,32,003,003535,349.9,392.9,7.4,0.8,5.7
32003003537,32,003,003537,0,0,0,0,0
32003003540,32,003,003540,137.7,281.2,7.2,0.9,1.8
32003003544,32,003,003544,510,670.1,11.9,0,9.9
32003003545,32,003,003545,6.9,14.1,0.4,0,0.1
32003003546,32,003,003546,1340.7,1330.6,38.7,4.3,26.1
32003003547,32,003,003547,795.5,1016.6,13.2,3,15.1
32003003552,32,003,003552,0,0,0,0,0
32003003553,32,003,003553,0,0,0,0,0
32003003557,32,003,003557,900,870,14,3,16
32003003559,32,003,003559,0,0.8,0,0,0
32003003562,32,003,003562,1,5,0,0,0
32003003564,32,003,003564,97.8,227.9,4.9,0.1,4
32003003565,32,003,003565,528.6,531.6,13,2,17
32003003566,32,003,003566,17.2,46.4,0.3,0,0.8
32003003571,32,003,003571,1.9,3.8,1,0,0
32003003574,32,003,003574,0,0,0,0,0
32003003576,32,003,003576,310,418,9,0,9
32003003578,32,003,003578,1.4,6.1,0,0,0.2
32003003579,32,003,003579,0.1,0.5,0,0,0
32003003580,32,003,003580,1.1,1.4,0,0,0
32003003581,32,003,003581,0.2,0.2,0,0,0
32003003582,32,003,003582,5.8,8.3,0,0,0
32003003583,32,003,003583,0,0,0,0,0
32003003584,32,003,003584,0,2,0,0,0
32003003585,32,003,003585,0,0,0,0,0
32003003586,32,003,003586,0,0,0,0,0
32003003587,32,003,003587,451.6,526.1,6.9,0,11.8
32003003588,32,003,003588,518.2,571.8,12.2,3,19
32003003602,32,003,003602,810.2,815.5,22,5.3,17.6
32003003604,32,003,003604,1157.8,817.5,22.1,2.1,22.1
32003003605,32,003,003605,100.7,319.8,3,0,2
32003003606,32,003,003606,495.3,501.4,14.7,2,7.9
32003003607,32,003,003607,821.7,510.8,27.4,2.1,15.2
32003003608,32,003,003608,475.1,1002.1,15.8,2,17.1
32003003609,32,003,003609,452.5,848.9,14,3,13.9
32003003610,32,003,003610,596.2,621.4,6,1,9
32003003611,32,003,003611,0,0,0,0,0
32003003612,32,003,003612,0,0,0,0,0
32003003613,32,003,003613,742.6,508.2,10.8,1.7,13.2
32003003700,32,003,003700,1.1,10.8,0,0,0
32003003701,32,003,003701,0,0,0,0,0
32003003702,32,003,003702,816.9,551.1,14.6,2.9,17.5
32003003703,32,003,003703,25.6,21.9,0.4,0.1,0.5
32003003704,32,003,003704,399.5,298.1,19,1,3
32003003705,32,003,003705,824.3,910.4,18,1.7,11.6
32003003706,32,003,003706,1179.8,1072,24.7,5.2,20.2
32003003707,32,003,003707,279.4,270.3,5,0,5.7
32003003708,32,003,003708,341.7,448.3,4.1,0,5.6
32003003709,32,003,003709,1518.5,1354.6,33.9,3,37.3
32003003710,32,003,003710,98,136,4,1,1
32003003711,32,003,003711,85.7,153.4,5,0,0
32003003712,32,003,003712,0,1,0,0,0
32003003713,32,003,003713,23,23,0,0,1
32003003714,32,003,003714,11.2,12.8,0,0,0
32003003715,32,003,003715,60.9,123.7,1,1,1
32003003716,32,003,003716,269.4,381.1,3.9,1,2
32003003717,32,003,003717,166.1,376.3,1,1,1
