GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32001012-03,32,001,012-03,0,0,0,0,0,0,0,0,0,0,0,0,0
32001015-01,32,001,015-01,0.6,3.3,0.1,0,0,0.2,0.7,3.3,0.1,0.1,0,0,0.1
32001015-02,32,001,015-02,0,0,0,0,0,0,0,0,0,0,0,0,0
32001015-03,32,001,015-03,0.5,2.7,0.1,0,0,0.1,0.6,2.8,0.1,0,0,0,0.1
32001015-04,32,001,015-04,0.2,1.1,0,0,0,0.1,0.2,1.1,0,0,0,0,0
32001015-05,32,001,015-05,3.2,17,0.7,0.1,0,0.9,3.5,17.1,0.4,0.3,0.1,0.1,0.5
32001015-06,32,001,015-06,0.3,1.8,0.1,0,0,0.1,0.4,1.8,0,0,0,0,0.1
32001015-07,32,001,015-07,0,0,0,0,0,0,0,0,0,0,0,0,0
32001015-08,32,001,015-08,0,0,0,0,0,0,0,0,0,0,0,0,0
32001015-09,32,001,015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
32001015-10,32,001,015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001038,32,003,001038,152,199,2,0,0,5,140,198,3,2,2,1,9
32003001039,32,003,001039,294,558,11,0,1,23,273,564,3,5,7,1,22
32003001063,32,003,001063,468,471,39,3,1,26,466,440,17,9,20,9,36
32003001067,32,003,001067,23.9,97.3,3.3,1.1,1,3.2,30,83.4,4.1,5.2,0.1,1.1,3.6
32003001072,32,003,001072,59.9,143,13.9,1,0,2.1,66,125.8,6,6.1,2,1,7
32003001074,32,003,001074,422.2,729.8,21.6,6.9,1,25.5,436.9,638.7,14.7,24.5,10.8,6.9,51.9
32003001137,32,003,001137,432,399,32,4,1,12,430,376,10,11,12,6,24
32003001302,32,003,001302,691,447,45,2,4,26,664,405,23,25,10,7,55
32003001303,32,003,001303,528,396,30,3,1,19,500,372,12,12,15,3,37
32003001304,32,003,001304,363,219,27,4,1,15,353,197,4,5,10,2,37
32003001307,32,003,001307,680,555,37,6,3,32,621,566,24,11,13,4,43
32003001309,32,003,001309,0.7,1.2,0,0,0,0,0.7,1.2,0,0,0,0,0
32003001318,32,003,001318,621,304,33,4,0,22,572,292,12,14,11,3,41
32003001327,32,003,001327,745,415,56,2,6,32,727,393,18,13,17,10,41
32003001328,32,003,001328,576.2,334.1,26.2,3.8,4.7,27,554.7,321.9,11.2,7.5,12.1,5.6,42
32003001330,32,003,001330,596,668,34,1,0,30,587,609,16,20,16,5,53
32003001331,32,003,001331,579.8,404.2,28.8,2,3,19.8,563,357.8,24.6,10.9,7,8.9,46.4
32003001332,32,003,001332,262,188,11,2,1,11,256,154,12,9,4,2,26
32003001333,32,003,001333,433,426,22,3,2,18,419,402,13,9,8,5,35
32003001334,32,003,001334,623,478,33,3,2,21,588,459,15,16,17,6,37
32003001335,32,003,001335,567,505,34,5,4,25,552,459,23,20,12,7,46
32003001336,32,003,001336,422.3,300.2,21.6,3.9,1,16.7,410.5,268.7,12.8,8.9,8.9,3,38.4
32003001337,32,003,001337,646,450,35,6,3,17,599,413,17,20,8,10,55
32003001340,32,003,001340,753,424.1,50.4,3.1,3,32.3,724.8,393.6,24.2,13.2,6.2,16,59.7
32003001341,32,003,001341,591,393,42,4,5,32,579,373,19,13,11,6,46
32003001342,32,003,001342,463,360,36,1,2,13,429,357,11,14,12,8,28
32003001343,32,003,001343,297,391,18,2,0,19,305,351,10,3,14,2,22
32003001344,32,003,001344,282,216,14,0,0,13,282,202,6,3,2,8,13
32003001345,32,003,001345,275,195,17,4,1,6,256,174,6,3,16,6,19
32003001346,32,003,001346,495,542,28,3,4,22,480,507,19,15,13,5,47
32003001348,32,003,001348,564.9,417.7,25.4,4.1,4,18.2,541.7,385.4,15.2,8.1,15.1,4,53.5
32003001349,32,003,001349,549.9,325.5,45.3,0,4.8,27,503.7,326.5,14.4,24.1,10.6,3.9,49.1
32003001351,32,003,001351,578,291,29,2,2,23,534,291,18,12,11,5,36
32003001352,32,003,001352,501,347,27,11,3,16,463,330,10,14,13,8,45
32003001353,32,003,001353,690.1,391.9,34.6,7.9,0,23.7,648.7,382.1,12.8,8.9,19.7,8.9,47.4
32003001354,32,003,001354,350,216,24,3,0,13,339,191,14,10,8,4,33
32003001356,32,003,001356,644.9,427,30,7,1,22,613.9,406,15,7,8,5,60
32003001361,32,003,001361,0,1,0,0,0,0,0,1,0,0,0,0,0
32003001363,32,003,001363,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001365,32,003,001365,8,1.3,0,0,0,0.1,6.9,1.3,0.1,0,0,0,0
32003001367,32,003,001367,754,444,50,7,5,32,700,424,27,15,22,11,70
32003001368,32,003,001368,699.4,441.2,57.4,5.9,3,36.6,658.9,432.3,24.7,20.8,13.8,8.9,60.4
32003001371,32,003,001371,2.7,3.5,0,0,0,0.1,2.7,3.5,0,0,0,0,0.1
32003001374,32,003,001374,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001375,32,003,001375,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001376,32,003,001376,1,0.9,0,0,0,0.1,1,0.9,0,0,0,0,0.1
32003001377,32,003,001377,2.5,3.3,0.1,0,0,0.1,2.4,3.4,0,0,0,0,0.1
32003001378,32,003,001378,21.2,19,1.1,0.3,0,1.6,20.7,19.8,0.2,0.5,0.2,0.2,1.4
32003001379,32,003,001379,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001380,32,003,001380,0,1.3,0,0,0,0,0,1.3,0,0,0,0,0
32003001381,32,003,001381,2.1,1,0.1,1,0,0.1,2.1,1,1,0,0,0,0.1
32003001382,32,003,001382,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001384,32,003,001384,81.2,74.1,4.3,1.3,0,6.2,79.4,77.2,0.7,1.9,0.6,0.6,5.6
32003001385,32,003,001385,0.3,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0
32003001386,32,003,001386,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001387,32,003,001387,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001389,32,003,001389,422.2,361,19.9,4.1,0.2,16,386.6,357.5,7.4,6.3,8.4,8.2,33.5
32003001390,32,003,001390,814.5,663.6,42.6,9.1,4.2,29.4,794.8,633.5,21.6,12.7,13.6,4.3,56.2
32003001391,32,003,001391,642.3,501.9,51.8,6,0,31.9,611.5,501.9,13.9,10,19.9,6,51.8
32003001394,32,003,001394,441,592,32,5,1,16,419,590,7,9,10,5,31
32003001395,32,003,001395,381.1,608.7,24.2,5,0,16.3,345.4,627,5.1,2,11.1,3.1,24.3
32003001396,32,003,001396,456,365,18,2,0,14,435,346,10,11,14,3,25
32003001410,32,003,001410,555,636,60,3,0,45,530,647,26,13,12,4,44
32003001411,32,003,001411,465,520,19,4,3,20,420,515,14,9,14,2,36
32003001509,32,003,001509,459.8,670.9,29.3,3.9,0.9,22.2,441.4,665.7,7.9,8.4,12,2.2,32.5
32003001510,32,003,001510,269,532.9,8.3,1,1,22.2,231.9,571.8,3.1,3,7.1,2,10.2
32003001511,32,003,001511,397,482,26,2,1,20,365,502,9,5,16,2,19
32003001513,32,003,001513,532,759,33,3,1,39,487,780,16,13,9,2,35
32003001514,32,003,001514,472,621,39,3,2,41,450,641,12,8,10,8,30
32003001517,32,003,001517,301,397,6,0,0,21,320,357,6,4,2,3,23
32003001518,32,003,001518,523.8,770.7,27.5,1.1,1,26.6,474.4,810,4.2,5.2,13.5,4.1,23.8
32003001519,32,003,001519,141,311,9,0,0,11,106,347,0,3,0,0,10
32003001520,32,003,001520,253.9,359.3,7.8,2,2,11.7,267.6,333,4.9,2,3.9,2.9,11.7
32003001521,32,003,001521,321.8,608.7,21.3,0,1,16.5,309.6,600,8.1,7.1,6.1,1,23.3
32003001525,32,003,001525,515.2,818.1,11.8,0,0,25.6,493.6,807.3,8.8,3.9,8.8,1,29.5
32003001528,32,003,001528,462.2,665.1,41,0.8,0,27.3,441.3,672.3,10,7,13.1,2.3,26.5
32003001533,32,003,001533,7.7,6.4,0.1,0.9,0,0.5,7.3,6.5,1.3,0,0,0,0.1
32003001543,32,003,001543,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001550,32,003,001550,306.8,399.8,19.7,1,1,13.8,297.8,397.9,5.9,3.9,4.9,2,18.7
32003001552,32,003,001552,287,327,14,0,3,12,269,319,11,8,8,1,19
32003001553,32,003,001553,14,8.3,1.1,0,0.1,0.7,12.8,8.3,0.4,0.6,0.3,0.1,1.2
32003001601,32,003,001601,442.6,308.6,22.3,3.3,0,20.6,419.5,288.4,14.8,7.3,10.2,1.1,37.3
32003001602,32,003,001602,441,208,15,4,3,13,416,185,12,11,7,4,29
32003001603,32,003,001603,425,200,10,0,3,11,393,180,12,4,6,3,34
32003001604,32,003,001604,414,328,12,3,2,13,382,309,21,7,6,4,32
32003001605,32,003,001605,472,269,24,1,2,17,454,235,20,12,9,4,33
32003001606,32,003,001606,174,235,13,0,1,12,163,242,4,2,4,1,9
32003001607,32,003,001607,49,34,3,0,2,1,42,35,0,2,4,1,3
32003001608,32,003,001608,429,639,26,2,2,27,425,656,3,2,7,2,20
32003001609,32,003,001609,675,452,49,6,2,25,636,440,15,10,12,8,58
32003001611,32,003,001611,605,278,22,3,3,24,548,267,8,10,12,5,48
32003001612,32,003,001612,632,592,28,9,1,18,602,552,9,13,9,7,52
32003001613,32,003,001613,388,249,25,1,1,21,381,220,13,11,8,2,34
32003001614,32,003,001614,387,316,26,1,0,11,383,278,16,7,9,3,28
32003001615,32,003,001615,448,320,19,4,2,16,450,286,9,8,10,4,30
32003001616,32,003,001616,329,242,17,1,2,17,321,222,8,13,10,4,19
32003001617,32,003,001617,459,286,17,5,2,22,428,263,14,14,5,5,33
32003001618,32,003,001618,516,377,25,4,1,16,472,372,15,5,9,3,37
32003001619,32,003,001619,738,550,24,1,1,25,695,526,13,14,8,7,47
32003001621,32,003,001621,443,265,28,4,4,22,424,242,16,16,10,5,29
32003001623,32,003,001623,202,142,13,2,0,11,198,130,5,5,11,3,18
32003001624,32,003,001624,239,201,23,1,1,9,237,191,6,6,6,5,15
32003001625,32,003,001625,369,281,22,3,2,19,348,261,15,6,7,6,34
32003001631,32,003,001631,584,358,27,1,2,21,572,301,16,21,10,12,47
32003001632,32,003,001632,341,197,26,2,1,8,334,164,8,10,7,8,22
32003001633,32,003,001633,681,329,17,5,3,12,640,282,17,12,9,9,51
32003001634,32,003,001634,466.3,178.8,16.5,4.9,4.9,11.7,445,161.3,11.7,6.8,7.8,5.8,26.2
32003001635,32,003,001635,354,129,16,0,3,8,320,118,11,7,4,2,22
32003001641,32,003,001641,390,252,13,3,2,9,368,228,12,8,9,2,25
32003001642,32,003,001642,308.9,130,11,3,1,12,286.9,121,6,8,2,1,24
32003001643,32,003,001643,395,325.2,17.6,3,1.9,10.2,358.4,326.7,8.3,5.3,5.7,2.9,21.2
32003001644,32,003,001644,5.8,5.1,0.3,0,0,0.2,5.6,4.8,0.2,0.2,0.1,0.1,0.5
32003001645,32,003,001645,78,51,6,0,0,5,77,44,2,2,2,4,8
32003001651,32,003,001651,131,312,12,0,0,7,138,287,6,4,4,3,13
32003001652,32,003,001652,794,394,34,5,5,18,763,341,25,20,9,9,45
32003001653,32,003,001653,727,274,22,5,6,26,681,246,11,17,12,14,49
32003001655,32,003,001655,688,297,27,4,0,24,658,258,20,19,8,10,41
32003001661,32,003,001661,573,302,24,6,2,21,533,292,13,11,8,8,46
32003001662,32,003,001662,489,294,23,2,5,22,464,266,13,15,15,10,32
32003001664,32,003,001664,308,369,16,1,0,15,311,339,15,8,6,0,20
32003001665,32,003,001665,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001668,32,003,001668,599,768.6,31.1,5,1,21.1,580.8,735.6,13,17,15,5,39.2
32003001669,32,003,001669,228.8,241.7,14.9,1,0,10.9,223.8,246.7,2,2,7,1,13.9
32003001670,32,003,001670,503,388,30,3,4,19,469,364,11,12,7,11,57
32003001671,32,003,001671,8.2,23,1.6,0,0,1.4,8.3,23.7,1.2,0.2,0.1,0.1,0.5
32003001672,32,003,001672,458,366,31,2,1,25,440,343,16,13,14,1,37
32003001673,32,003,001673,12.6,7.2,0.6,0.1,0,0.4,11.8,7,0.2,0.2,0.4,0.2,0.9
32003001674,32,003,001674,312.1,470.2,9,0,1,12,313.1,434.2,8,6,10,5,18
32003001675,32,003,001675,409.8,558.8,31,2,0,26,383.9,566.8,15,8,10,8,26
32003001676,32,003,001676,199,287,12,0,2,19,209,263,8,5,6,4,15
32003001677,32,003,001677,417,403,35,1,0,25,413,371,22,10,16,6,24
32003001678,32,003,001678,335,480,22,2,0,26,335,450,14,16,9,4,26
32003001679,32,003,001679,426,476,42,8,4,33,440,466,19,12,9,4,24
32003001680,32,003,001680,651,619,46,7,0,40,636,607,20,12,14,6,54
32003001681,32,003,001681,9.1,33.1,1,0,0,0,8,31.1,1,0,0,1,1
32003001682,32,003,001682,566,352,35,11,3,38,546,332,25,13,10,11,49
32003001683,32,003,001683,595.5,416.7,32.6,4.9,2,23.7,566.8,381.2,18.8,18.8,12.8,6.9,54.3
32003001684,32,003,001684,133,194,6,2,0,11,140,178,4,2,7,1,7
32003001685,32,003,001685,1.5,2.3,0,0,0,0.8,2.3,1.5,0,0,0,0,0.8
32003001686,32,003,001686,304.2,448.8,35.7,1,1,11.9,295.3,424.1,7.9,14.9,17.8,3,26.8
32003001687,32,003,001687,509,419,45,3,0,21,489,405,22,13,9,5,42
32003001688,32,003,001688,412,349,27,0,1,22,401,335,14,5,13,4,25
32003001689,32,003,001689,386,361,6,2,1,17,370,331,13,0,4,5,29
32003001691,32,003,001691,1.7,1.2,0.1,0,0,0.1,1.6,1.1,0,0,0,0,0.1
32003001692,32,003,001692,39.5,117.7,1,0,0,6.2,43.7,107.5,2,1,1,1,7.2
32003001693,32,003,001693,138,270,9,3,3,6,149,251,8,1,0,3,7
32003001694,32,003,001694,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001695,32,003,001695,300,164,14,0,0,6,267,163,7,2,4,5,24
32003001702,32,003,001702,499,431,46,4,2,22,481,410,19,14,15,6,37
32003001703,32,003,001703,658,332,38,2,2,16,596,322,21,7,16,11,54
32003001704,32,003,001704,368.1,349.5,19.2,6,0,21.1,341.1,348.4,12.1,5,9.1,3.1,29.2
32003001711,32,003,001711,0,0.9,0,0,0,0,0,0.9,0,0,0,0,0
32003001712,32,003,001712,936.1,1073.8,52.2,6.3,2.7,44.1,904.6,1045.9,21.6,13.5,23.4,7.2,69.3
32003001713,32,003,001713,112.6,133.1,6,0.7,0.3,5.3,108.8,129.8,2.5,1.6,2.8,0.8,8.2
32003001715,32,003,001715,312,563.4,4,1,0,9.9,322.9,521.7,2,3,8.9,1,12.9
32003001717,32,003,001717,450.1,628.8,5.8,0.1,0,23,443.6,607.5,10.4,3.4,6.9,2.1,22.2
32003001718,32,003,001718,470.3,628.7,13.3,2.5,0.8,15.8,461.9,608.7,5.8,5.8,14.2,2.5,20
32003001719,32,003,001719,468.9,615.3,12.7,0.3,0.1,21.1,471.5,588.3,5.8,3.8,12.6,0.3,21.7
32003001720,32,003,001720,352.2,429.3,8.7,1.1,0,19,351.5,406,10.8,4.2,9.1,5.8,15.6
32003001721,32,003,001721,404,639.6,12,1,4,17.1,410.1,611.3,8,9,4.1,0,22.1
32003001722,32,003,001722,259.2,369.3,11.7,1,1,18.5,250.4,378,4.9,4.9,3.9,1,11.7
32003001727,32,003,001727,865.9,1122.4,40.8,6.2,0,56.2,822.3,1123.9,17.1,16.3,16.7,5.6,63
32003001732,32,003,001732,50,24,3,1,0,1,44,25,3,1,1,1,0
32003001750,32,003,001750,264,458,20,3,3,12,277,410,13,14,12,2,22
32003001751,32,003,001751,231,665.9,16.2,1.1,0,14.2,237.1,603,15.1,17.2,10.1,1.1,28.5
32003001753,32,003,001753,39,108,0,0,1,2,42,99,1,1,0,0,5
32003001903,32,003,001903,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001905,32,003,001905,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001906,32,003,001906,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0
32003001907,32,003,001907,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0
32003001908,32,003,001908,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001909,32,003,001909,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001912,32,003,001912,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001915,32,003,001915,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001917,32,003,001917,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001918,32,003,001918,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001919,32,003,001919,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001920,32,003,001920,15.7,14,0.8,0.2,0,1.2,15.3,14.6,0.1,0.4,0.1,0.1,1.1
32003001921,32,003,001921,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001922,32,003,001922,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001923,32,003,001923,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001924,32,003,001924,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001925,32,003,001925,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0
32003001926,32,003,001926,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0
32003001928,32,003,001928,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001929,32,003,001929,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001930,32,003,001930,5.7,13.3,0.6,0.1,0.1,0.7,5.9,12.4,0.4,0.2,0.2,0.1,0.8
32003001935,32,003,001935,1.8,3,0.1,0,0,0.1,1.8,2.9,0.1,0,0.1,0,0.1
32003001940,32,003,001940,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001943,32,003,001943,0.4,0.5,0,0,0,0,0.4,0.6,0,0,0,0,0
32003001946,32,003,001946,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001959,32,003,001959,0.8,0.7,0,0,0,0.1,0.8,0.8,0,0,0,0,0.1
32003001960,32,003,001960,0,0,0,0,0,0,0,0,0,0,0,0,0
32003001964,32,003,001964,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002008,32,003,002008,455,549,27,2,4,31,471,474,23,15,6,10,57
32003002037,32,003,002037,462,498,28,4,2,19,451,447,18,14,9,9,40
32003002044,32,003,002044,473,645,30,3,7,23,477,575,22,24,13,6,47
32003002078,32,003,002078,1.1,6.6,0.1,0.1,0,0.2,1.2,6.2,0.1,0.2,0.1,0.1,0.2
32003002126,32,003,002126,216,167,11,6,2,4,198,145,10,6,7,3,27
32003002352,32,003,002352,320,414,22,7,4,19,321,390,10,13,5,6,26
32003002353,32,003,002353,359.7,559.8,16.8,1,0,14.8,376.5,521.3,14.8,4.9,3,1,17.7
32003002354,32,003,002354,343.3,315.2,18.2,2,0,11.2,326.5,292.7,10.2,7.1,9,6,27.3
32003002356,32,003,002356,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002360,32,003,002360,783,332,24,6,6,21,748,269,24,21,10,8,67
32003002366,32,003,002366,619,450,36,5,4,23,604,385,20,17,16,5,62
32003002371,32,003,002371,464,360,22,6,2,31,461,323,22,19,13,8,32
32003002372,32,003,002372,579,320,41,6,0,20,581,279,17,10,9,8,44
32003002373,32,003,002373,363,291,20,1,2,11,353,263,15,9,15,2,17
32003002380,32,003,002380,629,288,24,3,5,37,605,267,21,14,14,8,37
32003002381,32,003,002381,736,350,33,6,4,29,717,333,13,14,12,10,43
32003002382,32,003,002382,827,374,48,7,3,26,785,351,24,20,17,10,51
32003002383,32,003,002383,723,474,30,10,2,19,695,393,33,23,9,15,60
32003002384,32,003,002384,627,528,58,7,4,41,639,497,28,26,11,9,45
32003002385,32,003,002385,500,369,26,2,5,19,483,348,15,9,13,5,34
32003002386,32,003,002386,646,491,22,7,2,22,646,434,25,13,4,5,45
32003002387,32,003,002387,835,500.1,44,8,4,31,806,456.1,23,18,17,8,62
32003002390,32,003,002390,648,410,32,1,3,21,609,393,20,14,17,6,41
32003002391,32,003,002391,309,326,16,6,2,21,312,311,10,9,6,2,21
32003002392,32,003,002392,491,299,28,9,1,27,476,298,15,7,7,4,32
32003002393,32,003,002393,700,468,46,6,2,38,710,425,18,12,10,4,56
32003002394,32,003,002394,852,411,37,6,3,29,813,398,16,15,6,4,59
32003002399,32,003,002399,551.6,326.3,35.5,4.3,2.8,20.6,524.7,324.6,11.2,9.1,11.6,4.5,42.5
32003002400,32,003,002400,956.7,354.7,41,6,5,38.2,917.7,337.4,12,19,12,10,72.2
32003002401,32,003,002401,1.6,1.6,0,0,0,0.5,1.6,1.1,0,0,0,0,0.5
32003002405,32,003,002405,5.3,2.2,0.3,0.1,0,0.2,5,2,0.1,0.1,0.1,0.1,0.4
32003002406,32,003,002406,0,0,0,1,0,0,0,0,1,0,0,0,0
32003002407,32,003,002407,3,3,0,0,0,0,3,2,0,0,0,0,0
32003002408,32,003,002408,0,1,0,0,0,0,0,1,0,0,0,0,0
32003002409,32,003,002409,875,464,40,8,2,16,825,463,12,11,11,0,52
32003002417,32,003,002417,100.6,80.1,11.7,2,2,3.9,97.7,76.2,2,2,1,3.9,7.8
32003002430,32,003,002430,589,259,23,7,5,20,533,224,24,22,18,9,52
32003002436,32,003,002436,0.2,1.2,0,0,0,0,0.2,1.2,0,0,0,0,0
32003002440,32,003,002440,574.5,733.4,14,1,0,17,584.5,661.5,8,8,7,7,37
32003002444,32,003,002444,141,120,5,1,1,4,133,109,5,0,6,1,13
32003002445,32,003,002445,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002446,32,003,002446,548.6,320.1,35.9,4.8,2.7,20.9,521.3,316.9,11.2,9.1,11.8,4.8,44.4
32003002447,32,003,002447,1,0,0,0,0,0,1,0,0,0,0,0,0
32003002449,32,003,002449,733.6,512.1,48.1,2,4,34.1,695.6,527.8,17.1,12,13,8,42.1
32003002456,32,003,002456,547.1,323.4,19.4,5.8,3.9,25.2,512.3,310.8,12.6,15.5,8.7,2.9,39.7
32003002457,32,003,002457,753,831,81,14,1,48,734,855,28,18,10,4,55
32003002458,32,003,002458,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0
32003002463,32,003,002463,1031,366,47,13,9,32,994,351,25,19,5,16,70
32003002464,32,003,002464,784.8,580.1,33.7,8.8,4.4,30.8,754,547.9,18.3,13.9,16.9,13.9,49.9
32003002465,32,003,002465,246.2,635.9,28.1,9,1,28.1,243.2,607.7,14.1,15.1,5,5,36.1
32003002466,32,003,002466,408.9,722.9,17,2,0,20,402.9,652.9,22,26,5,5,39
32003002468,32,003,002468,0.3,0.6,0,0,0,0,0.3,0.6,0,0,0,0,0
32003002469,32,003,002469,83,262.8,6.9,1,1,4.9,86.9,246,6.9,3,1,4.9,10.8
32003002473,32,003,002473,53.7,330.2,13.9,8,0,13.9,52.7,336.1,10.9,6,5,1,7
32003002476,32,003,002476,115.3,1017.8,25.1,13,0,22.1,133.3,1002.9,15.1,8,6,4,14
32003002477,32,003,002477,405.9,857.9,18.3,5,1,31.3,409.3,824.7,14.9,7.8,10.9,8.7,25.5
32003002478,32,003,002478,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002479,32,003,002479,787.8,550.3,51,1.1,2,29.7,749.4,530.8,23.4,16.5,13.2,7.2,64.1
32003002480,32,003,002480,681.6,576.7,52,3,1,28,679.6,544.7,16,8,12,13,49
32003002481,32,003,002481,922,356,43,4,0,25,882,324,20,18,12,10,67
32003002483,32,003,002483,1018.2,377.2,53,5.3,4.3,42.8,969.8,367.9,25.4,11.1,16.3,13.3,75.4
32003002484,32,003,002484,572.4,369.7,33.8,0.9,3.6,18.7,548.4,378.6,10.7,8.9,10.7,2.7,29.3
32003002486,32,003,002486,1.3,4.1,0.1,0,0,0.1,1.4,3.9,0.1,0,0,0.1,0.2
32003002487,32,003,002487,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002488,32,003,002488,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002489,32,003,002489,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002500,32,003,002500,501.8,593.5,10.9,1,1,23.9,507.8,543.7,13.9,7,5,6,27.9
32003002501,32,003,002501,4.6,21,2,0,0,2,5.6,17.9,0.1,0,1,0,3
32003002503,32,003,002503,3.7,6.4,0.9,0,0,0,3.7,6.4,0,0,0.9,0,0
