GEOID,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010214021069,0,0,0,0,0,0
150010214022010,0,0,0,0,0,0
150010214021038,0,0,0,0,0,0
150010214021059,0,0,0,0,0,0
150010214021049,0,0,0,0,0,0
150010214021081,0,0,0,0,0,0
150010213001110,0.7,0.2,0.7,0.3,0,0
150010213001016,0,0,0,0,0,0
150010214021074,0,0,0,0,0,0
150010213001029,2.2,0.6,2,0.7,0.1,0
150010214023006,7.5,2.1,6.9,2.4,0.3,0.1
150010212022248,0,0,0,0,0,0
150010212022225,0,0,0,0,0,0
150010212022224,0,0,0,0,0,0
150010212022319,0,0,0,0,0,0
150010212022256,0,0,0,0,0,0
150010212022323,0,0,0,0,0,0
150010212022283,0,0,0,0,0,0
150010212022274,0,0,0,0,0,0
150010212022287,0,0,0,0,0,0
150010212022288,0,0,0,0,0,0
150010212022380,0,0,0,0,0,0
150010212022351,0,0,0,0,0,0
150010212022354,0,0,0,0,0,0
150010212022360,0,0,0,0,0,0
150010212022343,0,0,0,0,0,0
150010212024076,1.2,0.4,1.2,0.4,0.1,0
150010212024090,0,0,0,0,0,0
150010210132030,8,2.6,6.9,3.4,0.4,0.1
150010210051017,10.2,4.3,8.9,5.1,0.5,0.1
150019905000002,0,0,0,0,0,0
150010210132061,43.5,14.3,37.4,18.3,2.2,0.5
150010210103051,0,0,0,0,0,0
150010210103036,0.8,0.3,0.7,0.3,0,0
150010210103023,1.1,0.4,1,0.5,0.1,0
150010210133005,0,0,0,0,0,0
150010210131288,0,0,0,0,0,0
150010210032007,0.6,0.5,0.6,0.4,0,0
150010215073005,17.1,8.3,14.8,9.5,0.8,0.3
150010215042051,0,0,0,0,0,0
150010215021010,0,0,0,0,0,0
150010215022009,0,0,0,0,0,0
150010215022011,96.3,45.4,90.4,46.1,3.5,1.1
150010216014014,0,0,0,0,0,0
150010215041009,21.3,10.3,18.4,11.8,1,0.3
150010216015026,0,0,0,0,0,0
150010216013009,56.2,31.3,53.2,31.2,2.5,0.4
150010216012004,24.6,13.7,23.2,13.6,1.1,0.2
150010215073002,2,0.9,1.7,1.1,0.1,0
150010215042063,0,0,0,0,0,0
150010215073016,18.8,9.1,16.2,10.4,0.8,0.3
150010215071074,0,0,0,0,0,0
150010216014007,0,0,0,0,0,0
150010201002197,0,0,0,0,0,0
150010201002196,0,0,0,0,0,0
150010201002017,0,0,0,0,0,0
150010201002148,0,0,0,0,0,0
150010201002151,0,0,0,0,0,0
150010201002152,0,0,0,0,0,0
150010201002154,0,0,0,0,0,0
150010201002201,1,0.2,0.9,0.3,0,0
150010201002177,0,0,0,0,0,0
150010201002155,0,0,0,0,0,0
150010201002158,1.4,0.3,1.2,0.4,0,0
150010201002166,0,0,0,0,0,0
150010214021002,0,0,0,0,0,0
150010213002013,2.5,0.7,2.3,0.8,0.1,0
150010214023000,35.7,10.1,32.7,11.2,1.4,0.4
150010213002000,0,0,0,0,0,0
150010202021156,0,0,0,0,0,0
150010208024008,23.9,6.4,22,7.3,0.7,0.3
150010202021150,0,0,0,0,0,0
150010206002088,0.4,0.1,0.3,0.1,0,0
150010202021073,0,0,0,0,0,0
150010202021039,0,0,0,0,0,0
150010202021096,0,0,0,0,0,0
150010202021270,0,0,0,0,0,0
150010209003009,0,0,0,0,0,0
150010208011054,9.3,3.1,7.8,4.3,0.3,0.1
150010208011053,15.6,5.1,13,7.2,0.5,0.2
150010208011035,21.2,7,17.7,9.8,0.6,0.2
150010208011008,8.6,2.8,7.1,4,0.2,0.1
150010208011040,0,0,0,0,0,0
150010208011056,0,0,0,0,0,0
150010208011043,8.6,2.8,7.1,4,0.2,0.1
150010208011019,27.9,9.2,23.3,12.9,0.8,0.3
150010202021068,0,0,0,0,0,0
150010202021104,0,0,0,0,0,0
150010202021006,4.8,1.3,4.3,1.5,0.3,0.1
150010202021092,0,0,0,0,0,0
150010206003008,25.9,5.1,17.4,12.7,0.5,0.5
150010206003012,15.4,3,10.3,7.6,0.3,0.3
150010206003011,14.6,2.9,9.8,7.2,0.3,0.3
150010206003000,22.1,4.3,14.9,10.9,0.5,0.4
150010205002002,11.1,3.2,9.3,4.3,0.5,0.1
150010205001025,6.6,1.9,5.6,2.6,0.3,0.1
150010205004011,0,0,0,0,0,0
