GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOPIE
150010215041005,52.6,36.2,1.2,1.1,0.2,0.4
150010215022032,0,0,0,0,0,0
150010216044031,0,0,0,0,0,0
150010216044017,42.2,27,0.8,0.5,0.1,0.1
150010215022018,64.5,25.7,1.6,0.5,0.1,0.1
150010215092012,21.9,14,0.4,0.2,0,0
150010216044021,18.4,11.8,0.3,0.2,0,0
150010216045003,16.9,10.8,0.3,0.2,0,0
150010211011064,1.1,0.5,0,0,0,0
150010211061034,3.8,1.5,0.1,0.1,0,0
150010211061018,6.9,2.8,0.1,0.2,0,0
150010211061005,3.4,1.4,0.1,0.1,0,0
150010211064138,3.7,1.5,0.1,0.1,0,0
150010211064008,10.7,4.3,0.3,0.2,0,0.1
150010211061040,11.1,5.7,0.2,0.2,0,0.1
150010211061060,0,0,0,0,0,0
150010211011023,16.9,6.8,0.5,0.4,0,0.1
150010211012045,0,0,0,0,0,0
150010211011065,0,0,0,0,0,0
150010211012001,13.8,5.5,0.4,0.3,0,0.1
150010211064052,0.3,0.1,0,0,0,0
150010211012020,4.6,1.8,0.1,0.1,0,0
150010211061036,0,0,0,0,0,0
150010211063051,7,3.6,0.1,0.1,0,0
150010211062007,3.3,1.7,0.1,0.1,0,0
150010211063018,0,0,0,0,0,0
150010213002047,2,0.8,0,0,0,0
150010213001070,6.7,2.9,0.1,0.1,0,0
150010213001081,2.8,1.2,0,0.1,0,0
150010213001157,0,0,0,0,0,0
150010214021073,0,0,0,0,0,0
150010214021021,0,0,0,0,0,0
150010214021026,2.8,1.1,0,0,0,0
150010214021069,0,0,0,0,0,0
150010214022010,0,0,0,0,0,0
150010214021038,0,0,0,0,0,0
150010214021059,0,0,0,0,0,0
150010214021049,0,0,0,0,0,0
150010214021081,0,0,0,0,0,0
150010213001110,1.1,0.5,0,0,0,0
150010213001016,0,0,0,0,0,0
150010214021074,0,0,0,0,0,0
150010213001029,2.8,1.1,0,0,0,0
150010214023006,9.5,3.9,0.1,0.1,0,0
150010212022248,0,0,0,0,0,0
150010212022225,0,0,0,0,0,0
150010212022224,0,0,0,0,0,0
