GEOID,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PRECCas,G16USSDSch,G16USSRCar,G16USSAGiu,G16USSLKok,G16USSCAll
150010215073005,15.7,10.1,1,1.2,0.3,19,6.9,0.1,0.6,0.7
150010215042051,0,0,0,0,0,0,0,0,0,0
150010215021010,0,0,0,0,0,0,0,0,0,0
150010215022009,0,0,0,0,0,0,0,0,0,0
150010215022011,87.2,51.5,3.9,6.5,1.3,96.7,44.1,0.4,1.5,4.3
150010216014014,0,0,0,0,0,0,0,0,0,0
150010215041009,19.6,12.5,1.3,1.5,0.4,23.6,8.6,0.1,0.8,0.9
150010216015026,0,0,0,0,0,0,0,0,0,0
150010216013009,52.8,36.6,3.4,3,0.9,61.7,28.3,0.4,1.6,1.7
150010216012004,23.1,16,1.5,1.3,0.4,27,12.3,0.2,0.7,0.7
150010215073002,1.8,1.2,0.1,0.1,0,2.2,0.8,0,0.1,0.1
150010215042063,0,0,0,0,0,0,0,0,0,0
150010215073016,17.3,11,1.1,1.4,0.3,20.8,7.6,0.1,0.7,0.8
150010215071074,0,0,0,0,0,0,0,0,0,0
150010216014007,0,0,0,0,0,0,0,0,0,0
150010201002197,0,0,0,0,0,0,0,0,0,0
150010201002196,0,0,0,0,0,0,0,0,0,0
150010201002017,0,0,0,0,0,0,0,0,0,0
150010201002148,0,0,0,0,0,0,0,0,0,0
150010201002151,0,0,0,0,0,0,0,0,0,0
150010201002152,0,0,0,0,0,0,0,0,0,0
150010201002154,0,0,0,0,0,0,0,0,0,0
150010201002201,0.9,0.3,0.1,0,0,1,0.2,0,0,0
150010201002177,0,0,0,0,0,0,0,0,0,0
150010201002155,0,0,0,0,0,0,0,0,0,0
150010201002158,1.2,0.4,0.1,0.1,0,1.4,0.3,0,0,0
150010201002166,0,0,0,0,0,0,0,0,0,0
150010214021002,0,0,0,0,0,0,0,0,0,0
150010213002013,2.4,0.8,0.2,0.1,0,2.6,0.6,0,0.1,0.1
150010214023000,33.9,11.7,2.3,1.5,0.4,37.1,9,0.1,1,1.1
150010213002000,0,0,0,0,0,0,0,0,0,0
150010202021156,0,0,0,0,0,0,0,0,0,0
150010208024008,22.6,7.5,1.2,1.3,0.4,26,4.9,0.2,0.6,0.5
150010202021150,0,0,0,0,0,0,0,0,0,0
150010206002088,0.4,0.1,0,0,0,0.4,0.1,0,0,0
150010202021073,0,0,0,0,0,0,0,0,0,0
150010202021039,0,0,0,0,0,0,0,0,0,0
150010202021096,0,0,0,0,0,0,0,0,0,0
150010202021270,0,0,0,0,0,0,0,0,0,0
150010209003009,0,0,0,0,0,0,0,0,0,0
150010208011054,8.7,3.4,0.4,0.6,0.2,10.5,2.1,0.1,0.2,0.2
150010208011053,14.6,5.7,0.7,0.9,0.4,17.6,3.5,0.1,0.3,0.4
150010208011035,19.8,7.8,1,1.3,0.5,23.9,4.7,0.2,0.4,0.6
150010208011008,8,3.1,0.4,0.5,0.2,9.6,1.9,0.1,0.2,0.2
150010208011040,0,0,0,0,0,0,0,0,0,0
150010208011056,0,0,0,0,0,0,0,0,0,0
150010208011043,8,3.1,0.4,0.5,0.2,9.6,1.9,0.1,0.2,0.2
150010208011019,26,10.3,1.3,1.7,0.7,31.4,6.2,0.2,0.6,0.7
150010202021068,0,0,0,0,0,0,0,0,0,0
150010202021104,0,0,0,0,0,0,0,0,0,0
150010202021006,4.9,1.6,0.4,0.2,0.1,5.3,1.1,0.1,0.1,0.3
150010202021092,0,0,0,0,0,0,0,0,0,0
150010206003008,25,6.8,1.5,0.9,0.6,28.3,4,0,0.5,1.4
150010206003012,14.9,4,0.9,0.5,0.3,16.8,2.4,0,0.3,0.8
150010206003011,14.1,3.8,0.9,0.5,0.3,16,2.3,0,0.3,0.8
150010206003000,21.4,5.8,1.3,0.8,0.5,24.2,3.4,0,0.5,1.2
150010205002002,11.5,3.6,0.8,0.9,0.3,12.8,2.6,0.1,0.4,0.8
150010205001025,6.9,2.2,0.5,0.6,0.2,7.6,1.6,0,0.2,0.5
150010205004011,0,0,0,0,0,0,0,0,0,0
150010206002015,0,0,0,0,0,0,0,0,0,0
150010206004010,0,0,0,0,0,0,0,0,0,0
150010206002103,1.1,0.3,0.1,0,0,1.2,0.2,0,0,0.1
150010206002075,0,0,0,0,0,0,0,0,0,0
150010206004059,0,0,0,0,0,0,0,0,0,0
150010206002155,0.4,0.1,0,0,0,0.4,0.1,0,0,0
150010207021007,24.7,6.1,0.5,1.2,0.4,28.1,3.7,0.1,0.3,0.4
150010207021010,27.6,6.8,0.6,1.4,0.5,31.5,4.1,0.1,0.3,0.4
150010207022001,45.9,15,1.7,2.8,0.9,54.1,9.1,0.1,0.7,0.9
150010209001008,16.1,5.7,0.6,0.9,0.3,19.2,3.3,0,0.3,0.4
150010209003013,10.9,3.9,0.4,0.6,0.2,12.9,2.3,0,0.2,0.3
150010203003031,0.9,0.3,0.1,0,0,1,0.2,0,0,0
150010203002016,0,0,0,0,0,0,0,0,0,0
150010203002029,0,0,0,0,0,0,0,0,0,0
150010202021145,0,0,0,0,0,0,0,0,0,0
150010207011007,49.4,16.2,1.8,3,0.9,58.3,9.9,0.1,0.8,1
150010207023006,67.6,22.1,2.5,4.2,1.3,79.6,13.5,0.1,1.1,1.3
150010207013005,100.3,32.8,3.7,6.2,1.9,118.2,20,0.1,1.6,1.9
150010207011012,19.9,6.5,0.7,1.2,0.4,23.5,4,0,0.3,0.4
150010207011017,6.8,2.2,0.2,0.4,0.1,8,1.3,0,0.1,0.1
150010206004023,0,0,0,0,0,0,0,0,0,0
150010206004038,0,0,0,0,0,0,0,0,0,0
150010202021013,0,0,0,0,0,0,0,0,0,0
