GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREABLA,G20PREOCAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20USSRHYD,G20USSDESP,G20USSLEDW
28011000404,28,011,000404,16,259,0,0,0,1,2,0,0,10,267,1
28011000405,28,011,000405,24.98,252.69,0.07,0.07,0.14,0.07,2.15,0,0.07,20.61,259.28,0.82
28011000406,28,011,000406,176,108,4,0,0,0,2,0,0,163,125,6
28011000501,28,011,000501,548.54,410.12,2.31,1.28,0.01,0.56,7.81,0.28,0,520.87,440.49,6.98
28011000502,28,011,000502,194.02,11.41,0,0,0,0,1,0,0,187.96,15.46,4
28011000503,28,011,000503,137.01,843.92,3.97,0.99,0.99,0.99,4.96,0.99,0,121.13,864.77,4.96
28011000504,28,011,000504,31,140,0,0,1,0,0,0,0,29,142,0
28011000505,28,011,000505,40.45,574.96,0.72,0.72,0,1.44,7.22,0.72,0,26,593.74,5.06
28013000001,28,013,000001,388,52,0,0,1,0,0,0,0,374,59,8
28013000002,28,013,000002,749,227,3,0,2,0,2,2,0,715,255,16
28013000003,28,013,000003,662,103,1,0,2,0,0,1,2,629,125,19
28013000004,28,013,000004,103,377,1,1,1,1,3,2,0,95,394,3
28013000005,28,013,000005,325.01,400,4,0,0,0,3,0,1,290.01,436,11
28013000006,28,013,000006,428,138,1,0,1,0,2,0,0,390,160,16
28013000007,28,013,000007,517.31,196.05,2.91,1.94,0,0,1.94,0,1.94,468.78,235.84,13.59
28013000008,28,013,000008,381,97,0,1,1,1,1,1,0,359,117,6
28013000009,28,013,000009,752.99,243,2,0,1,0,3,3,0,715.99,272,16
28013000010,28,013,000010,303,63,0,0,0,0,1,1,1,290,77,3
28015000101,28,015,000101,761.6,64.54,2,2,0,0,3,0,0,717.51,93.59,20.05
28015000102,28,015,000102,142.95,20.81,0,0,0,0,0,0.9,0,134.8,28.05,0.9
28015000103,28,015,000103,183.52,5.28,1,1,1,0,0,0.1,0,172.64,13.06,5.11
28015000104,28,015,000104,364.29,69.32,2.02,0,1,0,0.01,1,0,347.26,82.38,11.02
28015000105,28,015,000105,245.79,141.74,0,0.9,0,0,0.9,0,0,241.31,146.22,4.49
28015000106,28,015,000106,309,63,0,0,0,0,1,0,0,299,69,6
28015000107,28,015,000107,368,36,1,0,0,0,0,0,0,356,42,5
28015000108,28,015,000108,262.45,451.86,5.98,1.1,0,1,3.09,0,0,245.99,476.3,11.48
28015000109,28,015,000109,394,44,0,0,0,0,0,0,0,373,59,3
28015000110,28,015,000110,213,74,0,0,0,0,0,0,0,192,92,3
28015000111,28,015,000111,94,173,0,0,0,1,2,0,2,89,183,2
28015000112,28,015,000112,72,157,0,0,0,0,0,0,0,67,163,1
28015000113,28,015,000113,205,169,1,0,2,0,0,1,0,194,187,5
28015000114,28,015,000114,310,260,1,2,4,0,2,0,0,288,289,6
28017000101,28,017,000101,337,121,2,0,0,1,0,1,1,305,147,11
28017000102,28,017,000102,128,192,1,2,0,0,3,0,0,112,213,3
28017000103,28,017,000103,173.11,111.22,1.93,0,0,0.97,0.97,0.97,0,165.37,127.66,1.93
28017000104,28,017,000104,250,268,4,0,0,0,4,0,0,237,284,6
28017000105,28,017,000105,305,436,6,1,1,1,6,1,0,284,464,9
28017000106,28,017,000106,74,667,7,0,2,1,6,2,0,70,689,2
28017000107,28,017,000107,126,225,2,0,2,0,0,0,0,115,236,2
28017000108,28,017,000108,115.89,389.78,7.07,1,0,1.03,5.03,1.03,0,98.63,415.34,7.07
28017000109,28,017,000109,918,250,17,0,1,2,5,2,0,879,296,25
28017000111,28,017,000111,200,673,7,1,2,1,3,2,0,177,713,8
28017000112,28,017,000112,526,76,1,0,1,0,0,2,1,495,96,15
28017000113,28,017,000113,511,143,5,1,1,0,1,1,0,489,166,8
28017000114,28,017,000114,242,74,9,1,0,0,1,1,0,238,80,9
28017000115,28,017,000115,139.28,52.47,2.86,0,0.95,0,0.95,0,0,126.88,66.78,2.86
28017000116,28,017,000116,138.69,134.95,2.09,2.06,0,0,1.06,0,0.06,129.22,144.16,2.41
28019000001,28,019,000001,138,92,0,0,0,0,0,1,0,126,102,5
28019000002,28,019,000002,87.18,205.47,0.02,0,0.02,1,1,0,0,76.04,220.57,4.07
28019000003,28,019,000003,783.85,167.33,3.98,1,1.99,1,1,0,0,733.05,202.19,21.91
