GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRWIC,G18USSDBAR,G18USSLBED,G18USSOOHA,R18USSRHYD,R18USSDESP
28017000114,28,017,000114,202,52,1,2,180,68
28017000115,28,017,000115,116.38,34.34,3.82,0.95,105.89,48.65
28017000116,28,017,000116,106.45,82.47,2.12,1.06,102.39,110.89
28019000001,28,019,000001,109,58,1,0,96,68
28019000002,28,019,000002,60.31,146.14,3.07,4.07,55.21,184.47
28019000003,28,019,000003,527.88,109.56,7.97,3.98,467.12,142.43
28019000004,28,019,000004,50.12,177.44,3.03,1.02,36.88,218.57
28019000005,28,019,000005,135,46,4,0,134,49
28019000006,28,019,000006,131.69,64.86,3.93,3.93,125.79,83.53
28019000007,28,019,000007,200,29,1,1,191,40
28019000008,28,019,000008,160.61,10.59,3.79,0.95,159.6,6.89
28019000009,28,019,000009,149,39,1,1,140,56
28019000010,28,019,000010,111.51,49.41,5.21,1.05,98.51,61.12
28019000011,28,019,000011,129.39,8.26,3.02,2.01,115.28,14.32
28019000012,28,019,000012,201,9,1,1,192,5
28019000013,28,019,000013,137,44,2,1,122,71
28021000101,28,021,000101,100.67,381.42,6.9,13.84,73.95,462.42
28021000102,28,021,000102,0,0,0,0,0,0
28021000103,28,021,000103,12,165,0,0,0,192
28021000201,28,021,000201,108.76,398.12,7.92,14.73,72.36,495.76
28021000301,28,021,000301,155.82,461.96,3.28,19.42,120.1,581.03
28021000302,28,021,000302,26.6,16.23,0.12,1.02,22.23,19.53
28021000401,28,021,000401,58.62,13.68,0,0,56.67,18.56
28021000402,28,021,000402,94.13,456.13,8.71,16.52,48.9,608.85
28021000403,28,021,000403,0.06,0.18,0,0.01,0.05,0.23
28021000501,28,021,000501,42,310,3,11,19,363
28021000502,28,021,000502,57,257,6,6,43,343
28023000101,28,023,000101,203.93,308.89,2,7,167.94,338.88
28023000102,28,023,000102,89.07,90.11,2,2,78.06,103.12
28023000103,28,023,000103,62,33,2,0,48,34
28023000104,28,023,000104,71.73,147.4,0.98,1.97,64.86,170.98
28023000105,28,023,000105,13,18,2,0,11,28
28023000202,28,023,000202,54.45,140.37,4.06,2.01,54.26,148.36
28023000204,28,023,000204,28.94,122.56,2.55,3.4,21.28,147.25
28023000205,28,023,000205,81.18,312.71,3.37,7.49,73.07,351.28
28023000206,28,023,000206,50,102,2,3,35,126
28023000301,28,023,000301,745.4,156.94,10.2,5.12,634.94,171.14
28023000303,28,023,000303,253.27,57.6,6.02,0.03,226.14,61.02
28023000304,28,023,000304,126.88,75.73,1.08,2.1,118.65,82.48
28023000305,28,023,000305,112.55,28.63,4.94,0.99,97.74,27.64
28023000401,28,023,000401,410.6,22.06,4.8,2.88,376.06,26.86
28023000402,28,023,000402,135.88,9.65,2.31,0,127.25,8.2
28023000403,28,023,000403,129,5,0,0,123,2
28023000404,28,023,000404,50,52,1,1,41,57
28023000405,28,023,000405,177.65,55.71,3.75,0.13,157.23,62.07
28023000406,28,023,000406,143,15,0,0,134,17
28023000501,28,023,000501,73,8,0,3,71,3
28023000502,28,023,000502,51,42,0,2,36,53
28023000503,28,023,000503,748.47,79.64,6.94,5.87,679.52,82.73
28023000504,28,023,000504,133,50,0,1,110,54
28025000101,28,025,000101,177.77,211.82,2.14,4.02,158.83,248.28
28025000102,28,025,000102,466,541,4,4,402,674
28025000201,28,025,000201,189.82,210.69,4.97,0.99,176.9,252.43
28025000202,28,025,000202,98,140,3,3,82,171
28025000203,28,025,000203,741,387,7,6,689,456
28025000301,28,025,000301,389,226,5,3,370,252
28025000302,28,025,000302,289,324,9,5,245,395
28025000303,28,025,000303,144,119,2,1,135,140
28025000401,28,025,000401,82,375,2,5,69,459
28025000403,28,025,000403,226,677,6,8,188,789
28025000501,28,025,000501,239,513,7,4,203,664
28025000502,28,025,000502,118,11,1,1,111,19
28025000503,28,025,000503,190,178,1,3,165,212
28025000504,28,025,000504,67,179,3,3,46,235
28027000001,28,027,000001,98.3,96.51,0.1,2.21,82.94,120.91
28027000002,28,027,000002,39.59,122.62,1.04,1.93,25.6,162.83
28027000003,28,027,000003,51.24,323.94,8,13.01,22.16,398.11
28027000004,28,027,000004,14,341,4,5,4,440
28027000005,28,027,000005,538.1,192.87,3.86,3.86,474.46,263.26
28027000006,28,027,000006,22.76,87.06,0,0.99,14.84,102.89
28027000008,28,027,000008,491.18,439.49,9.8,17.04,428.17,565.92
28027000009,28,027,000009,72.93,237.77,2,5,44.96,327.68
28027000010,28,027,000010,132.33,23.63,1.89,2.84,113.42,29.3
28027000011,28,027,000011,183.22,628.6,15.97,20.67,123.09,876.66
28027000012,28,027,000012,46.98,58.47,0.11,1.38,41.1,72.13
28027000013,28,027,000013,19.69,18.9,0,0.79,20.48,27.57
28027000014,28,027,000014,65.05,608.34,15.24,11.4,34.59,817.32
28027000015,28,027,000015,63.76,26.77,1.77,0.89,54.01,46.32
28027000016,28,027,000016,28,11,2,2,26,14
28027000017,28,027,000017,29.95,341.5,4.05,3.79,8.91,440
28027000018,28,027,000018,221.9,233.54,7.17,3.21,176.28,316.11
28027000019,28,027,000019,59,66,0,5,53,90
28029000101,28,029,000101,541.39,557.37,10.99,13.98,492.45,688.23
28029000103,28,029,000103,79.41,122.54,2.94,3.92,69.6,145.09
28029000104,28,029,000104,73.2,708.34,8.01,20.01,36.19,857.37
28029000201,28,029,000201,168.15,83.56,2.92,4.8,164.27,105.67
28029000202,28,029,000202,262.99,14.99,4.96,1,258.02,20.97
28029000203,28,029,000203,416,60,13,6,408,70
28029000204,28,029,000204,304,107,8,2,311,120
28029000205,28,029,000205,255,71,5,1,243,86
28029000206,28,029,000206,97.08,164.93,4,4.99,92.08,179.96
28029000301,28,029,000301,174.68,170.56,5.01,1.06,171.46,210.83
28029000302,28,029,000302,420.76,244.7,7.96,6.96,404.84,274.54
28029000303,28,029,000303,225.89,663.1,4.04,13.99,172.98,740.08
28029000304,28,029,000304,42,76,2,3,36,103
28029000401,28,029,000401,45,88,6,0,40,113
28029000402,28,029,000402,126,28,1,1,120,38
28029000403,28,029,000403,390,772,19,14,337,971
28029000404,28,029,000404,77,184,6,2,66,229
28029000501,28,029,000501,947.59,508.13,23.01,12.01,900.58,631.18
28029000502,28,029,000502,398,237,10,5,363,300
28031000001,28,031,000001,991.36,142.87,21.97,8.99,915.47,152.88
28031000002,28,031,000002,71.64,16.25,0.04,1.01,70.52,26.26
28031000004,28,031,000004,486.21,23.2,9.67,0.97,445.61,32.87
28031000005,28,031,000005,497.79,50.8,10.33,3.03,455.39,58.13
28031000006,28,031,000006,232,33,7,1,204,41
28031000007,28,031,000007,594.44,475.08,15.93,12.94,502.83,580.66
28031000008,28,031,000008,179,37,3,1,176,48
28031000009,28,031,000009,73.36,197,1.04,4.04,64.49,226.4
28031000010,28,031,000010,136.64,43,0.96,0.96,139.51,51.6
28031000011,28,031,000011,389,405,6,9,340,489
28031000012,28,031,000012,93,11,2,1,85,14
28031000013,28,031,000013,196.08,343.76,10.98,6.33,175.16,423.06
28031000014,28,031,000014,135,3,5,0,119,4
28031000015,28,031,000015,68.68,378.65,5.57,7.42,58.47,437.12
28031000016,28,031,000016,97.81,222.39,4.52,2.3,76.55,270.03
28033000101,28,033,000101,546.21,221.86,12.71,5,414.83,241.41
28033000102,28,033,000102,285,31,7,2,243,31
28033000103,28,033,000103,824.79,403.14,26.29,0,662.17,423.59
28033000104,28,033,000104,712,534,24,3,573,577
28033000105,28,033,000105,1377,470,52,8,1035,477
28033000106,28,033,000106,829.75,549.87,19.39,7.1,628.96,567.04
28033000107,28,033,000107,699,490,31,7,493,515
28033000108,28,033,000108,464.7,219.61,6.26,1.05,331.05,231.78
28033000109,28,033,000109,517.25,571.13,18.61,4.9,383.04,578.96
28033000110,28,033,000110,530,454,25,3,393,450
28033000201,28,033,000201,1181.23,680.22,34.06,6.22,960.57,729.05
28033000202,28,033,000202,865.06,916.42,25,15.84,613.64,933.96
28033000203,28,033,000203,786,365,34,4,608,354
28033000204,28,033,000204,1313.04,719,45.18,9.61,992.95,746.88
28033000205,28,033,000205,1298.67,511.35,28.76,6.33,1035.84,560.11
28033000206,28,033,000206,1432.52,457.02,30.73,5.95,1102.39,479.82
28033000207,28,033,000207,889.34,530.09,27.25,9.11,705.62,552.03
28033000301,28,033,000301,358,163,16,2,306,156
28033000302,28,033,000302,542.32,605.26,22.25,11.1,424.21,601.26
28033000303,28,033,000303,418,523,18,3,304,547
28033000304,28,033,000304,341,395,12,8,225,396
28033000305,28,033,000305,751.68,565.74,22.75,8.9,560.79,565.74
28033000306,28,033,000306,213.38,97.11,8.33,2,161.89,106.34
28033000307,28,033,000307,377,589,14,7,287,577
28033000401,28,033,000401,147,315,13,3,100,346
28033000402,28,033,000402,261,500,11,10,180,470
28033000403,28,033,000403,878.85,416.81,15.24,3.06,703.29,416.09
