GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
05045000010,05,045,000010,823,558,47,32,11,3,8,3,815,576,65,2
05045000011,05,045,000011,638.7,621.1,44.6,17.5,19.4,6.1,11.5,4,609.5,675,58.8,3
05045000012,05,045,000012,1043.8,347.9,64.2,21.4,14.6,6,6,8.6,978.8,420.6,84.8,3.4
05045000013,05,045,000013,777.1,422.8,32.8,18.2,17.3,3.8,16.2,2.9,694.2,511.4,65.4,1.9
05045000014,05,045,000014,254.9,189.3,18.9,6,6.1,1.2,1.2,2.3,246.1,198,28.4,0.4
05045000015,05,045,000015,290.2,85.8,6.9,2.7,2.5,5.2,1.2,2.1,238.3,131,19.4,1
05045000016,05,045,000016,294.3,52,13,3,2,0,1,1,247.2,86.1,18,0
05045000017,05,045,000017,84.8,32.9,2,1,0,2,0,0,70.9,42.9,5,0
05045000018,05,045,000018,636,151,19,13,7,4,1,1,551,229,40,4
05045000019,05,045,000019,1125,278,30,23,16,4,6,3,1044,352,70,1
05045000021,05,045,000021,1347.1,188.7,54,29.8,9,7,5.1,3.1,1235.3,309.9,79.4,2.1
05045000022,05,045,000022,878.9,151.6,30.6,11.3,6.4,4.6,4.6,6.3,787.1,231.1,58.9,3.6
05045000023,05,045,000023,589.4,329.6,26.2,11.9,8,7.9,5,4.9,530.2,371,53,0
05045000024,05,045,000024,501.7,236.6,25.7,6,6.9,1,5.9,1,430.5,288,41.6,0
05045000025,05,045,000025,812.3,188.6,25.1,13.9,5.1,3.3,5.1,3.1,751.3,247.8,51,0.1
05045000026,05,045,000026,888.1,222,28,21,9,6,15,4,814.1,306,45,1
05045000027,05,045,000027,245.4,36,10.4,1.9,0.9,3.8,2.8,1.9,202.8,71.5,21.2,0
05045000028,05,045,000028,717.1,149.4,30.4,10.7,5.9,9.7,8.7,4.9,648.5,224.6,46,0
05045000029,05,045,000029,964,167.8,45.7,8,10.9,5,2,7,860.7,256.2,69.5,3
05045000030,05,045,000030,260.5,63.8,10.1,9,4,0,1,0,249.6,83.3,13.4,1
05045000031,05,045,000031,333.6,58.1,7.4,1.1,0.1,1.2,0.2,1.1,271.2,98,27.4,0
05045000032,05,045,000032,109,20,1,0,0,0,0,1,88,29,11,0
05045000033,05,045,000033,157,52,6,4,2,0,0,0,133,80,5,0
05045000034,05,045,000034,248.1,55.7,5.1,0.2,2.9,4.8,1.9,2,221.5,85,9.3,1
05045000035,05,045,000035,547.8,111.7,24.3,6.2,3.4,7.1,6.2,5.1,479.4,184.6,36.2,1.1
05045000036,05,045,000036,680.1,535.2,59.4,13.9,14.6,3.2,4.2,1.4,637.6,590.1,56.8,3.1
05045000037,05,045,000037,699,130.7,17,6,3,3,1,2,611.9,193.7,36,2
05045000038,05,045,000038,296,113.3,6,0,1,2,2,1,250.1,138.3,16,1
05045000039,05,045,000039,1281.3,276.1,53.8,17,17.9,3,3,6,1161.6,396.7,72.9,0
05045000040,05,045,000040,203.5,315,23.1,9.1,9,1.8,1.8,0.3,192.9,328.5,28.6,1.5
05045000041,05,045,000041,176,248,31,10,10,1,0,3,186,245,31,2
05045000042,05,045,000042,490.7,388.9,58.9,22.4,16.3,4.8,4.8,2,484.9,416.6,69.9,0.8
05045000043,05,045,000043,845,690,62,49,30,6,7,4,816,758,95,5
05045000044,05,045,000044,950,508,44,33,18,3,6,4,941,560,47,1
05045000045,05,045,000045,356.4,173.9,12.5,4.7,4.7,0.8,0.8,1.6,360.2,171.5,17.9,1.6
05045000046,05,045,000046,653,406,40,46,7,2,6,1,671,433,41,0
05045000048,05,045,000048,729.5,391.3,36.1,17.8,10.9,3.9,3,3.4,705,414.2,43.4,3.4
05045000049,05,045,000049,415,485,36,33,12,3,4,2,427,488,48,3
05045000050,05,045,000050,974,487,63,41,11,6,9,6,983,537,57,2
05045000053,05,045,000053,578.2,240.9,28.1,15,5,3,1,0,583,261.9,20.2,0
05045000054,05,045,000054,307.1,201,26.6,5.6,4.6,1.1,1.1,1.2,311.6,198.7,25.4,2.2
05045000055,05,045,000055,653.9,115.8,26,8.3,8.2,3.3,5.3,2.2,577.7,191.2,38.5,0
050470001-A,05,047,0001-A,227.7,84.6,11.1,4,3.1,0,0.2,2,223.3,82.2,19.2,0
050470001-B,05,047,0001-B,239.3,71.9,7.5,0.9,3.7,0.9,0,2.8,227.2,83,12.1,0
050470001-C,05,047,0001-C,15.6,4.7,0.5,0.1,0.2,0.1,0,0.2,14.8,5.4,0.8,0
050470002-A,05,047,0002-A,268.5,91.5,14.8,4.9,3,1,0,3,243.8,116.3,17.7,0
050470002-B,05,047,0002-B,88.8,13.5,4.3,1.2,0.1,0.1,0,1.1,80.3,27.2,2.4,0
050470002-C,05,047,0002-C,28.2,1.5,2.1,0.1,0,0.1,0,1,23,6.1,3,0
050470002-D,05,047,0002-D,30.7,3.9,0.8,0.8,0,0.8,0,0,29.1,7.9,0,0
050470002-E,05,047,0002-E,109,45,4,3,0,0,0,2,106,42,10,1
050470003-A,05,047,0003-A,178,46,4,0,1,0,0,1,145,76,8,0
050470003-B,05,047,0003-B,43.9,8.2,4.5,0.7,1.5,0,0,1.5,45.4,9.7,5.2,0
050470003-C,05,047,0003-C,109.8,39.1,2.8,1.1,0.1,0,0.1,0.1,103.6,38.9,6,0
050470003-D,05,047,0003-D,176,27,2,5,0,0,2,0,158,42,10,0
050470003-E,05,047,0003-E,7,5,2,0,0,0,0,0,9,5,1,0
050470003-F,05,047,0003-F,72.9,12.6,3.6,0,0,0,0.9,0,61.2,18.9,5.4,0
050470004-A,05,047,0004-A,148.6,43.6,9.9,4,1,1,0,0,134.8,62.4,12.9,0
050470004-B,05,047,0004-B,144,25,2,4,0,3,1,1,130,39,9,0
050470004-C,05,047,0004-C,34.1,17,0,0,0.8,0,0,0,35.8,13.6,3.4,0
050470004-D,05,047,0004-D,296.4,75.1,15.6,4.8,0,1.9,4.8,0,282.7,89.7,16.6,0
050470005-A,05,047,0005-A,284.1,81.5,3.8,3.8,1.9,0.9,0,0.9,258.8,103.1,13.1,0
050470005-B,05,047,0005-B,44.1,8.5,1.2,0.2,0.1,0,0,0,40.8,11.6,1.7,0
050470005-C,05,047,0005-C,309,73.1,2.9,1,2.9,0.9,2.8,0.9,302.4,82.6,6.7,0
050470006-A,05,047,0006-A,168.8,43.6,5.8,2.9,1,1,1,1,144.7,63.8,12.5,0
050470006-B,05,047,0006-B,167.1,60,6.6,0.2,0,1.1,2.2,2,163.2,66.8,8.7,1
050470006-C,05,047,0006-C,47,17,3,0,0,0,0,1,50,15,5,0
050470006-D,05,047,0006-D,31.4,4.7,0.1,0.1,1.2,0,0,0,28.4,7.4,0.8,0
050470007-A,05,047,0007-A,89.9,22,3.5,0.9,0,0,0,0,79.3,29.1,6.2,0.9
050470007-B,05,047,0007-B,120,22,0,0,2,2,0,0,118,25,4,0
050470007-C,05,047,0007-C,245.6,43.1,5.9,0.2,1.9,0.1,1.9,1.9,213.5,70.8,15.2,0.9
050470007-D,05,047,0007-D,192.4,45,9.8,5.2,1,0.1,1.4,0,189.5,55.3,6.9,0
050470008-A,05,047,0008-A,45.2,22.2,2.1,0.7,0,0,0.7,0,50.7,17.4,2.1,0
050470008-B,05,047,0008-B,215.8,57.9,4,2,1,0,0,0,192.8,75.9,9,1
050470008-C,05,047,0008-C,139.6,31.1,4.7,1.3,0.2,1.9,2.1,0.2,133.6,42.4,7.5,0
050470008-D,05,047,0008-D,155.3,38.4,4.4,4.1,1.1,1,2,0.1,152.1,46.2,8.8,0.1
050470008-E,05,047,0008-E,15.8,8.3,0,0,0.9,0,0,0.9,18.5,7.4,0,0
050470008-F,05,047,0008-F,14,6,1,0,0,0,0,0,14,7,1,0
050470008-G,05,047,0008-G,3,3,0,0,0,0,0,0,1,5,0,0
050470009-A,05,047,0009-A,288.4,82.1,10,6,2,1,5,0,280.4,97.1,14,0
050470009-B,05,047,0009-B,187.4,78.7,13.5,3.4,2,2,1,2,205.9,81.1,5.5,0
050470009-C,05,047,0009-C,52,12.8,2.5,0.6,0,0,0,0,54.6,13.2,2.5,0
05049000002,05,049,000002,764.5,314.5,29,7,13,4,3,5,741.3,311.6,45.9,0
05049000003,05,049,000003,289.2,57.8,11,1,5,2,1,0,274.2,56.8,18,0
05049000004,05,049,000004,140.9,27.4,5.1,1,1,1,1,0,130.7,28.5,8.2,0
05049000005,05,049,000005,421,79,10,0,6,1,4,4,377,82,30,0
05049000006,05,049,000006,614,190,17,4,4,3,2,5,566,199,37,0
05049000008,05,049,000008,57,20,3,1,0,0,2,1,56,19,5,0
05049000009,05,049,000009,523.8,146.1,19.5,7.8,6.8,3.8,1,2.9,471.5,157.1,43.3,0
05049000010,05,049,000010,278.2,101.2,8.3,2.2,1.1,2.2,2,1.1,284.9,83,22.4,0
05049000011,05,049,000011,255.2,87.1,2.2,0,3.1,0,1,3,236,76.1,17.3,0
05049000015,05,049,000015,128,44,2,3,1,2,1,0,117,46,5,0
05051000011,05,051,000011,354.8,345.2,27.8,5.5,15.9,4.6,2.1,6.2,338.1,367,41.7,2
05051000012,05,051,000012,253.2,352.7,26.1,13.1,25.2,14.9,3.7,7.5,238.2,397.5,50.4,0
05051000013,05,051,000013,302,208,13,10,2,5,3,3,305,208,18,3
05051000014,05,051,000014,545.1,130.6,16.1,4.9,7.2,3.3,1,4,485.4,194.6,31.4,1
05051000021,05,051,000021,232,467,25,13,13,6,5,5,229,473,42,0
05051000022,05,051,000022,146,520,17,18,6,8,9,8,158,525,34,2
05051000023,05,051,000023,84.3,31.5,0.9,0.1,0.8,0.7,0,2,76.8,39.8,4.4,0
05051000024,05,051,000024,16,7,1,0,1,1,3,0,11,15,3,0
05051000031,05,051,000031,33.4,11.8,0,0,0,0,0,0,32.4,8.9,2.1,0
05051000032,05,051,000032,326.1,185.5,8.4,9.1,6.3,4.2,5,1.1,309.9,213.3,15.3,1.1
05051000033,05,051,000033,473.5,479.4,24.7,10,20.8,12.9,5,4.9,431.9,521.2,64.2,5.9
05051000034,05,051,000034,272,340,15,10,13,5,2,2,248,369,32,1
05051000041,05,051,000041,447.8,318.4,22.2,12.2,8.1,4,3.1,3,434.6,339.6,35.4,0
05051000042,05,051,000042,621.9,450.3,20.9,20.7,9.8,4.4,6.2,3.2,598.3,483.1,45.4,2.1
05051000043,05,051,000043,468.1,209.1,14.7,3.8,9.2,2.3,3.1,1.3,409.4,258.2,32.6,2.1
05051000044,05,051,000044,534.8,323.6,21.8,7.9,5.3,2,0.2,2,513.6,347.9,26.9,2
05051000051,05,051,000051,64,111,10,4,4,4,1,1,69,111,10,3
05051000052,05,051,000052,144,114,5,0,10,1,1,3,133,121,15,1
05051000053,05,051,000053,615,347.9,15.8,7.9,9.8,3.9,7.8,6.9,545.5,422.4,39.3,1
05051000054,05,051,000054,1026.9,461.2,44,18,4.2,11.9,6,6,956.1,538.1,71.9,4
05051000061,05,051,000061,137.8,53.1,1.9,2.8,6.5,0,0,0,125.7,68.9,7.4,0
05051000062,05,051,000062,162,105,8,4,3,0,0,0,160,112,7,0
05051000063,05,051,000063,1003.6,443.4,57.3,16.5,14.3,16.3,7.1,4.2,944,531.3,67.8,6.1
05051000064,05,051,000064,902.2,435.9,35.1,13.2,7.5,10,7,5,871.3,496.1,40.5,2
05051000065,05,051,000065,34,20,0,0,0,2,0,0,32,24,0,0
05051000071,05,051,000071,218,82,9,7,3,3,1,1,197,99,20,0
05051000072,05,051,000072,615,252.3,26,8.2,5.3,3.2,2.1,3,588.4,279.7,38,3
05051000073,05,051,000073,709.7,278,20.7,12.8,3,1,7.9,1,660.4,325.3,39.4,0
05051000074,05,051,000074,1122.8,469.9,44.2,18.7,8.7,8.9,4,5.9,1086.3,513.2,56.5,3
05051000081,05,051,000081,268.9,60.3,6,5,6,0,3,5,234.8,102.4,13,0
05051000082,05,051,000082,1070,310,31,7,8,10,3,5,967,411,58,1
05051000083,05,051,000083,749.7,227.7,22.2,6.8,6.8,8.7,3.9,5.8,688,292.4,41.5,0
05051000084,05,051,000084,485.8,130.2,13.9,4,3,7.9,4,4,433.4,184.6,24.8,4
05051000091,05,051,000091,323,96,23,5,6,3,3,2,298,134,27,1
05051000092,05,051,000092,611.8,147.5,16,3,5,2,2,0,542.9,221.5,22,0
05051000093,05,051,000093,806.5,348.2,25.8,12,12,6.9,4.3,3.4,756.6,418.7,35.2,1.7
05051000094,05,051,000094,527.9,178.2,14.5,4.6,2.6,4.5,4.2,2.3,494.2,217.6,20.5,2
05051000095,05,051,000095,80.4,34.5,5.7,0,2.9,1.9,0,0.9,74.6,46.1,4.8,0
05051000101,05,051,000101,450.8,105.6,6,9.8,2,2,4.9,3,395.6,155.8,23.6,2
05051000102,05,051,000102,422,88,13,1,6,3,2,5,373,134,25,2
05051000103,05,051,000103,743.3,318.9,33.3,6,17.1,9.1,2,3,677,382.5,59.3,4
05051000104,05,051,000104,287,127.3,9.8,7.8,3.9,4.9,2.9,2.9,246.8,162.6,27.4,1
05051000111,05,051,000111,214.4,56.6,2.9,2.9,2.9,3,2.9,2,187.9,81.9,10.8,0
05051000112,05,051,000112,135.8,28.4,1.1,0,0,0,0,1,117.8,38.5,5.1,1
05051000113,05,051,000113,1239.6,443.4,38.9,11,8,9,8,5,1169.5,510.3,51,3
05051000114,05,051,000114,1071.2,431.2,28,8,8,9,3,13,1022.3,477.1,51.9,2
05051000115,05,051,000115,245.7,136,4,5,1,1,3,1,244.6,136.1,13,0
05051000121,05,051,000121,499.9,206,24.8,6.8,7.5,6.7,2.4,5.7,442.6,265.5,35.8,0.2
05051000122,05,051,000122,697.7,253.8,20.2,7.3,16.5,7.3,3.7,7.3,614.4,329.8,49.5,1.8
05051000123,05,051,000123,450,101,15.1,3.3,6.5,2.4,1.1,1.2,405.8,150.1,20.7,0
05051000124,05,051,000124,0,0,0,0,0,0,0,0,0,0,0,0
05051000125,05,051,000125,120,47.3,1.7,7.1,1.3,1.1,1,0,124,49.5,3.9,0
05051000131,05,051,000131,276.4,106.1,16,5,6,3,0,1,246.3,147.1,19,1
05051000132,05,051,000132,1254.8,468.3,32.9,12.4,8.6,13.6,3.2,8.2,1274.2,485.2,36.5,1.1
05051000133,05,051,000133,980.5,249.9,38.3,6.7,13.4,12.4,4.8,3.8,864.8,353.2,72.7,2.9
05051000134,05,051,000134,209.8,57.9,13,0,3,3,2,0,179.8,94.9,11,1
05053000001,05,053,000001,512.4,70.5,15.7,6.9,0,2,1,5.9,428.1,148.9,24.5,0
05053000002,05,053,000002,115.3,18.9,1,4,1,3,2,4,111.3,27.8,6,0
05053000003,05,053,000003,101.3,22,3.2,1,1,0,0,1,87.6,29.9,9.9,0
05053000004,05,053,000004,151.7,48,7.8,0,1,0,1,0,119.4,50.1,35.1,1
05053000005,05,053,000005,204.3,102.3,3.3,1.1,0,0,1,1.1,158.8,127.7,14.4,0
05053000008,05,053,000008,260.9,51.8,10.9,2,0,2,2,2,226.1,80.7,14,0
05053000009,05,053,000009,100.7,17.3,1.9,1,0,0,1,0,88.3,32.6,2.9,0
05053000010,05,053,000010,214.3,42.7,5,0,2,2,0,0,176.6,66.5,12.9,0
05053000011,05,053,000011,474,100.1,6.9,1,1,0,2,2,415.1,144.3,17.7,0
05053000012,05,053,000012,427.4,95.8,18.5,2.4,2.2,1.9,3,2.1,384.8,129.4,22.1,0
05053000013,05,053,000013,377,125,8,1,6,2,2,0,314,165,22,0
05053000014,05,053,000014,421,77,13,4,3,1,8,1,365,121,35,0
05053000015,05,053,000015,324,46,11,1,2,0,0,2,294,65,17,0
05053000017,05,053,000017,183.5,41.4,6.1,3,1,0,5,3,166.2,56.7,13.1,0
05053000019,05,053,000019,552,106,10,11,3,2,3,2,484,150,34,1
05053000020,05,053,000020,486.4,130.3,20,3.8,1.9,0.1,1,1.9,448.9,155.5,25.6,0
05053000021,05,053,000021,441.7,134.5,16.6,4.9,2.9,1,2.9,2,402.6,164.8,26.4,1
05053000022,05,053,000022,371.7,142.4,18.1,3,2,4,1,2,339.6,159.3,28.2,0
05055000001,05,055,000001,596.1,187.2,26.8,8.9,2.4,1.8,1.2,1.2,573.9,190.1,36.5,1.2
05055000002,05,055,000002,1487.3,575.3,71,19.8,16.3,12.9,3.8,5.7,1398,597,115.7,0.8
05055000003,05,055,000003,597.9,276.6,42.8,11.1,14.8,5.1,1.1,7.9,541.9,272.6,88,0
05055000004,05,055,000004,1197.5,314.9,30,15.3,8.3,10.2,1.1,3.1,1130,342.3,62.8,0
05055000005,05,055,000005,11.9,3,0.1,0,0,0,0,0,9.5,3.4,1.2,0
05055000006,05,055,000006,113.8,21.2,0,1,0,0,0,0,97.7,29.3,1,0
05055000007,05,055,000007,138.2,58.3,3.7,0.9,0,0.9,0,0,126.3,58.5,10,0
05055000008,05,055,000008,13.6,4.3,0,0,0,0,0,0,11.9,6,0,0
05055000009,05,055,000009,228,62,6,1,1,1,1,1,189,78,22,0
05055000010,05,055,000010,43.2,12.5,2,0.6,0,2,0,0,38.8,17.2,1.3,0
05055000011,05,055,000011,9.9,3.5,0,1.4,0,0,0,0,9.2,2.8,0.7,0
05055000012,05,055,000012,370.6,96.8,8.9,1,2,5.9,4,1,318.2,124.5,34.6,1
05055000013,05,055,000013,44.8,16.9,0,0,2,0,0,0,34.8,19.9,6,0
05055000014,05,055,000014,79.2,34.2,2,0,2,1,0,1,73.3,31.3,6.8,0
05055000015,05,055,000015,335.4,52.8,7,6,0,3,0,0,312.5,61.7,21.9,0
05055000016,05,055,000016,80,17,7,1,0,1,0,0,63,30,9,0
05055000017,05,055,000017,3.9,1,0,0,0,0,0,0,2.9,1,0,0
05055000018,05,055,000018,238.2,57.2,6.9,0,1,2,1,0,206.6,78.8,11,1
05055000019,05,055,000019,299.6,63.6,8.8,3.9,2.9,2,0,1,262.4,81.3,15.7,0
0505500001A,05,055,00001A,885.5,259.9,39.2,11.8,6.9,11.8,4.9,3,868.8,255,56.9,1
05055000020,05,055,000020,21.6,3.7,0.8,0,0,0,0,0,17.4,6.1,0.1,0
05055000021,05,055,000021,67.5,19.8,1,2,0,1,0,0,63.4,17.9,3.9,0
05055000022,05,055,000022,61,27,2,0,0,1,0,1,49,33,4,0
05055000023,05,055,000023,56.1,13.7,0.2,0,0,1,0,0,42.3,23.1,1,0
05055000024,05,055,000024,539,77,13,3,1,2,4,1,487,97,33,0
05055000025,05,055,000025,242,59,6,2,1,3,6,1,227,68,16,0
05055000026,05,055,000026,283.5,56.1,14,3,3,1,1,0,253.5,75.1,23,0
05055000027,05,055,000027,478.3,117.6,12.8,2.9,8.7,4.9,1,2.9,415.5,147.3,32.1,0
05055000028,05,055,000028,42,13,3,1,1,2,0,0,43,13,5,0
05055000029,05,055,000029,25,6,1,0,0,1,0,0,22,9,0,0
0505500002A,05,055,00002A,600.2,150.8,21.8,14.2,9.2,2.1,2,3.1,557.2,170.8,46.6,1
05055000030,05,055,000030,61,31,6,1,2,3,0,0,58,31,9,0
05055000031,05,055,000031,233.4,87.2,10.3,4.1,3,6,1,0,213.1,85.2,19,0
05055000032,05,055,000032,301.4,64.8,11.6,2.1,2.4,3.2,0,0.1,254.3,88.2,28.6,0
0505500003A,05,055,00003A,14.5,4.2,0.3,2,0.1,0,0,0.1,14,5.1,1.7,0
0505500004A,05,055,00004A,819,203,34.9,15,5,5,2,2,760.3,231.1,60.9,0
0505500004B,05,055,00004B,1.9,0.9,0.1,0,0,0,0,0,1.7,0.8,0.1,0
0505500004C,05,055,00004C,101,19,3,2,1,1,0,1,97,24,4,0
05057000001,05,057,000001,258.9,352.9,8.4,4.1,1.1,5.2,6.1,2.1,242.6,330.7,11.7,0
05057000002,05,057,000002,69,311,4,2,2,2,2,0,76,271,8,0
05057000003,05,057,000003,306.9,169,9,5,1,3,3,2,311.9,172,6,0
05057000004,05,057,000004,94.2,267.2,4.9,2.1,1.3,3.4,2.2,1.1,96.8,245,11,1
05057000005,05,057,000005,288,254.3,13.1,5,2,3,4,2,285.9,249.4,15.1,0
05057000006,05,057,000006,206.9,35.8,1.4,1.1,1,1.9,0.9,1.9,188.5,48,8,0
05057000007,05,057,000007,356.2,92.1,9.7,0.9,2.6,3.5,1.8,0.9,344,99.1,9.6,0
05057000008,05,057,000008,265.8,51.7,3.2,1,0,1.1,1.2,0.2,252.3,50.3,11.4,0
05057000009,05,057,000009,267.8,56.9,2.9,1.8,0.1,0.1,1.9,1,238.3,69.8,8.5,0
05057000010,05,057,000010,46.7,52.5,2,1,1,1,0,0,43.8,47.7,6.8,0
05057000011,05,057,000011,79.7,31.9,0,1,0,1,1,1,67.9,36.6,4.1,0
05057000012,05,057,000012,170.1,38,9.5,2.9,0.9,0,0,0,153.9,43.7,11.4,0
05057000013,05,057,000013,89.6,95.8,4,3,0,1,1,0,78.5,87.9,12,0
05057000014,05,057,000014,99,39,2,2,1,1,2,1,92,42,5,2
05057000015,05,057,000015,213.4,62,1.1,2,0,1.1,1,1.1,195,67.2,5.2,0
05057000016,05,057,000016,16.4,24.6,1,0,0,0,0,0,12.1,23.6,1.2,0
05057000017,05,057,000017,102.2,120.7,2.8,0.9,0.9,1.9,2.8,3.7,93.8,112.3,6.6,0
05057000018,05,057,000018,162.6,35.5,3.2,1.1,0.1,1.1,0,0,148.7,45.1,3.3,0
05057000019,05,057,000019,148,25.4,3,1,0,0,2,0,145.8,24.6,5.1,0
05057000020,05,057,000020,143.4,46.2,7,3,0,1,0,0,146.4,45.2,7,0
05057000021,05,057,000021,88.9,32.1,1,0,0,1,0,1,85.9,33.1,2,1
05057000022,05,057,000022,200.2,37.9,5.8,3.9,2.9,1,1,0,197.3,43.7,2.9,0
05057000023,05,057,000023,636.3,57.5,4.8,1.9,2.9,2.9,1,1,584.2,85.4,13.5,1
05057000024,05,057,000024,68.6,83.6,2,1,1,0.1,3,0.1,67,73.8,10.1,0
05059000ANT,05,059,000ANT,144,21,1,0,1,2,1,0,126,40,0,0
05059000BIG,05,059,000BIG,174.4,26.9,2,0,1,1,0,0,162.4,36.9,8,0
05059000BIS,05,059,000BIS,675.5,218.1,23,14,11,4,7,3,582.4,295.2,49,0
05059000BRO,05,059,000BRO,94.7,16.9,0.3,1.2,1.1,1,0.1,1.1,76.4,36.2,1.2,0
05059000BUT,05,059,000BUT,257.9,69.5,12.6,2.7,1,2.7,0.9,2.7,235.5,100.7,8.2,0
05059000CEN,05,059,000CEN,313.1,97.2,10.1,6.1,5,4,1,2,276.4,138.8,16.2,0
05059000CLE,05,059,000CLE,115,31,1,0,2,2,0,1,90,51,7,0
05059000DER,05,059,000DER,422,128,9,5,6,5,7,6,383,179,17,1
05059000DON,05,059,000DON,72.2,17,2,0,2,1,0,0,65.2,25.1,2,0
05059000DOV,05,059,000DOV,251,47,16,1,0,1,0,2,216,83,13,0
05059000FRI,05,059,000FRI,57.1,17.1,1.9,0.9,0,0,0,0,49.5,21,0.9,0
05059000GIF,05,059,000GIF,383,84,3,4,7,6,1,4,321,153,10,1
05059000GRO,05,059,000GRO,569.8,134.2,11,9,2,2,0,3,517.7,177.3,19,1
05059000HAR,05,059,000HAR,78,18,4,2,0,5,0,2,67,32,6,0
05059000HEN,05,059,000HEN,174.7,46.4,5.8,3.6,2.2,1.4,0.7,1.4,148.6,69.6,7.2,0.7
05059000LON,05,059,000LON,259.9,73.5,6,1,3,0,2,3,232.7,104.8,8.1,2
05059000MA2,05,059,000MA2,512,289,23,5,10,6,1,5,474,327,28,0
05059000MA3,05,059,000MA3,393.1,220.1,13.3,5.1,11.3,7.1,1.1,8.1,345.2,267.2,27.2,0
05059000MA4,05,059,000MA4,296.7,399.1,10.2,3.2,7.5,3.1,1.1,4.1,278.8,407.3,17,0
05059000MAG,05,059,000MAG,985.7,219.7,29,8,10,9,1,10,865.9,339.5,45.1,1
05059000MON,05,059,000MON,282.4,75.3,15.2,2.1,1,1,0,0,221,125.9,18.1,0
05059000OUA,05,059,000OUA,104.4,19.9,1.9,2.9,0,0.9,0,0,87.3,32.3,6.6,0
05059000PER,05,059,000PER,18.1,76.4,0.5,0,0.1,0,0,0,23.2,64.6,2.5,0
05059000PRA,05,059,000PRA,163.4,37.6,3.9,2.9,1.9,0.9,0.9,1.9,138.1,63.6,3,0
05059000RP1,05,059,000RP1,86.9,40.2,2.3,1.3,3,0.9,0.4,0.9,84.7,42.7,6.6,0
05059000RP2,05,059,000RP2,123.9,48.2,3.9,1.7,3.4,1.3,0.6,1.3,118.7,55.4,8,0
05059000VAL,05,059,000VAL,243.2,67,6.1,3.3,1.8,0.5,0.3,1.5,213.6,82.6,8.7,0.3
0505900FENA,05,059,00FENA,297.6,107.2,4.8,1.9,4.8,1.9,0.9,0.9,267.1,141.1,3.1,0
0505900FENB,05,059,00FENB,239.1,77.3,3.1,2.9,2,1,0,3,223.4,88.1,10.8,0
0505900FENC,05,059,00FENC,22.3,58.8,1.5,0,0,0,0,0,22.3,52.1,1.5,0
0505900MA1A,05,059,00MA1A,176.4,269.1,8.9,2.2,8.1,3,1.5,1.5,184,257.2,13.2,1.5
0505900MA1B,05,059,00MA1B,55.3,85.9,2.8,0.7,2.6,0.9,0.5,0.5,57.9,81.9,4.2,0.5
0505900MID1,05,059,00MID1,77.5,9.2,0,0,0,0.6,0,0.6,62.4,22.5,2.5,0
0505900MID2,05,059,00MID2,51.7,6.1,0,0,0,0.4,0,0.4,41.6,14.9,1.6,0
0505900RP14,05,059,00RP14,3.4,1.4,0.1,0,0.1,0,0,0,3.3,1.5,0.3,0
05061000001,05,061,000001,81.6,12.8,3.2,0,0,0,0,0,73,19.9,2.4,0
05061000002,05,061,000002,19,3,0.7,0,0,0,0,0,16.9,4.7,0.6,0
05061000003,05,061,000003,9.2,0.8,0.4,0,0,0,0,0,8.4,1.2,0.4,0
05061000004,05,061,000004,13.5,1.2,0.6,0,0,0,0,0,12.3,1.8,0.6,0
05061000005,05,061,000005,76.6,5,4,2,0,0,0,1,70.6,14.9,2,0
05061000006,05,061,000006,30.4,4.2,0.6,0,0,0,0,0,28.6,5.4,0,0
05061000007,05,061,000007,20.6,2.8,0.4,0,0,0,0,0,19.4,3.6,0,0
05061000008,05,061,000008,58.6,12.7,1,0,0,0,0,0,51.8,14.6,0,0
05061000009,05,061,000009,150.8,11.6,0.9,0,0,0.9,0.9,0,140.2,20.1,4.8,0
05061000010,05,061,000010,79.3,9.2,2.8,0,0,0.9,0,0,74.7,9.2,4.6,0
05061000011,05,061,000011,4.9,0.6,0.2,0,0,0.1,0,0,4.6,0.6,0.3,0
05061000012,05,061,000012,41.1,3.5,0,1.4,0,0,0,0,36.2,5.7,2.1,0
05061000013,05,061,000013,18.7,1.7,0.1,0.6,0,0,0,0,16.6,2.5,1,0
05061000014,05,061,000014,146,16,2,0,0,1,0,0,135,27,0,0
05061000016,05,061,000016,117,44,2,1,2,1,1,2,108,48,4,1
05061000018,05,061,000018,61,9,0,0,1,0,0,0,56,11,1,0
05061000019,05,061,000019,56,20,1,0,0,0,0,0,53,19,2,0
05061000020,05,061,000020,36.2,10.5,0,0,0,0,0,0,33.4,8.6,1.9,0
05061000021,05,061,000021,208,19,2,3,0,1,2,0,189,28,10,0
05061000022,05,061,000022,14.4,2.4,0.3,0.1,0.1,0,0.1,0,14.6,1.8,0.4,0
05061000023,05,061,000023,82.3,13.6,1.7,0.8,0.8,0,0.8,0,83.2,10.2,2.5,0
05061000024,05,061,000024,254.9,77.8,4.9,4.1,1.1,0.1,0.1,0.1,232.2,89.7,5.1,0
05061000025,05,061,000025,58.1,70.2,2,3,1,1,0,1,60,62.5,6,0
