GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05051000133,05,051,000133,459.63,121.69,23.94,450.07,125.51,25.84,442.4,137,20.11,438.56,132.15,21.11,463.49,126.44,474,115.91,414.66,159,21.07
05051000134,05,051,000134,169.8,52.94,8.99,172.79,47.94,8.99,157.81,60.93,12.98,162.8,54.93,11.99,173.79,53.94,175.79,50.94,161.81,55.93,11.99
05053000001,05,053,000001,411.46,54.86,10.78,414.4,56.82,7.84,401.67,70.54,7.84,389.91,78.37,11.76,418.32,59.76,426.16,51.92,389.91,79.35,9.8
05053000002,05,053,000002,86.46,15.9,4.97,89.44,15.9,0.99,92.42,12.92,1.99,88.45,17.89,0.99,93.42,11.93,95.4,10.93,88.45,14.91,2.98
05053000003,05,053,000003,67.14,12.8,5.06,69.8,12.61,2.59,68.89,13,4.09,68.7,13.22,3.08,71.84,13.12,73.01,11.93,68.7,14.16,3.11
05053000004,05,053,000004,147.86,34.2,5.94,140.2,28.39,19.41,142.11,40,5.91,136.3,46.78,4.92,143.16,43.88,148.99,37.07,136.3,45.84,5.89
05053000005,05,053,000005,158.51,56,3.2,152.57,65.04,1.14,150.33,67.29,1.14,137.12,80.43,0.21,165.64,51.09,164.78,52.95,138.12,78.45,1.18
05053000008,05,053,000008,211.19,28.91,5.97,209.16,33.91,3.98,199.24,38.86,9.93,193.3,46.76,6.98,208.23,38.82,211.13,34.91,189.28,49.81,6.98
05053000009,05,053,000009,70.99,10.55,1.92,71.95,10.55,0.96,68.11,14.39,1.92,65.24,16.31,1.92,70.03,11.51,70.99,11.51,64.28,18.23,0.96
05053000010,05,053,000010,155.79,39.69,2.98,160.75,33.74,2.98,152.81,40.68,4.96,148.84,42.67,6.95,156.78,40.68,162.74,35.72,147.85,45.65,4.96
05053000011,05,053,000011,377.85,61.83,9.81,383.73,57.91,6.87,367.05,77.54,5.89,360.18,79.5,8.83,382.75,67.72,394.53,54.96,356.25,81.46,11.78
05053000012,05,053,000012,358.92,65.29,8.1,355.91,69.58,5.87,339,84.41,7.87,347.27,77.1,6.9,376.63,51.45,376.28,51.8,336.61,86.89,7.64
05053000013,05,053,000013,271,96,11,277,95,7,264,106,9,264,104,10,277,98,280,93,255,104,18
05053000014,05,053,000014,321,62,5,325,56,6,318,64,6,309,71,8,329,56,330,54,314,69,5
05053000015,05,053,000015,233.03,31.04,9,234.03,30.04,8,222.03,41.04,9,231.02,34.04,6,237.03,35.02,241.03,30.01,226.03,35.04,11
05053000017,05,053,000017,157.87,23.26,4.07,151.93,29.25,2.04,147.87,30.28,5.08,147.76,29.44,6.03,157.9,26.31,151.01,31.21,140.77,37.38,6.05
05053000019,05,053,000019,425,59,11,425,57,9,411,69,13,395,84,13,433,59,429,62,400,82,11
05053000020,05,053,000020,401.21,94.19,11.32,401.97,98.94,5.77,371.1,124.27,10.39,383.35,114.78,8.54,413.88,89,425.73,77.15,373.74,115.24,15.86
05053000021,05,053,000021,351.14,81.81,13.58,343.38,83.8,19.39,318.08,119.72,8.76,334.5,95.56,13.6,364.74,78.9,379.27,64.37,324.8,104.24,15.56
05053000022,05,053,000022,313.9,70.02,3.21,308.04,76.92,5.12,288.78,95.23,6.11,290.67,93.25,6.16,320.05,67.07,322.25,64.85,286.57,90.37,10.19
05055000001,05,055,000001,446.7,119.01,22.76,452.64,120.85,15.54,439.51,133.95,13.8,431.16,140.58,11.35,494.98,88.65,493.9,86.18,431.73,139.98,14.94
05055000002,05,055,000002,1138.34,367.05,72.21,1154.21,379.98,38.93,1103.37,432.81,37.7,1076.19,457.77,32.18,1235.8,320.98,1257.51,299.76,1082.41,436.92,45.35
05055000003,05,055,000003,427.21,161.03,25.2,415.59,175,23.76,412.12,194.98,10.2,387.63,211.67,11.21,438.92,168.55,465.48,144.85,396.41,197.01,19
05055000004,05,055,000004,838.71,204.97,59.79,863.1,214.69,27.31,839.84,236.27,31.62,831.65,248.76,26.37,940.07,157.88,932.75,160.94,832.62,243.17,30.03
05055000005,05,055,000005,9.1,1.78,0.05,7.96,1.9,1.04,8.91,1.95,0.06,8.96,1.89,0.04,8.12,2.75,9.14,1.72,8.89,2,0.03
05055000006,05,055,000006,75.38,15.28,9.05,83.47,14.28,3,83.47,14.28,3,81.47,15.28,4,88.47,13.19,87.47,13.28,85.47,13.28,3
05055000007,05,055,000007,127.43,28.65,10.97,119.54,35.92,6.32,120.33,40.46,5.44,110.47,49.43,6.31,128.57,34.77,131.26,29.58,111.32,43.25,6.31
05055000008,05,055,000008,6.81,5.11,0.85,8.52,5.11,0,8.52,5.11,0,8.52,5.11,0,8.52,3.41,8.52,5.11,8.52,5.11,0
05055000009,05,055,000009,182,52,20,192,53,9,191,58,6,180,69,5,210,41,209,42,186,63,5
05055000010,05,055,000010,27.16,12.74,1.58,26.4,11.5,2.58,24.4,13.21,2.58,27.69,11.21,1.58,32,8.18,30.97,9.5,25.69,10.79,4
05055000011,05,055,000011,4.97,4.26,1.42,5.68,3.55,1.42,5.68,2.84,1.42,6.39,2.84,1.42,7.11,2.84,7.11,3.55,6.39,4.26,0
05055000012,05,055,000012,313.24,60.28,20.75,311.26,69.17,13.83,311.26,73.12,9.88,310.27,77.07,7.9,323.12,68.18,326.08,66.2,304.34,75.1,15.81
05055000013,05,055,000013,34.81,7.96,2.98,34.81,6.96,1.99,32.82,11.93,0.99,32.82,10.94,1.99,38.79,6.96,37.79,7.96,33.81,9.95,1.99
05055000014,05,055,000014,61.61,22.49,4.89,60.63,24.44,1.96,60.63,24.44,2.93,58.67,28.35,0.98,64.54,21.51,69.43,17.6,58.67,28.35,0.98
05055000015,05,055,000015,260.75,34.84,12.94,263.74,36.83,6.97,252.79,40.81,13.93,258.76,39.82,6.97,269.71,33.84,267.72,32.85,251.8,39.82,12.94
05055000016,05,055,000016,55,10,8,55,13,4,53,15,4,55,13,4,55,17,57,15,51,15,5
05055000017,05,055,000017,4.76,0.03,0,2.89,1.91,0,2.89,1.91,0,2.88,1.91,0.01,3.83,0.97,2.89,1.91,2.89,1.91,0.01
05055000018,05,055,000018,185.34,43.22,15.7,192.07,46.23,7.89,188.21,54,4.95,181.44,59.84,5.89,201.87,42.35,205.77,37.5,179.43,59.82,5.98
05055000019,05,055,000019,232.01,52.86,14.68,232.99,59.71,4.9,236.9,62.65,0.98,223.2,64.61,11.75,251.59,46.01,254.52,41.12,224.18,68.53,6.85
0505500001A,05,055,00001A,758.95,217.71,50.99,757.96,239.28,27.46,729.53,270.66,26.47,713.83,283.41,28.43,811.89,206.93,834.45,182.41,717.76,275.56,31.38
05055000020,05,055,000020,20.36,1.91,1.65,21.96,1.11,0.84,19.47,1.98,0.83,18.61,4.46,0.84,19.65,3.46,20.49,2.6,18.61,3.63,1.66
05055000021,05,055,000021,43.88,14.8,1.04,42.95,15.76,1.01,39.93,17.75,1.01,36.95,20.78,1.01,48.77,10.92,50.77,7.94,36.95,19.77,2.02
05055000022,05,055,000022,43.1,18.97,2,42.03,20.03,2,43.03,19.04,2,40.03,20.03,3.99,45.06,18,43.03,19.04,41.03,19.04,3.99
05055000023,05,055,000023,37.93,10.33,1.33,37.26,11.16,1.16,37.77,10.33,1.16,34.6,12.82,2.16,42.77,6.66,40.93,7.49,35.6,11.66,1.33
05055000024,05,055,000024,401,57,27,398,67,16,400,76,8,391,76,19,418,65,415,66,389,76,17
05055000025,05,055,000025,197,40,10,202,39,5,197,46,4,194,47,4,206,39,205,39,190,49,6
05055000026,05,055,000026,203.39,41.11,14.04,203.41,40.12,13,200.39,48.14,8.01,206.36,42.17,9.01,218.44,36.09,222.44,33.1,199.39,48.14,7.02
05055000027,05,055,000027,381.75,60.72,34.18,386.77,71.44,15.61,376.24,86.05,11.62,369.04,90.11,14.74,403.69,68.15,413.41,58.35,370.9,93.05,12.73
05055000028,05,055,000028,22,4,0,22,4,0,21,4,1,22,4,0,23,2,24,2,21,4,1
05055000029,05,055,000029,22,5,0,24,3,0,23,4,0,23,3,1,25,2,25,2,22,5,0
0505500002A,05,055,00002A,448.18,114.34,37.44,463.95,116.61,18.4,462.66,123.13,16.2,454.21,128.47,15.2,490.42,105.38,503.87,90.01,449.42,132.09,18.36
05055000030,05,055,000030,71,20,1,64,25,3,65,22,4,56,32,5,67,21,69,21,58,29,4
05055000031,05,055,000031,210.38,46.96,20.13,202.47,63.68,9.68,191.68,72.15,10.56,184.54,79.18,8.69,215.44,56.64,217.75,52.02,179.69,85.36,7.69
05055000032,05,055,000032,218.7,48.93,25.68,225.94,54.46,14.77,228.41,57.18,9.58,218.07,63.37,12.72,235.76,57.32,236.24,54.84,221.17,61.52,11.62
0505500003A,05,055,00003A,7.32,2.79,0.43,7.12,3.03,0.41,7.07,3.37,0.17,6.64,3.66,0.19,7.51,2.92,7.98,2.51,6.79,3.4,0.33
0505500004A,05,055,00004A,626.95,148.66,49.85,640.93,152.53,26,616.82,180.64,23,608.98,189.61,23.87,685.91,125.55,689.78,123.68,613.95,179.64,24.86
0505500004B,05,055,00004B,0.99,0.27,0.13,0.99,0.4,0,1.12,0.27,0,0.99,0.27,0.13,0.99,0.4,1.12,0.27,0.98,0.27,0.13
0505500004C,05,055,00004C,130.89,31.73,9.34,134.73,33.24,4.26,131.16,36.53,4.94,129.93,38.46,4.12,146.82,24.31,145.58,24.86,130.06,37.63,4.67
05057000001,05,057,000001,202.86,245.28,9.42,193.59,251.6,8.41,191.3,258.97,5.27,186.35,258.86,8.25,239.34,187.98,243.57,183.78,191.14,256.91,9.49
05057000002,05,057,000002,54,193,7,45,201,5,42,201,7,42,207,3,80,152,88,150,41,208,5
05057000003,05,057,000003,234.91,87.05,5,231.91,88.05,6,224.91,100.04,3,225.91,98.04,5,252.91,70.03,254.91,66.03,219.92,103.04,6
05057000004,05,057,000004,79.73,159.06,4.79,66.13,173.67,1.86,66.91,173.97,1.6,65.92,174.03,1.44,94.92,128.29,97.96,121.09,63.73,172.8,4.96
05057000005,05,057,000005,256.16,136.85,9.11,251.07,147.93,4.12,235.05,165.97,2.09,235.05,158.98,7.06,277.33,114.74,283.33,105.71,234.02,160.94,7.14
05057000006,05,057,000006,148.39,25.91,2.93,147.32,27.74,2.16,142.64,33.4,1.19,143.58,30.65,2.07,149.31,25,154.2,22.01,140.82,33.4,2.96
05057000007,05,057,000007,294.59,60.51,7.9,288.47,66.65,8.72,286.68,69.27,6.13,286.71,70.18,4.36,306.87,52.61,306.87,50.88,284.95,67.57,9.61
05057000008,05,057,000008,203.99,49.6,6.32,206.62,50.96,2.31,201.62,52.96,4.26,201.46,54.28,4.16,223.41,33.91,222.67,33.86,199.45,52.28,8.16
05057000009,05,057,000009,184.22,39.24,4.63,184.1,38.38,2.9,180.35,42.09,1.95,180.08,39.65,6.45,191.52,32.87,190.64,30.11,178.98,41.54,4.8
05057000010,05,057,000010,39.9,36.98,0.97,36.98,37.95,1.95,35.03,39.9,1.95,32.11,42.82,0.97,41.84,32.11,40.87,33.09,31.14,42.82,1.95
05057000011,05,057,000011,68.76,21.61,0.03,64.75,21.64,3,64.7,24.63,1.03,66.58,22.75,1.01,68.81,17.56,67.8,17.58,62.63,24.71,2.01
05057000012,05,057,000012,130.17,30.4,2.85,128.27,28.5,6.65,127.32,30.4,5.7,127.32,31.35,4.75,130.17,31.35,134.92,27.55,128.26,30.4,3.8
05057000013,05,057,000013,67.91,83.55,1.08,61.97,86.59,4.97,62.93,85.59,4.02,66.88,84.64,1.04,78.79,65.86,84.72,61.92,62.94,88.53,2.06
05057000014,05,057,000014,79,30,2,78,30,2,78,30,2,77,32,2,85,24,83,26,79,31,1
05057000015,05,057,000015,150.62,33.82,7.06,153.54,34.82,4.1,152.43,36.89,4.07,149.21,39.07,3.1,158.68,33.75,157.64,31.71,150.03,36.19,7.21
05057000016,05,057,000016,14.75,15.49,0.04,12.69,17.53,0.06,13.66,16.56,0.06,15.69,14.56,0.04,16.8,12.44,16.83,12.43,13.68,16.54,0.07
05057000017,05,057,000017,88.13,82.34,5.6,81.56,88.91,5.58,81.58,88.92,4.66,78.8,94.47,2.81,95.57,70.23,100.26,69.25,78.78,94.5,2.8
05057000018,05,057,000018,119.58,26.97,2.3,122.52,24.11,2.14,121.36,25.27,2.17,121.44,25.22,2.16,124.85,23.93,125.9,21.88,119.41,27.29,2.13
05057000019,05,057,000019,110.31,20.25,2.03,109.3,20.28,2.02,109.23,21.36,1.01,110.23,19.33,2.01,111.32,18.23,111.4,18.19,108.2,18.39,5
05057000020,05,057,000020,116.05,33.19,1.02,115.04,37.19,0.02,111.04,38.2,3.01,111.05,38.18,3.02,122.06,24.17,121.06,24.17,113.03,37.17,1.05
05057000021,05,057,000021,68.94,25.03,2,68.93,26.04,1,65.94,29.03,0,69.94,24.03,2,74.94,19.03,72.94,23.02,68.93,26.04,0
05057000022,05,057,000022,148.67,25.26,4.86,146.73,29.15,0.97,143.81,29.15,2.92,145.76,32.07,0,154.5,22.35,154.5,23.32,144.79,32.07,1.94
05057000023,05,057,000023,378.67,35.18,13.53,376.75,40.02,7.73,370,49.63,7.74,372.89,43.87,9.65,389.32,35.15,392.23,31.28,371.93,47.72,5.8
05057000024,05,057,000024,59.81,55.13,2.09,52.74,62.12,1.16,54.68,62.2,1.1,55.65,61.28,1.08,59,51.86,63.98,46.92,53.61,62.31,1.09
05059000ANT,05,059,000ANT,90,15,7,92,16,5,94,14,4,86,22,4,94,18,93,20,90,20,2
05059000BIG,05,059,000BIG,132.52,15.94,1.99,135.51,11.96,1.99,135.51,14.95,1,129.53,20.92,0,139.5,12.95,138.5,11.96,126.54,23.91,1.99
05059000BIS,05,059,000BIS,520.43,161.06,26.02,521.43,163.08,25.01,503.43,181.08,21.01,497.41,187.08,23.02,553.45,144.07,553.44,148.07,479.4,198.1,26.02
05059000BRO,05,059,000BRO,55.73,11.91,0.13,55.79,11.89,0.1,54.38,12.24,1.1,53.39,14.09,0.24,56.12,11.44,55.15,12.42,51.32,16.22,0.22
05059000BUT,05,059,000BUT,193.43,52.28,6.36,194.19,52.45,6.31,190.53,55.22,7.2,179.79,69.48,2.8,203.52,48.35,206.2,45.64,174.22,72.35,6.37
05059000CEN,05,059,000CEN,212.5,70.77,12.21,216.66,69.77,8.03,211.4,75.95,8.11,208.53,79.88,6.05,231.78,61.63,236.72,56.73,196.37,88.02,10.06
05059000CLE,05,059,000CLE,91,22,3,91,23,2,87,24,5,85,28,3,96,19,98,17,80,29,6
05059000DER,05,059,000DER,338,91,13,331,103,11,322,108,13,315,121,10,350,90,347,93,302,135,9
05059000DON,05,059,000DON,53.13,5.02,2.01,51.14,8.03,2,51.13,8.03,2,49.14,10.03,2,54.15,6.02,51.14,10.02,48.13,10.04,3
05059000DOV,05,059,000DOV,200,26,6,198,28,5,192,31,9,182,42,7,203,24,203,24,169,54,8
05059000FRI,05,059,000FRI,35.25,6.67,0,34.29,7.62,0,35.25,6.67,0,33.34,6.67,1.91,33.34,8.57,36.2,5.72,33.34,7.62,0.95
05059000GIF,05,059,000GIF,271,64,10,267,64,12,276,60,10,268,69,7,284,58,289,52,257,80,9
05059000GRO,05,059,000GRO,433.65,66.13,17.02,439.64,65.14,10.02,417.62,85.16,13.01,415.61,89.16,13.02,438.6,73.18,448.66,65.12,398.6,106.17,10.02
05059000HAR,05,059,000HAR,60,14,6,63,12,5,64,12,4,60,16,4,69,10,68,12,58,17,5
05059000HEN,05,059,000HEN,115.23,23.19,3.62,114.51,28.26,1.45,110.16,31.16,2.17,110.89,31.89,0.72,118.86,21.74,119.58,21.74,110.89,31.16,1.45
