GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05093000002,05,093,000002,617.04,285.13,18.71,601.28,295.96,18.71,576.66,319.6,18.22,572.23,322.06,19.21,623.93,258.54,636.74,243.27,559.42,326,22.16
05093000003,05,093,000003,219.94,610.52,34.73,181.23,632.08,39.71,173.03,672.23,22.66,165.28,666.87,31.66,264.2,492.96,283.6,473.43,154.52,666.37,37.69
05093000006,05,093,000006,166.47,76.92,5.05,162.22,79.85,5.05,155.58,86.22,4.92,154.38,86.89,5.18,168.33,69.75,171.78,65.63,150.93,87.95,5.98
05093000010,05,093,000010,334.67,45.65,9.05,327.11,49.6,7.84,324.76,54.2,6.56,319.86,55.53,7.95,332.27,48.02,334.44,45.81,320.62,52.78,7.88
05093000012,05,093,000012,93.45,29.24,6.75,92.79,30.79,4.64,92.76,33.32,2.96,91.87,32.54,3.79,100.47,25.64,98.02,28.5,90.2,33.41,3.77
05093000013,05,093,000013,128.63,10.72,2.55,127.61,11.23,2.55,125.56,14.8,1.53,123.52,17.86,1.02,129.65,11.23,128.63,12.76,121.48,19.4,1.02
05093000014,05,093,000014,37.02,3.08,0.73,36.72,3.23,0.73,36.14,4.26,0.44,35.55,5.14,0.29,37.31,3.23,37.02,3.67,34.96,5.58,0.29
05093000015,05,093,000015,101.69,10.06,2.26,100.67,10.6,2.19,98.82,13.55,1.51,97.58,15.31,1.26,102.68,10.28,101.75,11.43,95.49,17.05,1.19
05093000016,05,093,000016,51.38,7.34,3.51,53.14,6.57,2.41,52.7,7.89,1.64,51.82,8.22,1.86,53.36,7.67,53.03,8.11,51.06,8.87,1.64
05093000017,05,093,000017,31.63,4.52,2.16,32.71,4.05,1.48,32.44,4.86,1.01,31.9,5.06,1.15,32.84,4.72,32.64,4.99,31.43,5.46,1.01
05093000018,05,093,000018,90.27,12.9,6.16,93.35,11.55,4.23,92.58,13.86,2.89,91.04,14.44,3.27,93.74,13.47,93.16,14.24,89.7,15.59,2.89
05093000019,05,093,000019,293.31,41.98,19.95,303.2,37.66,13.73,300.66,45.18,9.38,295.7,47.01,10.63,304.53,43.83,302.63,46.33,291.27,50.83,9.38
05093000021,05,093,000021,105.35,19.45,3.75,103.05,20.78,3.26,99.79,24.52,3.26,100.64,22.59,3.87,107.4,18.6,105.71,19.45,95.8,27.42,3.38
05093000022,05,093,000022,147.82,27.29,5.26,144.6,29.16,4.58,140.03,34.41,4.58,141.21,31.7,5.42,150.71,26.11,148.33,27.29,134.43,38.48,4.75
05093000023,05,093,000023,129.57,23.92,4.61,126.75,25.56,4.01,122.74,30.16,4.01,123.78,27.79,4.76,132.1,22.88,130.02,23.92,117.84,33.73,4.16
05093000024,05,093,000024,257.46,47.54,9.15,251.85,50.78,7.97,243.88,59.94,7.97,245.94,55.21,9.45,262.48,45.47,258.34,47.54,234.13,67.02,8.27
05093000025,05,093,000025,214.16,39.54,7.61,209.49,42.24,6.63,202.86,49.86,6.63,204.58,45.93,7.86,218.33,37.82,214.9,39.54,194.76,55.75,6.88
05093000027,05,093,000027,32.36,13.28,1.66,31.53,14.11,0,30.7,16.6,0.83,29.87,16.6,0.83,34.02,11.62,33.19,13.28,28.21,16.6,0.83
05093000030,05,093,000030,84.79,138.45,19.06,74.63,155.59,15.25,68.27,166.4,10.16,70.17,154.34,17.15,95.59,127.02,98.76,123.22,65.72,158.79,15.88
05093000032,05,093,000032,356.02,344.94,27.7,329.06,368.95,28.44,317.61,385.93,23.64,309.12,379.66,33.98,384.09,298.04,396.28,286.59,290.28,402.92,26.59
05093000033,05,093,000033,112.63,109.13,8.76,104.1,116.72,9,100.48,122.09,7.48,97.79,120.11,10.75,121.51,94.29,125.37,90.67,91.83,127.47,8.41
05093000034,05,093,000034,165.64,160.49,12.89,153.1,171.65,13.23,147.77,179.56,11,143.82,176.64,15.81,178.7,138.66,184.37,133.34,135.06,187.46,12.37
05093000035,05,093,000035,329.71,319.45,25.65,304.74,341.68,26.34,294.14,357.41,21.89,286.27,351.6,31.47,355.7,276.01,366.99,265.41,268.83,373.15,24.63
05093000036,05,093,000036,134.04,20.29,7.99,129.12,22.13,8.61,130.35,26.44,4.3,126.04,25.21,8.61,132.81,25.21,134.04,23.36,122.97,32.59,4.92
05093000038,05,093,000038,66.83,17.21,3.54,65.56,19.24,2.53,65.56,20.76,1.77,64.04,22.02,1.77,68.85,16.71,67.84,17.47,60.5,23.03,2.78
05093000039,05,093,000039,56.73,14.61,3.01,55.65,16.33,2.15,55.65,17.62,1.5,54.37,18.69,1.5,58.45,14.18,57.59,14.83,51.36,19.55,2.36
05093000040,05,093,000040,61.03,16.76,3.25,59.97,18.51,2.31,59.83,20.07,1.58,58.54,21.05,1.69,63.09,15.88,62.17,16.59,55.31,21.99,2.62
05093000041,05,093,000041,22.05,5.68,1.17,21.64,6.35,0.84,21.64,6.85,0.58,21.14,7.27,0.58,22.72,5.51,22.39,5.76,19.97,7.6,0.92
05093000042,05,093,000042,44.75,11.53,2.37,43.91,12.88,1.7,43.91,13.9,1.19,42.89,14.75,1.19,46.11,11.19,45.43,11.7,40.52,15.43,1.86
05093000044,05,093,000044,38.99,55.01,4.18,42.47,56.4,1.39,37.6,61.97,0,38.99,58.49,3.48,48.74,39.69,48.04,42.47,35.51,59.19,5.57
05093000045,05,093,000045,17.81,23.4,1.79,19.23,23.89,0.64,17.16,26.34,0.02,17.77,24.81,1.51,21.95,16.88,21.65,18.02,16.28,25.15,2.38
05093000046,05,093,000046,59.13,32.8,0.3,58.28,33.74,2.01,54.72,35.5,2.7,56.58,35.35,1.7,56.82,30.91,59.98,26.9,55.12,36.66,1
05093000047,05,093,000047,19.66,3.4,0.38,19.47,2.84,0.76,18.52,4.16,0.76,19.09,3.97,0.38,18.52,4.54,19.85,3.02,18.15,4.73,0.38
05093000048,05,093,000048,68.57,11.87,1.32,67.91,9.89,2.64,64.62,14.51,2.64,66.59,13.85,1.32,64.62,15.82,69.23,10.55,63.3,16.48,1.32
05093000050,05,093,000050,119.89,29.58,8.56,118.34,29.58,7.79,116,34.26,7.79,122.23,29.58,5.45,126.12,29.58,124.56,29.58,115.22,36.59,6.23
05093000054,05,093,000054,77.04,26.21,2.38,76.24,22.24,3.18,73.86,28.59,0.79,75.45,24.62,3.18,81.8,19.06,81.01,18.27,73.07,27,3.18
0509300007A,05,093,00007A,169.93,80.19,5.25,165.46,83.25,5.27,158.66,89.9,5.07,157.47,90.5,5.37,171.99,72.51,175.55,68.27,153.9,91.62,6.19
0509300011A,05,093,00011A,76.31,35.26,2.31,74.37,36.6,2.31,71.32,39.53,2.25,70.77,39.83,2.38,77.17,31.98,78.75,30.09,69.19,40.32,2.74
0509300011B,05,093,00011B,194.75,92.97,6.4,189.54,96.86,6.29,181.68,104.54,5.98,180.35,104.95,6.5,197.22,84.34,201.3,79.47,176.23,106.31,7.38
0509300027A,05,093,00027A,6.64,2.72,0.34,6.47,2.89,0,6.3,3.4,0.17,6.13,3.4,0.17,6.98,2.38,6.81,2.72,5.79,3.4,0.17
0509300030A,05,093,00030A,8.18,13.41,1.85,7.2,15.07,1.48,6.58,16.12,0.98,6.77,14.95,1.66,9.23,12.3,9.53,11.93,6.34,15.38,1.54
0509300039A,05,093,00039A,14.69,3.78,0.78,14.41,4.23,0.56,14.41,4.56,0.39,14.08,4.84,0.39,15.13,3.67,14.91,3.84,13.3,5.06,0.61
0509300046A,05,093,00046A,18.64,12.93,0,18.34,13.53,0.6,17.14,13.83,0.9,17.74,13.83,0.6,18.04,11.73,18.94,10.52,17.44,14.13,0.3
0509300050A,05,093,00050A,34.11,8.42,2.44,33.66,8.42,2.21,33,9.74,2.21,34.77,8.42,1.55,35.88,8.42,35.44,8.42,32.78,10.41,1.77
0509300054A,05,093,00054A,17.09,5.81,0.53,16.91,4.93,0.7,16.39,6.34,0.18,16.74,5.46,0.7,18.15,4.23,17.97,4.05,16.21,5.99,0.7
050930012-1,05,093,0012-1,155.77,48.7,4.95,148.96,54.51,4.95,140.15,65.2,3.05,147.69,55.75,3.06,159.64,46.5,160.73,44.44,139.96,63.38,2.14
050930012-2,05,093,0012-2,205.2,48.39,9.09,202.19,50.41,10.06,205.19,52.44,7.04,193.18,62.43,10.05,209.3,48.34,216.26,42.38,196.16,61.44,5.05
050930012-3,05,093,0012-3,135.58,44.24,9.61,134.27,46.69,6.65,134.08,50.43,4.28,132.86,49.26,5.47,145.69,38.71,142.24,42.73,130.39,50.48,5.5
050930029-1,05,093,0029-1,18.04,29.57,4.07,15.87,33.23,3.26,14.51,35.54,2.17,14.92,32.96,3.66,20.35,27.13,21.02,26.31,13.97,33.91,3.39
050930029-2,05,093,0029-2,4.87,7.98,1.1,4.28,8.96,0.88,3.92,9.59,0.59,4.02,8.89,0.99,5.49,7.32,5.67,7.1,3.77,9.15,0.91
050930029-3,05,093,0029-3,7.83,12.84,1.77,6.89,14.43,1.41,6.3,15.43,0.94,6.48,14.31,1.59,8.83,11.78,9.13,11.42,6.07,14.72,1.47
050930037-1,05,093,0037-1,48.52,7.34,2.89,46.74,8.01,3.12,47.18,9.57,1.56,45.62,9.12,3.12,48.07,9.12,48.52,8.46,44.51,11.8,1.78
050930037-2,05,093,0037-2,35.45,5.37,2.11,34.15,5.85,2.28,34.47,6.99,1.14,33.33,6.67,2.28,35.12,6.67,35.45,6.18,32.52,8.62,1.3
05095000001,05,095,000001,195.65,136.06,4.97,190.69,139.04,3.97,177.78,152.95,4.97,164.86,158.91,8.94,203.6,122.16,212.54,110.24,170.82,153.94,7.95
05095000002,05,095,000002,131.99,193.99,6,122.99,202.99,3,118.99,199.99,11,117.99,191.99,19,138.99,177.99,152.99,163.99,106.99,211.99,11
05095000003,05,095,000003,186.17,159.06,2.01,172.17,169.07,4,168.15,177.07,6.01,155.15,184.08,9,189.17,145.05,201.18,131.04,143.15,198.08,6
05095000008,05,095,000008,67.75,25.9,3.82,69.24,26.79,0.97,63.09,29.16,4.72,62.08,31.12,1.89,69.68,20.13,72.48,18.29,60.05,34.05,1.47
05095000010,05,095,000010,34.37,11.8,1.09,37.26,9.93,0.05,36.1,10,0.18,29.27,15.89,0.1,34.41,8.71,39.35,7.63,31.12,13.1,1.04
05095000011,05,095,000011,91.73,89.67,1.99,78.79,97.63,3.98,79.78,94.65,6.97,68.8,104.62,9.96,85.75,86.67,92.74,73.72,64.83,108.6,6.97
05095000012,05,095,000012,144.04,70.35,4.03,138.14,73.28,5,128.1,83.28,5,118.88,91.47,6,139.04,67.25,149.2,57.22,112.95,92.38,7.03
05095000013,05,095,000013,106,61,1,99,68,2,91,73,6,86,79,2,103,55,103,53,81,82,3
05095000015,05,095,000015,23.52,9.08,1.01,23.19,9.42,0.67,22.52,10.09,0.34,21.17,11.77,0.34,24.87,7.74,25.54,7.4,20.16,11.77,0
05095000016,05,095,000016,78,11,2,81,9,0,74,15,2,71,17,3,75,14,79,10,70,17,3
05095000017,05,095,000017,72.75,28.29,4.09,74.23,29.32,1.04,67.56,31.95,5.1,66.46,34.02,2.09,74.83,22.12,77.93,20.01,64.47,37.02,1.57
05095000018,05,095,000018,39.78,25.86,2.98,40.77,27.84,0,38.78,30.83,0,40.77,27.84,0.99,43.75,20.88,39.78,21.88,38.78,29.83,0.99
05095000019,05,095,000019,16.69,8.93,0.24,15.75,9.4,0.47,16.22,9.17,0.24,16.22,8.46,0.71,17.16,7.29,18.34,6.35,15.51,9.87,0
05095000020,05,095,000020,22.38,11.98,0.32,21.12,12.61,0.63,21.75,12.29,0.32,21.75,11.35,0.95,23.01,9.77,24.58,8.51,20.8,13.24,0
05095000021,05,095,000021,35.27,16.51,0,38.27,12.01,0.75,38.27,12.76,0.75,34.52,16.51,0,40.52,9.01,40.52,6.75,35.27,13.51,0.75
05095000022,05,095,000022,33,172,3,24,177,5,27,176,4,13,178,16,37,158,55,131,12,191,4
05095000024,05,095,000024,16.28,6.27,0.69,16.05,6.5,0.46,15.58,6.96,0.23,14.65,8.12,0.23,17.21,5.33,17.67,5.09,13.97,8.11,0.01
05095000025,05,095,000025,43,12,1,42,10,2,44,12,1,38,14,1,42,11,43,9,38,13,3
05095000026,05,095,000026,29.62,11.42,1.27,29.2,11.85,0.85,28.35,12.69,0.42,26.66,14.81,0.42,31.31,9.73,32.16,9.31,25.39,14.81,0
05095000027,05,095,000027,6.39,2.99,0,6.94,2.18,0.14,6.94,2.31,0.14,6.26,2.99,0,7.34,1.63,7.34,1.22,6.39,2.45,0.14
05095000028,05,095,000028,5.33,2.49,0,5.78,1.81,0.11,5.78,1.93,0.11,5.22,2.49,0,6.12,1.36,6.12,1.02,5.33,2.04,0.11
05095000029,05,095,000029,24.74,13.24,0.35,23.34,13.94,0.7,24.04,13.59,0.35,24.04,12.54,1.05,25.43,10.8,27.18,9.41,23,14.63,0
05095000030,05,095,000030,54.87,13.63,0.69,58.24,9.6,0.67,55.54,10.96,2.7,54.2,12.3,2.03,56.24,11.58,59.59,6.19,52.16,12.98,2.7
05095000031,05,095,000031,26.01,6.42,0.32,27.62,4.5,0.32,26.34,5.14,1.28,25.69,5.78,0.96,26.66,5.46,28.26,2.89,24.73,6.1,1.28
05097000001,05,097,000001,18.59,1.86,0.93,18.59,2.79,0,17.66,3.72,0,18.59,1.86,0,19.52,0.93,18.59,1.86,16.73,3.72,0
05097000002,05,097,000002,126.66,32.38,3.69,127.67,33.26,2.68,121.51,35.09,5.32,123.2,35.93,2.77,136.44,23.59,134.01,25.99,122.19,36.08,2.78
05097000003,05,097,000003,192.44,31.04,2.03,191.44,33.06,2,185.41,39.09,1,181.44,41.03,3,194.46,30.01,197.44,28.04,179.39,41.09,6
05097000004,05,097,000004,198.7,20.36,2.06,197.69,20.38,4.04,194.65,26.42,2.03,194.62,27.45,2.03,203.72,18.36,202.73,19.36,193.55,27.51,4.05
05097000005,05,097,000005,344.69,98.36,10.94,336.95,105.19,12.78,333.83,110.22,10.88,324.17,119.83,11.82,347.73,102.21,363.21,87.66,312.31,126.83,13.83
05097000006,05,097,000006,67.19,16.06,1.42,67.39,16.07,1.22,65.98,17.46,1.26,64.58,17.61,2.47,65.56,16.92,68.17,16.11,62.12,19.24,2.42
05097000007,05,097,000007,59.84,12.52,3.5,59.97,14.65,1.38,58.09,15.9,0.75,58.34,15.03,2.38,65.23,10.27,66.85,8.64,58.21,17.03,0.38
05097000008,05,097,000008,213.91,81.96,6,205.92,88.96,7,205.91,87.96,8,193.92,101.95,8,218.91,80.96,231.9,65.97,190.92,101.95,11.99
05097000009,05,097,000009,269.92,72.62,8.04,271.54,74.79,4.32,264.87,80.59,6.12,256.15,83.76,10.81,272.22,74.43,284.93,58.96,248.12,94.34,9.05
05097000010,05,097,000010,75.12,16.66,5.42,77.37,15.75,3.12,71.24,21.83,5.21,74.37,19.7,3.21,85.74,11.25,84.86,13.12,68.07,23.91,5.29
05097000011,05,097,000011,91.78,37.08,9.27,97.34,38.94,2.78,94.56,40.79,4.64,97.34,38.01,4.64,105.68,27.81,108.47,25.03,90.85,42.64,6.49
05097000012,05,097,000012,54.03,18.97,1.01,55.04,18.96,0.01,52.05,18.97,2.99,52.03,21.96,0.01,56.03,13.99,56.04,14.98,51.05,22.94,0.01
05097000013,05,097,000013,198.01,47.34,6.88,205.84,40.52,4.91,199.9,48.35,5.94,194.05,50.33,6.87,206.92,42.34,209.82,37.49,199.9,47.4,4.91
05097000014,05,097,000014,109.63,21.11,3.8,113.98,16.77,2.8,109.84,22.63,3.8,109.81,22.72,3.72,115.7,19.56,112.38,21.07,107.01,26.35,2.82
05097000015,05,097,000015,98.12,23.92,2.31,96.8,25.3,1.25,90.84,30.51,2.28,90.73,31.47,1.43,96.07,26.5,98.59,23.75,89.44,31.98,1.31
05097000016,05,097,000016,91.45,27.78,2,89.51,29.75,2.96,92.42,27.82,1.99,87.48,31.75,5.93,100.29,24.85,100.35,22.82,85.47,35.72,3.96
050990000EC,05,099,0000EC,93,30,2,90,31,3,86,36,1,86,36,1,91,30,99,24,87,36,0
050990000ER,05,099,0000ER,50.29,22.5,1.1,48.05,23.68,2.06,48.17,24.59,1.08,45.78,25.89,1.12,53.5,15.33,55.47,15.3,44.79,27.93,1.12
050990000RE,05,099,0000RE,250.49,52.32,9.69,253.12,55.85,3.49,247.07,59.23,6.99,240.05,68.9,3.51,263.09,45.84,267.44,39.73,242.51,66.32,4.51
050990000RW,05,099,0000RW,220.57,41.25,7.36,218.77,48.28,3.13,209.58,56.32,2.32,209.21,56.82,4.13,229.99,39.02,231.14,37.82,210.33,52.75,5.17
050990000W1,05,099,0000W1,64.75,70.21,2.07,60.8,74.72,2.07,60.42,74.16,2.64,57.03,79.05,2.26,70.96,57.78,75.48,53.64,56.84,78.11,3.39
050990000W2,05,099,0000W2,77.77,84.33,2.49,73.02,89.75,2.49,72.57,89.07,3.17,68.5,94.95,2.71,85.23,69.41,90.66,64.43,68.28,93.82,4.07
050990000W3,05,099,0000W3,101.35,109.83,3.24,95.16,116.9,3.24,94.57,116.02,4.12,89.27,123.68,3.53,111.06,90.4,118.13,83.92,88.98,122.2,5.3
050990000W4,05,099,0000W4,100.19,108.64,3.2,94.08,115.63,3.2,93.49,114.76,4.08,88.25,122.33,3.5,109.8,89.42,116.79,83.01,87.96,120.87,5.24
050990000WC,05,099,0000WC,12.29,7.84,0.23,11.71,8.31,0.23,11.24,8.43,0.59,11.71,8.55,0.12,12.29,6.91,12.29,6.91,11.59,8.66,0.12
050990000WR,05,099,0000WR,90.65,57.85,1.73,86.34,61.3,1.73,82.88,62.16,4.32,86.34,63.03,0.86,90.65,50.94,90.65,50.94,85.47,63.89,0.86
05099000BCC,05,099,000BCC,3.15,4.6,0.26,3.4,4.6,0,3.32,4.51,0.09,3.4,4.6,0,3.91,3.91,4,3.83,3.15,4.6,0.26
05099000BCR,05,099,000BCR,53.66,51.28,3.44,56.5,51.59,0.3,55.1,51.02,1.47,55.36,52.72,0.3,62.55,43.8,63.79,42.4,52.98,52.49,2.99
05099000GEO,05,099,000GEO,55.59,7.41,4.63,53.73,10.19,2.78,50.96,12.04,4.63,50.96,12.04,3.71,56.51,10.19,54.66,12.04,50.03,13.9,2.78
05099000LAN,05,099,000LAN,134.64,24.66,1.25,130.06,27.58,1.06,132.64,25.84,1.18,125.95,30.75,2,137.78,21.74,136.95,21.59,126.01,31.62,2.01
0509900BODC,05,099,00BODC,2.64,0.55,0.01,2.66,0.54,0.02,2.53,0.57,0.07,2.62,0.57,0.02,2.7,0.5,2.67,0.5,2.6,0.56,0.03
0509900BODR,05,099,00BODR,237.36,49.45,0.99,238.34,48.46,1.98,227.47,51.43,5.93,235.38,51.43,1.98,242.3,44.5,239.33,44.5,233.4,50.44,2.97
0509900ROSC,05,099,00ROSC,32,62,1,30,65,0,29,65,1,30,65,0,35,59,35,59,27,68,0
0509900ROSR,05,099,00ROSR,47.8,57.8,1.35,47.58,58.06,1.23,46.31,60.21,1.41,45.39,61.23,0.27,53.86,52.83,54.74,51.96,45.31,61.37,1.21
05101000BIG,05,101,000BIG,55.51,16.46,10.28,62.01,11.65,3.9,63.28,8.68,4.2,63.74,12.43,1.39,62.95,14.16,65.13,11.98,61.1,10.71,6.08
05101000BOS,05,101,000BOS,31,9,0,37,8,0,35,5,1,36,9,0,37,8,37,8,35,9,0
05101000DOG,05,101,000DOG,136.92,48.36,6.5,141.38,51.32,1.07,142.49,49.32,3.07,143.38,47.46,4,144.6,44.28,144.53,43.28,137.21,51.57,5.11
05101000GRO,05,101,000GRO,227,50,21,251,44,8,250,48,5,249,50,5,256,43,259,37,240,53,10
05101000HAS,05,101,000HAS,76,11,13,92,9,0,93,8,0,90,9,0,90,9,94,7,87,11,2
05101000HIC,05,101,000HIC,28,5,2,28,6,0,28,5,2,28,5,2,28,6,29,6,28,7,0
05101000HUD,05,101,000HUD,86,26,5,88,22,7,85,26,6,81,26,4,93,20,92,21,83,78,3
05101000JAC,05,101,000JAC,801.91,328.76,63.41,837.03,316.08,40,833.13,321.93,40,836.05,322.91,36.1,876.05,249.74,902.39,224.38,800.93,336.57,43.9
05101000JEF,05,101,000JEF,50.5,15.9,2.81,50.5,15.9,1.87,45.82,17.77,3.74,48.63,16.83,1.87,46.76,14.96,46.76,14.03,44.89,15.9,3.74
05101000LIN,05,101,000LIN,45,10,7,46,10,5,49,9,4,47,11,4,47,15,47,13,47,11,3
05101000LOW,05,101,000LOW,67,16,2,69,14,1,69,16,2,65,16,1,67,13,66,13,65,16,2
05101000MTS,05,101,000MTS,79.08,9.64,13.5,91.62,8.68,1.93,94.51,8.68,1.93,91.62,12.54,0,97.4,7.72,95.47,7.72,86.79,15.43,2.89
05101000MUR,05,101,000MUR,13.16,25.63,0.33,11.76,24.76,2.39,11.57,25.76,1.52,10.24,26.82,1.26,13.03,21.91,13.42,20.45,10.11,27.89,0.65
05101000PLE,05,101,000PLE,88,24,8,94,20,3,97,19,2,93,23,4,97,19,99,14,91,22,5
05101000POL,05,101,000POL,50.71,19.32,5.56,61.12,13.2,1.04,57.82,12.21,2.73,60.37,12.39,2.59,61.17,11.64,62.96,9.85,56.03,13.15,2.83
05101000PON,05,101,000PON,116.97,28.82,8.18,120.44,30,1.36,120.62,28.82,3.36,111.9,37.99,1.18,123.15,25.93,123.69,21.39,107.08,39.17,4.54
05101000RIC,05,101,000RIC,80,7,3,86,4,2,86,2,3,86,3,2,80,11,82,7,77,6,3
05101000VAN,05,101,000VAN,19.15,18.46,0.68,17.1,19.15,1.37,17.78,18.46,1.37,15.04,19.15,0.68,19.83,15.04,21.88,12.99,15.73,19.83,2.05
05101000WHI,05,101,000WHI,150.87,25.46,20.75,174.83,23.08,4.06,173.77,13.18,3.06,171.84,26.26,0.92,169.83,23.46,170.52,24.79,167.93,25.57,6.19
05103000001,05,103,000001,534.3,427.4,10.11,504.35,449.37,17.1,499.28,459.51,16.02,472.02,484.72,19.02,566.77,382.84,372.79,575.93,464,482.64,27.13
05103000002,05,103,000002,185.21,499.51,5.45,165.39,511.44,10.51,151.08,532.41,5.53,140.75,532.16,11.3,230.63,412.86,411.75,232.5,127.33,543.35,14.46
05103000003,05,103,000003,239.2,519.19,15.23,222.19,539.2,14.98,212.35,542.28,17.53,204.38,560.12,8.58,276.36,460.11,423.39,306.63,182.96,574.05,15.03
05103000004,05,103,000004,572.05,258.24,20.11,567.47,262.16,16.92,536.24,293.31,20.52,535.66,294.59,12.58,586,240.85,209.7,612.15,511.64,312.31,20.08
05103000005,05,103,000005,142.85,108.75,4.99,134.87,113.73,7.98,129.87,117.73,7.99,135.86,113.73,4.99,152.83,83.8,82.8,151.82,130.88,122.71,3.99
05103000006,05,103,000006,49,53,2,46,56,1,41,62,2,40,65,1,51,46,49,49,40,63,2
05103000007,05,103,000007,115.8,79.04,2.23,113.87,82.02,1.16,114.75,80.09,2.23,109.71,83.18,3.14,126.1,66.95,60.93,129.08,109.59,84.23,2.21
05103000008,05,103,000008,17.87,15.54,4.05,15.84,21.57,1.05,17.84,18.62,2,17.74,19.65,0.05,20.84,16.59,18.54,18.84,16.66,21.67,0.13
05103000009,05,103,000009,109.14,135.12,1,106.14,146.13,0,104.13,145.14,2,99.13,154.13,1,122.15,117.1,112.1,126.15,101.13,153.14,0
05103000010,05,103,000010,294.31,158.59,11.36,291.47,163.43,7.49,287.11,168.86,5.33,280.94,173.79,8.68,303.18,136.08,139.19,300.27,277.78,173.31,9.97
05103000011,05,103,000011,302.08,57.15,9.97,304.18,56.88,6.86,299.56,59.74,9.52,296.87,64.35,6.13,315.12,51.33,50.38,314.72,292.53,65.6,8.97
05103000012,05,103,000012,453.61,148.23,13.22,456.97,152.68,7.68,448.93,158.9,8.41,437.32,172.1,7.72,471.86,134.81,138.77,464.94,431.71,174.94,9.89
05103000013,05,103,000013,269.05,145.69,5.03,264.59,151.05,4.76,253.92,163.23,3.62,254.86,159.8,5.83,283.45,117.2,117.52,281.92,246.71,168.3,6.55
05103000014,05,103,000014,382.54,232.03,10.25,373.29,241.93,10.52,359.85,257.26,8.98,348.71,264.33,10.96,388.75,210.95,213.54,386.92,347.87,262.75,12.99
05103000015,05,103,000015,336.23,85.4,8.66,339.12,85.44,5.09,326.59,97.72,5.95,326.63,96.39,5.89,349.59,75.04,68.86,355.89,326.47,97.74,5.42
05103000016,05,103,000016,35.52,41.91,0.6,34.89,42.66,1.24,33.86,44.47,0.48,33.32,45.26,0.24,37.64,35.79,33.46,38.31,34.02,44.44,0.12
05103000017,05,103,000017,22,0,0,21,0,0,22,0,0,21,1,0,22,0,0,22,22,0,0
05103000018,05,103,000018,166.43,66.12,3.45,163.24,67.45,3.46,159.39,75.05,1.56,154.19,78.52,1.76,176.27,51.73,51.28,179.85,152.08,77.48,4.9
05105000001,05,105,000001,104.83,23.53,3.28,103.55,21.67,5.28,107.98,22.52,2.14,98.98,28.23,4.42,107.55,22.81,111.97,16.67,95.56,29.8,5.14
05105000002,05,105,000002,121,37,9,132,33,4,124,35,8,119,42,6,130,34,129,37,115,45,8
05105000003,05,105,000003,66.17,15.47,1.72,64.45,16.33,1.72,61.02,21.48,0.86,61.02,19.77,2.58,64.45,17.19,67.03,16.33,58.44,23.2,0.86
05105000004,05,105,000004,437.25,141.11,12.16,443.52,132.47,13.24,416.22,161.12,11.12,406.59,166.33,12.43,453.8,123.4,453.32,121.96,370.27,194.81,19.38
05105000005,05,105,000005,246.94,60.25,11.31,246.46,64.46,4.35,239.79,71.34,5.34,231.16,77.02,4.34,260.56,49.94,258.52,50.79,213.39,94.51,5.48
05105000006,05,105,000006,54.63,6.43,5.37,56.6,7.33,2.53,55.9,8.87,1.67,54.8,8.8,2.83,57.7,8.63,58.07,8.3,49.6,12,3.77
05105000007,05,105,000007,149.36,32.43,5.9,149.36,28.5,8.84,142.48,37.34,7.86,131.67,47.17,6.88,147.4,39.31,150.34,36.36,133.64,45.2,6.88
05105000008,05,105,000008,193.09,40.02,5,188.08,44.02,6,179.09,51.02,5,176.08,57.02,6,197.08,40.02,203.09,33.02,164.08,67.02,6
05105000009,05,105,000009,61,9,1,59,12,2,57,13,3,58,13,1,59,11,62,7,56,17,0
05105000010,05,105,000010,250.58,70.64,10.64,249.61,67.74,15.47,229.31,83.22,19.34,226.4,81.28,24.18,252.52,76.43,263.15,66.77,220.6,87.08,22.25
05105000011,05,105,000011,102,23,10,107,21,6,96,33,7,96,30,7,105,27,110,23,91,35,9
05105000012,05,105,000012,292.72,110,19.95,301.68,108.98,12.98,273.74,128.99,19.92,273.67,131.02,13.96,300.78,117.82,308.71,103.93,254.57,143.13,22.93
05105000013,05,105,000013,52,16,5,54,17,2,50,20,4,50,21,2,59,13,59,14,50,22,0
05105000014,05,105,000014,65,20,0,62,22,1,61,22,2,59,24,0,69,13,73,9,56,27,1
05105000015,05,105,000015,218.44,96.51,12.38,223.19,89.86,10.49,207.92,107.98,10.48,220.29,98.46,8.58,233.69,88.83,238.46,87.87,214.57,105.13,5.73
05105000016,05,105,000016,99.78,37.71,1.04,93.54,40.31,1.96,98.63,38.85,0.13,93.11,39.81,3.75,107.18,26.68,110.78,23.97,85.47,48.26,3.83
05105000017,05,105,000017,229,105,18,232,109,10,229,108,13,219,116,15,242,106,239,107,216,118,15
05107001001,05,107,001001,216.89,348.34,16.43,184.58,372.44,17.53,178,386.68,11.5,172.53,386.13,17.53,248.11,264.54,247.56,260.71,159.93,394.35,18.07
