GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREACAR,G20PREOMYE,G20PRESLAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20PREIGAM,G20PREIFUE,G20USSRCOT,G20USSDHAR
05001000081,05,001,000081,689.32,342.21,6.98,3.99,2.99,1,1,4.98,5.98,1,1.99,1.99,1.99,746.11,280.4
05001000091,05,001,000091,766.89,298.96,13,4,0,4,0,2,0,1,1,2,0,810.89,247.97
05003000001,05,003,000001,196.25,297.29,0.97,1.95,3.98,0,4.87,1.99,8.88,6.9,0.99,5,0.01,235.2,265.85
05003000002,05,003,000002,296.52,321.4,1.99,1.99,3.98,0,3.98,4.98,6.97,3.98,0,0,1.99,342.29,287.57
05003000003,05,003,000003,685,175,6,0,3,1,0,1,1,1,0,4,1,701,175
05003000004,05,003,000004,379,77,0,0,1,0,0,0,4,2,0,0,0,377,78
05003000005,05,003,000005,210.1,50.1,0,0,0.01,0,0.01,0,2,0.01,0.99,0.01,0.99,210.19,50.03
05003000006,05,003,000006,404.53,181.44,0.08,0.09,2.11,0,0.13,1.03,2.16,2.14,0.02,3.03,0.01,427.79,151.42
05003000007,05,003,000007,212.22,62.03,2,0,2,0,0,1,2,1,0,0,0,212.21,68.03
05003000008,05,003,000008,180.13,35.28,3.04,0,0,0.01,0,0.07,0,0,0,0.03,0,184.21,31.25
05003000009,05,003,000009,417.28,45.42,2.01,0.01,1.01,0,0,0,0.01,1,0,0.01,0,413.37,42.29
05003000010,05,003,000010,354.78,41.97,2,0,1,1,0,1,2,1,0,2,1,351.79,49.97
05003000011,05,003,000011,333.43,80.04,1.06,2.03,2.04,0.04,1,0.09,1.03,1.11,0.06,0.1,1.05,344.2,75.55
05003000012,05,003,000012,183.15,59.2,0.96,0.96,0.08,0.08,0,2,1.04,3.04,0.96,1.12,1.92,201.31,48.04
05003000013,05,003,000013,43.9,151.16,0,0,1.89,1.89,0,1.89,1.89,3.78,0,3.78,0,64.68,136.99
05003000014,05,003,000014,529.52,74.6,0.98,0.02,0.99,0.99,0,1.02,0.05,1.07,0.98,2,0.03,538.81,68.42
05003000015,05,003,000015,142,11,0,0,0,0,0,0,0,1,0,1,0,144,10
05003000016,05,003,000016,345.28,47.13,2,0,2,0,0,0.01,0,0,1,0,0,344.29,49.12
05003000017,05,003,000017,22,3,0,0,0,0,0,0,0,1,0,0,0,23,2
05003000018,05,003,000018,83,5,0,0,0,0,0,0,0,0,0,0,0,80,6
05003000019,05,003,000019,34.07,23.01,0,0,0,0,0,1,0,1,0,1,0,40.07,20.01
05003000020,05,003,000020,210.93,38.99,0,1,0,0,1,0,0,0,0,1,0,215.93,30.99
05003000021,05,003,000021,84.91,84.09,0,0,0,1,0,0,0.05,2.99,0,1,0,101,66.05
05003000022,05,003,000022,23.09,7.91,0,0,0,0,0,0,0.95,0.01,0,0,0,26,5.95
05003000023,05,003,000023,6.93,3.96,0,0,0,0,0,0,0,0,0,0,0,7.92,2.97
05003000024,05,003,000024,41.07,5.04,0,0,1,0,1,0,0,1,0,0,0,40.08,8.03
05003000025,05,003,000025,18.92,68.7,1,0,0,1,0,2.99,0,2.99,0,0,0,29.87,48.79
05003000026,05,003,000026,5.08,3.3,0,0,0,0,0,0.01,0,0.01,0,0,0,5.13,3.21
05003000027,05,003,000027,27.16,51.52,0,0,0,2.81,0.94,0.94,1.87,0,0,1.87,0,34.66,47.77
05003000028,05,003,000028,8.84,9.48,0,0,0,0.19,0.06,0.06,2.13,0,0,0.13,0,10.34,10.23
05003000029,05,003,000029,40.27,99.9,1,1,3,0,3,5.99,4.99,5.99,0,6.98,1,58.3,102.84
05003000030,05,003,000030,40.73,15.1,0,0,1,0,1,0.01,0.01,0.01,0,0.02,0,48.7,10.16
050050001-1,05,005,0001-1,602.38,108.41,0.94,0.94,1.89,0,0.94,0,5.66,1.89,0,0,0.94,597.67,107.47
050050001-2,05,005,0001-2,650.16,160.37,6.19,1,4.07,2.04,0.04,0,2.04,0,3.07,0.04,0,654.39,151.07
050050001-3,05,005,0001-3,319.84,111.63,4.81,0,1.93,0.96,0.96,0,0.96,0,1.93,0.96,0,325.61,103.93
050050002-1,05,005,0002-1,601.66,112.15,2.01,1,2,2,0,1,2,1,1,0,2,605.68,99.13
050050002-2,05,005,0002-2,616,138,9,0,3,1,0,2,5,1,1,0,1,614,137
050050002-3,05,005,0002-3,369.09,94.02,3,0,2,0,1,0,1,0,1,0,0,378.09,80.01
050050003-1,05,005,0003-1,389.46,85.66,3.98,0,1,1,0,0,0,0,1,0,1,396.43,76.7
050050003-2,05,005,0003-2,248.79,55.17,2.01,1,1,0,0,1,2,1,0,0,0,246.8,56.15
050050003-3,05,005,0003-3,742.32,224.54,11.01,1,5.02,2.01,0,1,4.01,0,4,0.01,1,765.36,208.48
050050003-4,05,005,0003-4,197,33,4,0,1,0,0,0,2,1,0,0,0,199,36
050050004-1,05,005,0004-1,1029.17,378.9,20.4,2.91,6.79,2.91,1.94,0.97,6.81,1.96,4.89,3.88,1.94,1057.32,351.52
050050004-2,05,005,0004-2,395.13,129.33,1.64,0.14,0.3,0.1,0.06,0.03,1.17,0.99,1.98,0.13,0.07,396.44,118.05
050050005-1,05,005,0005-1,412.36,186.11,8,1,1,0,0,0,5,1,1,2,3,439.36,159.1
050050005-2,05,005,0005-2,339,154,9,3,2,0,0,1,1,2,2,0,1,355,139
050050005-3,05,005,0005-3,47,11,1,0,2,0,0,0,0,0,0,0,0,45,12
050050005-4,05,005,0005-4,216,84,10,3,1,0,0,0,2,0,1,0,0,213,89
050050006-1,05,005,0006-1,759.03,269.3,8.23,1.05,1,1.08,0,0,1.03,6.02,1.05,0.03,1.04,782.45,230.98
050050006-2,05,005,0006-2,463.21,119.06,6.8,0.97,0,1.94,0,0,0.97,0.99,0.97,0.97,0.97,474.91,110.19
050050006-3,05,005,0006-3,209,50,2,0,1,2,0,0,2,2,0,0,0,204,57
050050007-1,05,005,0007-1,747.84,276.08,7.65,2.8,5.76,0.99,0,0,3.87,1.94,2.03,1.05,0.93,775.33,241.94
050050007-2,05,005,0007-2,360.87,111.23,2.72,0.89,3.64,0.02,0.89,0.89,1.81,0,0,0.05,0.89,366.42,99.37
050050007-3,05,005,0007-3,271.93,106.18,2.15,0.11,3.17,0.91,0.11,0.11,1.13,0,0,1.82,0.11,279.88,94.74
050050008-1,05,005,0008-1,942.18,243.61,4.84,3.87,0.97,2.9,0,0,0.98,2.9,3.86,0,1.94,963.4,211.77
050050008-2,05,005,0008-2,130,24,2,1,3,0,0,0,0,0,0,0,0,129,28
050050008-3,05,005,0008-3,112,42,0,1,0,1,0,0,0,0,0,0,1,114,41
050050008-4,05,005,0008-4,218.6,66.73,0.02,1.01,1.01,0.01,0,1,1,0.01,0.01,0,0.01,226.66,52.65
050050008-5,05,005,0008-5,75.19,27.43,1.12,1.1,0.03,0.08,0,0,1.02,0.08,0.11,0,1.04,72.8,30.52
050050009-1,05,005,0009-1,736.16,226.51,5.42,3.16,7.31,0.05,2,0,1.21,1.1,0.1,0.05,1.05,765.67,193.69
050050009-2,05,005,0009-2,630.08,177.54,5.01,2.98,2.02,0.99,0,0.99,2.01,0.01,0,1.99,0.99,634.06,167.6
050050009-3,05,005,0009-3,88.2,18.02,1.02,0.02,1,0.01,0,0.01,0.01,0,0,0.01,0.01,89.21,15
050050009-4,05,005,0009-4,180,40.79,2.91,0,1.93,0,0,0,1.94,0,0.01,0,0,178.06,46.56
050050010-1,05,005,0010-1,335.2,116.22,4.1,2.1,0.97,0.15,0.31,0,1.07,0,0,1.28,0,339.15,111.75
050050010-2,05,005,0010-2,621.3,149.13,12.07,0,2,1,0,0,3.04,0,0,1,0,611.22,152.26
050050010-3,05,005,0010-3,302.33,63.52,3.88,0.04,0.08,0,0.04,0,2.08,0.12,0,0.06,0.04,298.7,69.63
050050011-1,05,005,0011-1,209.82,84.04,4.19,0.15,0.31,0,0,0,2.44,0.15,2.14,0.93,0,209.54,80.02
050050011-2,05,005,0011-2,490.13,142.34,4.9,1.96,0.98,0.98,2,0,0,1.02,1.96,0,0.98,484.44,137.11
050050011-3,05,005,0011-3,266.7,75.73,2.72,0.82,0.82,0,0,0,1.77,0.82,0.95,0.06,0,272.31,70.62
050050011-4,05,005,0011-4,172.44,45.38,0.12,0.04,0.88,0.01,0.03,0,1.75,0.02,0.91,0.01,0.01,175.85,42.66
050050011-5,05,005,0011-5,47.41,14.39,1.01,2,1,0,0,0,0.01,1,0,0,1,45.44,20.36
050050011-6,05,005,0011-6,32.85,5.04,0.02,0,0,0,0,0,0,0,0.99,0,0,31.85,6.05
050050011-7,05,005,0011-7,30.18,3.03,0,0,0,1,0,0,0,0,1.01,0,0,34.17,1.03
050050011-8,05,005,0011-8,72.86,24.02,0.1,0.02,0.05,0,0,0,0.06,1.01,0.02,0,0,74.94,20.02
050050011-9,05,005,0011-9,191,55,1,1,3,0,1,0,0,0,1,0,0,209,41
05007000001,05,007,000001,1217.49,231.2,14.29,1.04,0,0,1.01,0,5,2.99,2,0,0,1176.52,283.26
05007000002,05,007,000002,376.24,94.31,7.28,2.36,0.99,0.2,0,0,1.18,0,0.02,0.19,0,377.94,101.21
05007000003,05,007,000003,464.51,551.19,21.93,7.97,1,1,0,3.99,1.99,3.99,4.98,1.99,4.98,508.36,537.24
05007000004,05,007,000004,812,267,11,4,2,0,1,2,5,2,4,1,0,830,273
05007000005,05,007,000005,860.77,484.64,12.07,2.01,0.02,1,0,1,5.99,1.01,2.01,2,1.01,877.79,466.66
05007000006,05,007,000006,616,159,11,0,3,0,0,1,2,0,1,0,3,619,171
05007000007,05,007,000007,476.3,190.75,10.09,0,0.92,3.66,3.65,0.92,0.92,1.83,0.91,0.01,1.83,475.43,201.7
05007000008,05,007,000008,749,320,39,0,2,13,1,1,7,0,1,0,1,778,339
05007000009,05,007,000009,572,246,17,3,0,5,1,1,9,2,2,1,2,587,265
05007000010,05,007,000010,615.84,242.32,10.18,3,3.04,0,2,0.01,3.04,0,5,2.01,2.01,625.97,243.32
05007000011,05,007,000011,863.96,324.89,24.99,3.97,0.04,4.97,1.99,2,4.01,0,0.99,2,1.01,877.98,345.76
05007000012,05,007,000012,823.83,331.99,25.1,1.01,1.92,0.01,0.97,3.86,2.88,0.96,5.79,1.93,0.96,845.95,329.18
05007000013,05,007,000013,770.99,324.52,14.8,5.2,0.15,1.22,1.01,1.9,0.6,0.75,3.39,1.01,0.05,774.66,329.22
05007000014,05,007,000014,815.85,229.1,18.03,2.03,1,1,1,1.01,4.99,2,0.03,0,0,816.8,251.11
05007000015,05,007,000015,442.53,82.14,1.01,0,0,0,0,0,1,0,2,1,0,439.52,85.15
05007000016,05,007,000016,458.2,89.11,5.03,1.98,0.02,0.99,1.98,0.01,1.01,0,3.96,0.01,1,476.07,84.16
05007000017,05,007,000017,459.14,89.51,8.3,1.05,1.05,0.02,0.01,0,1.04,0,0.03,0.02,1.04,454.61,98.25
05007000018,05,007,000018,851.64,477.19,17.78,0.99,0,3.95,0.99,1.98,0.99,0,1.98,1.98,0,881.28,433.72
05007000019,05,007,000019,488.3,125.25,6.02,4,0,0,0,1,2,1,0,0,0,478.3,134.26
05007000020,05,007,000020,683.18,319.62,20.97,1,1,1,0,1,1,1,3,0,0,674.19,339.59
05007000021,05,007,000021,895.12,449.89,15.87,1.87,2.8,0.93,0.93,0.93,1.87,1.87,3.73,0.93,2.8,935.26,401.36
05007000022,05,007,000022,747,469,21,3,0,0,0,0,4,1,4,1,1,771,456
05007000023,05,007,000023,672.77,174.89,11.73,2.09,0.09,0.18,0,1.09,0.18,0.09,1.36,0,0.18,667.05,186.17
05007000024,05,007,000024,1062.01,447.97,9.04,1.01,1.01,4.99,0,0.01,3,1.01,7,2.98,0.03,1090.28,405.6
05007000025,05,007,000025,890.88,366.15,7.22,0.9,0.9,1.82,0,0.9,1.81,0.9,3.62,0.02,1.79,923.28,319.34
05007000026,05,007,000026,447,296,14,3,0,1,0,1,0,0,3,0,1,446,296
05007000027,05,007,000027,538.61,340.13,14.43,4.51,3.6,0,0,0,3.61,1.8,2.7,0,0,568.36,318.49
05007000028,05,007,000028,868,482,23,4,0,2,0,1,0,1,0,1,2,873,490
05007000029,05,007,000029,751.01,451.43,14.13,0.03,0.03,2.63,0.88,0.88,0.9,0.89,1.77,0.88,0,770.52,424.09
05007000030,05,007,000030,891.25,551.9,21.4,2.69,1.28,4.14,1,0.15,4.35,0.1,2.3,1,1,915.66,537.75
05007000031,05,007,000031,703.77,350.89,19.51,1.79,0.01,0.89,0.88,1.77,3.55,0,6.17,0,0,734.74,333.16
05007000032,05,007,000032,520,526,27,4,0,0,1,0,5,2,2,1,0,560,507
05007000033,05,007,000033,1297,374,34,0,2,0,1,2,3,2,3,1,2,1293,409
05007000034,05,007,000034,888,609,31,3,4,2,0,0,3,2,3,3,1,914,607
05007000035,05,007,000035,586,295,18,2,1,2,0,0,2,2,4,1,1,588,312
05007000036,05,007,000036,368.75,323.52,8.04,1.01,0,0.01,0,0,1.01,1,3,0.01,0,373.86,319.45
05007000037,05,007,000037,427,622,21,7,0,0,0,0,3,1,3,1,3,474,583
05007000038,05,007,000038,564.76,477.97,26.97,3.9,1.93,0.05,3.86,1.93,4.81,0.01,1.94,0.98,2.92,591.05,470.96
05007000039,05,007,000039,537.39,432.45,10.08,4.12,0.12,0.04,1.04,0,1.29,0,5.04,1.04,0,540.33,418.3
05007000040,05,007,000040,468.97,351.49,28.65,0.96,0.96,0,1.91,2.87,2.87,2.87,1.91,0,0,488.07,352.44
05007000041,05,007,000041,809.9,450.61,25.16,4.2,0.08,3.15,0.08,1.05,2.18,2.18,0.39,0,2.33,833.53,431.72
05007000042,05,007,000042,822.49,506.32,34.02,3,2,2,2,0,4,1,3,0,5,837.5,516.33
05007000043,05,007,000043,667.24,295.74,11.32,1.04,0.04,0,1.09,1.13,5.12,0.13,0.09,0,0,712.01,253.9
05007000044,05,007,000044,260.07,257.43,12.66,0.11,1,0.08,1,2.03,3.05,0.05,0,0,2.05,249.65,274.96
05007000045,05,007,000045,388.65,175.33,7.54,1.78,0,0.74,0.1,0.2,0.65,1.29,2.78,0.1,0,392.53,176.02
05007000046,05,007,000046,336.99,360.54,10.03,5,2,1,2,1,2,1,4,3,3,337.02,347.52
05007000047,05,007,000047,661.68,702.27,16.84,6.93,1.98,4.95,2.97,1.98,1.98,0.99,1.98,1.98,4.95,708.23,670.57
05007000048,05,007,000048,344.73,223.2,11.7,1.95,0,0.01,0.99,0.96,1.04,0,1,1.93,0.97,349.2,226.56
05007000049,05,007,000049,698.77,552.82,33.99,0,2,2,1,1,6,4,4,0,4,721.77,570.82
05007000050,05,007,000050,345.75,313.38,3.21,3.13,0,2.09,0.11,1.44,0.11,1.1,2.31,1.1,2.37,377.84,285.44
05007000051,05,007,000051,512.8,266.44,11.8,1.25,0.31,0.23,0.99,0.15,2.13,0.47,1.06,1.02,0.15,519.52,252.84
05007000052,05,007,000052,280.98,259.37,14.91,1.49,0.75,3.73,0,0.75,1.49,0.75,0,0.75,1.49,296.63,257.88
05007000053,05,007,000053,848.68,526.54,25.94,3.99,3.98,0,1,1,3.01,2,3.99,1,2,867.66,517.51
05007000054,05,007,000054,547,541,17,7,2,0,1,3,3,1,0,1,1,568,517
05007000055,05,007,000055,675,576,18,4,1,4,0,3,6,0,4,2,2,727,542
05007000056,05,007,000056,609,528,18,5,2,1,2,2,2,1,3,0,2,626,530
05007000057,05,007,000057,447.73,168.61,7.16,0,0,1.78,0,0,0,0.89,0,0.89,0.89,446.86,162.4
05007000058,05,007,000058,740.1,184.31,19.1,1.91,0,0,2.86,0.95,1.91,1.91,0.95,0,0.95,738.19,210.09
05007000059,05,007,000059,557,503,24,6,3,3,0,0,4,2,2,1,2,579,505
05007000060,05,007,000060,595,319,25,3,1,1,0,1,1,1,4,3,1,590,351
05007000061,05,007,000061,1011.46,569.88,22.32,0.11,1.01,0.04,1,0.04,4.02,1.99,2.03,0,0,1063.48,500.11
05007000062,05,007,000062,678,449,19,2,0,0,0,0,2,0,0,0,2,715,416
05007000063,05,007,000063,1164,664,18,2,1,4,1,0,3,0,5,1,2,1187,641
05007000064,05,007,000064,649.98,405.12,13.94,0,0,0,0,0,5.97,1,2.99,0,1,685.81,370.28
05007000065,05,007,000065,618.86,310.29,15,2,3,0,1,0,1,3,5,3,0,643.89,294.22
05007000066,05,007,000066,714.7,349.46,20.37,5.47,0.98,1.83,0.03,1.83,1.87,0.05,1.91,0.02,0.07,724.9,348.95
05007000067,05,007,000067,543.83,513.02,23.01,2.02,2,2,1,1,3.01,1,8.01,1,5,561.94,514.93
05007000068,05,007,000068,721.39,625.21,25.46,2.83,2.83,0.94,0.94,0,6.6,0,0.94,0.94,0,789.29,576.17
05007000069,05,007,000069,350.04,361.52,13.12,3.28,1.64,0.82,0,1.64,0.82,1.64,1.64,0,1.64,377.09,353.32
05007000070,05,007,000070,977,452,34,0,0,4,0,0,3,3,2,1,3,1001,464
05007000071,05,007,000071,736,462,26,3,0,1,1,1,4,2,2,0,4,780,447
05007000072,05,007,000072,693,311,17,0,1,2,0,0,4,0,3,3,0,709,309
05007000073,05,007,000073,305.67,79.67,3.05,1.01,0,0,0,0.01,0.01,1,3.98,0,0,296.72,84.71
05007000074,05,007,000074,870,536,19,2,1,1,0,3,7,0,1,0,3,904,526
05007000075,05,007,000075,276,399,13,4,0,0,1,0,1,1,1,0,2,287,395
05007000076,05,007,000076,664.38,299,8.34,1.12,0.86,0.25,1.98,0.86,1.12,0.25,0.51,0.25,0,668.7,287.41
05007000077,05,007,000077,975,468,32,1,1,2,2,1,8,0,1,1,1,998,486
05007000078,05,007,000078,705.52,385.59,16.63,1.21,2.17,0.37,2.12,0.12,2.29,3.21,4.37,2.12,2,726.59,380.78
05007000079,05,007,000079,464,372,19,2,0,0,0,0,4,1,3,1,1,500,342
05007000080,05,007,000080,293,207,9,2,1,0,1,1,3,0,1,2,0,304,207
05007000081,05,007,000081,936,482,35,6,3,5,0,1,3,1,3,0,3,940,517
05007000082,05,007,000082,477,286,16,0,0,0,1,0,1,1,0,1,1,494,267
05007000083,05,007,000083,488.25,422.48,10.96,2.99,1,2.99,0,1,2.99,1,1,2.99,1,518.14,404.55
05007000084,05,007,000084,655.36,404.14,19.86,1.99,0,2.98,0,0,3.97,1.99,0.99,0,0.99,681.18,399.18
05007000085,05,007,000085,618.9,163.07,12.76,0.03,2.9,0.03,0.02,0.98,2.93,0,0.02,0.98,0.98,627.76,163.19
05007000086,05,007,000086,794.51,210.8,24.71,2.96,0,0,0.99,0,1,0.01,0,0,0,789.48,224.74
05007000087,05,007,000087,407.16,174.18,7.26,0.83,0.1,0.67,0.9,0.15,0.82,0.72,1.37,0.69,0.03,408.03,173.99
05007000088,05,007,000088,576.67,358.94,9.74,2.09,0.13,0.04,0.04,1.04,0.09,0.09,3.17,0.04,1.13,584.54,340.68
05007000089,05,007,000089,400,336,12,2,0,0,1,1,1,0,2,1,1,419,322
05007000090,05,007,000090,359.03,330.42,10.15,3.69,0.92,2.77,0.92,0.92,2.77,2.77,4.61,0,4.61,385.8,313.81
05007000091,05,007,000091,528.67,221.79,17.81,1.07,0,0.17,1.05,1.94,1.1,2.04,0.13,0.15,1.05,536.88,229.15
05007000092,05,007,000092,524.57,721.08,25.76,3.34,0.25,3.14,1.89,7.8,2.39,2.14,5.67,2.14,7.11,587.49,682.73
05007000093,05,007,000093,387,252,13,1,1,0,2,2,1,1,3,2,2,404,233
05007000094,05,007,000094,456,371,13,5,0,0,0,0,1,0,1,0,0,484,345
05007000095,05,007,000095,698.46,183.63,13.15,8,1.01,1.02,0,0.02,3.02,0.02,7,1.03,2,706.54,203.66
05007000096,05,007,000096,822.22,229,12.83,0,0.99,1.97,0,1.97,1.97,1.97,0,2.96,0,829.13,230.97
05007000097,05,007,000097,548.97,235.71,15.66,1.96,3.03,1.33,0.35,0.09,2.05,0.17,0.09,0.98,2.13,568.5,223.99
05007000098,05,007,000098,317.56,188.78,2.54,0.05,0.04,0.06,0.02,0.02,0.1,0,2.04,0.04,0,336.79,161.63
05007000099,05,007,000099,981,624,47,6,1,1,2,3,2,0,3,1,0,1023,612
05007000100,05,007,000100,629,392,27,4,0,2,1,1,2,3,6,1,5,660,408
05007000101,05,007,000101,289.31,109.17,5.75,1.64,0.01,0.81,0,0,0.82,0,0,0.82,0,300.72,88.11
05007000102,05,007,000102,669,398,20,2,0,1,0,0,6,0,1,0,3,684,398
05007000103,05,007,000103,505,250,14,3,2,0,2,1,1,0,2,4,0,517,249
05007000104,05,007,000104,349,280,15,0,0,2,0,0,4,0,1,0,0,359,275
05007000105,05,007,000105,767,608,26,4,0,1,0,0,9,1,3,1,0,803,572
05007000106,05,007,000106,651,382,18,0,1,4,2,0,5,2,4,1,0,704,346
05007000107,05,007,000107,904.78,449.48,13.28,2.05,0,0.99,2.01,0.04,5.96,0,3,1.06,1.02,950.3,415.11
05007000108,05,007,000108,429.12,365.96,8.11,2.01,1.01,6.03,0,3.01,2.01,2.01,3,1.01,4.01,432.24,370.95
05007000109,05,007,000109,956.82,298.47,14.56,1.33,1,1.12,0.26,0.29,3.57,2.09,2.89,0,1.05,958.96,304.26
05007000110,05,007,000110,552,329,5,0,0,1,0,0,5,1,0,0,0,574,303
05007000111,05,007,000111,524.84,353.49,18.08,0.89,3.45,4.18,2.17,0.45,1.39,0.36,3.45,1.04,0.49,564.94,336.39
05007000112,05,007,000112,1055.24,391.2,14.15,1.02,3,5.02,1,0,6.03,1.01,4.01,1,1.01,1058.43,409.17
05007000113,05,007,000113,351,389,9,3,4,3,1,1,1,1,0,0,0,359,387
05007000114,05,007,000114,538.92,217.22,4.99,0,1,0,0,0,0,1.99,2,1.99,1,559.84,187.36
05007000115,05,007,000115,624.5,561.9,20.16,5.02,1.02,0.01,1.01,0,7.04,1,0.01,1.01,1,661.92,536.59
05007000116,05,007,000116,496,459,20,2,1,2,1,1,2,0,5,1,1,502,461
05007000117,05,007,000117,636.4,359.66,13.99,3,1,2,1,2,1,0,1,1,1,647.39,359.66
05009000001,05,009,000001,973.3,314.19,19,4,2,3,2,0,6,1,3.01,3,0,974.29,324.21
05009000002,05,009,000002,1317.23,468.27,18.93,6.97,1.99,5.98,1,0,4.98,3.98,0,1,1.99,1372.01,437.39
05009000003,05,009,000003,721.35,247.67,11.91,5.01,0.99,1.94,0.05,1.96,3.97,1.04,0.99,3.93,1.01,726.61,258.22
05009000004,05,009,000004,1122.28,298.4,16.81,4.02,1.04,4.91,0.98,0.98,6.01,4.01,3.93,1.02,1.96,1126.69,303.88
05009000005,05,009,000005,1326.57,252.18,8.24,6.91,0.96,0.11,1.96,1.05,4.99,3.93,1.04,1.04,1.03,1345.71,236.24
05009000006,05,009,000006,1427.99,172.01,11.98,5,0,1,1.99,0,4.99,5,0,1.99,0,1413.09,197.86
05009000007,05,009,000007,1275,221,16,5,1,4,1,1,2,1,0,2,2,1272,225
05009000008,05,009,000008,1481.83,347.14,18.07,6.06,1.01,4.06,1,1,3.02,1.02,1.04,1,2.01,1484.09,349.06
05009000009,05,009,000009,1294.6,260.97,6.04,4.01,3,5,1,1,1.03,0.02,4.99,3.01,1,1290.75,269.82
05009000010,05,009,000010,1434.82,238.05,17.01,3.03,4.99,4.99,0.02,1.01,1.01,0.01,3.99,3,1,1447.97,232.88
05009000011,05,009,000011,979.24,168.91,6,2.99,0,1,1.99,0.99,1,0.99,0.01,0.01,0,993.13,151.16
05009000012,05,009,000012,293.58,74.57,2.97,1.98,0,0.99,0,0,0,0,0.99,0,0,302.44,67.63
05011000001,05,011,000001,140.97,345.14,5.16,1.98,0,0,0.99,0.99,5.95,2.98,1.04,0,0,184.86,288.4
05011000002,05,011,000002,308.3,222.01,7.76,0.97,2.91,0.97,0.97,3.88,2.91,2.91,2.91,0,0,338.35,206.5
05011000003,05,011,000003,228.99,302.05,7.1,1,3.03,1,0,5.97,2.16,1.99,3.03,0,0,270.97,273.92
05011000004,05,011,000004,579.72,84.94,3.15,0.03,1.06,0.03,0.03,0.15,3.93,0.1,1.06,0,0,584.68,78.58
05011000005,05,011,000005,276.94,40.01,3.88,0.02,0,0,0.01,0.01,0.05,0.02,0.96,0,0,282.04,35.79
05011000006,05,011,000006,34.93,8.98,0,0,0,0,0,0,0,0,0,0,0,36.93,5.99
05011000007,05,011,000007,107.52,44.34,2.08,0.02,0,0,0,1,0,0,0.02,0,0,113.79,32.13
