GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOWRI,G16USSRYOU,G16USSDBAY,G16USSLBRE,G16USSOWRI,G16GOVRHOL,G16GOVDGRE,G16GOVLBEL,G16GOVOWRI,G16ATGRHIL,G16ATGDARR,G16SPIRMCC,G16SPIDRIT
18039000780,18,039,000780,574.2,132.84,23.83,8.17,558.89,157.19,21.69,0,563.86,162.43,11.48,0,630.48,102.25,548.89,179.57
18039000790,18,039,000790,538.32,117.73,28.3,8.06,510.13,153.96,27.3,0,524.17,148.05,17.15,0,584.66,96.68,505.22,174.02
18039000800,18,039,000800,430,122,22,8,417,136,26,0,423,148,9,0,486,88,396,169
18039000810,18,039,000810,649,207,34,15,608,261,40,0,621,264,15,0,723,165,586,303
18039000820,18,039,000820,386,111,21,3,367,133,22,0,371,135,16,0,408,103,363,139
18039000830,18,039,000830,568,160,29,11,522,201,44,1,525,216,25,0,595,162,525,227
18039000840,18,039,000840,211.93,24.88,9.21,0.92,206.4,32.25,7.37,0,200.87,37.78,6.45,0,217.46,23.96,198.11,44.23
18039000850,18,039,000850,592.07,139.12,37.79,14.08,543.6,182.75,56.63,0,546.13,196.22,34.55,0,630.54,129.04,557.89,194.77
18039000860,18,039,000860,406.36,100.2,11.13,10.21,391.51,115.97,20.41,0,404.5,116.9,3.71,0,438.83,82.57,375.74,145.66
18039000870,18,039,000870,368.64,111.8,25.87,6.79,351.49,136.03,22.59,0,366.5,130.1,16.29,0,422.17,85.43,356.26,142.34
18039000880,18,039,000880,365.25,70.51,14.31,13.23,360.06,82.89,19.42,1,366.3,84.77,11.26,1,403.03,51.09,359.85,94.27
18039000890,18,039,000890,381.19,87.04,16.82,12.86,362.48,122.51,14.93,0,378.28,111.67,12.88,0,426.68,67.21,352.56,140.36
18039000900,18,039,000900,561.56,117.44,23.87,17.91,546.47,146.61,32.64,0,565.42,137.56,19.87,0,622.28,84.69,530.59,176.37
18039000910,18,039,000910,481.26,68.17,26.39,8.15,467.37,107.74,14.76,0,475.39,100.9,7.48,0,527.38,50.28,452.64,117
18039000920,18,039,000920,578.74,155.83,31.61,10.85,538.63,202.26,36.24,0,544.61,203.1,21.52,0,648.62,112.72,503.36,252
18039000930,18,039,000930,539,253,36,11,520,273,48,0,529,274,30,0,625,200,530,291
18039000940,18,039,000940,433.03,148.33,22.9,1,396.2,176.2,32.85,0,411.13,175.2,17.92,0,491.77,116.47,412.13,180.18
18039000950,18,039,000950,262.97,123.67,7.1,5,220.8,145.8,31.15,0,243.87,142.8,10.08,0,285.23,114.53,246.87,143.82
