GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001095204,34,001,095204,508.6,77.9,1,0,9.9,3.9,3,3.9
34001100101,34,001,100101,121.8,184.8,0,2,3,0,0,3
34001100201,34,001,100201,76.1,211.4,0,1.9,0,0,0,0
34001105101,34,001,105101,243.1,361.2,9.1,5.2,4.8,2,1,3
34001105102,34,001,105102,259,299,1,8,7,5,0,2
34001105103,34,001,105103,108,170,1,4,2,0,0,0
34001105104,34,001,105104,272,349,2,6,5,5,1,1
34001105201,34,001,105201,197,205.2,4,2.9,6.5,0.1,0,0.1
34001105202,34,001,105202,120.3,154.3,1.8,2.8,4.6,0.9,0.9,1.8
34001105203,34,001,105203,194,218,1,2,12,2,0,3
34001105204,34,001,105204,327,334,6,5,15,2,0,2
34001110001,34,001,110001,413.5,341.6,6,7,4,3,0,2
34001110002,34,001,110002,287,306,2,8,15,6,0,1
34001110003,34,001,110003,360,405,4,3,11,1,2,5
34001110004,34,001,110004,251.8,425.8,2.9,1.9,5.8,1,0,1.9
34001110005,34,001,110005,315.2,406.2,3.1,5.1,17.2,0,1,1.1
34001115001,34,001,115001,180.7,308.8,2.9,1,7.8,1,0,2
34001115002,34,001,115002,249.1,428.6,2,5.9,9.8,2.9,1,4.9
34001ZZZZZZ,34,001,ZZZZZZ,74.2,95.7,0.7,0.9,2.3,0.2,0,0.5
34003005001,34,003,005001,450.3,588.4,6.8,4.9,2,1,1,0
34003005002,34,003,005002,250,336,6,4,0,5,3,2
34003005003,34,003,005003,350.9,399.9,10.2,3.1,4,1,2,0
34003005004,34,003,005004,414,562,16,7,3,3,7,0
34003010001,34,003,010001,326.6,336.7,1.9,2.7,3.6,1.8,0.9,0.9
34003015001,34,003,015001,212.6,143.8,3.2,0.8,3.2,0.8,0.8,0.8
34003015002,34,003,015002,415.2,255.8,8.3,2.7,6,0.3,2.3,1.2
34003015003,34,003,015003,301,163,2,2,7,1,4,4
34003015004,34,003,015004,338,162,6,3,5,3,4,0
34003015005,34,003,015005,306.9,145.2,5.5,1.8,5.5,0,3.7,0
34003015006,34,003,015006,399.1,171.8,9.5,0.2,2.5,7,1.3,0
34003015007,34,003,015007,298,139,5,5,3,1,4,1
34003015008,34,003,015008,318,165,4,3,3,0,0,0
34003015009,34,003,015009,340.4,106.6,2.1,2.1,3,1,1,0
34003015010,34,003,015010,350.5,299.5,5.9,1,3.9,0,0,1
34003015011,34,003,015011,313,289,6,0,1,1,4,0
34003015012,34,003,015012,439.5,202.5,4.1,6,5.1,4,1,1
34003015013,34,003,015013,498,188,6,4,5,0,1,1
34003015014,34,003,015014,299,145,3,2,3,2,2,0
34003015015,34,003,015015,425,200,4,1,10,4,2,1
34003015016,34,003,015016,343,190,11,6,8,3,4,1
34003015017,34,003,015017,347,140,4,6,8,0,1,4
34003020001,34,003,020001,321,166,4,4,1,4,2,1
34003020002,34,003,020002,391,183,4,0,8,0,0,1
34003020003,34,003,020003,331,187,2,2,2,2,3,1
34003020004,34,003,020004,356,201.1,6.7,1.9,8.7,0,1,0
34003020005,34,003,020005,258.1,134,1.3,1.1,2.3,1,1,0
34003020006,34,003,020006,269.9,130.9,0.8,5.3,3.3,1.6,0.8,0.8
34003025001,34,003,025001,192,228.1,6.3,1.3,3.2,5,1,0
34003025002,34,003,025002,211.7,253.8,5.9,0,0,0,0,2.9
34003025003,34,003,025003,232.3,190.4,14.9,4,2,4,0,1
34003025004,34,003,025004,249,219,6,4,3,3,2,1
34003025005,34,003,025005,211,243,5,2,2,2,4,0
34003030001,34,003,030001,320,91,5,2,1,2,0,1
34003030002,34,003,030002,306,111,3,8,1,0,0,1
34003030003,34,003,030003,319,124,0,3,2,2,1,0
34003030004,34,003,030004,468,276,6,3,5,0,1,3
34003030005,34,003,030005,256,108,5,0,6,0,0,0
34003030006,34,003,030006,290,127,5,6,0,0,0,1
34003030007,34,003,030007,284,146,4,2,1,0,1,1
34003030008,34,003,030008,315,154,4,1,5,4,1,0
34003030009,34,003,030009,218,121,6,1,2,0,0,1
34003030010,34,003,030010,498.7,336.2,13,6.9,1.2,0.1,0.1,0.1
34003030011,34,003,030011,321,165,7,1,3,2,2,0
34003030012,34,003,030012,201,91,5,5,2,8,1,0
34003030013,34,003,030013,183,118,2,1,3,0,0,1
34003030014,34,003,030014,138.3,117.1,1.1,1.1,1.1,0,0,0
34003030015,34,003,030015,272.3,205.2,2.9,1,5.7,0.9,0.9,0.9
34003035001,34,003,035001,249,181,6,5,1,0,1,0
34003035002,34,003,035002,301,199,6,3,6,3,1,2
34003035003,34,003,035003,296.2,226.1,3,3,0,3,0,1
34003035004,34,003,035004,313,215,1,5,0,0,0,0
34003035005,34,003,035005,281.8,216.5,6.8,2.9,2.9,0,1,0
34003035006,34,003,035006,422.1,294.5,4.2,2.3,1.4,0.2,0.1,1.1
34003040001,34,003,040001,214.5,196.7,5.3,3.5,1.7,0,1.7,1.8
34003040002,34,003,040002,340.8,248.2,5.2,0.2,1.1,3,0.1,2.1
34003040003,34,003,040003,404.9,408.9,5,3,5,2,1,2
34003040004,34,003,040004,203.6,186.8,0,0,0,0,0,0
34003040005,34,003,040005,258.3,259.8,0.7,2.2,1,1.2,1,0.2
34003040006,34,003,040006,162.9,168.3,2.8,1.1,0.2,0.7,0.2,0.9
34003045001,34,003,045001,390.2,296.9,6,1,7,1,0,0
34003045002,34,003,045002,376.7,269.5,7.3,1.8,0,0.9,0,0
34003045003,34,003,045003,512.3,276,5.7,4.2,0,0.1,0,2
34003050001,34,003,050001,278,208,7,6,3,7,1,0
34003050002,34,003,050002,340,303,8,6,3,0,2,0
34003050003,34,003,050003,211.3,189.1,5.2,5.9,0.7,3,0.7,1.5
34003050004,34,003,050004,412,290,14,1,5,6,6,0
34003050005,34,003,050005,350.3,233.5,5.8,2.9,4.9,1,1,0
34003050006,34,003,050006,345,326,15,2,8,3,0,0
34003050007,34,003,050007,305.2,243.4,4.2,3.9,2.1,3,4,0.1
34003050008,34,003,050008,457.7,386.9,15.8,9.1,2.3,13,2.3,0.5
34003050009,34,003,050009,331.7,340.5,2.2,3.1,5.1,2,0,1
34003050010,34,003,050010,219,187.2,5,2,5,1,0,0
34003050011,34,003,050011,289.6,344.6,9.7,1.9,6.8,3.9,4.8,3.9
34003060001,34,003,060001,416.1,221.6,8,3,5,2,2,0
34003060002,34,003,060002,352,266,14,5,5,9,2,1
34003060003,34,003,060003,285,242,11,7,2,3,1,3
34003060004,34,003,060004,546,579.5,18.1,8.2,14.8,4.6,5,0.1
34003065001,34,003,065001,471.2,169.6,9.9,4,6.9,3.9,2,0
34003065002,34,003,065002,537.6,227.6,2.2,3.1,6,2,6,1
34003065003,34,003,065003,600.2,275.8,12,7,0.1,1.1,2,1
34003065004,34,003,065004,759.9,295.7,6.1,6.1,6.1,0.1,4,1
34003067001,34,003,067001,408.2,310.4,6.8,2,5.9,2,1,0
34003067002,34,003,067002,395,339,10,6,7,3,1,0
34003067003,34,003,067003,313.4,232.6,0.1,0.1,5.2,3,2,0.2
34003067004,34,003,067004,266.6,94.4,1.9,0.9,2.8,0,0,2.8
34003067005,34,003,067005,296.5,186.6,6,3.1,9.1,5.2,1.1,0
34003067006,34,003,067006,267,93,7,3,4,1,0,0
34003067007,34,003,067007,335,256,2,4,5,3,3,1
34003067008,34,003,067008,485,409,10,4,8,2,5,5
34003067009,34,003,067009,278.2,285.1,7,6,8,1,0,1
34003067010,34,003,067010,422.8,357.3,11.2,2,3.2,1.1,1,2
34003070001,34,003,070001,295,417,9,6,2,3,1,1
34003070002,34,003,070002,233.4,305.1,9.9,1,1,1,1,0
34003070003,34,003,070003,197.2,264.9,6.4,4.3,2.4,1,4.1,3
34003070004,34,003,070004,257.9,436.2,5,1,5,1,1,1
34003070005,34,003,070005,237.8,317.5,3,0.1,1,0.1,0,0
34003070006,34,003,070006,173.6,268.9,5.1,1,1,3,2,0
34003075101,34,003,075101,556,259,5,10,1,0,1,2
34003075102,34,003,075102,427.4,213.6,3.4,6.2,4,1.2,0,0
34003075103,34,003,075103,322.6,52.5,1.6,0.8,4,0.8,0,0
34003075104,34,003,075104,502,40,2,3,7,3,2,0
34003075201,34,003,075201,295,169,5,3,1,0,0,0
34003075202,34,003,075202,247,174,3,1,0,0,1,1
34003075203,34,003,075203,379.4,231.6,4,5,3,0,0,1
34003075204,34,003,075204,678,193.8,7.9,4,1,4,0.1,3
34003075301,34,003,075301,399,62,12,2,3,0,2,0
34003075302,34,003,075302,763,117,5,2,6,1,1,0
34003075303,34,003,075303,385,40.2,6.5,3.7,3.7,0,0.9,0.9
34003075304,34,003,075304,593,48.4,3,1,4,1,1,1
34003075401,34,003,075401,347,23,7,1,4,0,0,0
34003075402,34,003,075402,686.2,32.4,5.2,0,8.4,1,1,0.1
34003075403,34,003,075403,585,25,5,2,12,1,1,1
34003075404,34,003,075404,526,69,4,2,8,3,0,0
34003080001,34,003,080001,342,326.8,5.5,1.2,0.1,0.2,2,0.1
34003080002,34,003,080002,273.6,317.5,7.6,2.9,1,2.8,0,1.9
34003080003,34,003,080003,259.2,324.2,4.7,1.9,2.8,0.9,0.9,0
34003080004,34,003,080004,241.9,260.9,4.2,4.1,0.1,1.1,0.1,1
34003085001,34,003,085001,344.5,282,6.6,4.3,1.9,1,2.1,1
34003085002,34,003,085002,490.3,409.3,5.2,12.2,0.2,2.1,1,0.1
34003085003,34,003,085003,280.4,235.2,5.9,3.9,4.9,0,0,1
34003085004,34,003,085004,416,284.2,7.3,2.2,3.2,2.3,2.1,2.2
34003085005,34,003,085005,239,180,3,2,0,0,0,1
34003085006,34,003,085006,303,283,8,7,1,1,2,0
34003085007,34,003,085007,262.7,205,4,5,6,1,3,0
34003085008,34,003,085008,318.6,230.9,6.1,2,5,1,1,1
34003085009,34,003,085009,335,249,4,4,3,0,3,1
34003085010,34,003,085010,312,283,8,9,2,5,1,0
34003085011,34,003,085011,329,219,8,2,2,3,3,1
34003085012,34,003,085012,290,184,3,3,3,0,0,0
34003085013,34,003,085013,440,235,9,3,0,2,1,1
34003085014,34,003,085014,302,194,2,0,2,0,1,0
34003085015,34,003,085015,468.3,287.8,14,2.8,3.6,0,2,0
34003085016,34,003,085016,386,260,12,3,0,3,8,0
34003085017,34,003,085017,306.4,288.6,2.5,3.1,2.1,0,0.1,0
34003085018,34,003,085018,284.6,208.4,12.5,1.9,1.9,1,1.9,1
34003085019,34,003,085019,283,256,3,7,2,2,1,1
34003085020,34,003,085020,269,202.4,9,7.2,5.4,0,0,0
34003085021,34,003,085021,376,309.2,4,6,10.1,3,2,1
34003085022,34,003,085022,240,216,6,3,3,2,0,1
34003085023,34,003,085023,377.4,245.1,6.8,6.8,4.9,6.8,0,1
