GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34003105303,34,003,105303,379,265,4,7,0,0,1,1,0
34003105401,34,003,105401,451,296,16,5,2,0,0,0,0
34003105402,34,003,105402,287,293,3,4,0,0,0,0,1
34003105403,34,003,105403,209.2,227.2,7.6,2.9,0.9,0,0,0,0
34003105501,34,003,105501,549,471,22,7,0,0,0,0,0
34003105502,34,003,105502,364.3,278.5,3.5,11.2,6.1,0,0,0,1
34003105503,34,003,105503,217,189,3,6,0,0,0,0,0
34003110001,34,003,110001,582,305.8,19.9,7.4,0,0,0,0.1,0
34003110002,34,003,110002,597.3,280.3,33.7,15.8,2,0,1,0,0
34003110003,34,003,110003,491,345,24,6,1,1,0,0,0
34003110004,34,003,110004,435,293,26,4,1,0,0,0,0
34003110005,34,003,110005,619.6,330.7,33.9,10,0,1,0,0,0
34003110006,34,003,110006,423.6,278.2,12.1,9,1,1,0,0,0
34003110007,34,003,110007,565.9,326.3,14.1,1.1,1,1,0,0,0
34003110008,34,003,110008,392,217,11,1,0,0,0,0,0
34003115101,34,003,115101,410.3,125.5,9.7,4.8,3.9,0,1,1,0
34003115102,34,003,115102,424.8,133.7,3,4.9,0.1,0,1,0,0
34003115103,34,003,115103,479,122,6,6,1,0,0,0,0
34003115104,34,003,115104,448.7,103.1,3.9,7.1,0,0.5,0,0,0
34003115201,34,003,115201,307,52,2,1,1,0,0,0,0
34003115202,34,003,115202,663,140,9,6,0,0,4,0,0
34003115203,34,003,115203,650.5,129.4,4,6,0,0,1,1,0
34003115204,34,003,115204,381,127,3,4,0,0,0,0,0
34003115205,34,003,115205,394.8,88.8,5.4,2.7,0.9,0,0,0,0.9
34003115301,34,003,115301,360,28,4,1,0,0,0,0,0
34003115302,34,003,115302,363,128,3,1,2,0,0,0,0
34003115303,34,003,115303,415,25,0,5,1,0,0,0,0
34003115304,34,003,115304,616,102,6,15,0,0,0,1,0
34003115305,34,003,115305,517,76,3,7,0,0,1,0,1
34003115401,34,003,115401,488,166,3,3,0,0,0,1,0
34003115402,34,003,115402,869,267,13,8,0,0,0,0,1
34003115403,34,003,115403,660,246,15,6,0,1,0,0,0
34003115404,34,003,115404,578,191,21,8,0,0,0,1,0
34003115405,34,003,115405,388,115,4,7,0,0,0,0,0
34003115501,34,003,115501,499,144,9,8,2,0,1,0,0
34003115502,34,003,115502,382.6,131.8,3.9,4.9,0,0,0,0,0
34003115503,34,003,115503,396,231,16,8,0,0,1,0,0
34003115504,34,003,115504,433,170,9,3,0,0,0,0,0
34003115505,34,003,115505,386.4,158.8,14.5,3.3,1,0,0,0,0
34003115506,34,003,115506,456.1,141.8,14.2,8.4,0,0,0,0,0
34003120001,34,003,120001,366.1,274.1,13.5,3.4,0.8,0,1.7,0,0
34003120002,34,003,120002,503.8,406.9,14,8,0,0,0,0,0
34003120003,34,003,120003,441.4,410.6,19.6,7.8,2.9,0,0,0,0
34003125001,34,003,125001,305,392,11.4,5.4,3,0.1,0,0,0
34003125002,34,003,125002,358.7,369.1,9.4,7.6,0,1.9,0,0,0
34003125003,34,003,125003,309.1,389.4,17.3,6.4,1,0,0,0,0
34003125004,34,003,125004,271.8,376.4,13.1,4.8,0,0,0.1,0,0
34003125005,34,003,125005,287.6,339.6,9.3,9.9,0,0,0.1,1,0
34003125006,34,003,125006,277.7,335.8,12.7,2.7,0,0,3.6,0,0
34003125007,34,003,125007,303.6,334.5,12.5,4.8,0,0,0.2,0,0
34003125008,34,003,125008,374.7,322.4,11.4,9.5,0,0,0,0,0
34003125009,34,003,125009,264.1,218.4,8.2,5.2,1,0,0,0,0
34003130001,34,003,130001,603.5,358.7,15.4,14.1,1,0,0,0,0
34003130002,34,003,130002,542.8,341.9,24.1,9.7,0,0,1,1,0
34003135001,34,003,135001,337.3,409.6,25,6.6,0,0,0.9,0,0
34003135002,34,003,135002,437.4,384,17.2,11,1,0.1,0.1,0,0
34003135003,34,003,135003,538.5,501.3,21.4,9.2,1,0,1,0,0
34003135004,34,003,135004,553,511.8,28.4,11.2,0,1,0,1,0
