GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001085301,34,001,085301,295.07,634.53,7.89,7.89,4.94,0.99,0,5.92
34001090101,34,001,090101,186,229,2,2,4,3,0,0
34001090102,34,001,090102,155.78,243.14,2.02,2,5.02,1.01,0,0.01
34001090103,34,001,090103,189,230,4,8,7,2,0,2
34001090104,34,001,090104,176,217,0,3,6,2,0,3
34001090201,34,001,090201,177,209,3,3,0,1,0,1
34001090202,34,001,090202,237,259,5,4,4,0,1,5
34001090203,34,001,090203,202.8,387.62,2,5,8.99,0,1,0
34001090204,34,001,090204,201,182,3,4,9,1,0,0
34001095101,34,001,095101,520.8,120.72,4.99,2.99,20.95,2,0,2
34001095102,34,001,095102,376,46,5,4,27,0,3,3
34001095103,34,001,095103,426.56,80.59,1.97,0,17.69,0.98,0,1.97
34001095104,34,001,095104,512.44,50.41,2.03,1,15.31,0.02,0,4.03
34001095201,34,001,095201,381.23,44.09,1.01,0.05,11.89,0.97,0,8.86
34001095202,34,001,095202,440,68.16,0.06,0.1,14.38,1.01,1,7.24
34001095203,34,001,095203,568,52,2,0,22,0,2,4
34001095204,34,001,095204,508.64,77.87,0.99,0,9.86,3.94,2.96,3.94
34001100101,34,001,100101,121.83,184.75,0,2,3,0,0,3
34001100201,34,001,100201,76.09,211.4,0.01,1.94,0.02,0.01,0.01,0.01
34001105101,34,001,105101,243.05,361.23,9.05,5.25,4.76,1.99,1.04,3.03
34001105102,34,001,105102,259,299,1,8,7,5,0,2
34001105103,34,001,105103,108,170,1,4,2,0,0,0
34001105104,34,001,105104,272,349,2,6,5,5,1,1
34001105201,34,001,105201,196.99,205.17,4,2.92,6.46,0.09,0.05,0.14
34001105202,34,001,105202,120.34,154.33,1.84,2.76,4.59,0.92,0.92,1.84
34001105203,34,001,105203,194,218,1,2,12,2,0,3
34001105204,34,001,105204,327,334,6,5,15,2,0,2
34001110001,34,001,110001,413.46,341.55,6.01,7.01,4.04,3,0,2.01
34001110002,34,001,110002,287,306,2,8,15,6,0,1
34001110003,34,001,110003,360,405,4,3,11,1,2,5
34001110004,34,001,110004,251.81,425.83,2.92,1.94,5.83,0.97,0,1.94
34001110005,34,001,110005,315.19,406.17,3.08,5.06,17.17,0.03,1,1.06
34001115001,34,001,115001,180.67,308.79,2.93,0.98,7.81,0.98,0,1.95
34001115002,34,001,115002,249.13,428.62,1.96,5.88,9.81,2.94,0.98,4.9
34001ZZZZZZ,34,001,ZZZZZZ,74.18,95.68,0.73,0.87,2.28,0.18,0.05,0.53
34003005001,34,003,005001,450.34,588.38,6.85,4.89,1.96,0.98,0.98,0
34003005002,34,003,005002,250.02,336.04,6,4,0,5,3,2
34003005003,34,003,005003,350.86,399.9,10.15,3.11,4.04,1.02,2.02,0
34003005004,34,003,005004,414,562,16,7,3,3,7,0
34003010001,34,003,010001,326.63,336.7,1.85,2.72,3.59,1.82,0.91,0.91
34003015001,34,003,015001,212.58,143.83,3.16,0.79,3.16,0.79,0.79,0.79
34003015002,34,003,015002,415.19,255.76,8.27,2.68,5.96,0.32,2.26,1.21
34003015003,34,003,015003,301,163,2,2,7,1,4,4
34003015004,34,003,015004,338,162,6,3,5,3,4,0
34003015005,34,003,015005,306.93,145.19,5.51,1.84,5.51,0,3.68,0
34003015006,34,003,015006,399.07,171.81,9.49,0.16,2.49,7,1.32,0
34003015007,34,003,015007,298,139,5,5,3,1,4,1
34003015008,34,003,015008,318,165,4,3,3,0,0,0
34003015009,34,003,015009,340.4,106.62,2.1,2.06,3.03,1,1,0.01
34003015010,34,003,015010,350.52,299.46,5.89,0.98,3.93,0,0,0.98
34003015011,34,003,015011,313,289,6,0,1,1,4,0
