GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010465001012,0,0,0,0,0,0,0,0,0
230010465003064,32.2,54.5,1.6,0.8,0.1,26,58.2,3.2,2.1
230010465003063,0,0,0,0,0,0,0,0,0
230010465002011,0,0,0,0,0,0,0,0,0
230010465003029,13.1,22.2,0.7,0.3,0,10.6,23.7,1.3,0.8
230010465003061,0,0,0,0,0,0,0,0,0
230010420001031,0,0,0,0,0,0,0,0,0
230010420004000,0,0,0,0,0,0,0,0,0
230010207002011,6.6,5.5,0.3,0.1,0,5.3,6.5,0.6,0.1
230010205001007,12,7.5,0.3,0.2,0.1,10.4,8.6,0.8,0.3
230010206001006,5,3.1,0.1,0.1,0,4.3,3.5,0.3,0.1
230010206002059,0,0,0,0,0,0,0,0,0
230010208004025,1.4,1.2,0.1,0,0,1.1,1.4,0.1,0
230010206002006,1.4,1.9,0.1,0,0,1.1,2.2,0.1,0.1
230010205003013,0,0,0,0,0,0,0,0,0
230010205001019,5.3,3.3,0.1,0.1,0,4.6,3.8,0.4,0.1
230010205002015,8.9,5.5,0.2,0.1,0,7.6,6.3,0.6,0.2
230010208001019,7.2,9.5,0.4,0.2,0,5.6,11,0.6,0.4
230010208004010,10.1,8.4,0.4,0.2,0,8.1,9.9,0.9,0.2
230010208004001,4.9,4.1,0.2,0.1,0,3.9,4.8,0.5,0.1
230010208004019,6.3,8.4,0.3,0.1,0,4.9,9.7,0.5,0.3
230010208001004,7.5,9.9,0.4,0.2,0,5.8,11.4,0.6,0.4
230010208001010,16.7,22,0.9,0.4,0.1,13,25.5,1.4,0.8
230010206001018,9.2,5.7,0.2,0.2,0,7.9,6.6,0.6,0.3
230010206002024,0,0,0,0,0,0,0,0,0
230010206001008,19.1,11.9,0.5,0.3,0.1,16.4,13.7,1.3,0.5
230010208004005,0,0,0,0,0,0,0,0,0
230010206002001,0,0,0,0,0,0,0,0,0
230010203002013,19.5,9,0.4,0.5,0,17,10.3,1.3,0.5
230010206002072,2,2.7,0.1,0,0,1.6,3.1,0.2,0.1
230010102003006,8,5.7,0.3,0.1,0,6.6,6.7,0.6,0.2
230010102003007,37.1,26.5,1.4,0.6,0.1,30.5,31.1,2.8,1.1
230010102003008,0,0,0,0,0,0,0,0,0
230010102003060,0,0,0,0,0,0,0,0,0
230010102003003,0,0,0,0,0,0,0,0,0
230010102003066,3.8,2.7,0.1,0.1,0,3.1,3.2,0.3,0.1
230010102001016,21.1,15.1,0.8,0.3,0,17.3,17.6,1.6,0.6
230010102002017,14.3,10.3,0.5,0.2,0,11.8,12,1.1,0.4
230010102001015,12.2,8.7,0.5,0.2,0,10,10.2,0.9,0.4
230010102002027,11.8,8.4,0.4,0.2,0,9.7,9.9,0.9,0.3
230010108001013,12.6,9.1,0.5,0.2,0,10.4,10.6,0.9,0.4
230010108001021,12.6,9.1,0.5,0.2,0,10.4,10.6,0.9,0.4
230010440002017,0,0,0,0,0,0,0,0,0
230010440001015,4.6,6.9,0.2,0.2,0,3.9,7.1,0.6,0.3
230010440003065,0,0,0,0,0,0,0,0,0
230010440001028,3.9,5.8,0.2,0.1,0,3.3,6,0.5,0.2
230010440002028,3.9,5.8,0.2,0.1,0,3.3,6,0.5,0.2
230010440002018,0,0,0,0,0,0,0,0,0
230010440002016,0,0,0,0,0,0,0,0,0
230010440002021,6.9,10.3,0.3,0.3,0,5.9,10.7,0.8,0.4
230010440003023,3.5,5.1,0.1,0.1,0,2.9,5.3,0.4,0.2
230010440003011,1.6,2.4,0.1,0.1,0,1.4,2.5,0.2,0.1
230010440003069,0.9,1.4,0,0,0,0.8,1.4,0.1,0.1
230010440002003,0,0,0,0,0,0,0,0,0
230010440003019,0,0,0,0,0,0,0,0,0
230010440002034,0,0,0,0,0,0,0,0,0
230010440003033,8.5,12.7,0.3,0.3,0,7.3,13.2,1,0.5
230010105002014,7.5,6.8,0.3,0.2,0,6,7.7,0.9,0.4
230010105002016,0,0,0,0,0,0,0,0,0
230010105001016,24.8,22.3,1.1,0.7,0.1,19.7,25.5,2.8,1.3
230010105001022,16.2,14.6,0.7,0.4,0,12.8,16.6,1.9,0.9
230010105002025,6.8,6.1,0.3,0.2,0,5.4,7,0.8,0.4
230010105002026,5.6,5.1,0.3,0.1,0,4.5,5.8,0.6,0.3
230010103002021,8.4,6,0.3,0.1,0,6.9,7.1,0.6,0.2
230010102003001,0,0,0,0,0,0,0,0,0
230010106002010,18.4,16.6,0.8,0.5,0,14.6,18.9,2.1,1
230010104002008,0,0,0,0,0,0,0,0,0
230010106002032,9.4,8.5,0.4,0.2,0,7.4,9.7,1.1,0.5
230010105002028,17.7,15.9,0.8,0.5,0,14,18.2,2,0.9
230010106002094,1.9,1.7,0.1,0,0,1.5,1.9,0.2,0.1
230010102003022,0,0,0,0,0,0,0,0,0
230010102003016,0,0,0,0,0,0,0,0,0
230010440002002,0.7,1,0,0,0,0.6,1.1,0.1,0
230010440002015,1.6,2.4,0.1,0.1,0,1.4,2.5,0.2,0.1
230010440001035,0.2,0.3,0,0,0,0.2,0.4,0,0
230010440003004,0,0,0,0,0,0,0,0,0
230010415002000,60,90.6,3.7,2,0.2,46.8,96.8,7.6,4.8
230010415002012,3.1,4.7,0.2,0.1,0,2.5,5.1,0.4,0.3
230010450001055,0,0,0,0,0,0,0,0,0
230010450001115,0,0,0,0,0,0,0,0,0
230010450001056,0,0,0,0,0,0,0,0,0
230010450001082,17,27.4,0.9,0.3,0.1,13.3,30,1.8,0.7
230010450001116,0,0,0,0,0,0,0,0,0
230010450001072,5.4,8.7,0.3,0.1,0,4.2,9.5,0.6,0.2
230010450001017,0,0,0,0,0,0,0,0,0
230010450001027,0,0,0,0,0,0,0,0,0
230010450001059,5.7,9.1,0.3,0.1,0,4.4,10,0.6,0.2
230010450001105,0,0,0,0,0,0,0,0,0
230010450001020,0,0,0,0,0,0,0,0,0
230010420002043,11.1,17.5,0.5,0.3,0,8.7,19.2,1,0.5
230010420004064,0,0,0,0,0,0,0,0,0
230010420003029,5.1,8.1,0.2,0.1,0,4,8.8,0.4,0.2
230010420002000,8.7,13.8,0.4,0.2,0,6.8,15.1,0.7,0.4
230010420003007,0,0,0,0,0,0,0,0,0
230010420001033,0,0,0,0,0,0,0,0,0
230010420001030,0,0,0,0,0,0,0,0,0
230010420004048,0,0,0,0,0,0,0,0,0
230010420001018,0,0,0,0,0,0,0,0,0
230010420004038,3.9,6.2,0.2,0.1,0,3,6.8,0.3,0.2
230010420002059,0,0,0,0,0,0,0,0,0
230010420004039,0,0,0,0,0,0,0,0,0
230010420004033,11.7,18.5,0.5,0.3,0,9.1,20.3,1,0.5
230010420001034,0,0,0,0,0,0,0,0,0
230010302001002,16.3,21,0.9,0.4,0.1,13,23.1,1.9,0.9
230010302001008,8.5,10.9,0.5,0.2,0.1,6.7,12,1,0.5
230010302002009,9.1,11.8,0.5,0.3,0.1,7.3,12.9,1,0.5
230010302002022,11.7,15.1,0.7,0.3,0.1,9.3,16.6,1.3,0.7
230010302001035,14,18.1,0.8,0.4,0.1,11.1,19.8,1.6,0.8
230010302001031,2.6,3.4,0.1,0.1,0,2.1,3.7,0.3,0.1
230010301002001,4.9,6.3,0.3,0.1,0,3.9,6.9,0.6,0.3
230010430001002,1.4,1.9,0.1,0,0,1.1,2.1,0.1,0
230010430001028,0,0,0,0,0,0,0,0,0
230010430002039,0,0,0,0,0,0,0,0,0
230010430002034,15.5,21.1,0.7,0.3,0.1,12.2,23.7,0.9,0.4
230010430001027,0,0,0,0,0,0,0,0,0
230010430001042,0,0,0,0,0,0,0,0,0
230010440002036,0,0,0,0,0,0,0,0,0
230010440003046,34.9,51.8,1.4,1.3,0.1,29.6,53.7,4.2,2
230010102002028,209.1,149.6,7.7,3.5,0.4,171.6,175,15.6,6.2
230010107001004,0,0,0,0,0,0,0,0,0
230010106002005,3.4,3,0.2,0.1,0,2.7,3.5,0.4,0.2
230010106001015,4.1,3.7,0.2,0.1,0,3.3,4.2,0.5,0.2
230010106001000,0,0,0,0,0,0,0,0,0
230010104001019,3.6,3.4,0.1,0.1,0,2.9,3.9,0.3,0.2
230010107002074,0,0,0,0,0,0,0,0,0
230010104001022,0,0,0,0,0,0,0,0,0
230010102003011,3.8,2.7,0.1,0.1,0,3.1,3.2,0.3,0.1
230010108002018,0,0,0,0,0,0,0,0,0
230010107002049,0,0,0,0,0,0,0,0,0
230010105001027,0,0,0,0,0,0,0,0,0
230010400002037,64.9,63,3,1.3,0.3,49.2,74.3,7.7,1.9
230010410001008,19.7,24.6,0.8,0.4,0.1,15.1,27.9,1.8,0.7
230010410002017,17.9,22.4,0.7,0.3,0.1,13.7,25.3,1.6,0.6
230010410002007,0,0,0,0,0,0,0,0,0
