GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3102500008P,31,025,00008P,165.41,76.9,6.47,165.89,84.73,159.23,70.15,190.73,189.67,148.23,76.17
3102500008W,31,025,00008W,169.27,83.15,10.42,174.48,88.28,168.14,81.35,204.39,205.46,160.65,89.35
3102500009P,31,025,00009P,221.72,137.23,11.77,221.73,151.94,204.08,134.3,265.81,259.94,198.19,143.12
3102500009W,31,025,00009W,150.14,95.05,17.96,162.08,100.08,158.01,99.99,194.01,194,151.89,103.06
3102500010P,31,025,00010P,349.36,135.8,18.23,357.35,153.09,330,141.73,371.28,377.15,319.89,146.91
3102500011P,31,025,00011P,103.24,48.18,8.85,105.2,54.08,100.29,46.21,120.93,122.9,101.27,49.16
3102500012P,31,025,00012P,63.44,19.82,0.99,67.4,18.83,65.42,15.86,70.38,68.39,58.48,18.83
3102500013P,31,025,00013P,321.78,145.66,16.09,328.4,151.36,316.09,145.65,384.18,382.27,299.94,157.07
3102500014P,31,025,00014P,92.83,45.37,6.09,93.86,54.38,88.82,47.31,96.11,97.13,80.92,53.3
3102500015P,31,025,00015P,167.56,85.71,6.27,173.54,92.04,169.43,81.81,202.32,200.35,156.07,92
3102500016P,31,025,00016P,295,144,15,290,166,296,153,364,364,273,161
3102500017P,31,025,00017P,215.56,93.18,12.01,218.6,104.17,219.58,94.14,264.62,270.61,203.52,104.17
3102500018P,31,025,00018P,339.58,142.89,17.75,345.14,154.18,330.45,141.31,394.15,388.36,303.13,164.48
3102500019P,31,025,00019P,477.4,189.36,27.51,491.93,206.58,473.17,191.93,534.2,533.73,445.48,201.61
3102500020P,31,025,00020P,539.37,215.75,19.79,536.4,238.51,530.46,223.67,609.64,611.62,503.74,236.53
310250003W2,31,025,0003W2,100.48,57.99,8.58,102.02,65.77,101.81,61.47,125.95,120.42,92.53,67.79
3102700001P,31,027,00001P,125,42,9,131,47,119,50,151,145,108,53
3102700002P,31,027,00002P,293,50,15,297,67,264,73,302,305,240,77
3102700003P,31,027,00003P,156,23,7,139,50,123,43,145,149,114,42
3102700004P,31,027,00004P,176,38,8,170,56,160,45,191,188,152,45
3102700005P,31,027,00005P,195,22,5,193,30,170,34,187,186,166,36
3102700006P,31,027,00006P,63,22,3,64,24,53,30,64,65,47,29
3102700007P,31,027,00007P,562.2,112.28,18.03,516.13,172.38,504,133.39,560.18,562.18,446.93,178.4
3102700009P,31,027,00009P,116.8,27.72,2.97,109.87,36.62,97,37.61,114.82,114.82,90.07,38.6
3102700013P,31,027,00013P,247,31,2,226,56,230,45,252,255,216,60
3102700015P,31,027,00015P,99,10,7,99,17,94,13,101,100,87,17
3102700016P,31,027,00016P,336,66,17,352,77,308,79,361,354,292,93
3102700018P,31,027,00018P,97,34,2,97,34,96,34,105,105,87,36
3102700020P,31,027,00020P,400,59,15,381,88,376,73,426,420,360,87
3102900001P,31,029,00001P,189,15,0,187,18,179,15,180,180,168,23
3102900002P,31,029,00002P,244.73,28.49,4.09,251.73,25.61,237.71,27.45,239.62,242.56,231.46,28.63
3102900003P,31,029,00003P,238,36,12,235,47,240,36,251,255,216,49
3102900007P,31,029,00007P,231.27,37.51,6.91,233.27,44.39,228.29,34.55,223.38,220.44,211.54,46.37
3102900008P,31,029,00008P,437,67,15,447,70,431,64,448,444,404,76
3103100001P,31,031,00001P,83,12,16,98,15,97,10,95,93,95,13
3103100002P,31,031,00002P,155,12,12,156,23,156,12,141,144,148,20
3103100003P,31,031,00003P,26,2,4,25,7,24,3,25,27,24,3
3103100004P,31,031,00004P,61,3,6,60,10,56,4,46,50,49,7
3103100005P,31,031,00005P,63,5,5,68,11,67,6,65,69,61,10
3103100006P,31,031,00006P,363,111,23,385,119,379,94,397,396,345,106
3103100007P,31,031,00007P,366,78,23,378,93,371,70,368,363,347,86
3103100008P,31,031,00008P,260,49,22,281,57,283,46,285,293,263,54
3103100009P,31,031,00009P,23,1,0,21,3,22,0,21,19,20,2
3103100010P,31,031,00010P,17,0,1,19,0,19,0,17,17,18,0
