GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3105100001P,31,051,00001P,281,95,15,283,116,247,117,309,311,232,124
3105100003P,31,051,00003P,136.7,29.72,1.98,141.65,31.7,127.79,34.67,146.61,145.62,123.82,34.67
3105100004P,31,051,00004P,163,33,5,168,33,155,35,169,170,141,39
3105100005P,31,051,00005P,167,38,9,164,53,165,42,189,188,157,51
3105100006P,31,051,00006P,183,25,13,180,41,172,39,200,201,177,35
3105100007P,31,051,00007P,81,30,7,85,33,80,35,100,99,72,35
3105100008P,31,051,00008P,101,46,6,104,54,94,53,122,121,91,56
3105100009P,31,051,00009P,123.47,27.98,9.03,124.35,36.09,121.34,30.07,135.96,137.87,115.25,38.12
3105100010P,31,051,00010P,94.23,45.27,6.02,102.28,46.29,89.15,51.31,114.32,115.31,83.12,53.31
3105100011P,31,051,00011P,138.07,30.01,3,133.07,40.02,124.06,44.02,146.07,148.07,123.06,39.02
3105100012P,31,051,00012P,90.15,34.03,3.01,90.15,36.04,87.15,31.04,101.17,104.17,81.14,36.05
3105100013P,31,051,00013P,96.38,53.98,2.96,90.5,60.87,89.51,58.89,122.88,118.96,83.61,62.83
3105300001P,31,053,00001P,245,69,13,237,89,231,60,255,245,208,93
3105300002P,31,053,00002P,166,24,5,168,27,160,29,169,172,138,48
3105300003P,31,053,00003P,175.99,47,3,169.99,57,162.99,42,181.99,185.99,129.99,90
3105300004P,31,053,00004P,267,61,9,253,84,256,60,282,284,209,107
3105300005P,31,053,00005P,108.88,28.97,3,98.9,43.95,104.89,27.97,110.88,110.88,86.91,45.95
3105300006P,31,053,00006P,531,164,16,514,196,515,168,588,588,448,241
3105300007P,31,053,00007P,393.81,137.75,15.79,364.17,180.78,381.59,142.15,447.53,445.04,337.56,191.85
3105300008P,31,053,00008P,156.14,90.58,12.42,153.22,104.52,157.1,95.74,208.05,205.45,130.72,125.61
3105300009P,31,053,00009P,105.38,37.27,1.35,97.69,49.29,99.88,34.72,115.87,110.08,90.32,46.32
3105300010P,31,053,00010P,403,199,22,376,253,397,196,519,512,345,260
3105300011P,31,053,00011P,152,72,12,149,91,155,70,194,197,138,91
3105300012P,31,053,00012P,171,101,11,174,114,176,98,232,223,147,135
3105300013P,31,053,00013P,320.09,186.14,17.73,301.37,224.55,319.1,179.25,409.71,396.91,299.4,212.73
3105300014P,31,053,00014P,339.53,161.36,10.95,311.07,204.64,318.99,168.97,417.28,414.3,265.31,226.86
3105300015P,31,053,00015P,153.23,113.17,16.39,148.55,131.11,153.23,122.52,218.78,215.66,135.19,142.92
3105300016P,31,053,00016P,333.44,187.42,12.03,306.28,225.61,322.54,188.55,403.23,401.77,293.74,222.28
3105300017P,31,053,00017P,197,142,18,194,164,194,156,283,281,190,159
3105300018P,31,053,00018P,139.56,106.58,9.97,135.72,120.39,146.46,100.45,194.77,193.23,137.26,112.72
3105300019P,31,053,00019P,143,82,5,141,87,154,73,183,185,131,90
3105300020P,31,053,00020P,258,172,19,251,196,266,172,353,347,222,215
3105300021P,31,053,00021P,485.18,186.76,18.77,447.63,244.07,461.47,176.88,575.1,573.13,351.78,311.27
3105300022P,31,053,00022P,485.98,221.67,13.02,461.84,263.89,481.88,201.61,585.14,579.02,378.72,321.81
3105300023P,31,053,00023P,58.22,76.63,3.48,55.28,81.11,57.35,75.74,87.14,88.14,51.22,85.04
3105300024P,31,053,00024P,118.78,102.37,13.52,120.72,115.89,122.65,105.26,172.86,172.86,118.78,113.96
3105300025P,31,053,00025P,165,162,16,171,174,183,153,273,269,155,178
3105300026P,31,053,00026P,127,89,13,118,112,138,85,189,182,114,108
3105300027P,31,053,00027P,167,120,11,157,139,171,119,238,234,151,135
3105300028P,31,053,00028P,279,155,17,251,204,274,158,364,362,227,213
3105300029P,31,053,00029P,362.46,219.92,21.54,315.34,290.62,350.59,222.77,472.19,470.08,279.97,309.09
3105300030P,31,053,00030P,222.01,108,16,222.01,127,233.01,90,273.01,269.01,184.01,151
3105300031P,31,053,00031P,320,141,16,320,162,288,150,377,375,272,190
3105300033P,31,053,00033P,276,59,13,272,76,267,67,304,305,221,111
31055001-02,31,055,001-02,616.74,552.9,47.51,622.68,591.14,608.46,574.7,809.71,817.64,588.13,582.92
31055001-03,31,055,001-03,333,415,16,342,422,325,426,495,500,303,440
31055001-04,31,055,001-04,282.12,588.7,34.37,279.28,616.86,261.09,631.85,508.98,511.06,240,634.87
31055001-05,31,055,001-05,319.54,540.31,43.12,328.56,569.75,312.73,570.53,528.67,529.39,298.64,574.27
31055001-07,31,055,001-07,258,761,52,267,800,270,777,543,535,263,784
31055001-08,31,055,001-08,296,730,48,304,775,307,749,587,587,286,754
31055001-09,31,055,001-09,225,455,33,230,480,228,461,411,412,217,473
31055001-10,31,055,001-10,216,261,18,224,268,215,265,333,334,211,266
31055001-11,31,055,001-11,301,496,46,316,530,319,504,521,518,294,528
31055001-12,31,055,001-12,47,43,3,47,46,41,46,66,69,38,50
31055001-13,31,055,001-13,537,637,53,532,696,521,660,826,819,509,666
31055001-14,31,055,001-14,386,1011,46,396,1038,396,1004,753,740,364,1016
31055001-15,31,055,001-15,398,752,58,408,800,410,773,732,732,389,793
31055001-16,31,055,001-16,287,416,27,292,437,295,414,478,476,271,442
31055001-17,31,055,001-17,217,741,30,223,761,213,741,464,454,204,746
31055001-18,31,055,001-18,514,948,37,506,989,533,919,874,873,478,954
31055001-19,31,055,001-19,477,623,24,480,643,487,597,707,711,452,631
31055001-20,31,055,001-20,361.41,491.22,34.33,373.42,511.51,372.31,494.27,597.17,596.15,353.97,504.52
31055001-21,31,055,001-21,394.21,582.36,24.89,390.23,605.25,387.24,588.33,652.04,660.01,356.38,608.24
31055001-22,31,055,001-22,429.63,423.6,25.79,432.6,446.42,421.69,426.57,618.09,611.15,397.86,445.44
31055001-23,31,055,001-23,341.04,501.54,30.46,344.46,528.76,333.1,526.56,543.92,540.68,309.79,529.36
31055001-24,31,055,001-24,293,455,31,298,477,291,462,494,494,273,484
31055001-25,31,055,001-25,222,412,34,228,439,222,436,413,416,221,430
31055001-26,31,055,001-26,201,650,18,201,665,194,651,404,395,175,658
31055001-27,31,055,001-27,477.64,394.6,24.23,464.74,430.77,454.62,421.72,650.06,649,438.45,433.7
31055001-28,31,055,001-28,380,453,40,396,475,374,464,592,597,369,466
31055001-29,31,055,001-29,368,421,32,370,449,357,440,583,576,352,433
31055001-30,31,055,001-30,404.93,458.63,31.39,422.12,478.88,412.91,463.81,611.03,618.1,382.66,480.12
31055001-31,31,055,001-31,387.16,483.85,18.97,391.59,499.59,382.67,488.28,572.18,562.5,349.75,511.93
31055002-01,31,055,002-01,178.56,424.8,29.47,193.78,438.12,182.46,442.42,355.49,351.62,180.34,445.4
31055002-02,31,055,002-02,165,458,32,168,485,163,485,333,339,163,482
31055002-03,31,055,002-03,223.05,616.61,24.78,229,637.43,207.19,638.42,429.25,432.23,206.2,632.48
31055002-04,31,055,002-04,86.69,453.82,18.88,92.68,472.62,85.72,477.58,243.4,254.23,78.81,477.59
31055002-05,31,055,002-05,67.46,356.04,19.22,78.89,362.8,63.55,376.27,208.69,206.84,61.64,376.27
31055002-06,31,055,002-06,91.62,423.24,15.93,102.57,427.22,93.61,428.21,244.98,250.95,86.64,433.19
31055002-07,31,055,002-07,97,496,12,88,514,82,521,226,225,82,521
31055002-08,31,055,002-08,52.69,431.45,15.91,54.68,446.37,50.7,449.35,204.79,214.73,42.75,451.34
31055002-09,31,055,002-09,26.2,499.24,14.08,33.23,504.27,25.16,514.33,211.91,210.9,26.18,513.31
31055002-10,31,055,002-10,58,495,10,70,488,52,505,231,227,49,507
31055002-11,31,055,002-11,110,662,17,122,668,101,682,344,343,103,675
31055002-12,31,055,002-12,157,635,30,168,652,155,656,406,406,145,665
31055002-13,31,055,002-13,41,375,11,43,382,32,389,176,178,33,386
31055002-14,31,055,002-14,161,605,51,179,636,170,634,404,406,157,628
31055002-15,31,055,002-15,59.27,627.44,21.02,61.28,644.45,53.3,647.41,253.46,251.46,54.25,646.47
31055002-16,31,055,002-16,75.59,514.22,24.87,76.59,534.11,69.62,537.09,266.56,270.54,69.62,537.09
31055002-17,31,055,002-17,119,485,26,122,500,120,501,308,316,113,502
31055002-18,31,055,002-18,90.75,147.65,7.98,94.74,148.65,100.72,136.68,151.61,151.61,83.77,155.63
31055002-19,31,055,002-19,87.98,406.65,19.58,88.39,416.88,76.96,432.17,224.66,230.63,76.82,432.21
31055002-20,31,055,002-20,63,440,14,65,452,57,458,226,219,53,457
31055002-21,31,055,002-21,43.8,482.76,16.92,48.77,489.73,34.84,503.67,197.09,195.1,39.82,497.69
31055002-22,31,055,002-22,42,406,19,43,422,32,434,167,166,36,428
31055002-23,31,055,002-23,181.95,379.39,14.22,186,391.57,170.81,385.58,306.75,307.77,167.8,389.52
31055002-24,31,055,002-24,248,422,23,254,436,238,446,430,431,228,452
31055002-25,31,055,002-25,241.88,595.3,28.63,253.72,608.14,238.91,607.15,463.02,468.94,232,609.13
31055003-02,31,055,003-02,195,655,24,200,683,194,658,431,426,177,664
31055003-03,31,055,003-03,228,750,40,232,783,228,760,501,501,212,772
31055003-04,31,055,003-04,123,330,18,131,343,130,327,244,249,122,329
31055003-05,31,055,003-05,231.04,557.59,26.11,232.03,583.71,224.05,564.6,441.02,445.02,220.98,565.61
31055003-06,31,055,003-06,158.38,564.69,38.13,156.39,597.79,158.35,577.81,398.38,388.4,159.35,567.81
31055003-07,31,055,003-07,264,816,46,249,874,254,837,584,587,245,836
31055003-08,31,055,003-08,334,616,42,334,654,345,611,590,597,322,640
31055003-09,31,055,003-09,373,759,48,390,783,381,747,659,657,355,771
31055003-10,31,055,003-10,194,360,23,208,367,195,363,333,330,180,370
31055003-11,31,055,003-11,119,257,24,126,274,118,271,238,240,121,274
31055003-12,31,055,003-12,318,515,33,332,536,308,532,504,508,301,538
31055003-13,31,055,003-13,269,575,37,256,616,265,596,500,513,253,601
31055003-14,31,055,003-14,419,613,37,410,656,406,612,674,681,395,629
31055003-15,31,055,003-15,344,716,41,351,756,350,718,623,624,324,732
31055003-16,31,055,003-16,248,628,41,251,671,249,650,530,529,238,648
31055003-17,31,055,003-17,254,494,44,270,524,262,505,485,488,247,514
31055003-18,31,055,003-18,145,667,25,152,683,154,669,408,409,150,664
31055003-19,31,055,003-19,239,705,34,250,726,234,727,517,515,217,730
31055003-20,31,055,003-20,408,870,33,422,899,425,850,709,700,374,890
31055003-21,31,055,003-21,285.96,711.41,30.89,282.97,743.29,287.95,712.4,554.98,554.98,270.02,716.39
31055003-22,31,055,003-22,128,310,21,145,315,136,314,253,256,128,322
31055003-23,31,055,003-23,474,526,18,477,538,461,516,651,657,428,538
31055003-24,31,055,003-24,333.77,517.99,20.8,329.81,543.74,309.01,526.9,529.87,536.8,303.07,526.9
31055003-25,31,055,003-25,367.81,429.9,29.16,370.63,456.24,360.28,433.66,564.41,565.36,333,457.18
31055003-26,31,055,003-26,384,541,36,381,586,368,555,618,612,347,577
31055004-01,31,055,004-01,114,225,18,122,234,115,240,224,219,97,251
31055004-02,31,055,004-02,256,336,31,257,359,253,360,414,418,240,370
31055004-03,31,055,004-03,143.74,440.39,37.26,142.88,476.51,128.73,478.53,353.38,365.36,122.69,483.52
31055004-04,31,055,004-04,304.16,473.69,31.91,312.14,492.64,307.15,482.66,539.51,538.51,296.18,488.65
31055004-05,31,055,004-05,546,575,41,551,615,533,585,796,801,526,603
31055004-06,31,055,004-06,267.89,501.79,32.99,287.88,513.79,246.9,540.77,504.79,503.79,241.9,535.78
31055004-07,31,055,004-07,234.54,321.96,23.17,247.56,332.1,241.53,329.03,412.58,410.6,232.47,336.06
31055004-08,31,055,004-08,393,427,35,394,457,395,432,588,584,367,452
31055004-09,31,055,004-09,134,272,20,147,280,130,290,277,280,122,296
31055004-10,31,055,004-10,165,413,19,167,430,148,441,351,359,144,440
31055004-11,31,055,004-11,374,414,25,389,421,350,443,574,577,335,451
31055004-12,31,055,004-12,386,381,29,398,394,380,391,558,564,359,409
31055004-13,31,055,004-13,288,401,41,298,431,287,431,483,473,265,443
31055004-14,31,055,004-14,111.63,258.85,21.23,125.7,267.94,109.69,273.98,234.87,233.02,108.58,270.15
31055004-15,31,055,004-15,199,481,40,214,505,200,504,414,421,196,511
31055004-16,31,055,004-16,310,493,44,321,526,313,504,526,524,297,518
31055004-17,31,055,004-17,225.57,276.25,24.84,228.56,299.11,226.57,285.2,375.63,377.61,216.63,290.17
31055004-18,31,055,004-18,108.47,349.08,28.6,121.29,360.91,111.43,366.83,266.25,276.11,103.54,376.69
31055004-19,31,055,004-19,320.23,377.97,38.22,342.6,390.11,329.48,389.12,519.17,527.56,321.96,392.93
31055004-20,31,055,004-20,461.61,377,12.13,451.74,398.46,439.47,373.47,608.97,605.3,414.07,390.87
31055004-21,31,055,004-21,306.48,499.37,42.55,313.57,539.84,313.39,517.07,559.89,559.91,304.19,520.12
31055005-01,31,055,005-01,461.69,538.13,40.17,480.65,563.35,459.71,549.99,726.4,723.4,433.3,558.27
31055005-02,31,055,005-02,552.97,606.78,26.87,550.01,641.55,552.99,590.97,818.08,818.08,500.4,628.63
31055005-03,31,055,005-03,602,526,32,598,557,597,514,836,831,551,551
31055005-05,31,055,005-05,332.97,364.68,21.8,346.84,372.61,330.99,367.65,490.54,495.49,322.07,376.57
31055005-06,31,055,005-06,297,328,35,326,335,308,331,466,469,296,342
31055005-07,31,055,005-07,576.12,551.25,45.92,604.57,563.76,567.48,571.16,847.44,846.55,547.72,580.67
31055005-09,31,055,005-09,671.38,451.29,29.71,676.41,476.94,666.36,435.55,855.41,856.45,602.43,491.67
31055005-10,31,055,005-10,475.33,440.86,38.31,489.27,463.19,485.09,444.01,699,702.07,464.83,463.28
31055005-11,31,055,005-11,562,504,46,579,525,559,514,828,827,535,525
31055005-12,31,055,005-12,481.22,465.99,50.58,516.51,485.26,502.23,465.83,723.65,722.84,483.32,481.52
31055005-13,31,055,005-13,880.02,495.75,36.05,898.16,512.68,881.3,485.24,1092.86,1104.68,823.98,528.55
31055005-14,31,055,005-14,720.44,499.22,32.21,728.83,521.18,722.27,497.27,965.51,961.04,672.28,530.72
31055005-15,31,055,005-15,649.37,405.49,30.74,660.31,426.54,640.52,393.72,825.91,822.64,587.83,434.07
31055005-16,31,055,005-16,521,384,26,532,403,519,383,676,676,487,398
31055005-17,31,055,005-17,669,365,36,695,372,679,344,830,829,622,405
31055005-18,31,055,005-18,633,487,40,638,514,621,502,859,876,592,522
31055005-19,31,055,005-19,484.52,359.16,18.9,498.44,361.15,484.52,345.23,655.64,655.64,460.64,359.16
31055005-23,31,055,005-23,482.98,545.41,36.34,478.86,589.91,484.91,551.07,717.97,721.92,457.84,567.99
31055005-24,31,055,005-24,466.14,441.34,31.74,480.02,457.21,452.25,437.38,640.69,647.64,437.38,457.21
31055005-25,31,055,005-25,672.67,410.14,32.69,666.73,445.81,646.91,425.99,850,857.93,620.17,454.72
31055005-26,31,055,005-26,313.83,260.36,10.52,314.71,270.88,299.81,262.99,433.93,431.3,287.53,273.51
31055005-27,31,055,005-27,462.08,267.76,19.52,464.87,288.22,448.13,279.85,578.3,586.66,422.1,297.52
31055005-28,31,055,005-28,449,404,33,477,410,461,395,629,632,439,407
31055005-30,31,055,005-30,636.15,400.63,23.24,639.32,422.66,627.19,389.47,794.86,791.85,577.82,414.74
31055005-31,31,055,005-31,614,423.42,34.38,637.58,434.22,630.7,386.09,792.8,793.78,562.92,441.1
31055005-32,31,055,005-32,345.9,214.26,10.89,342.27,226.06,335.91,210.63,436.69,434.87,315.03,225.15
31055005-33,31,055,005-33,113,138,14,115,152,114,141,187,184,116,143
31055005-34,31,055,005-34,189,165,13,190,177,193,160,257,261,180,167
31055005-35,31,055,005-35,700.48,486.84,29.1,687.56,529.85,679.48,488.77,900.36,893.36,624.36,536.84
31055006-02,31,055,006-02,607.81,425.43,24.25,598.86,457.69,596.73,418.11,741.41,743.42,527.21,474.6
31055006-03,31,055,006-03,558.86,458.89,17.98,561.71,477.96,552.82,436.2,743.17,744.19,514.95,472
31055006-04,31,055,006-04,561.93,513.44,32.28,555.81,543.84,564.78,496.41,744.23,739.28,510.3,531.78
31055006-07,31,055,006-07,449.65,541.17,26.86,448.66,563.06,456.61,524.26,661.54,658.56,398.92,558.08
31055006-08,31,055,006-08,638.63,569.42,26.75,627.74,608.05,632.7,549.64,820.9,817.93,558.46,616.94
31055006-09,31,055,006-09,603.08,518.08,21,600.08,534.08,605.08,494.07,804.11,810.11,539.07,540.08
31055006-10,31,055,006-10,600,582,29,602,606,594,575,866,869,561,596
31055006-11,31,055,006-11,590,578,47,606,610,598,591,886,878,558,608
31055006-12,31,055,006-12,389.24,397.08,31.93,399.28,413.99,380.28,410.06,584.79,589.74,370.28,413.07
31055006-13,31,055,006-13,621.64,559.67,51.15,651.15,585.24,645.24,552.79,913.77,917.7,600,584.26
31055006-14,31,055,006-14,562.13,508.6,48.01,570.5,549.15,551.91,531.84,783.33,772.3,525.3,550.12
31055006-15,31,055,006-15,570,375,24,573,395,565,362,728,731,502,412
31055006-16,31,055,006-16,639,428,29,644,449,646,402,832,825,583,445
31055006-17,31,055,006-17,498.47,308.83,25.13,510.47,319.25,496.24,298.6,622.6,631.78,465.34,315.72
31055006-18,31,055,006-18,143,121,9,143,129,140,121,188,187,137,124
31055006-19,31,055,006-19,703.73,460.28,32.76,715.16,480.57,683.9,469.09,911.36,917.46,655.19,483.34
31055006-20,31,055,006-20,607.34,434.75,29.24,623.9,446.45,613.16,427.94,786.71,790.61,585.87,437.69
31055006-21,31,055,006-21,786.19,358.18,33.22,777.26,399.3,779.11,343.06,943.58,944.49,722.18,407.63
31055006-22,31,055,006-22,821.91,362.62,21.62,836.08,373.76,818.15,339.17,970.12,985.98,739.22,395.41
31055006-23,31,055,006-23,576.78,291.6,25.76,566.47,324.49,559.52,292.09,706.68,702.98,516.51,331.43
31055006-24,31,055,006-24,643.13,332.53,33.9,650.08,363.34,623.25,334.64,782.43,802.09,594.38,358.52
31055006-25,31,055,006-25,518,472,14,512,497,525,439,682,681,454,500
31055006-26,31,055,006-26,459.16,427.05,18.48,451.37,453.32,449.43,425.11,611.88,614.8,417.33,449.43
31055006-27,31,055,006-27,481.42,506.12,22.04,491.56,519.03,470.71,500.44,686.72,692.84,446.93,510.93
31055006-28,31,055,006-28,610,484,37,617,517,602,490,823,828,573,502
31055006-29,31,055,006-29,581.53,338.17,18.87,584.53,356.75,557.76,330.4,697.4,696.22,522.66,366.28
31055006-30,31,055,006-30,421.72,174.32,9.02,424.7,179.36,418.62,169.45,480.06,476.27,379.97,193.31
31055006-31,31,055,006-31,732.58,394.61,18.18,749.71,392.03,737.36,373.09,894.09,894.38,680.1,401.97
31055006-32,31,055,006-32,949.69,413.5,27.22,952.32,433.88,897.8,419.72,1084.56,1101.44,831.71,474.28
31055006-33,31,055,006-33,730.9,315.78,30.17,736.29,338.71,728.74,298.46,866.11,868.41,691.99,333.41
31055006-34,31,055,006-34,809.99,544.22,39.47,821.02,569.59,819.91,523.14,1035.45,1029.53,738.69,585.09
31055006-35,31,055,006-35,263.88,231.27,21.74,262.89,248.07,256.96,241.15,390.39,386.43,251.03,243.13
31055007-01,31,055,007-01,390.58,459.41,38.34,408.54,483.69,388.44,476.58,598.17,605.07,363.39,507.53
31055007-02,31,055,007-02,475.06,521.06,39.01,473.06,563.06,467.05,528.06,686.08,696.08,451.05,537.06
31055007-03,31,055,007-03,422.68,564.48,41.52,440.49,588.07,437.76,556.33,676.96,673.85,431.21,562.67
31055007-04,31,055,007-04,472.78,475.91,40.54,466.02,519.37,465,501.89,694.2,695.17,444.57,512.62
31055007-05,31,055,007-05,407.44,609.72,38.35,406.48,648.07,413.19,616.43,674.91,672.03,387.31,642.31
31055007-09,31,055,007-09,470,513,42,472,549,464,542,697,696,423,571
31055007-10,31,055,007-10,463,538,40,472,569,470,535,688,684,463,540
31055007-11,31,055,007-11,395,531,31,407,548,390,553,658,665,384,549
31055007-12,31,055,007-12,655.21,601.65,24.48,651.87,628.08,655.13,586.08,917.66,927.06,603.21,613.3
31055007-13,31,055,007-13,658.79,429.21,34.94,666.77,459.15,665.77,414.24,864.41,863.41,612.87,463.15
31055007-14,31,055,007-14,386.25,230.65,22.4,393.05,247.39,389.77,233.9,494.1,494.34,362.85,252.21
31055007-15,31,055,007-15,353.4,444.61,38.63,358.59,479.17,349.43,461.6,585.08,580.1,324.81,474.98
31055007-16,31,055,007-16,405.45,365.46,26.97,413.28,389.82,407.18,364.6,561.21,561.21,380.22,381.13
31055007-17,31,055,007-17,643,357,37,646,393,637,363,796,788,592,384
31055007-18,31,055,007-18,359,567,36,367,594,349,584,616,620,350,575
31055007-19,31,055,007-19,420.07,621.25,30.43,415.9,651.85,432.12,608.78,701.41,702.27,406.15,625.55
31055007-20,31,055,007-20,710.93,485.75,25.57,701.1,521.15,713.88,458.22,907.59,899.73,656.85,503.45
31055007-21,31,055,007-21,870.99,438.72,26.64,863.13,469.2,867.82,429.93,1029.86,1039.01,769.3,502.38
31055007-24,31,055,007-24,441.21,473.98,53.03,458.18,511.97,451.93,489.62,664.95,667.97,421.82,513.37
31055007-25,31,055,007-25,555.15,603.93,39.4,568.13,630.01,547.39,612.8,822.71,832.69,518.97,633.89
31055007-26,31,055,007-26,508.92,378.17,16.57,507.28,396.75,505.95,362.12,663.15,662.76,466.22,388.62
31055007-27,31,055,007-27,564.16,437.83,41.94,566.31,476.55,582.33,418.41,772.51,777.1,553.34,441.51
31055007-28,31,055,007-28,305.32,278.16,17.43,313.37,289.27,314.37,274.92,447.31,442.37,291.57,292.84
31055007-29,31,055,007-29,397.17,441.35,41.58,412.27,461.83,412.52,438.27,629.58,624.61,383.88,455.68
31055007-30,31,055,007-30,490.08,380.62,34.55,495.94,409.31,510.74,375.51,693.87,695.84,472.03,400.37
31055007-31,31,055,007-31,519.39,361.16,22.09,528.99,378.45,524.2,357.32,671.22,678.87,477.17,382.29
31055007-32,31,055,007-32,578.71,421.41,25.25,586.48,435.01,577.74,412.67,756.41,749.61,536.96,448.6
31055007-33,31,055,007-33,436.04,274.04,24.76,438.32,290.97,434.31,275.81,552.82,551.2,416.24,280.59
31055007-34,31,055,007-34,569.95,351.13,18.83,566.27,371.67,578.7,330.74,739.88,746.63,519.97,374.78
31055008-01,31,055,008-01,272.12,257,24.54,270.62,280.79,272.74,261.74,385.32,384.88,243.27,284.97
31055008-02,31,055,008-02,163,174,22,166,191,156,196,245,248,148,198
31055008-03,31,055,008-03,195.68,177.35,15.44,205.94,181.49,188.79,188.48,272.97,271.07,183.7,191.52
31055008-04,31,055,008-04,279,202,23,288,211,285,200,383,382,263,215
31055008-05,31,055,008-05,173.39,189,13.87,174.26,198.54,172.53,185.53,280.03,275.7,169.93,188.13
31055008-06,31,055,008-06,172,159,13,177,168,168,164,257,259,166,166
31055008-07,31,055,008-07,250.82,172.28,16.31,252.78,187.99,250.11,178.39,320.19,322.22,234.34,183.25
31055008-08,31,055,008-08,219.97,121.4,5.02,206.23,140.16,212.83,121.51,251.43,251.55,182.81,142.49
31055008-09,31,055,008-09,365.87,190.32,5.89,366.67,195.39,351.69,196.04,420.47,427.07,322.22,215.06
31055008-10,31,055,008-10,163.49,164.8,11.88,165.24,175.72,164.17,169.93,231.08,231.06,153.42,177.43
31055008-11,31,055,008-11,279.61,432.02,18.4,286.97,445.48,277.58,442.02,464.69,460.36,264.77,440.44
31055008-12,31,055,008-12,537.96,582.79,51.65,549.65,619.82,526.26,608.12,804.01,803.04,503.85,628.59
31055008-13,31,055,008-13,852.63,276.66,39.56,851.44,316.25,836.38,278.21,965.47,968.54,792.85,316.46
31055008-14,31,055,008-14,468.88,219.42,21.21,466.24,241.5,454.49,216.88,563.45,565.28,429.67,232
31055008-15,31,055,008-15,684.94,398.09,22.44,677.14,431.26,678.11,397.11,870.33,876.18,626.4,438.09
31055008-16,31,055,008-16,489.39,323.9,37.86,488.39,361.77,490.38,334.86,652.83,652.83,463.46,341.85
31055008-17,31,055,008-17,551.47,426.99,18.29,547.58,449.16,520.53,437.05,734.31,737.3,484.43,456.01
31055008-18,31,055,008-18,485.63,464.34,30.43,495.32,486.95,482.31,477.35,700.19,698.68,457.96,485.09
31055008-19,31,055,008-19,362.96,311.48,20.61,369.82,328.35,359.23,325.15,510.27,507.78,336.72,337.07
31055008-20,31,055,008-20,455.55,396.08,34.59,458.57,429.47,460.13,409.45,643.09,643.97,452.52,409.56
31055008-23,31,055,008-23,368.6,312.16,24.77,379.48,324.12,370.61,309.27,506.98,505.02,333.97,335.99
31055008-24,31,055,008-24,539.04,287.43,28.84,546,305.33,529.09,286.44,661.37,664.35,470.42,339.14
31055008-27,31,055,008-27,73.87,65.4,7.99,76.5,70.85,71.09,72.16,103.67,102.7,69.7,71.88
31055008-37,31,055,008-37,529.85,373.37,24.76,547.68,377.34,534.81,357.53,706.14,705.15,496.18,385.26
31055008-39,31,055,008-39,895.65,356.25,30.28,908.65,373.59,876.49,360.24,1070.37,1073.65,832.41,400.29
31055008-40,31,055,008-40,880.15,341.76,43.91,907.93,368.85,884.17,347.78,1068.61,1072.87,815.16,404.04
31055008-41,31,055,008-41,694.31,281.63,26.69,715.91,286.87,670.68,281.92,802.08,809,637.06,319.68
31055008-42,31,055,008-42,537.93,264.72,11.07,544.77,270.95,526.73,251.43,651.24,654.66,478.38,288.77
31055008-43,31,055,008-43,694.25,435.07,23.6,697.45,452.1,675.64,434.5,857.39,869.13,615.92,480.62
31055008-44,31,055,008-44,272.71,220.39,15.03,274.38,229.85,277.16,215.38,363.98,360.09,261.02,225.96
31055008-45,31,055,008-45,837.05,391.32,19.74,856.59,389.4,828.09,363.18,992.46,1005.75,772.8,412.49
31055008-46,31,055,008-46,489.31,421.44,31.73,506.06,432.23,498.64,416.19,694.43,696.3,473.23,424.17
31055008-47,31,055,008-47,568.79,466.97,31.15,564.74,500.13,557.65,474.92,788.05,787.02,554.36,471.12
31055008-48,31,055,008-48,760.66,239.63,22.09,755.67,266.68,755.23,228.5,861.89,856.33,704.74,264.2
31055008-49,31,055,008-49,618.79,386.98,25.43,608.55,416.58,620.53,380.07,806.59,807.5,593,403.6
31055008-50,31,055,008-50,671,452,40,685,477,653,456,860,854,616,479
31055008-51,31,055,008-51,805.72,623.56,32.51,795.58,659.25,785.61,624.68,1080.27,1077.38,718.83,676.28
31055008-52,31,055,008-52,251.3,260.48,16.91,256.61,272.08,250.33,264.83,369.69,369.69,240.18,265.31
31055008-53,31,055,008-53,679.34,469.81,23.64,672.87,495.47,677.75,459.93,889.1,892.66,646.51,474.04
31055008-55,31,055,008-55,849.34,321.37,23.91,849.33,344.32,839.77,318.5,986.11,995.67,763.26,355.8
31055008-56,31,055,008-56,339,323,36,347,347,358,315,507,509,353,318
31055008-57,31,055,008-57,599.49,357.91,47.23,609.32,398.25,598.14,360.92,794.08,793.17,572.48,382.54
31055008-58,31,055,008-58,443.99,179.31,15.15,453.99,184.47,439,189.36,528.65,528.65,406.88,216.39
31055008-59,31,055,008-59,461.54,355.74,32.26,466.45,386.09,467.44,355.73,639.71,641.75,441.85,369.19
31055008-60,31,055,008-60,193.38,418.1,22.8,192.54,439.84,187.45,432.13,376.38,377.28,184.92,427.49
3105700001P,31,057,00001P,255,46,9,253,56,239,46,255,257,223,57
3105700002P,31,057,00002P,214,23,8,225,28,199,22,208,212,199,24
3105700003P,31,057,00003P,104,15,5,106,17,104,17,110,109,106,15
