GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
3103700003P,31,037,00003P,382,243,8,375,189,32
3103700005P,31,037,00005P,516,271,14,520,198,44
3103700009P,31,037,00009P,442,77,4,458,42,12
3103900001P,31,039,00001P,632,164,11,626,102,46
3103900002P,31,039,00002P,396,87,5,388,61,11
3103900004P,31,039,00004P,374,92,9,386,57,21
3103900006P,31,039,00006P,417,73,12,416,40,34
3103900007P,31,039,00007P,538.65,108.77,11.34,551.23,58.35,24.53
3103900010P,31,039,00010P,600.2,211.03,10.96,624.87,122.42,35.63
3103900011P,31,039,00011P,549.15,134.2,14.7,573.91,68.23,25.84
3104100001P,31,041,00001P,0,0,0,0,0,0
3104100002P,31,041,00002P,20.33,3.2,0.56,18.8,2.92,1.25
3104100003P,31,041,00003P,125.67,19.8,3.44,116.2,18.08,7.75
3104100004P,31,041,00004P,203,20,2,200,15,9
3104100005P,31,041,00005P,430,94,15,420,59,30
3104100006P,31,041,00006P,78,2,1,71,3,2
3104100008P,31,041,00008P,0,0,0,0,0,0
3104100009P,31,041,00009P,219,26,2,207,12,16
3104100010P,31,041,00010P,420,44,4,379,40,24
3104100011P,31,041,00011P,374,41,7,344,26,21
3104100012P,31,041,00012P,226,40,5,198,34,26
3104100013P,31,041,00013P,206.36,33.4,5.88,196.64,17.72,12.75
3104100014P,31,041,00014P,82,6,0,83,1,2
3104100015P,31,041,00015P,23,3,0,18,3,4
3104100016P,31,041,00016P,0,0,0,0,0,0
3104100017P,31,041,00017P,366,53,7,341,31,31
3104100018P,31,041,00018P,73,2,0,70,1,2
3104100019P,31,041,00019P,124,25,2,121,21,8
3104100020P,31,041,00020P,166,9,0,158,5,4
3104100021P,31,041,00021P,0,0,0,0,0,0
3104100022P,31,041,00022P,75,5,0,69,3,4
3104100023P,31,041,00023P,50,5,2,47,4,3
3104100024P,31,041,00024P,0,0,0,0,0,0
3104100025P,31,041,00025P,127,13,6,118,11,11
3104100026P,31,041,00026P,96.3,12.43,2.44,91.18,8.29,7.07
3104100027P,31,041,00027P,123.14,15.9,3.12,116.6,10.6,9.04
3104100028P,31,041,00028P,126,23,3,123,16,7
3104100029P,31,041,00029P,0,0,0,0,0,0
3104100030P,31,041,00030P,24,2,1,22,3,1
3104100031P,31,041,00031P,56,5,2,47,5,9
3104100032P,31,041,00032P,98.43,10.29,1.79,89.03,7.16,8.95
3104100033P,31,041,00033P,121.57,12.71,2.21,109.97,8.84,11.05
3104100034P,31,041,00034P,175.56,22.67,4.44,166.22,15.11,12.89
3104100035P,31,041,00035P,134.92,48.79,7.14,146.69,27.42,12.3
3104100037P,31,041,00037P,524.61,137.64,18.29,519.44,89.03,45.6
3104100038P,31,041,00038P,221.1,51.17,8.69,217.24,32.83,18.34
3104100039P,31,041,00039P,0,0,0,0,0,0
3104300001P,31,043,00001P,319,110,13,313,83,22
3104300002P,31,043,00002P,566.15,250.73,11.28,563.01,216.06,20.53
3104300003P,31,043,00003P,165.03,45.73,2.98,153.1,31.81,10.94
3104300004P,31,043,00004P,172.97,80.27,5.02,161.9,68.19,9.06
3104300005P,31,043,00005P,200.56,80.48,7.59,201.84,65.76,9.68
3104300006P,31,043,00006P,422,97,9,408,67,19
3104300007P,31,043,00007P,399.39,254.61,9.98,398.39,209.68,21.97
3104300009P,31,043,00009P,197.35,216.62,9.18,189.09,199.18,18.36
3104300010P,31,043,00010P,363.19,489.38,15.57,385.68,390.3,31.13
3104300011P,31,043,00011P,393.62,484.76,13.88,408.72,388.64,42.72
3104300013P,31,043,00013P,216.9,226.39,7.86,245.34,168.36,8.56
3104300014P,31,043,00014P,344.67,287.83,7.22,344.67,256.25,16.24
3104300015P,31,043,00015P,165.17,120.2,11.45,178.26,90.76,9.81
3104500001P,31,045,00001P,139,77,7,140,62,10
3104500002P,31,045,00002P,426.78,199.55,19.07,418.58,156.43,38.23
3104500003P,31,045,00003P,315,183,13,333,128,23
3104500004P,31,045,00004P,200.22,116.99,11.78,209.64,80.87,21.99
3104500005P,31,045,00005P,191.41,143.06,16.77,208.18,96.69,21.71
3104500006P,31,045,00006P,354.22,70.45,8.93,329.42,54.57,29.77
3104500007P,31,045,00007P,200,38,9,178,39,14
3104500008P,31,045,00008P,313.59,85.94,5.23,306.82,45.31,27.29
3104500009P,31,045,00009P,120,28,2,118,14,12
