GEOID,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
330019665002016,0,0,0,0
330019655982026,0,0,0,0
330019656001049,0,0,0,0
330019656003074,0,0,0,0
330019656002019,16.4,8.7,0.4,0
330019656001006,16.4,8.7,0.4,0
330019656001042,24.4,12.9,0.6,0
330019656001037,7.6,4,0.2,0
330019656003029,0.4,0.2,0,0
330019656003027,4.9,2.6,0.1,0
330019656003041,0,0,0,0
330019656002021,0.8,0.4,0,0
330019656003070,0,0,0,0
330019656002078,25.9,13.8,0.6,0
330019654002077,13.9,8.8,0.3,0
330019654002071,10.4,6.6,0.2,0
330019654001052,22.7,14.4,0.5,0.1
330019654002049,0,0,0,0
330019654001005,0,0,0,0
330019654001027,0,0,0,0
330019654001043,20.4,12.9,0.5,0.1
330019654002003,1.5,1,0,0
330019654002110,0,0,0,0
330019654001022,0,0,0,0
330019654001000,0,0,0,0
330019654002026,0,0,0,0
330019654002009,0,0,0,0
330019651001042,0,0,0,0
330019651001057,0,0,0,0
330019651001067,0,0,0,0
330019651001006,32.6,19.7,1,0.1
330019651001089,0,0,0,0
330019651001021,17.3,10.5,0.6,0
330019651001093,3.3,2,0.1,0
330019651001081,4.5,2.7,0.1,0
330019651001004,0,0,0,0
330019651001027,17.3,10.5,0.6,0
330019658002067,3.2,1.5,0.1,0
330019653001005,0,0,0,0
330019653001044,0,0,0,0
330019652001069,0,0,0,0
330019653003009,0,0,0,0
330019652002053,3.1,1.9,0.1,0
330019652001014,0.8,0.5,0,0
330019652002027,9.3,5.7,0.2,0
330019652001058,3.5,2.2,0.1,0
330019653003071,0,0,0,0
330019653002040,0,0,0,0
330019653003075,0.4,0.2,0,0
330019651002097,0,0,0,0
330019651002100,0,0,0,0
330019651003087,5.5,3.8,0.2,0
330019651003107,14.1,9.8,0.5,0
330019651003074,0,0,0,0
330019651003038,0,0,0,0
330019658003078,1.9,0.9,0,0
330019658004094,0,0,0,0
330019658004083,28.4,13.4,0.5,0
330019658004054,5,2.4,0.1,0
330019658004078,22.7,10.7,0.4,0
330019658003026,0,0,0,0
