GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19023023014,19,023,023014,246.59,69.69,3.02,0.34,0,0.34,0,0.34,0.67,1.34,238.55,70.36,5.7,1.68,0
19023023015,19,023,023015,162.82,93.8,2.25,0.41,0.61,0.41,0.2,0.61,0.2,0.61,154.83,95.44,7.58,1.23,0.2
19023023016,19,023,023016,576.4,332.06,7.98,1.45,2.18,1.45,0.73,2.18,0.73,2.18,548.12,337.86,26.83,4.35,0.73
19023023017,19,023,023017,446.78,233.14,2.77,1.14,0.21,0.14,1.07,0.21,1.07,1.21,406.04,249.7,15.6,8.42,0.07
19023023018,19,023,023018,272.96,112.73,3.84,0.3,0.59,0.3,0,0,0,0,259.98,118.92,6.79,1.77,0
19023023019,19,023,023019,498.47,142.05,6.11,0.67,0.02,0.67,0,0.66,1.33,2.66,482.08,143.59,11.53,3.38,0
19023023020,19,023,023020,642.97,265.53,9.04,0.7,1.39,0.7,0,0,0,0,612.39,280.13,15.99,4.17,0
19023023021,19,023,023021,142.5,38.69,0.48,0,0.24,0,0.24,0.24,0.24,0,137.7,36.53,4.57,2.88,0
19025025001,19,025,025001,65.26,28.38,0.58,0.19,0,0.19,0,0.39,0,0,60.04,30.5,3.67,0.19,0.19
19025025002,19,025,025002,127.17,55.31,1.13,0.38,0,0.38,0,0.75,0,0,117.01,59.45,7.15,0.38,0.38
19025025003,19,025,025003,247.38,78.37,0.94,0,0,0,0,0,0,0,244.55,75.54,0.94,2.83,0
19025025004,19,025,025004,160.19,67.94,1.35,0.43,0,0.43,0,0.86,0,0,148.4,72.51,8.24,0.6,0.43
19025025005,19,025,025005,135,50.51,3.6,0,0.52,0.28,0.38,0.38,0.14,0.28,133.6,51.3,4.64,0.84,0
19025025006,19,025,025006,585.85,240.88,16.35,0,1.72,1.72,0.86,0.86,0.86,1.72,577.24,244.32,19.79,5.16,0
19025025007,19,025,025007,128.16,36.62,3.05,0,0.76,0,0.76,0.76,0,0,128.16,37.38,4.58,0,0
19025025008,19,025,025008,47.56,13.86,0.53,0.13,0,0,0,0.27,0,0.27,45.56,14.39,1.07,0.67,0.27
19025025009,19,025,025009,106.58,31.05,1.19,0.3,0,0,0,0.6,0,0.6,102.11,32.24,2.39,1.49,0.6
19025025010,19,025,025010,601.02,293,16,0,1,1,0,1,1,2,550.02,324,24,7,1
19025025011,19,025,025011,94.34,27.48,1.06,0.26,0,0,0,0.53,0,0.53,90.38,28.54,2.11,1.32,0.53
19025025012,19,025,025012,3.64,1.06,0.04,0.01,0,0,0,0.02,0,0.02,3.49,1.1,0.08,0.05,0.02
19025025013,19,025,025013,142.08,67.79,1.15,0.19,0.38,0.19,0,0.57,0,0,134.82,66.65,6.49,1.15,0
19025025014,19,025,025014,52.7,15.35,0.59,0.15,0,0,0,0.3,0,0.3,50.49,15.94,1.18,0.74,0.3
19025025015,19,025,025015,52.15,15.19,0.58,0.15,0,0,0,0.29,0,0.29,49.96,15.78,1.17,0.73,0.29
19025025016,19,025,025016,110.39,31.1,0,0,0.78,0,0.78,0,0,0,106.5,34.98,1.55,0.78,0
19025025017,19,025,025017,31.61,8.9,0,0,0.22,0,0.22,0,0,0,30.5,10.02,0.45,0.22,0
19025025018,19,025,025018,127.94,42.23,1.89,0,0.63,0,0,0,0,0,120.38,47.27,2.52,0.63,0
19025025019,19,025,025019,75.06,24.77,1.11,0,0.37,0,0,0,0,0,70.62,27.73,1.48,0.37,0
19025025020,19,025,025020,193,53,3,0,0,0,0,0,0,3,178,59,8,2,3
19025025021,19,025,025021,123.87,59.1,1,0.17,0.33,0.17,0,0.5,0,0,117.54,58.1,5.66,1,0
19025025022,19,025,025022,370.3,176.69,2.99,0.5,1,0.5,0,1.49,0,0,351.39,173.7,16.92,2.99,0
19025025023,19,025,025023,107.76,51.42,0.87,0.14,0.29,0.14,0,0.43,0,0,102.25,50.55,4.92,0.87,0
19027027001,19,027,027001,240.72,63.81,1.45,0.48,0,0.48,0,0.48,0,0.97,230.57,70.57,6.77,0.97,0.48
19027027002,19,027,027002,131.7,34.91,0.79,0.26,0,0.26,0,0.26,0,0.53,126.15,38.61,3.7,0.53,0.26
19027027003,19,027,027003,125.58,33.29,0.76,0.25,0,0.25,0,0.25,0,0.5,120.29,36.82,3.53,0.5,0.25
19027027004,19,027,027004,118.16,48.43,0.76,0.76,0,0,0,0,0,0.76,108.78,52.49,3.04,1.52,0.25
19027027005,19,027,027005,168.07,68.89,1.08,1.08,0,0,0,0,0,1.08,154.73,74.66,4.33,2.16,0.36
19027027006,19,027,027006,434.82,165.55,3.43,1.37,0,0,0,0.69,0,0.69,411.47,170.36,13.74,3.43,0
19027027007,19,027,027007,35.54,13.53,0.28,0.11,0,0,0,0.06,0,0.06,33.63,13.92,1.12,0.28,0
19027027008,19,027,027008,152.81,62.63,0.98,0.98,0,0,0,0,0,0.98,140.68,67.88,3.93,1.97,0.33
19027027009,19,027,027009,20.28,8.31,0.13,0.13,0,0,0,0,0,0.13,18.67,9.01,0.52,0.26,0.04
19027027010,19,027,027010,3047.5,1707.67,27.83,5.46,6.16,4.16,1.47,10.11,0,11.72,2846.06,1741.4,95.19,45,5.96
19027027011,19,027,027011,504.19,284.07,4.21,1.58,0.84,0.84,0.53,1.89,0,2.32,466.09,297.57,16.99,8.09,1.05
19027027012,19,027,027012,318,85,2,0,0,0,0,0,0,1,292,97,5,3,0
19027027013,19,027,027013,209.21,65.31,2.65,0,0,0.53,0,0,0,0.53,196.99,70.09,7.43,2.12,0
19027027014,19,027,027014,111.87,34.92,1.42,0,0,0.28,0,0,0,0.28,105.33,37.48,3.97,1.14,0
19027027015,19,027,027015,72.93,22.77,0.93,0,0,0.19,0,0,0,0.19,68.67,24.43,2.59,0.74,0
19027027016,19,027,027016,116.95,26.75,0.62,0,0,0.31,0,0,0,0.62,110.11,30.17,2.18,0.31,0
19027027017,19,027,027017,162.64,61.92,1.28,0.51,0,0,0,0.26,0,0.26,153.9,63.72,5.14,1.28,0
