GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOVAC,G16PREOKAH,G16PREIMCM,G16PREIFUE,G16PREORIV,G16PREOWRI,G16USSRGRA,G16USSDJUD,G16USSLALD,G16USSOHEN,G16USSILUI,G16USSOWRI
19003003011,19,003,003011,124.4,47.2,6.8,0.7,1.1,0.1,0,0.4,0.1,0,1.6,134.7,38.1,4.4,1.8,1.1,0
19003003012,19,003,003012,126.8,56.2,11.8,0.5,2.2,0.4,0,0.5,0.4,0,3,145.9,40.8,6,3,0.8,0
19003003013,19,003,003013,121.1,32.7,4.7,0,1.6,0,0.4,0,0,0,1.2,124.6,30.4,3.5,0.4,0.4,0
19003003014,19,003,003014,38.8,10.5,1.5,0,0.5,0,0.1,0,0,0,0.4,40,9.7,1.1,0.1,0.1,0
19003003015,19,003,003015,2.6,0.7,0.1,0,0,0,0,0,0,0,0,2.7,0.7,0.1,0,0,0
19005005001,19,005,005001,75,47.1,1.4,0.9,1.4,1.4,0.5,0.5,0,0,0,80.6,37.7,3.7,1.4,0.9,0
19005005002,19,005,005002,37.9,16.7,1.3,0.7,0.3,0,0,0.3,0,0,0.8,40.9,13.6,2,0.6,0.1,0
19005005003,19,005,005003,305.1,134.3,10.7,5.3,2.7,0,0,2.7,0,0,6.2,329.1,109.4,16,4.4,0.9,0
19005005004,19,005,005004,250.7,210.5,17.5,3.4,4.3,0.4,0.4,4.3,0.4,0,3.4,275.1,189.5,14.6,4.7,3,0
19005005005,19,005,005005,94,40.9,5.8,1,0.6,0.1,0.2,0.3,0,0,1.1,103,35,2.9,1,0.8,0
19005005006,19,005,005006,86,53.9,1.6,1.1,1.6,1.6,0.5,0.5,0,0,0,92.4,43.3,4.3,1.6,1.1,0
19005005007,19,005,005007,84.4,37.4,5,0.9,0.5,0.1,0.2,0.3,0,0,1,92.4,32.2,2.5,0.9,0.7,0
19005005008,19,005,005008,89.8,39.5,5.5,1,0.6,0.1,0.2,0.3,0,0,1.1,98.5,33.7,2.8,1,0.8,0
19005005009,19,005,005009,72,60.5,5,1,1.2,0.1,0.1,1.2,0.1,0,1,79,54.4,4.2,1.4,0.9,0
19005005010,19,005,005010,263.3,221.1,18.4,3.6,4.5,0.4,0.4,4.5,0.4,0,3.6,288.9,199,15.3,4.9,3.1,0
19005005011,19,005,005011,215.2,149.9,7.7,3.1,0.8,0,0,0,0,0,1.5,224.5,133.8,11.5,4.6,0,0
19005005012,19,005,005012,153.2,66.4,6.8,1.7,2.3,0,0,2.3,0,0,1.1,166.8,54.5,3.4,1.7,0.6,0
19005005013,19,005,005013,417.2,184.4,25.7,4.6,2.5,0.5,1,1.6,0,0,5.2,456.9,158.4,13,4.7,3.6,0
19005005014,19,005,005014,101,44.8,6.2,1.1,0.6,0.1,0.3,0.4,0,0,1.3,110.5,38.6,3.2,1.1,0.9,0
19005005015,19,005,005015,1161.5,719,68.7,7.4,8.2,1,4,7,0,0,16.2,1275.6,638,47.6,18.2,5.3,1
19005005016,19,005,005016,129.7,42.1,4.3,0.6,0,0,1,1.6,0,0,0.5,137.7,35.1,2.1,1.6,0,0
19005005017,19,005,005017,257.4,219.2,23.9,6,1,0,0,3,0,1,3,301.3,179.3,11,4,1,0
19005005018,19,005,005018,117.9,37.7,3.8,0.5,0,0,0.9,1.4,0,0,0.5,125,31.5,1.9,1.4,0,0
19005005019,19,005,005019,103.7,44.9,4.6,1.1,1.5,0,0,1.5,0,0,0.8,112.9,36.9,2.3,1.1,0.4,0
19005005020,19,005,005020,77.8,50.8,2.9,1.1,0.4,0,0,0.2,0,0,0.6,81.8,44.9,3.8,1.5,0,0
19007007001,19,007,007001,141.6,62,1.4,0,0,0.7,0,0.7,0,0,2,140.3,55.8,4.8,0.7,0.7,0
19007007002,19,007,007002,135,57.1,5.7,0.7,0,0,0.3,0,0,0,1.3,135.7,56.1,2.7,2.7,0.7,0
19007007003,19,007,007003,112.8,47.7,4.8,0.6,0,0,0.3,0,0,0,1.1,113.4,46.9,2.2,2.2,0.6,0
19007007004,19,007,007004,154.1,65.2,6.5,0.8,0,0,0.4,0,0,0,1.5,154.9,64,3.1,3.1,0.8,0
19007007005,19,007,007005,55.7,18.3,2.4,0.7,0,0,0,0.7,0,0,0.5,58.3,18.1,0.9,0,0,0
19007007006,19,007,007006,181.3,59.7,7.7,2.3,0,0,0,2.3,0,0,1.5,189.7,58.9,3.1,0,0,0
19007007007,19,007,007007,184.4,69.3,6.3,0.4,1.4,0.9,0,0.9,0,0,1.8,193.9,60.7,3.6,2.7,0.4,0
19007007008,19,007,007008,181.8,69.8,0,0.6,0,0,0,1.2,0,0,0,180.6,60.2,3,1.2,1.8,0
19007007009,19,007,007009,66.4,29,0.6,0,0,0.3,0,0.3,0,0,1,65.7,26.2,2.2,0.3,0.3,0
19007007010,19,007,007010,106.3,38,4.4,0,0.4,0.4,0,0.4,0,0,0.8,108.7,33.1,5.3,1.2,0,1.2
19007007011,19,007,007011,94.6,33.8,4,0,0.4,0.4,0,0.4,0,0,0.7,96.7,29.5,4.7,1.1,0,1.1
19007007012,19,007,007012,62.1,22.2,2.6,0,0.2,0.2,0,0.2,0,0,0.5,63.5,19.4,3.1,0.7,0,0.7
19007007013,19,007,007013,120.2,46.2,0,0.4,0,0,0,0.8,0,0,0,119.4,39.8,2,0.8,1.2,0
19007007014,19,007,007014,1509.6,863,67.8,26.2,13.6,5.4,4,11.4,1,1,20.8,1553.8,817.2,57.6,26.2,10.2,2
19007007015,19,007,007015,140,52.6,4.8,0.3,1,0.7,0,0.7,0,0,1.4,147.2,46.1,2.8,2.1,0.3,0
19007007016,19,007,007016,63.7,19.3,2.3,0.2,1.1,0.2,0.4,0,0,0,0,66.2,17,1.1,1.1,0.2,0
19007007017,19,007,007017,145.1,44,5.2,0.4,2.6,0.4,0.9,0,0,0,0,150.8,38.8,2.6,2.6,0.4,0
19007007018,19,007,007018,124.2,37.7,4.5,0.4,2.2,0.4,0.8,0,0,0,0,129,33.2,2.2,2.2,0.4,0
19007007019,19,007,007019,158,62,3,4,1,0,0,0,0,0,1,159,60,4,2,0,0
19007007020,19,007,007020,211,83.4,3.6,2.9,0.7,0.7,0.7,2.9,0,0.7,0.7,210.3,77.7,7.1,2.1,0,0.7
19007007021,19,007,007021,85,33.6,1.4,1.1,0.3,0.3,0.3,1.1,0,0.3,0.3,84.7,31.3,2.9,0.9,0,0.3
19009009001,19,009,009001,115.9,52.7,6,0.9,1.1,0.2,0,0.4,0,0,1.3,127.4,40.2,3.7,1.5,0.7,0
19009009002,19,009,009002,38.5,17.5,2,0.3,0.4,0.1,0,0.1,0,0,0.4,42.3,13.3,1.2,0.5,0.2,0
19009009003,19,009,009003,146.4,66.5,7.6,1.2,1.4,0.2,0,0.5,0,0,1.7,160.9,50.8,4.6,1.9,0.8,0
19009009004,19,009,009004,82.4,37.5,4.3,0.7,0.8,0.1,0,0.3,0,0,0.9,90.6,28.6,2.6,1.1,0.5,0
19009009005,19,009,009005,95.9,43.6,5,0.8,0.9,0.2,0,0.3,0,0,1.1,105.4,33.3,3,1.2,0.6,0
19009009006,19,009,009006,33,19,1.6,0.5,0.2,0.1,0.1,0.2,0.1,0,0.6,35.4,15.3,1.1,0.7,0,0
19009009007,19,009,009007,572,260,29.8,4.7,5.6,0.9,0,1.9,0,0,6.5,628.8,198.6,18.1,7.4,3.3,0
19009009008,19,009,009008,178.8,81.3,9.3,1.4,1.7,0.3,0,0.6,0,0,2,196.6,62.1,5.7,2.3,1,0
19009009009,19,009,009009,229.4,131.9,10.9,3.5,1.3,0.5,0.5,1.3,0.5,0.2,4,245.9,106.4,7.8,4.8,0,0
19009009010,19,009,009010,73.9,42.5,3.5,1.1,0.4,0.2,0.2,0.4,0.2,0.1,1.3,79.2,34.2,2.5,1.6,0,0
19009009011,19,009,009011,105.5,60.7,5,1.6,0.6,0.2,0.2,0.6,0.2,0.1,1.9,113.1,48.9,3.6,2.2,0,0
19009009012,19,009,009012,145.8,83.8,6.9,2.2,0.8,0.3,0.3,0.8,0.3,0.2,2.6,156.2,67.6,5,3.1,0,0
19009009013,19,009,009013,220.1,126.6,10.4,3.4,1.2,0.5,0.5,1.2,0.5,0.2,3.9,235.9,102,7.5,4.6,0,0
19009009014,19,009,009014,98.2,56.5,4.7,1.5,0.5,0.2,0.2,0.5,0.2,0.1,1.7,105.3,45.5,3.4,2.1,0,0
19011011001,19,011,011001,176.1,51.2,6,0.5,1.8,0,0,0,0.5,0,0.5,189.3,42.1,3.2,0.9,0,0.5
19011011002,19,011,011002,203.4,59.2,6.9,0.5,2.1,0,0,0,0.5,0,0.5,218.8,48.6,3.7,1.1,0,0.5
19011011003,19,011,011003,243,100.6,16.8,4.2,0.9,0.4,0.4,2.1,0,0,3.3,273.4,86.6,6.3,2.1,1.7,0
19011011004,19,011,011004,683.8,462.2,57.2,9.1,8,2,0,7,0,1,9.1,795.2,381.8,34.2,13.1,2,0
19011011005,19,011,011005,274.3,156.4,14.7,5.1,2.7,0.9,0.3,3,0,0.6,5.1,305,132.9,13.8,4.5,0.9,0.9
19011011006,19,011,011006,1522.1,1053,123.6,18.9,8.8,2.4,4.4,11.9,0,1,29.1,1829.2,815.1,64.9,28,5.6,1
19011011007,19,011,011007,253.1,88.7,14.9,0.6,0,0,0,0.6,0,0,1.2,265.6,76.3,8.7,3.1,0.6,0
19011011008,19,011,011008,74.7,26.2,4.4,0.2,0,0,0,0.2,0,0,0.4,78.4,22.5,2.6,0.9,0.2,0
19011011009,19,011,011009,80.2,28.1,4.7,0.2,0,0,0,0.2,0,0,0.4,84.1,24.2,2.8,1,0.2,0
19011011010,19,011,011010,122.8,63.5,7,2.1,0.9,0,0.3,1.8,0,0,3.4,138.7,52.8,6.1,1.2,0.6,0
19011011011,19,011,011011,110.3,46,7.7,1.9,0.4,0.2,0.2,1,0,0,1.6,124.2,39.6,2.9,1,0.8,0
19011011012,19,011,011012,629.8,359.1,33.8,11.7,6.2,2.1,0.7,6.9,0,1.4,11.7,700.2,305.2,31.8,10.4,2.1,2.1
19011011013,19,011,011013,898,483,72,8,5,2,1,9,0,0,18,1026,383,44,14,4,0
19011011014,19,011,011014,403,250,27,4,3,0,0,2,1,0,9,496,181,10,7,0,0
19011011015,19,011,011015,279.2,144.5,16,4.9,2.1,0,0.7,4.2,0,0,7.6,315.3,120.2,13.9,2.8,1.4,0
19011011016,19,011,011016,303,150,15,0,3,0,1,2,0,0,5,333,120,13,3,1,0
19011011017,19,011,011017,114.9,54.1,6.6,0.7,0.9,0,0.9,0.7,0,0,2.4,124.6,47,5.7,2.6,0,0
19011011018,19,011,011018,668,382,35,10,9,1,3,8,0,0,9,744,321,31,19,1,1
19011011019,19,011,011019,380.1,178.8,21.9,2.2,2.9,0,2.9,2.2,0,0,8,412.2,155.4,19,8.8,0,0
19011011020,19,011,011020,26,12.2,1.5,0.1,0.2,0,0.2,0.1,0,0,0.6,28.2,10.6,1.3,0.6,0,0
19011011021,19,011,011021,212.7,126.9,13.6,0,0.4,0.9,0,1.8,0,0,2.6,233.3,106.3,9.6,2.2,0.9,0
19011011022,19,011,011022,317,198.1,20.1,0.1,0.9,1.1,0.1,2.7,0,0,4.4,348.8,166.2,14.4,3.4,1.4,0.3
19011011023,19,011,011023,252.3,202,15.3,0.8,1.7,0,0.8,2.6,0,0,6,283,170.4,11.9,3.4,1.7,1.7
19013013001,19,013,013001,364.3,196.2,18.2,3.1,1,0,0,12,0,0,12.1,436.2,157.6,11.1,2,0,1
19013013002,19,013,013002,222.8,149.1,14.3,3.7,2.8,0.9,0,1.9,0.9,0,6.6,280,108.8,4.9,2.8,0,0
19013013003,19,013,013003,15.3,10.2,1,0.3,0.2,0.1,0,0.1,0.1,0,0.4,19.3,7.4,0.3,0.2,0,0
19013013004,19,013,013004,348,257,31,3,0,0,0,0,0,0,3,418,204,15,2,0,0
19013013005,19,013,013005,210,69,12,0,0,0,0,0,3,0,3,225,59,9,4,0,0
19013013006,19,013,013006,355.4,195.4,18.5,7.3,2.2,1.7,0,1.7,0,0,6.2,395.9,171.3,11.8,6.2,2.2,0
19013013007,19,013,013007,171.7,94.4,8.9,3.5,1.1,0.8,0,0.8,0,0,3,191.3,82.7,5.7,3,1.1,0
19013013008,19,013,013008,105.8,58.2,5.5,2.2,0.7,0.5,0,0.5,0,0,1.8,117.9,51,3.5,1.8,0.7,0
19013013009,19,013,013009,293.8,212.6,18.7,3.1,2,0.1,0,3,0,0,1.1,321.7,192.4,14.9,4,1,0
19013013010,19,013,013010,273.9,201.2,16.5,1.5,0.9,0,0.5,3.3,0.5,0,4.7,323.3,161.2,6.2,4.3,1.4,0
19013013011,19,013,013011,284.6,209,17.2,1.5,1,0,0.5,3.4,0.5,0,4.9,336.1,167.3,6.4,4.4,1.5,0
19013013012,19,013,013012,11.3,8.3,0.7,0.1,0,0,0,0.1,0,0,0.2,13.3,6.6,0.2,0.2,0.1,0
19013013013,19,013,013013,122.3,43.5,12.5,1,1,1,0,0,0,0,1.9,133.9,40.6,4.8,1,0,0
19013013014,19,013,013014,718.7,505.5,67.5,8,4,1,0,7,2,0,14.1,816.1,429.4,49.2,23,0,0
19013013015,19,013,013015,486.7,365.7,29.9,11.4,2.5,0.8,0.8,4.2,0,0,8.3,552.1,305.5,23.7,13.1,3.3,0.8
19013013016,19,013,013016,109.8,82.5,6.8,2.6,0.6,0.2,0.2,0.9,0,0,1.9,124.5,69,5.4,3,0.8,0.2
19013013017,19,013,013017,220,57,6,1,3,1,0,2,0,0,3,227,56,8,2,0,0
19013013018,19,013,013018,331,179.3,21.6,2.1,2.4,0.6,0.9,4.5,0.3,0,6.9,392.5,137.3,11.1,4.2,0.9,0.6
19013013019,19,013,013019,289.5,156.8,18.9,1.8,2.1,0.5,0.8,3.9,0.3,0,6,343.2,120.1,9.7,3.7,0.8,0.5
19013013020,19,013,013020,483.4,261.8,31.5,3.1,3.5,0.9,1.3,6.6,0.4,0,10.1,573.2,200.5,16.2,6.1,1.3,0.9
19013013021,19,013,013021,505.6,531.6,52,13,3.1,0,1.2,17.4,0,0,13.6,649.3,434.9,24.2,6.8,4.3,1.2
19013013022,19,013,013022,442.9,456.7,47.2,3,1.9,2.8,0.9,5.5,0,0,13.7,545.5,381.6,27.6,5.5,1,0
19013013023,19,013,013023,632,908,76,12,10,3,1,15,3,1,23,847,766,43,13,4,4
19013013024,19,013,013024,466.6,913.3,50.6,26.8,7,6,1,8.9,1,0,25.8,641.3,788.2,46.7,10.9,7,0
19013013025,19,013,013025,257,282,28,14,1,1,2,10,0,0,4,331,223,14,8,1,2
19013013026,19,013,013026,304.9,320.6,31.4,7.8,1.9,0,0.8,10.5,0,0,8.2,391.5,262.3,14.6,4.1,2.6,0.8
19013013027,19,013,013027,1299,1154,103,24,9,3,2,28,0,0,49,1679,909,52,15,6,0
19013013028,19,013,013028,751.4,698.7,61.6,12.4,2.2,0.3,0.1,14.8,0,0,24.6,964.8,536.7,28.2,6.7,6.1,1
19013013029,19,013,013029,955,900,78,6,6,1,4,16,0,1,32,1216,693,44,14,0,1
19013013030,19,013,013030,559,636,81,11,5,1,1,16,0,1,18,731,492,32,14,3,3
19013013031,19,013,013031,724.7,896,67.2,18.1,3.4,3.1,1.1,17.8,1,0.1,23.5,923.3,752.4,45,10.6,4.4,1.1
19013013032,19,013,013032,370,639,70,21,2,2,1,12,0,1,12,500,546,43,11,5,0
19013013033,19,013,013033,338,597,69,16,3,0,1,13,1,0,12,536,421,29,16,2,1
19013013034,19,013,013034,596,786,59,17,4,2,2,13,0,0,20,793,640,33,10,3,1
19013013035,19,013,013035,548.8,728.1,56.1,9.1,3.6,0.9,0.9,16.3,0,0.9,22.6,707.2,615.8,35.3,5.4,3.6,0.9
19013013036,19,013,013036,768,672,53,7,4,2,1,24,0,0,22,969,544,29,5,1,0
19013013037,19,013,013037,399.6,301.5,29.2,1.6,5.1,1.5,0,1.5,0,0,5.8,447.7,254.3,19.1,7.3,0.8,1.4
19013013038,19,013,013038,1021.3,948,90.3,12.4,6.9,6.7,1,4.9,0,0,22.6,1123.8,823,73.2,31.6,7.7,2
19013013039,19,013,013039,549,581,41,14,3,0,0,11,1,0,7,667,475,43,7,0,1
19013013040,19,013,013040,529,554,52,14,2,2,2,8,1,0,17,650,450,43,11,1,2
19013013041,19,013,013041,311,548,47,12,1,3,0,11,0,0,14,387,496,41,6,2,1
19013013042,19,013,013042,538.6,569.5,42,15.9,0.2,5,0.1,16.6,0,1,19.9,654.4,491.4,30.3,11.1,2,2.9
19013013043,19,013,013043,456,511,33,3,6,1,1,6,0,0,11,547,422,27,6,4,0
19013013044,19,013,013044,893.1,657.1,40,11,5,1,3,17,0,0,25,1067.2,537.1,30,9,2,2
19013013045,19,013,013045,339,406,22,6,1,1,0,3,1,1,18,439,330,9,9,2,1
19013013046,19,013,013046,260,464,22,5,5,1,1,6,0,0,9,313,424,12,6,2,0
19013013047,19,013,013047,436,602,42,14,2,2,0,3,0,0,14,502,546,26,13,3,4
19013013048,19,013,013048,727,894.4,44.1,7,5,2,2,3,2,0,12,879,747.3,38.1,14.1,1,2
19013013049,19,013,013049,612.9,571,47,12,4,1,1,8,0,0,17,692.9,506,35,13,8,1
19013013050,19,013,013050,630.2,561.2,29,4,1,1,1,12,1,1,12,741.3,468.1,23,10,2,0
19013013051,19,013,013051,376,505.1,25.4,10.7,3.9,2.9,2,6.8,0,0,10.8,466.8,434.8,30.3,2.9,2.9,2
19013013052,19,013,013052,306,610,26,7,10,2,1,7,0,1,11,360,555,31,10,2,3
19013013053,19,013,013053,79,470,15,10,1,2,1,2,0,0,8,123,433,11,6,0,1
19013013054,19,013,013054,179,518.9,12.1,8,1,0,1,3,0,0,10,219.2,463.1,22.8,13.8,2,2
19013013055,19,013,013055,526.7,696.5,57,19.1,8.8,5,2.9,5.4,1,1,20.2,670.2,585.5,51.8,18.9,3,0.1
19013013056,19,013,013056,147.1,419.1,18.7,15.4,0,0,2,3,0,0,7.5,209.5,367.9,14.7,11,0.2,2
19013013057,19,013,013057,66,717,5,5,2,1,3,1,0,0,5,96,677,16,4,1,0
19013013058,19,013,013058,58.2,467.6,12,8,2,0,0,1,0,0,7,101.2,430.2,11.2,4.2,2,1
19013013059,19,013,013059,72.6,380,6,7,2,1,0,0,0,0,4,119.4,338.2,7,0,2,0
19013013060,19,013,013060,216,491,16,23,2,4,2,1,0,0,10,257,442,24,18,3,0
19013013061,19,013,013061,137,757.3,9.9,7.9,1,3,2,2,0,0,8.9,183.6,701.7,16.9,6,2,2
19013013062,19,013,013062,265.8,355.6,25.2,18.5,0.1,1.3,1,2.1,0,0,11.3,296.6,319.4,25.4,13.3,2.2,0
19013013063,19,013,013063,101.5,279.9,13.3,7.6,0,0,0,0,0,0,9.5,130,255.2,13.3,0.9,3.8,0.9
19013013064,19,013,013064,383,540,35,13,11,1,1,9,0,0,14,476,463,35,14,5,0
19013013065,19,013,013065,306,501,28,12,1,1,1,0,1,0,14,357,464,20,10,1,0
19013013066,19,013,013066,497,598,40,11,4,1,0,14,0,1,16,620,494,30,3,2,3
19013013067,19,013,013067,538,636,52,11,4,2,1,18,0,0,23,703,533,35,5,0,1
19013013068,19,013,013068,425,572,39,5,2,3,1,9,0,0,15,544,485,33,6,2,1
19013013069,19,013,013069,155.9,117.7,11.4,0.6,2,0.6,0,0.6,0,0,2.3,174.8,99.1,7.4,2.9,0.3,0.6
19015015001,19,015,015001,134.6,76.7,9.7,1.1,1.1,0,0,1.1,0,0,1.6,143.1,69.2,8,0.5,1.6,0.5
19015015002,19,015,015002,45.5,26,3.3,0.4,0.3,0,0,0.4,0,0,0.6,49.1,23.2,2.5,0.3,0.5,0.1
19015015003,19,015,015003,335.6,196.5,26.2,3.4,1.8,0,0.6,5.1,0,0,4,386,171,10.6,4.5,0.7,0
19015015004,19,015,015004,136,79.7,10.7,1.4,0.7,0,0.2,2.1,0,0,1.6,156.8,69.3,4.2,1.9,0.2,0
19015015005,19,015,015005,115.3,67.6,9,1.2,0.6,0,0.2,1.8,0,0,1.4,133,58.7,3.5,1.6,0.2,0
19015015006,19,015,015006,252.5,194.6,22.1,5.6,1.5,0.9,1.2,7.7,0.6,0,8,283.6,179.6,17.6,5.9,1.8,0.6
19015015007,19,015,015007,244.7,126.5,17.9,2.6,1.1,0.7,0.4,4.6,0.3,0,2.7,271.7,109.9,11.6,3.2,0.4,0.7
19015015008,19,015,015008,78.1,43.9,5.6,0.6,0.6,0,0,0.7,0,0,0.9,83.5,39.4,4.5,0.4,0.8,0.3
19015015009,19,015,015009,183.2,92.4,13.2,1.8,0.8,0.5,0.3,3.4,0.3,0,1.8,203.2,79.9,8.6,2.3,0.3,0.5
19015015010,19,015,015010,37.9,19.1,2.7,0.4,0.2,0.1,0,0.7,0,0,0.4,42,16.5,1.8,0.5,0,0.1
19015015011,19,015,015011,93.4,47.1,6.8,0.9,0.4,0.3,0.1,1.7,0.1,0,0.9,103.6,40.8,4.4,1.2,0.1,0.3
19015015012,19,015,015012,144,72.9,10.4,1.4,0.6,0.4,0.2,2.6,0.2,0,1.4,159.7,63.2,6.7,1.8,0.2,0.4
19015015013,19,015,015013,614.3,393.1,48.2,11,6,1,4,12,0,0,10,678.6,360,37.1,13,1,0
19015015014,19,015,015014,118.2,72.4,6.9,0.6,1.7,0,0,1.4,0,0,2.2,129.3,65.9,4.6,1.3,0,0.2
19015015015,19,015,015015,3087.3,2695,312.2,54.2,24.5,8.1,11.8,86,3.4,0,90.7,3677.3,2310.4,221.9,69.8,19.2,2.4
19015015016,19,015,015016,129.5,103.4,10.4,1.9,1.1,0.4,0.4,3.4,0.4,0,3.4,153.4,84.3,9.7,2.6,0.8,0.4
19015015017,19,015,015017,15.2,9.4,0.9,0.1,0.2,0,0,0.2,0,0,0.3,16.6,8.6,0.6,0.2,0,0
19015015018,19,015,015018,202.8,161.9,16.4,2.9,1.8,0.6,0.6,5.3,0.6,0,5.3,240.2,132.1,15.2,4.1,1.2,0.6
19015015019,19,015,015019,9.6,7.7,0.8,0.1,0.1,0,0,0.2,0,0,0.2,11.4,6.3,0.7,0.2,0.1,0
19015015020,19,015,015020,344,212.4,20,1.7,5,0,0,3.9,0,0,6.6,376.1,193.6,13.3,3.9,0,0.6
19015015021,19,015,015021,772.4,615.6,65.5,9.1,4.4,7,1,10.3,0,0,9.5,852.9,542.2,59,17.3,5,4
19015015022,19,015,015022,57.4,37.1,3.8,0.4,0.8,0,0,0.6,0,0,1.2,63.2,33.4,2.8,0.7,0.1,0.1
19015015023,19,015,015023,130.8,73.7,8.4,0.5,0,0,0.5,1,0,0,3,150.4,61.9,2,2,0,0
