GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRREY,G18GOVDHUB,G18GOVLPOR,G18GOVOSIE,G18GOVOWRI,G18ATGDMIL,G18ATGLBAT,G18ATGOWRI,G18SOSRPAT,G18SOSDDEJ,G18SOSLOFE,G18SOSOWRI,G18TRERDAV,G18TREDFIT,G18TRELHIR,G18TREOWRI,G18AUDRMOS,G18AUDDSAN,G18AUDLPER,G18AUDOWRI,G18AGRRNAI,G18AGRDGAN,G18AGRLSTE,G18AGROWRI
19073073004,19,073,073004,60.64,35.75,1.31,0.19,0.19,63.82,18.15,0,60.82,30.5,2.25,0.19,45.1,47.35,1.31,0.19,48.47,44.17,1.68,0.19,57.83,36.49,0.94,0
19073073005,19,073,073005,198.06,150.96,9.06,3.02,0.6,242.74,77.89,3.62,209.53,120.77,14.49,0,153.98,183.56,9.66,0,169.07,167.26,12.08,0,187.19,152.16,12.68,0.6
19073073006,19,073,073006,26.39,13.76,0.56,0.28,0,25.54,9.17,0.28,28.43,10.79,0.85,0,20.32,17.92,1.06,0,21.73,17.22,0.85,0,26.03,13.48,0.78,0
19073073007,19,073,073007,55.61,28.99,1.19,0.59,0,53.83,19.33,0.59,59.92,22.75,1.78,0,42.82,37.77,2.23,0,45.8,36.28,1.78,0,54.87,28.4,1.64,0
19073073008,19,073,073008,59.74,24.8,1.31,0.19,0.19,56.17,16.72,0.38,60.49,21.42,1.31,0.38,45.09,37.2,0.94,0.19,50.16,31.75,1.13,0,56.92,24.98,1.69,0
19073073009,19,073,073009,3.35,1.39,0.07,0.01,0.01,3.15,0.94,0.02,3.39,1.2,0.07,0.02,2.53,2.08,0.05,0.01,2.81,1.78,0.06,0,3.19,1.4,0.09,0
19073073010,19,073,073010,185.65,77.06,4.09,0.58,0.58,174.56,51.96,1.17,187.99,66.55,4.09,1.17,140.11,115.59,2.92,0.58,155.88,98.66,3.5,0,176.89,77.65,5.25,0
19073073011,19,073,073011,163.4,108.02,4.38,1.44,0.14,179.38,56.89,1.44,176.63,86.75,5.14,0.14,127.54,133.14,6.56,0.14,136.1,126.8,6.1,0.27,159.33,105.35,5.81,0.14
19073073012,19,073,073012,927.42,855.72,35.94,5.73,1.86,1219.95,340.94,6.73,1013.63,688.77,41.35,0.86,761.26,946.76,44.81,0.86,801.52,908.19,49.39,1.73,892.03,808.22,52.39,0.86
19073073013,19,073,073013,58.01,30.24,1.24,0.62,0,56.15,20.16,0.62,62.51,23.73,1.86,0,44.67,39.4,2.33,0,47.77,37.84,1.86,0,57.23,29.62,1.71,0
19073073014,19,073,073014,129.94,99.04,5.94,1.98,0.4,159.26,51.11,2.38,137.47,79.23,9.51,0,101.02,120.44,6.34,0,110.93,109.74,7.92,0,122.81,99.84,8.32,0.4
