GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10005007-40,10,005,007-40,437.2,712.2,9.9,15.8,465.9,691.5,480.8,679.6,376.9,767.6,15.8,436.2,711.2
10005007-41,10,005,007-41,339.4,523.1,7,7,366.5,482.8,382.5,476.9,294.2,534.2,16,341.4,498
10005008-20,10,005,008-20,112,211,4,2,132,169,129,192,83,238,6,119,200
10005008-36,10,005,008-36,45,110,2,2,61,92,54,102,35,117,7,52,104
10005008-38,10,005,008-38,362.6,814.9,6,9,400.5,752.2,398.5,778.1,312.8,860.8,11.9,376.6,800
10005008-40,10,005,008-40,218,369,6,5,257,295,237,343,172,413,5,229,355
10005008-41,10,005,008-41,214.7,313.8,6.1,6,284.2,231.1,237,295.5,180.2,348.2,8.2,221.8,300.6
10005009-20,10,005,009-20,80,163,2,2,104,128,101,136,68,168,2,95,142
10005009-36,10,005,009-36,23,55,0,0,23,49,22,53,17,61,0,20,56
10005010-20,10,005,010-20,81.6,131.8,2.7,0.9,94.2,112.1,89.7,125.5,65.5,145.3,2.7,80.7,134.5
10005010-36,10,005,010-36,38,47,0,0,39,43,39,44,29,54,0,37,46
10005011-36,10,005,011-36,106,132,6,2,126,113,125,121,97,144,6,114,131
